Category,Type,Frequency,Total,Percentage
Simulator,Bugs,8.675899927437928e-07,0.006701953132856477,0.013
Simulator,Bugs,7.689350249903884e-07,0.006701953132856477,0.011
Simulator,Bugs,8.371002846140967e-07,0.006701953132856477,0.012
Simulator,Bugs,9.226794611551947e-07,0.006701953132856477,0.014
Simulator,Bugs,9.226794611551947e-07,0.006701953132856477,0.014
Simulator,Bugs,9.226794611551947e-07,0.006701953132856477,0.014
Simulator,Bugs,9.226794611551947e-07,0.006701953132856477,0.014
Simulator,Bugs,9.226794611551947e-07,0.006701953132856477,0.014
Simulator,Bugs,9.226794611551947e-07,0.006701953132856477,0.014
Simulator,Bugs,9.243852837862821e-07,0.006701953132856477,0.014
Simulator,Bugs,9.203018590097552e-07,0.006701953132856477,0.014
Simulator,Bugs,9.203018590097552e-07,0.006701953132856477,0.014
Simulator,Bugs,9.203018590097552e-07,0.006701953132856477,0.014
Simulator,Bugs,9.243852837862821e-07,0.006701953132856477,0.014
Simulator,Bugs,9.243852837862821e-07,0.006701953132856477,0.014
Simulator,Bugs,7.110352673492606e-07,0.006701953132856477,0.011
Simulator,Bugs,7.110352673492606e-07,0.006701953132856477,0.011
Simulator,Bugs,7.110352673492606e-07,0.006701953132856477,0.011
Simulator,Bugs,7.110352673492606e-07,0.006701953132856477,0.011
Simulator,Bugs,7.110352673492606e-07,0.006701953132856477,0.011
Simulator,Bugs,6.177330063521441e-07,0.006701953132856477,0.009
Simulator,Bugs,6.177330063521441e-07,0.006701953132856477,0.009
Simulator,Bugs,6.758177394647524e-07,0.006701953132856477,0.01
Simulator,Bugs,0.0,0.006701953132856477,0.0
Simulator,Bugs,9.615384615384615e-05,0.006701953132856477,1.435
Simulator,Bugs,9.615384615384615e-05,0.006701953132856477,1.435
Simulator,Bugs,7.955449482895784e-07,0.006701953132856477,0.012
Simulator,Bugs,7.955449482895784e-07,0.006701953132856477,0.012
Simulator,Bugs,7.780890133831311e-07,0.006701953132856477,0.012
Simulator,Bugs,7.593014426727411e-07,0.006701953132856477,0.011
Simulator,Bugs,7.725587144622991e-07,0.006701953132856477,0.012
Simulator,Bugs,7.725587144622991e-07,0.006701953132856477,0.012
Simulator,Bugs,7.725587144622991e-07,0.006701953132856477,0.012
Simulator,Bugs,7.779679477205539e-07,0.006701953132856477,0.012
Simulator,Bugs,7.777259293824856e-07,0.006701953132856477,0.012
Simulator,Bugs,3.329338127580237e-07,0.006701953132856477,0.005
Simulator,Bugs,2.119328534691082e-07,0.006701953132856477,0.003
Simulator,Bugs,3.3645790575141146e-09,0.006701953132856477,0.0
Simulator,Bugs,3.568673198984745e-07,0.006701953132856477,0.005
Simulator,Bugs,3.3279200326014517e-07,0.006701953132856477,0.005
Simulator,Bugs,2.151203577848906e-07,0.006701953132856477,0.003
Simulator,Bugs,2.555988638869626e-07,0.006701953132856477,0.004
Simulator,Bugs,5.211020265657813e-09,0.006701953132856477,0.0
Simulator,Bugs,0.0,0.006701953132856477,0.0
Simulator,Bugs,0.0,0.006701953132856477,0.0
Simulator,Bugs,0.0,0.006701953132856477,0.0
Simulator,Bugs,0.0,0.006701953132856477,0.0
Simulator,Bugs,0.0,0.006701953132856477,0.0
Simulator,Bugs,0.0,0.006701953132856477,0.0
Simulator,Bugs,2.593789054210191e-06,0.006701953132856477,0.039
Simulator,Bugs,2.318519381633046e-07,0.006701953132856477,0.003
Simulator,Bugs,6.467782359123616e-07,0.006701953132856477,0.01
Simulator,Bugs,6.148359924990009e-07,0.006701953132856477,0.009
Simulator,Bugs,9.383263669709118e-07,0.006701953132856477,0.014
Simulator,Bugs,1.5219734922950093e-06,0.006701953132856477,0.023
Simulator,Bugs,1.317547166358629e-06,0.006701953132856477,0.02
