Category,Project Names,Snapshots,Type,TDR
Assembly,pyqgl2,0,code errors,0.0
Assembly,pyqgl2,0,code smells,0.0
Assembly,pyqgl2,90,code errors,2.4469005925827285
Assembly,pyqgl2,90,code smells,14.120114521605965
Assembly,pyqgl2,180,code errors,0.4540525887774465
Assembly,pyqgl2,180,code smells,5.978584982380049
Assembly,pyqgl2,270,code errors,0.4934210526315789
Assembly,pyqgl2,270,code smells,8.117647058823529
Assembly,pyqgl2,360,code errors,0.8458646616541353
Assembly,pyqgl2,360,code smells,7.739175525019444
Assembly,pyqgl2,450,code errors,0.8443596130827214
Assembly,pyqgl2,450,code smells,7.751609459415742
Assembly,pyqgl2,540,code errors,0.799138008440334
Assembly,pyqgl2,540,code smells,6.232378557959953
Assembly,pyqgl2,630,code errors,0.8061594202898551
Assembly,pyqgl2,630,code smells,5.953804347826087
Assembly,pyqgl2,720,code errors,0.8061594202898551
Assembly,pyqgl2,720,code smells,5.395833333333333
Assembly,pyqgl2,810,code errors,0.0
Assembly,pyqgl2,810,code smells,0.0
Assembly,pyqgl2,900,code errors,0.8771929824561403
Assembly,pyqgl2,900,code smells,5.578947368421052
Assembly,blackbird,0,code errors,0.0
Assembly,blackbird,0,code smells,0.0
Assembly,blackbird,90,code errors,1.8854748603351956
Assembly,blackbird,90,code smells,3.1075418994413404
Assembly,blackbird,180,code errors,0.7436650752846126
Assembly,blackbird,180,code smells,2.2199779654792504
Assembly,blackbird,270,code errors,0.7171949707809456
Assembly,blackbird,270,code smells,2.326899238533735
Assembly,blackbird,360,code errors,0.7214750155874232
Assembly,blackbird,360,code smells,2.209851251447404
Assembly,blackbird,450,code errors,0.6860918177198035
Assembly,blackbird,450,code smells,2.2564797560562426
Assembly,qubiter,0,code errors,1.131008482563619
Assembly,qubiter,0,code smells,8.086710650329877
Assembly,qubiter,90,code errors,1.2156552678394938
Assembly,qubiter,90,code smells,1.7226724649140146
Assembly,qubiter,180,code errors,0.054188081906106834
Assembly,qubiter,180,code smells,0.144829964367231
Assembly,qubiter,270,code errors,0.08262856031884903
Assembly,qubiter,270,code smells,0.23719257315057837
Assembly,qubiter,360,code errors,0.5554238011668169
Assembly,qubiter,360,code smells,0.43210169330740406
Assembly,qubiter,450,code errors,0.5434966021874856
Assembly,qubiter,450,code smells,0.49057356302443667
Assembly,qubiter,540,code errors,0.5723839496459481
Assembly,qubiter,540,code smells,0.6046117533135629
Assembly,qubiter,630,code errors,0.6014891453860416
Assembly,qubiter,630,code smells,0.6535195263441181
Assembly,qubiter,720,code errors,0.6864755609979198
Assembly,qubiter,720,code smells,0.7816349714521769
Assembly,qubiter,810,code errors,0.8381784333381068
Assembly,qubiter,810,code smells,1.001002434483746
Assembly,qubiter,900,code errors,0.5497376075107413
Assembly,qubiter,900,code smells,0.7467074226273559
Assembly,qmasm,0,code errors,0.0
Assembly,qmasm,0,code smells,0.0
Assembly,qmasm,90,code errors,0.4298450435151772
Assembly,qmasm,90,code smells,5.957333899384419
Assembly,qmasm,180,code errors,0.0
Assembly,qmasm,180,code smells,0.5339379754242247
Assembly,qmasm,270,code errors,0.04325467390781949
Assembly,qmasm,270,code smells,0.591147210073533
Assembly,qmasm,360,code errors,0.04228131166024617
Assembly,qmasm,360,code smells,0.4805975758714648
Assembly,qmasm,450,code errors,0.05601194921583271
Assembly,qmasm,450,code smells,0.568521284540702
Assembly,qmasm,540,code errors,0.05601194921583271
Assembly,qmasm,540,code smells,0.568521284540702
Assembly,qmasm,630,code errors,0.05406866720735334
Assembly,qmasm,630,code smells,0.7312787239794539
Assembly,qmasm,720,code errors,0.040313549832026875
Assembly,qmasm,720,code smells,0.7767077267637178
Assembly,qmasm,810,code errors,0.03986534372785259
Assembly,qmasm,810,code smells,0.8385010630758327
Assembly,qmasm,900,code errors,0.03934254240251792
Assembly,qmasm,900,code smells,0.9560237803811855
Assembly,qmasm,990,code errors,0.034638032559750606
Assembly,qmasm,990,code smells,0.803602355386214
Assembly,qmasm,1080,code errors,0.11875202418223038
Assembly,qmasm,1080,code smells,1.1151894634567634
Assembly,qmasm,1170,code errors,0.08619141677141319
Assembly,qmasm,1170,code smells,1.1528101993176512
