Category,Project,Snapshots,TDR_Bugs,TDR_Smells,Overral_debts,KLOC
Compiler,pyzx,0,0.0,6.857142857142857,6.857142857142857,0.035
Compiler,pyzx,90,0.73520050922979,12.145130490133674,12.738432483474977,3.142
Compiler,pyzx,180,0.2738810955243821,10.374081496325985,7.865778435726623,8.982
Compiler,pyzx,270,0.25943893693313647,10.402868593123813,4.671687999630331,9.482
Compiler,pyzx,360,0.2616990053807272,9.964128485243762,3.699236145928569,12.266
Compiler,pyzx,450,0.22902565716984102,10.143239414449866,2.8273228498487546,12.706
Compiler,pyzx,540,0.24462734339277548,10.226337448559672,2.3001590357411903,13.122
Compiler,pyzx,630,0.12199921290830382,8.05391578118851,1.662421146690495,15.246
Compiler,pyzx,720,0.17477203647416414,8.379559270516717,1.488217862139623,15.792
Compiler,OpenQL,0,0.0,0.0,0.0,0.001
Compiler,OpenQL,90,5.203570798681301,24.126090436717362,29.329263329263327,73.709
Compiler,OpenQL,180,0.0,0.0,0.0,73.709
Compiler,OpenQL,270,0.0,0.0,0.0,73.709
Compiler,OpenQL,360,0.0,0.0,0.0,73.709
Compiler,OpenQL,450,0.0,0.0,0.0,73.709
Compiler,OpenQL,540,0.0,0.0,0.0,73.709
Compiler,OpenQL,630,0.0,0.0,0.0,73.709
Compiler,OpenQL,720,0.0,0.0,0.0,73.709
Compiler,OpenQL,810,0.0,0.0,0.0,73.709
Compiler,OpenQL,900,1.1215748925301914,5.261974081119998,0.8006987244982038,95.143
Compiler,OpenQL,990,0.915344959212208,4.297000317381347,0.6943746114747504,116.579
Compiler,OpenQL,1080,0.9099050689593409,4.303114045188199,0.6159035095586524,117.243
Compiler,OpenQL,1170,0.5348157014135317,2.290730704068645,0.3017319750203873,118.639
Compiler,OpenQL,1260,0.0,0.0,0.0,118.639
Compiler,qsharp-compiler,0,0.0,0.0,0.0,0.001
Compiler,qsharp-compiler,90,0.0,0.0,0.0,0.001
Compiler,qsharp-compiler,180,0.0,0.0,0.0,0.001
Compiler,qsharp-compiler,270,0.0,0.0,0.0,0.001
Compiler,qsharp-compiler,360,0.0,0.0,0.0,0.001
Compiler,qsharp-compiler,450,0.0,0.0,0.0,0.001
