Category,Project Names,Snapshots,Type,TDR
Experimentation,pyEPR,0,code errors,0.0
Experimentation,pyEPR,0,code smells,0.0
Experimentation,pyEPR,90,code errors,0.44229149115417016
Experimentation,pyEPR,90,code smells,10.324347093513058
Experimentation,pyEPR,180,code errors,0.2198952879581152
Experimentation,pyEPR,180,code smells,5.132984293193717
Experimentation,pyEPR,270,code errors,0.2591668266461893
Experimentation,pyEPR,270,code smells,5.534651564599732
Experimentation,pyEPR,360,code errors,0.29804913294797686
Experimentation,pyEPR,360,code smells,6.123554913294798
Experimentation,pyEPR,450,code errors,0.2610759493670886
Experimentation,pyEPR,450,code smells,6.95886075949367
Experimentation,pyEPR,540,code errors,0.1238003838771593
Experimentation,pyEPR,540,code smells,4.508637236084453
Experimentation,pyEPR,630,code errors,0.1347305389221557
Experimentation,pyEPR,630,code smells,4.5583832335329335
Experimentation,pyEPR,720,code errors,0.1340782122905028
Experimentation,pyEPR,720,code smells,4.550279329608938
Experimentation,QGL,0,code errors,2.0179372197309418
Experimentation,QGL,0,code smells,40.2914798206278
Experimentation,QGL,90,code errors,5.189365725090242
Experimentation,QGL,90,code smells,18.848908497106514
Experimentation,QGL,180,code errors,0.06344855591086747
Experimentation,QGL,180,code smells,2.3486117455966706
Experimentation,QGL,270,code errors,0.0
Experimentation,QGL,270,code smells,0.0
Experimentation,QGL,360,code errors,0.0
Experimentation,QGL,360,code smells,0.0
Experimentation,QGL,450,code errors,0.0
Experimentation,QGL,450,code smells,0.0
Experimentation,QGL,540,code errors,0.0
Experimentation,QGL,540,code smells,0.0
Experimentation,QGL,630,code errors,0.0
Experimentation,QGL,630,code smells,0.0
Experimentation,QGL,720,code errors,0.0
Experimentation,QGL,720,code smells,0.0
Experimentation,QGL,810,code errors,0.0
Experimentation,QGL,810,code smells,0.0
Experimentation,QGL,900,code errors,0.0050134527649192
Experimentation,QGL,900,code smells,0.8888851752201741
Experimentation,QGL,990,code errors,0.005012363830782597
Experimentation,QGL,990,code smells,0.8881908708146762
Experimentation,QGL,1080,code errors,0.4572698392826403
Experimentation,QGL,1080,code smells,1.3234534670818923
Experimentation,QGL,1170,code errors,0.47775284376692717
Experimentation,QGL,1170,code smells,1.5665093244602646
Experimentation,QGL,1260,code errors,0.44313335228888256
Experimentation,QGL,1260,code smells,1.508103497298834
Experimentation,QGL,1350,code errors,0.43629186904245343
Experimentation,QGL,1350,code smells,1.5356298027798385
Experimentation,QGL,1440,code errors,0.4275703875687092
Experimentation,QGL,1440,code smells,1.5185252528078101
Experimentation,QGL,1530,code errors,0.48338662588627834
Experimentation,QGL,1530,code smells,1.4776866397886834
Experimentation,QGL,1620,code errors,0.5043581397914713
Experimentation,QGL,1620,code smells,1.5163843989628731
Experimentation,QGL,1710,code errors,0.5080891877738886
Experimentation,QGL,1710,code smells,1.5267480638315463
Experimentation,QGL,1800,code errors,0.03922918100481761
Experimentation,QGL,1800,code smells,1.2111493461803167
Experimentation,QGL,1890,code errors,0.0
Experimentation,QGL,1890,code smells,0.0
Experimentation,QGL,1980,code errors,0.0
Experimentation,QGL,1980,code smells,0.0
Experimentation,QGL,2070,code errors,0.0
Experimentation,QGL,2070,code smells,0.0
Experimentation,QGL,2160,code errors,0.0
Experimentation,QGL,2160,code smells,0.0
Experimentation,QGL,2250,code errors,0.0
Experimentation,QGL,2250,code smells,0.0
Experimentation,QGL,2340,code errors,0.0
Experimentation,QGL,2340,code smells,0.0
Experimentation,QGL,2430,code errors,0.0
Experimentation,QGL,2430,code smells,0.0
Experimentation,quantum-shell,0,code errors,0.0
Experimentation,quantum-shell,0,code smells,7.5
Experimentation,quantum-shell,90,code errors,0.0
Experimentation,quantum-shell,90,code smells,0.0
Experimentation,quantum-shell,180,code errors,0.0
Experimentation,quantum-shell,180,code smells,0.0
Experimentation,PyQLab,0,code errors,0.0
Experimentation,PyQLab,0,code smells,0.0
Experimentation,PyQLab,90,code errors,2.822098175173346
Experimentation,PyQLab,90,code smells,18.631254849933665
Experimentation,PyQLab,180,code errors,0.007224563515954244
Experimentation,PyQLab,180,code smells,0.9875978326309452
Experimentation,PyQLab,270,code errors,0.035985030227425385
Experimentation,PyQLab,270,code smells,1.16231647634584
Experimentation,PyQLab,360,code errors,0.35178883472822586
Experimentation,PyQLab,360,code smells,1.8513749655108986
Experimentation,PyQLab,450,code errors,0.020478281644633552
Experimentation,PyQLab,450,code smells,0.6969441853056952
Experimentation,PyQLab,540,code errors,0.0
Experimentation,PyQLab,540,code smells,0.0
Experimentation,PyQLab,630,code errors,0.0
Experimentation,PyQLab,630,code smells,0.0
Experimentation,PyQLab,720,code errors,0.0
Experimentation,PyQLab,720,code smells,0.0
Experimentation,PyQLab,810,code errors,0.0
Experimentation,PyQLab,810,code smells,0.0
Experimentation,PyQLab,900,code errors,0.21318465070514922
Experimentation,PyQLab,900,code smells,1.9363725811741552
Experimentation,PyQLab,990,code errors,0.21279381915799123
Experimentation,PyQLab,990,code smells,1.961631637530282
Experimentation,PyQLab,1080,code errors,0.2636032283259568
Experimentation,PyQLab,1080,code smells,2.1934392085394427
Experimentation,PyQLab,1170,code errors,0.27347017566437165
Experimentation,PyQLab,1170,code smells,2.297149475580722
Experimentation,PyQLab,1260,code errors,0.5750422976932282
Experimentation,PyQLab,1260,code smells,2.345355506953328
Experimentation,PyQLab,1350,code errors,0.6036254521538967
Experimentation,PyQLab,1350,code smells,2.414501808615587
Experimentation,PyQLab,1440,code errors,0.046191747074522685
Experimentation,PyQLab,1440,code smells,0.5666187641141449
Experimentation,PyQLab,1530,code errors,0.04610183382850118
Experimentation,PyQLab,1530,code smells,0.572277430591128
Experimentation,PyQLab,1620,code errors,0.05834186284544524
Experimentation,PyQLab,1620,code smells,0.493756397134084
Experimentation,PyQLab,1710,code errors,0.06187511049126873
Experimentation,PyQLab,1710,code smells,0.4737865603331435
Experimentation,Qlab,0,code errors,0.0
Experimentation,Qlab,0,code smells,0.0
Experimentation,Qlab,90,code errors,23.751006171183256
Experimentation,Qlab,90,code smells,12.08478669170915
Experimentation,Qlab,180,code errors,8.884325804243668
Experimentation,Qlab,180,code smells,3.7594113620807663
Experimentation,Qlab,270,code errors,6.316814542306861
Experimentation,Qlab,270,code smells,1.5353819519584504
Experimentation,Qlab,360,code errors,6.316814542306861
Experimentation,Qlab,360,code smells,1.5353819519584504
Experimentation,Qlab,450,code errors,6.048674624089289
Experimentation,Qlab,450,code smells,1.6943109595411565
Experimentation,Qlab,540,code errors,0.0
Experimentation,Qlab,540,code smells,0.7967862443068421
Experimentation,Qlab,630,code errors,0.0
Experimentation,Qlab,630,code smells,0.8218542021358922
Experimentation,Qlab,720,code errors,0.09282178217821782
Experimentation,Qlab,720,code smells,0.8338490099009901
Experimentation,Qlab,810,code errors,0.10797470306956655
Experimentation,Qlab,810,code smells,0.7851303408915625
Experimentation,Qlab,900,code errors,0.10797470306956655
Experimentation,Qlab,900,code smells,0.7851303408915625
Experimentation,Qlab,990,code errors,0.7677739673440139
Experimentation,Qlab,990,code smells,0.7815938987562062
Experimentation,Qlab,1080,code errors,0.10748835542816194
Experimentation,Qlab,1080,code smells,0.7815938987562062
Experimentation,Qlab,1170,code errors,0.7649158592554819
Experimentation,Qlab,1170,code smells,0.8108108108108109
Experimentation,Qlab,1260,code errors,0.7649158592554819
Experimentation,Qlab,1260,code smells,0.8108108108108109
Experimentation,Qlab,1350,code errors,0.7649158592554819
Experimentation,Qlab,1350,code smells,0.8108108108108109
Experimentation,Qlab,1440,code errors,0.7649158592554819
Experimentation,Qlab,1440,code smells,0.8108108108108109
Experimentation,Qlab,1530,code errors,1.062753036437247
Experimentation,Qlab,1530,code smells,0.37803643724696356
Experimentation,Qlab,1620,code errors,1.1955205811138014
Experimentation,Qlab,1620,code smells,0.3768159806295399
Experimentation,Qlab,1710,code errors,1.202782339870544
Experimentation,Qlab,1710,code smells,0.36808037870737126
Experimentation,Qlab,1800,code errors,1.2026080656846172
Experimentation,Qlab,1800,code smells,0.36802704660709973
Experimentation,Qlab,1890,code errors,0.0
Experimentation,Qlab,1890,code smells,0.36804482225656876
Experimentation,Qlab,1980,code errors,0.0
Experimentation,Qlab,1980,code smells,0.3822578309763985
Experimentation,Qlab,2070,code errors,0.0
Experimentation,Qlab,2070,code smells,0.5152754390185229
Experimentation,Qlab,2160,code errors,0.0
Experimentation,Qlab,2160,code smells,0.5152754390185229
Experimentation,Qlab,2250,code errors,0.0
Experimentation,Qlab,2250,code smells,0.5152754390185229
Experimentation,Qlab,2340,code errors,0.6783085582335113
Experimentation,Qlab,2340,code smells,0.3593592148939241
Experimentation,artiq,0,code errors,0.0
Experimentation,artiq,0,code smells,9.642857142857144
Experimentation,artiq,90,code errors,1.0331191494552279
Experimentation,artiq,90,code smells,8.869455385353914
Experimentation,artiq,180,code errors,0.0
Experimentation,artiq,180,code smells,0.0
Experimentation,artiq,270,code errors,0.0
Experimentation,artiq,270,code smells,0.0
Experimentation,artiq,360,code errors,0.0
Experimentation,artiq,360,code smells,0.0
Experimentation,artiq,450,code errors,0.0
Experimentation,artiq,450,code smells,0.0
Experimentation,artiq,540,code errors,0.0
Experimentation,artiq,540,code smells,0.0
Experimentation,artiq,630,code errors,0.0
Experimentation,artiq,630,code smells,0.0
Experimentation,artiq,720,code errors,0.0
Experimentation,artiq,720,code smells,0.0
Experimentation,artiq,810,code errors,0.0
Experimentation,artiq,810,code smells,0.0
Experimentation,artiq,900,code errors,0.12424095601523572
Experimentation,artiq,900,code smells,0.5627446889024852
Experimentation,artiq,990,code errors,0.12499825079413945
Experimentation,artiq,990,code smells,0.5979135472495487
Experimentation,artiq,1080,code errors,0.1273920648390281
Experimentation,artiq,1080,code smells,0.6153473148260395
Experimentation,artiq,1170,code errors,0.13004842922502943
Experimentation,artiq,1170,code smells,1.1777465823245343
Experimentation,artiq,1260,code errors,0.12964483678916033
Experimentation,artiq,1260,code smells,1.269246561281051
Experimentation,artiq,1350,code errors,0.12649155040481333
Experimentation,artiq,1350,code smells,1.2779381776333056
Experimentation,artiq,1440,code errors,0.12980812270597714
Experimentation,artiq,1440,code smells,1.316383675012185
Experimentation,artiq,1530,code errors,0.000994434481684174
Experimentation,artiq,1530,code smells,0.7932603860394658
Experimentation,artiq,1620,code errors,0.0
Experimentation,artiq,1620,code smells,0.0
Experimentation,artiq,1710,code errors,0.0
Experimentation,artiq,1710,code smells,0.0
Experimentation,artiq,1800,code errors,0.0
Experimentation,artiq,1800,code smells,0.0
Experimentation,artiq,1890,code errors,0.0
Experimentation,artiq,1890,code smells,0.0
Experimentation,artiq,1980,code errors,0.0
Experimentation,artiq,1980,code smells,0.0
Experimentation,artiq,2070,code errors,0.0
Experimentation,artiq,2070,code smells,0.0
Experimentation,artiq,2160,code errors,0.0
Experimentation,artiq,2160,code smells,0.0
Experimentation,artiq,2250,code errors,0.0
Experimentation,artiq,2250,code smells,0.0
Experimentation,pyrpl,0,code errors,0.0
Experimentation,pyrpl,0,code smells,0.0
Experimentation,pyrpl,90,code errors,0.7096044132208025
Experimentation,pyrpl,90,code smells,3.639021170257909
Experimentation,pyrpl,180,code errors,0.1454028788442131
Experimentation,pyrpl,180,code smells,1.3958676369044458
Experimentation,pyrpl,270,code errors,7.212673693539708
Experimentation,pyrpl,270,code smells,1.4297470958756686
Experimentation,pyrpl,360,code errors,1.434461259992961
Experimentation,pyrpl,360,code smells,0.6136055105837398
Experimentation,pyrpl,450,code errors,0.11762635299639201
Experimentation,pyrpl,450,code smells,0.6761315303159191
Experimentation,pyrpl,540,code errors,0.15912250888305268
Experimentation,pyrpl,540,code smells,0.5811318811473299
Experimentation,pyrpl,630,code errors,0.1591088531118053
Experimentation,pyrpl,630,code smells,0.5666643781538567
Experimentation,pyrpl,720,code errors,0.15909656492152438
Experimentation,pyrpl,720,code smells,0.5666206139033578
Experimentation,pyrpl,810,code errors,0.15909656492152438
Experimentation,pyrpl,810,code smells,0.5666206139033578
Experimentation,pyrpl,900,code errors,0.15909656492152438
Experimentation,pyrpl,900,code smells,0.5666206139033578
Experimentation,pyrpl,990,code errors,0.15909519968421232
Experimentation,pyrpl,990,code smells,0.5666157516261349
Experimentation,qupulse,0,code errors,0.0
Experimentation,qupulse,0,code smells,0.0
Experimentation,qupulse,90,code errors,0.792295833529685
Experimentation,qupulse,90,code smells,3.5185771123513057
Experimentation,qupulse,180,code errors,0.1427009101813307
Experimentation,qupulse,180,code smells,0.5143582868835108
Experimentation,qupulse,270,code errors,0.07397891887552044
Experimentation,qupulse,270,code smells,0.1856354731783408
Experimentation,qupulse,360,code errors,0.07397891887552044
Experimentation,qupulse,360,code smells,0.1856354731783408
Experimentation,qupulse,450,code errors,0.07617906359667893
Experimentation,qupulse,450,code smells,0.18043310793460585
Experimentation,qupulse,540,code errors,0.09457433031149887
Experimentation,qupulse,540,code smells,0.1705746029582169
Experimentation,qupulse,630,code errors,0.04643231013406274
Experimentation,qupulse,630,code smells,0.24921487184682403
