Category,Project,Snapshots,TDR_Bugs,TDR_Smells,Overral_debts,KLOC
Full-stack Library,qiskit-terra,0,0.0,19.545454545454543,19.545454545454543,0.132
Full-stack Library,qiskit-terra,90,0.41586174061041215,6.755577932347903,7.166262899141971,182.729
Full-stack Library,qiskit-terra,180,0.03280612380977782,0.3223001626970368,0.1797605353121304,187.465
Full-stack Library,qiskit-terra,270,0.02609341971397395,0.36768000506054205,0.1333859496561785,189.703
Full-stack Library,qiskit-terra,360,0.0015602895897478572,0.4655904135807606,0.11939370012800728,192.272
Full-stack Library,qiskit-terra,450,0.0015161929406056684,0.5203574172158655,0.1086758615608868,197.864
Full-stack Library,qiskit-terra,540,0.017884022116574017,0.44739861994962665,0.08134007027587536,201.297
Full-stack Library,qiskit-terra,630,0.008431663038352157,0.5736389056939926,0.08975418415804493,209.923
Full-stack Library,qiskit-terra,720,0.031933060899586724,0.5814593871629096,0.08402104139434104,216.077
Full-stack Library,qiskit-terra,810,0.011157190982567969,0.6467278726523411,0.0841099948416075,231.241
Full-stack Library,qiskit-terra,900,0.054894087449330976,0.7070155152038832,0.08796974169525146,236.091
Full-stack Library,qiskit-terra,990,0.054031067864021814,0.7660654876554018,0.08610048952665084,239.862
Full-stack Library,qiskit-terra,1080,0.0877921365977927,0.853615278572753,0.09221231376902977,248.086
Full-stack Library,qiskit-terra,1170,0.05754081516154812,1.156524717433497,0.11411863014717877,262.77
Full-stack Library,qiskit-terra,1260,0.045710411319194275,1.1717064847687844,0.10665675350798204,268.429
Full-stack Library,QuantumLibraries,0,0.0,0.0,0.0,0.001
Full-stack Library,QuantumLibraries,90,0.05067567567567568,5.878378378378378,5.919055649241147,0.592
Full-stack Library,QuantumLibraries,180,0.046583850931677016,4.0062111801242235,2.1099434114793856,0.644
Full-stack Library,QuantumLibraries,270,0.046583850931677016,3.7267080745341614,1.291866028708134,0.644
Full-stack Library,QuantumLibraries,360,0.0,3.7267080745341614,0.9504950495049505,0.644
Full-stack Library,QuantumLibraries,450,0.0,1.8918918918918917,0.536322360953462,0.999
Full-stack Library,QuantumLibraries,540,0.0,2.6929982046678633,0.646830530401035,1.114
Full-stack Library,QuantumLibraries,630,0.0,0.2154398563734291,0.041724617524339355,1.114
Full-stack Library,QuantumLibraries,720,0.0,0.2154398563734291,0.03495484998543548,1.114
Full-stack Library,QuantumLibraries,810,0.0,0.2154398563734291,0.03007518796992481,1.114
Full-stack Library,QuantumLibraries,900,0.0,0.9342560553633218,0.11821366024518389,1.156
Full-stack Library,Quantum,0,0.0,0.0,0.0,0.001
Full-stack Library,Quantum,90,0.02626970227670753,3.520140105078809,3.543307086614173,1.142
Full-stack Library,Quantum,180,0.02512562814070352,2.1608040201005028,1.116816431322208,1.194
Full-stack Library,Quantum,270,0.02512562814070352,2.0100502512562812,0.6881903143585387,1.194
Full-stack Library,Quantum,360,0.019218449711723252,0.0,0.0058915946582875104,1.561
Full-stack Library,Quantum,450,0.019218449711723252,0.0,0.004509243950097701,1.561
Full-stack Library,Quantum,540,0.017793594306049824,0.7829181494661921,0.1618899148578966,1.686
Full-stack Library,Quantum,630,0.013636363636363636,0.6,0.12809564474807855,2.2
Full-stack Library,Quantum,720,0.012674271229404309,1.6983523447401774,0.3138075313807531,2.367
Full-stack Library,Quantum,810,0.012674271229404309,1.6983523447401774,0.26517383618149676,2.367
Full-stack Library,Quantum,900,0.012674271229404309,0.6844106463878328,0.0935374149659864,2.367
