Category,Project Names,Snapshots,Type,TDR
Fun/ Game,quantum-game-2,0,code errors,0.0
Fun/ Game,quantum-game-2,0,code smells,0.0
Fun/ Game,quantum-game-2,90,code errors,nan
Fun/ Game,quantum-game-2,90,code smells,nan
Fun/ Game,quantum-game-2,180,code errors,nan
Fun/ Game,quantum-game-2,180,code smells,nan
Fun/ Game,quantum-game-2,270,code errors,nan
Fun/ Game,quantum-game-2,270,code smells,nan
Fun/ Game,A_Game_to_Benchmark_Quantum_Computers,0,code errors,0.0
Fun/ Game,A_Game_to_Benchmark_Quantum_Computers,0,code smells,0.0
Fun/ Game,A_Game_to_Benchmark_Quantum_Computers,90,code errors,0.0
Fun/ Game,A_Game_to_Benchmark_Quantum_Computers,90,code smells,33.054545454545455
Fun/ Game,A_Game_to_Benchmark_Quantum_Computers,180,code errors,0.0
Fun/ Game,A_Game_to_Benchmark_Quantum_Computers,180,code smells,20.455331412103746
Fun/ Game,A_Game_to_Benchmark_Quantum_Computers,270,code errors,0.0
Fun/ Game,A_Game_to_Benchmark_Quantum_Computers,270,code smells,17.84881534411433
Fun/ Game,QPong,0,code errors,0.0
Fun/ Game,QPong,0,code smells,4.5703125
Fun/ Game,QPong,90,code errors,1.2162162162162162
Fun/ Game,QPong,90,code smells,6.912162162162162
Fun/ Game,QPong,180,code errors,0.12931034482758622
Fun/ Game,QPong,180,code smells,4.0215517241379315
Fun/ Game,QPong,270,code errors,0.12931034482758622
Fun/ Game,QPong,270,code smells,4.0215517241379315
Fun/ Game,QPong,360,code errors,24.868636641532504
Fun/ Game,QPong,360,code smells,5.8777256979824735
Fun/ Game,quantum-toy-piano-ibmq,0,code errors,0.2424340770791075
Fun/ Game,quantum-toy-piano-ibmq,0,code smells,3.5206490872210954
Fun/ Game,quantum-toy-piano-ibmq,90,code errors,0.2281277129352754
Fun/ Game,quantum-toy-piano-ibmq,90,code smells,3.550207388829941
Fun/ Game,quantum-toy-piano-ibmq,180,code errors,0.11395759717314488
Fun/ Game,quantum-toy-piano-ibmq,180,code smells,1.7785094763893352
Fun/ Game,quantum-toy-piano-ibmq,270,code errors,0.11384788189987163
Fun/ Game,quantum-toy-piano-ibmq,270,code smells,1.7806482670089858
