Category,Project Names,Snapshots,Type,TDR
Simulator,nuSQuIDS,0,code errors,0.0
Simulator,nuSQuIDS,0,code smells,0.0
Simulator,nuSQuIDS,90,code errors,0.390625
Simulator,nuSQuIDS,90,code smells,16.647727272727273
Simulator,nuSQuIDS,180,code errors,0.05890437855880621
Simulator,nuSQuIDS,180,code smells,2.7390536029844883
Simulator,nuSQuIDS,270,code errors,0.029452189279403105
Simulator,nuSQuIDS,270,code smells,1.254663263302572
Simulator,nuSQuIDS,360,code errors,0.029423303256178892
Simulator,nuSQuIDS,360,code smells,1.1651628089446842
Simulator,nuSQuIDS,450,code errors,0.029423303256178892
Simulator,nuSQuIDS,450,code smells,1.1651628089446842
Simulator,nuSQuIDS,540,code errors,0.029423303256178892
Simulator,nuSQuIDS,540,code smells,1.1651628089446842
Simulator,nuSQuIDS,630,code errors,0.029423303256178892
Simulator,nuSQuIDS,630,code smells,1.1651628089446842
Simulator,nuSQuIDS,720,code errors,0.029423303256178892
Simulator,nuSQuIDS,720,code smells,1.1651628089446842
Simulator,nuSQuIDS,810,code errors,0.029423303256178892
Simulator,nuSQuIDS,810,code smells,1.1651628089446842
Simulator,nuSQuIDS,900,code errors,0.029423303256178892
Simulator,nuSQuIDS,900,code smells,1.1063162024323265
Simulator,nuSQuIDS,990,code errors,0.029354207436399216
Simulator,nuSQuIDS,990,code smells,1.2504892367906066
Simulator,nuSQuIDS,1080,code errors,0.029354207436399216
Simulator,nuSQuIDS,1080,code smells,1.2504892367906066
Simulator,nuSQuIDS,1170,code errors,0.029354207436399216
Simulator,nuSQuIDS,1170,code smells,1.2504892367906066
Simulator,nuSQuIDS,1260,code errors,0.029354207436399216
Simulator,nuSQuIDS,1260,code smells,1.1037181996086105
Simulator,nuSQuIDS,1350,code errors,0.029354207436399216
Simulator,nuSQuIDS,1350,code smells,1.1037181996086105
Simulator,nuSQuIDS,1440,code errors,0.027502750275027504
Simulator,nuSQuIDS,1440,code smells,1.386138613861386
Simulator,nuSQuIDS,1530,code errors,0.027502750275027504
Simulator,nuSQuIDS,1530,code smells,1.386138613861386
Simulator,nuSQuIDS,1620,code errors,0.024740227610094014
Simulator,nuSQuIDS,1620,code smells,1.2469074715487383
Simulator,nuSQuIDS,1710,code errors,0.024740227610094014
Simulator,nuSQuIDS,1710,code smells,1.2469074715487383
Simulator,nuSQuIDS,1800,code errors,0.024740227610094014
Simulator,nuSQuIDS,1800,code smells,1.2469074715487383
Simulator,qpp,0,code errors,0.0
Simulator,qpp,0,code smells,0.0
Simulator,qpp,90,code errors,6.3879386179259114
Simulator,qpp,90,code smells,26.256231062457235
Simulator,qpp,180,code errors,0.0
Simulator,qpp,180,code smells,0.0
Simulator,qpp,270,code errors,0.0
Simulator,qpp,270,code smells,0.0
Simulator,qpp,360,code errors,0.0
Simulator,qpp,360,code smells,0.0
Simulator,qpp,450,code errors,0.0
Simulator,qpp,450,code smells,0.0
Simulator,qpp,540,code errors,0.0
Simulator,qpp,540,code smells,0.0
Simulator,qpp,630,code errors,0.0
Simulator,qpp,630,code smells,0.0
Simulator,qpp,720,code errors,0.0
Simulator,qpp,720,code smells,0.0
Simulator,qpp,810,code errors,0.0
Simulator,qpp,810,code smells,0.0
Simulator,qpp,900,code errors,3.1940083326206214
Simulator,qpp,900,code smells,13.128275929478173
Simulator,qpp,990,code errors,0.0
Simulator,qpp,990,code smells,0.0
Simulator,qpp,1080,code errors,0.0
Simulator,qpp,1080,code smells,0.0
Simulator,qpp,1170,code errors,0.0
Simulator,qpp,1170,code smells,0.0
Simulator,qpp,1260,code errors,0.0
Simulator,qpp,1260,code smells,0.0
Simulator,qpp,1350,code errors,0.0
Simulator,qpp,1350,code smells,0.0
Simulator,qpp,1440,code errors,0.0
Simulator,qpp,1440,code smells,0.0
Simulator,qpp,1530,code errors,0.0
Simulator,qpp,1530,code smells,0.0
Simulator,qpp,1620,code errors,0.0
Simulator,qpp,1620,code smells,0.0
Simulator,qpp,1710,code errors,0.0
Simulator,qpp,1710,code smells,0.0
Simulator,qpp,1800,code errors,0.0
Simulator,qpp,1800,code smells,0.0
