Category,Project,Snapshots,TDR_Bugs,TDR_Smells,Overral_debts,KLOC
Quantum-Chemistry,P1,0,0,0,0,0.001
Quantum-Chemistry,P1,90,0.137867647,5.163143382,5.300402068,8.704
Quantum-Chemistry,P1,180,0.120712202,4.931093451,2.693339054,9.941
Quantum-Chemistry,P1,270,0.098352594,5.554462749,2.235873829,12.201
Quantum-Chemistry,P1,360,0.022558087,5.384615385,1.628913152,13.299
Quantum-Chemistry,P1,450,0.019712202,4.914251922,1.264886718,15.219
Quantum-Chemistry,P1,540,0.005401901,5.671996543,2.744101444,55.536
Quantum-Chemistry,P1,630,0.005381166,5.66367713,1.852025479,55.75
Quantum-Chemistry,P2,0,0,0,0,0.001
Quantum-Chemistry,P2,90,0.613117871,3.550380228,4.16152019,2.104
Quantum-Chemistry,P2,180,0.649069667,3.517957594,2.180706522,2.311
Quantum-Chemistry,P2,270,0.22539444,3.617580766,1.445323538,2.662
Quantum-Chemistry,P2,360,0.248550124,4.821872411,2.056106165,4.828
Quantum-Chemistry,P2,450,0.166276635,5.727306319,2.389513109,8.119
Quantum-Chemistry,P2,540,0.108785744,6.437007874,2.128921387,9.652
Quantum-Chemistry,P2,630,0.13193667,5.845993923,1.772277932,12.506
Quantum-Chemistry,P2,720,0.132239251,5.753424658,1.524530556,14.746
Quantum-Chemistry,P2,810,0.061561914,5.792096623,1.349462729,17.056
Quantum-Chemistry,P3,0,2.830188679,13.86792453,16.69811321,0.212
Quantum-Chemistry,P3,90,0.232427102,4.952810255,5.03487895,7.099
Quantum-Chemistry,P3,180,0.062146112,0.803756387,0.430868609,7.241
Quantum-Chemistry,P3,270,0.014296607,1.40106748,0.592956397,10.492
Quantum-Chemistry,P3,360,0.026443367,1.888056413,0.596883674,11.345
Quantum-Chemistry,P3,450,0.071411569,2.139966675,0.568868387,12.603
Quantum-Chemistry,P3,540,0.046111282,2.566092837,0.548190439,13.012
Quantum-Chemistry,P3,630,0.045221586,2.625113054,0.470692954,13.268
Quantum-Chemistry,P3,720,0.044179368,2.577866137,0.400774313,13.581
Quantum-Chemistry,P3,810,0.096332927,2.019138141,0.315444725,15.571
Quantum-Chemistry,P3,900,0.09632674,2.019008477,0.27450915,15.572
Quantum-Chemistry,P4,0,0,0,0,0.001
Quantum-Chemistry,P4,90,0,16.02468048,16.02115003,4.538
Quantum-Chemistry,P4,180,0,0,0,4.538
Quantum-Chemistry,P4,270,0,0,0,4.538
Quantum-Chemistry,P4,360,0,0,0,4.538
Quantum-Chemistry,P4,450,0,1.272420342,0.263410799,4.739
Quantum-Chemistry,P4,540,0,3.578133628,0.686319506,5.433
Quantum-Chemistry,P4,630,0,3.488628026,0.563105071,5.452
Quantum-Chemistry,P4,720,0,2.125799906,0.338940872,6.407
Quantum-Chemistry,P4,810,0,2.155581948,0.309462916,6.736
Quantum-Chemistry,P4,900,0,2.14000296,0.269389124,6.757
Quantum-Chemistry,P4,990,0,2.14000296,0.239269286,6.757
Quantum-Chemistry,P4,1080,0,1.296433328,0.130374604,6.757
Quantum-Chemistry,P4,1170,0,1.296433328,0.118461622,6.757
Quantum-Chemistry,P4,1260,0,1.296433328,0.108543461,6.757
Quantum-Chemistry,P4,1350,0,1.296433328,0.100157783,6.757
Quantum-Chemistry,P4,1440,0,1.296433328,0.092974878,6.757
Quantum-Chemistry,P5,0,0,0,0,0.001
Quantum-Chemistry,P5,90,0.176880363,26.50600707,26.68234867,49.525
Quantum-Chemistry,P5,180,0,0,0,49.525
Quantum-Chemistry,P5,270,0,0,0,49.525
Quantum-Chemistry,P5,360,0,0,0,49.525
Quantum-Chemistry,P5,450,0,0,0,49.525
Quantum-Chemistry,P5,540,0,0,0,49.525
Quantum-Chemistry,P5,630,0,0,0,49.525
Quantum-Chemistry,P5,720,0,0,0,49.525
Quantum-Chemistry,P5,810,0,0,0,49.525
Quantum-Chemistry,P5,900,0.048021858,9.60023183,1.349265621,72.467
Quantum-Chemistry,P5,990,0.034341848,6.149187376,0.782967033,75.127
Quantum-Chemistry,P5,1080,0,0,0,75.127
Quantum-Chemistry,P5,1170,0,0,0,75.127
Quantum-Chemistry,P5,1260,0,0,0,75.127
Quantum-Chemistry,P5,1350,0,0,0,75.127
Quantum-Chemistry,P5,1440,0,0,0,75.127
Quantum-Chemistry,P5,1530,0,0,0,75.127
Quantum-Chemistry,P5,1620,0,0,0,75.127
Quantum-Chemistry,P5,1710,0,0,0,75.127
Quantum-Chemistry,P5,1800,0,0,0,75.127
Quantum-Chemistry,P6,0,0,0,0,0.001
Quantum-Chemistry,P6,90,0.394691268,10.16746477,10.56209797,181.889
Quantum-Chemistry,P6,180,0,0,0,181.889
Quantum-Chemistry,P6,270,0,0,0,181.889
Quantum-Chemistry,P6,360,0,0,0,181.889
Quantum-Chemistry,P6,450,0,0,0,181.889
Quantum-Chemistry,P6,540,0,0,0,181.889
Quantum-Chemistry,P6,630,0,0,0,181.889
Quantum-Chemistry,P6,720,0,0,0,181.889
Quantum-Chemistry,P6,810,0,0,0,181.889
Quantum-Chemistry,P6,900,0.1076891,2.744109602,0.370712082,244.593
Quantum-Chemistry,P6,990,0.113016337,2.994391309,0.363488578,249.256
Quantum-Chemistry,P6,1080,0.051322019,1.491962668,0.165878802,256.615
Quantum-Chemistry,P6,1170,0,0,0,256.615
Quantum-Chemistry,P6,1260,0,0,0,256.615
Quantum-Chemistry,P6,1350,0,0,0,256.615
Quantum-Chemistry,P6,1440,0,0,0,256.615
Quantum-Chemistry,P6,1530,0,0,0,256.615
Quantum-Chemistry,P6,1620,0,0,0,256.615
Quantum-Chemistry,P6,1710,0,0,0,256.615
Quantum-Chemistry,P6,1800,0,0,0,256.615
Quantum-Chemistry,P6,1890,0,0,0,256.615
Quantum-Chemistry,P6,1980,0,0,0,256.615
Quantum-Chemistry,P6,2070,0,0,0,256.615
