Category,project,snapshot_id,FileId,total_debt,total_effort,bug_inducing,bug_fixing,inducing_loc,fixing_loc,total_loc,sonar_loc,is_inducing,is_debt,ERROR,CODE_SMELL,is_erroneous,is_smelly,MAJOR,CRITICAL,MINOR,BLOCKER,wcag2_a,pitfall,based_on_misra,es2015,clumsy,html5,user_experience,bad_practice,unused,cwe,python3,suspicious,finding,psr2,duplicate,obsolete,error_handling,lock_in,accessibility,brain_overload,convention,unpredictable,design,api_design,redundant,confusing
Quantum Algorithsm,mabuchilab/QNET,21,1,243,1728,6,5,402,28,670,31260,1,1,0,243,0,1,9,10,0,0,0,0,0,0,0,0,0,0,0,0,224,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0
Quantum Algorithsm,mabuchilab/QNET,21,2,0,0,1,0,92,0,184,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Quantum Algorithsm,mabuchilab/QNET,21,3,0,0,2,0,149,0,292,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Quantum Algorithsm,mabuchilab/QNET,21,4,0,0,1,0,87,0,169,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Quantum Algorithsm,mabuchilab/QNET,21,5,0,0,1,0,130,0,255,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Quantum Algorithsm,mabuchilab/QNET,21,6,0,0,2,0,36,0,68,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Quantum Algorithsm,mabuchilab/QNET,21,7,0,0,1,0,25,0,49,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Quantum Algorithsm,mabuchilab/QNET,21,8,0,0,1,0,4,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Quantum Algorithsm,mabuchilab/QNET,21,9,35,227,3,4,1256,15,2606,20055,1,1,1,34,1,1,1,0,0,0,0,0,0,0,0,0,0,0,22,2,3,0,0,0,0,0,0,0,0,3,3,0,1,0,0,0
Quantum Algorithsm,mabuchilab/QNET,21,10,118,1133,3,3,1535,28,3148,103250,1,1,1,117,1,1,1,0,0,0,0,0,0,0,6,0,0,0,48,37,3,0,0,0,0,0,0,0,0,4,20,0,0,0,0,0
Quantum Algorithsm,mabuchilab/QNET,21,11,14,92,1,0,262,0,530,2604,1,1,1,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0,6,3,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Quantum Algorithsm,mabuchilab/QNET,21,12,69,671,3,2,1235,13,2426,45333,1,1,0,69,0,1,0,1,0,0,0,0,0,0,2,0,0,0,43,15,2,0,0,0,0,0,1,0,0,2,3,0,0,0,0,0
Quantum Algorithsm,mabuchilab/QNET,21,13,43,315,2,0,1101,0,2174,17974,1,1,0,43,0,1,1,0,0,0,0,0,0,0,1,0,0,0,27,6,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0
Quantum Algorithsm,mabuchilab/QNET,21,14,0,0,1,0,8,0,20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Quantum Algorithsm,mabuchilab/QNET,21,15,5,30,1,0,259,0,518,835,1,1,1,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Quantum Algorithsm,mabuchilab/QNET,21,16,1,5,1,0,131,0,494,11,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Quantum Algorithsm,mabuchilab/QNET,21,17,0,0,1,0,9,0,18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Quantum Algorithsm,mabuchilab/QNET,21,18,5,25,4,2,63,4,132,150,1,1,0,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Quantum Algorithsm,mabuchilab/QNET,21,19,1,10,6,2,173,88,450,82,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Quantum Algorithsm,mabuchilab/QNET,21,20,6,35,2,1,52,2,116,174,1,1,1,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Quantum Algorithsm,mabuchilab/QNET,21,21,5,25,2,1,84,2,186,250,1,1,0,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Quantum Algorithsm,mabuchilab/QNET,21,22,2,10,3,0,195,0,382,136,1,1,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Quantum Algorithsm,mabuchilab/QNET,21,23,5,25,1,1,75,2,152,245,1,1,0,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Quantum Algorithsm,mabuchilab/QNET,21,24,2,10,1,1,57,2,116,80,1,1,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Quantum Algorithsm,mabuchilab/QNET,21,25,5,25,2,1,44,2,100,150,1,1,0,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Quantum Algorithsm,mabuchilab/QNET,21,26,3,12,1,1,63,2,186,138,1,1,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Quantum Algorithsm,mabuchilab/QNET,21,27,9,33,1,1,89,2,180,441,1,1,0,9,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
Quantum Algorithsm,mabuchilab/QNET,21,28,5,25,1,1,102,2,212,305,1,1,0,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Quantum Algorithsm,mabuchilab/QNET,21,30,6,45,1,1,90,2,182,324,1,1,0,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Quantum Algorithsm,mabuchilab/QNET,21,31,9,137,1,1,334,6,682,1638,1,1,0,9,0,1,0,0,1,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
Quantum Algorithsm,mabuchilab/QNET,21,32,4,35,1,0,231,0,462,408,1,1,0,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Quantum Algorithsm,mabuchilab/QNET,21,33,0,0,1,0,7,0,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Quantum Algorithsm,mabuchilab/QNET,21,34,33,404,3,1,2553,378,4650,18381,1,1,1,32,1,1,1,0,0,0,0,0,0,0,0,0,0,0,22,3,0,1,0,0,0,0,0,0,0,3,2,0,0,0,1,0
Quantum Algorithsm,mabuchilab/QNET,21,35,12,142,1,0,536,0,1148,3300,1,1,0,12,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,5,2,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0
Quantum Algorithsm,mabuchilab/QNET,21,36,1,50,1,0,54,0,166,45,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Quantum Algorithsm,mabuchilab/QNET,21,37,1,132,1,0,95,0,342,86,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Quantum Algorithsm,mabuchilab/QNET,21,38,2,10,3,1,260,23,480,176,1,1,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Quantum Algorithsm,mabuchilab/QNET,21,40,0,0,1,0,998,0,1996,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Quantum Algorithsm,mabuchilab/QNET,21,41,0,0,1,0,8,0,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Quantum Algorithsm,mabuchilab/QNET,21,42,0,0,1,0,16,0,32,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Quantum Algorithsm,mabuchilab/QNET,21,43,0,0,1,1,1106,5,2278,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Quantum Algorithsm,mabuchilab/QNET,21,44,0,0,1,0,58,0,116,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Quantum Algorithsm,mabuchilab/QNET,21,45,0,0,1,0,38,0,76,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
