Category,project,snapshot_id,FileId,total_debt,total_effort,bug_inducing,bug_fixing,inducing_loc,fixing_loc,total_loc,sonar_loc,is_inducing,is_debt,ERROR,CODE_SMELL,is_erroneous,is_smelly,MAJOR,CRITICAL,MINOR,BLOCKER,wcag2_a,pitfall,based_on_misra,es2015,clumsy,html5,user_experience,bad_practice,unused,cwe,python3,suspicious,finding,psr2,duplicate,obsolete,error_handling,lock_in,accessibility,brain_overload,convention,unpredictable,design,api_design,redundant,confusing
Quantum Annealing,shinmorino/sqaod,4,1024,0,0,15,2,273,5,570,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Quantum Annealing,shinmorino/sqaod,4,1,0,0,0,0,0,0,458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Quantum Annealing,shinmorino/sqaod,4,4,0,0,4,0,310,0,380,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Quantum Annealing,shinmorino/sqaod,4,5,32,109,13,3,204,12,899,1447,1,1,0,32,0,1,0,0,4,0,0,0,0,0,0,0,0,0,8,0,7,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0
Quantum Annealing,shinmorino/sqaod,4,6,0,0,3,0,30,0,84,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Quantum Annealing,shinmorino/sqaod,4,516,0,0,2,0,146,0,146,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Quantum Annealing,shinmorino/sqaod,4,520,0,0,18,4,912,1219,3571,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Quantum Annealing,shinmorino/sqaod,4,521,0,0,14,3,150,194,473,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Quantum Annealing,shinmorino/sqaod,4,1547,3,15,3,0,25,0,151,123,1,1,0,3,0,1,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Quantum Annealing,shinmorino/sqaod,4,1548,3,15,1,0,8,0,81,72,1,1,0,3,0,1,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Quantum Annealing,shinmorino/sqaod,4,1549,3,15,3,0,25,0,149,111,1,1,0,3,0,1,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Quantum Annealing,shinmorino/sqaod,4,14,0,0,2,2,146,11,848,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Quantum Annealing,shinmorino/sqaod,4,1550,3,15,1,0,8,0,78,63,1,1,0,3,0,1,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Quantum Annealing,shinmorino/sqaod,4,1041,0,0,4,3,199,16,370,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Quantum Annealing,shinmorino/sqaod,4,532,0,0,3,4,56,85,212,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Quantum Annealing,shinmorino/sqaod,4,533,0,0,5,7,77,138,302,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Quantum Annealing,shinmorino/sqaod,4,24,0,0,1,0,25,0,54,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Quantum Annealing,shinmorino/sqaod,4,25,0,0,1,0,193,0,386,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Quantum Annealing,shinmorino/sqaod,4,538,0,0,4,2,28,22,70,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Quantum Annealing,shinmorino/sqaod,4,27,0,0,2,1,183,12,202,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Quantum Annealing,shinmorino/sqaod,4,28,23,82,22,4,599,78,1505,1759,1,1,0,23,0,1,4,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0
Quantum Annealing,shinmorino/sqaod,4,541,0,0,3,0,46,0,317,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Quantum Annealing,shinmorino/sqaod,4,30,0,0,4,1,92,43,92,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Quantum Annealing,shinmorino/sqaod,4,2073,0,0,0,0,0,0,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Quantum Annealing,shinmorino/sqaod,4,1056,0,0,9,4,468,48,708,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Quantum Annealing,shinmorino/sqaod,4,1057,0,0,6,1,185,6,331,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Quantum Annealing,shinmorino/sqaod,4,546,0,0,2,1,15,15,30,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Quantum Annealing,shinmorino/sqaod,4,2079,0,0,0,0,0,0,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Quantum Annealing,shinmorino/sqaod,4,36,0,0,1,0,4,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Quantum Annealing,shinmorino/sqaod,4,37,0,0,2,0,3,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Quantum Annealing,shinmorino/sqaod,4,550,0,0,9,2,343,11,596,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Quantum Annealing,shinmorino/sqaod,4,2080,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Quantum Annealing,shinmorino/sqaod,4,1576,0,0,0,1,0,8,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Quantum Annealing,shinmorino/sqaod,4,2595,0,0,0,0,0,0,246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Quantum Annealing,shinmorino/sqaod,4,1066,0,0,8,0,1248,0,2039,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
