Category,Severity,Frequency,Total,Percentage
Simulator,Critical,9.622361737703884e-06,0.006701953132856475,0.144
Simulator,Critical,1.0149942329873126e-05,0.006701953132856475,0.151
Simulator,Critical,4.855181650761761e-06,0.006701953132856475,0.072
Simulator,Critical,5.351540874700129e-06,0.006701953132856475,0.08
Simulator,Critical,5.351540874700129e-06,0.006701953132856475,0.08
Simulator,Critical,5.351540874700129e-06,0.006701953132856475,0.08
Simulator,Critical,5.351540874700129e-06,0.006701953132856475,0.08
Simulator,Critical,5.351540874700129e-06,0.006701953132856475,0.08
Simulator,Critical,5.351540874700129e-06,0.006701953132856475,0.08
Simulator,Critical,5.3614346459604365e-06,0.006701953132856475,0.08
Simulator,Critical,5.33775078225658e-06,0.006701953132856475,0.08
Simulator,Critical,5.33775078225658e-06,0.006701953132856475,0.08
Simulator,Critical,5.33775078225658e-06,0.006701953132856475,0.08
Simulator,Critical,5.3614346459604365e-06,0.006701953132856475,0.08
Simulator,Critical,5.3614346459604365e-06,0.006701953132856475,0.08
Simulator,Critical,1.4647326507394767e-05,0.006701953132856475,0.219
Simulator,Critical,1.4647326507394767e-05,0.006701953132856475,0.219
Simulator,Critical,1.4647326507394767e-05,0.006701953132856475,0.219
Simulator,Critical,1.4647326507394767e-05,0.006701953132856475,0.219
Simulator,Critical,1.4647326507394767e-05,0.006701953132856475,0.219
Simulator,Critical,7.088971842462062e-11,0.006701953132856475,0.0
Simulator,Critical,7.088971842462062e-11,0.006701953132856475,0.0
Simulator,Critical,1.223981017030607e-05,0.006701953132856475,0.183
Simulator,Critical,4.793593503270923e-06,0.006701953132856475,0.072
Simulator,Critical,0.0,0.006701953132856475,0.0
Simulator,Critical,0.0,0.006701953132856475,0.0
Simulator,Critical,1.0978520286396181e-05,0.006701953132856475,0.164
Simulator,Critical,1.0978520286396181e-05,0.006701953132856475,0.164
Simulator,Critical,1.2916277622159975e-05,0.006701953132856475,0.193
Simulator,Critical,1.2604403948367503e-05,0.006701953132856475,0.188
Simulator,Critical,1.2824474660074166e-05,0.006701953132856475,0.191
Simulator,Critical,1.2824474660074166e-05,0.006701953132856475,0.191
Simulator,Critical,1.2824474660074166e-05,0.006701953132856475,0.191
Simulator,Critical,1.2914267932161196e-05,0.006701953132856475,0.193
Simulator,Critical,1.291025042774926e-05,0.006701953132856475,0.193
Simulator,Critical,1.0986815821014783e-05,0.006701953132856475,0.164
Simulator,Critical,1.369809906568626e-07,0.006701953132856475,0.002
Simulator,Critical,1.5224720235251368e-06,0.006701953132856475,0.023
Simulator,Critical,1.0528983589693896e-07,0.006701953132856475,0.002
Simulator,Critical,1.8898762587227565e-07,0.006701953132856475,0.003
Simulator,Critical,2.8637041259262507e-07,0.006701953132856475,0.004
Simulator,Critical,1.9820868239051362e-07,0.006701953132856475,0.003
Simulator,Critical,1.7821689308549722e-06,0.006701953132856475,0.027
Simulator,Critical,9.204712812960235e-06,0.006701953132856475,0.137
Simulator,Critical,9.204712812960235e-06,0.006701953132856475,0.137
Simulator,Critical,9.204712812960235e-06,0.006701953132856475,0.137
Simulator,Critical,0.0,0.006701953132856475,0.0
Simulator,Critical,0.0,0.006701953132856475,0.0
Simulator,Critical,0.0,0.006701953132856475,0.0
Simulator,Critical,4.715980098563984e-08,0.006701953132856475,0.001
Simulator,Critical,1.4267811579280285e-07,0.006701953132856475,0.002
Simulator,Critical,0.0,0.006701953132856475,0.0
Simulator,Critical,0.0,0.006701953132856475,0.0
Simulator,Critical,2.4372113427815895e-07,0.006701953132856475,0.004
Simulator,Critical,2.113852072631957e-07,0.006701953132856475,0.003
Simulator,Critical,0.0,0.006701953132856475,0.0
Simulator,Critical,0.0,0.006701953132856475,0.0
Simulator,Critical,0.0,0.006701953132856475,0.0
Simulator,Critical,0.0,0.006701953132856475,0.0
Simulator,Critical,0.0,0.006701953132856475,0.0
Simulator,Critical,0.0,0.006701953132856475,0.0
Simulator,Critical,0.0,0.006701953132856475,0.0
Simulator,Critical,0.0,0.006701953132856475,0.0
Simulator,Critical,0.0,0.006701953132856475,0.0
Simulator,Critical,5.399366970768945e-06,0.006701953132856475,0.081
Simulator,Critical,1.3754070398511398e-05,0.006701953132856475,0.205
Simulator,Critical,1.1062129769940763e-05,0.006701953132856475,0.165
Simulator,Critical,1.0076960076960076e-05,0.006701953132856475,0.15
Simulator,Critical,8.704844808045791e-06,0.006701953132856475,0.13
Simulator,Critical,1.1360611785174076e-05,0.006701953132856475,0.17
Simulator,Critical,1.1682205238410703e-05,0.006701953132856475,0.174
Simulator,Critical,1.1878247958426133e-05,0.006701953132856475,0.177
Simulator,Critical,5.839928516721981e-06,0.006701953132856475,0.087
Simulator,Critical,5.526347442739977e-06,0.006701953132856475,0.082
Simulator,Critical,5.091729169526055e-06,0.006701953132856475,0.076
Simulator,Critical,4.918326294615117e-06,0.006701953132856475,0.073
Simulator,Critical,4.647315787048154e-06,0.006701953132856475,0.069
Simulator,Critical,5.431646419553927e-06,0.006701953132856475,0.081
Simulator,Critical,5.481934870454005e-06,0.006701953132856475,0.082
Simulator,Critical,6.497479371917312e-06,0.006701953132856475,0.097
Simulator,Critical,8.724537667604952e-06,0.006701953132856475,0.13
Simulator,Critical,6.553965119404397e-11,0.006701953132856475,0.0
Simulator,Critical,0.0,0.006701953132856475,0.0
Simulator,Critical,0.0,0.006701953132856475,0.0
Simulator,Critical,5.747126436781609e-06,0.006701953132856475,0.086
Simulator,Critical,3.0665440049064703e-06,0.006701953132856475,0.046
Simulator,Critical,2.983293556085919e-06,0.006701953132856475,0.045
Simulator,Critical,4.63768115942029e-06,0.006701953132856475,0.069
Simulator,Critical,4.63768115942029e-06,0.006701953132856475,0.069
Simulator,Critical,7.692307692307693e-05,0.006701953132856475,1.148
Simulator,Critical,2.8990694345025055e-05,0.006701953132856475,0.433
Simulator,Critical,2.9954218443427075e-05,0.006701953132856475,0.447
Simulator,Critical,3.0219435736677117e-05,0.006701953132856475,0.451
Simulator,Critical,2.6337197478137076e-05,0.006701953132856475,0.393
Simulator,Critical,2.6072075699617477e-05,0.006701953132856475,0.389
Simulator,Critical,2.5863790693029758e-05,0.006701953132856475,0.386
Simulator,Critical,2.3554256010396363e-05,0.006701953132856475,0.351
Simulator,Critical,1.0816331267553328e-06,0.006701953132856475,0.016
Simulator,Critical,9.730989359931371e-07,0.006701953132856475,0.015
Simulator,Critical,2.325998411763199e-07,0.006701953132856475,0.003
Simulator,Critical,2.7059387216779263e-07,0.006701953132856475,0.004
Simulator,Critical,2.199087785807369e-06,0.006701953132856475,0.033
Simulator,Critical,6.136505948653726e-05,0.006701953132856475,0.916
Simulator,Critical,6.455862977602107e-05,0.006701953132856475,0.963
Simulator,Critical,5.717427157778999e-05,0.006701953132856475,0.853
Simulator,Critical,2.2381100404103202e-05,0.006701953132856475,0.334
Simulator,Critical,2.1872265966754154e-05,0.006701953132856475,0.326
Simulator,Critical,1.616943748576634e-05,0.006701953132856475,0.241
Simulator,Critical,0.0,0.006701953132856475,0.0
Simulator,Critical,0.0,0.006701953132856475,0.0
Simulator,Critical,0.0,0.006701953132856475,0.0
Simulator,Critical,0.0,0.006701953132856475,0.0
Simulator,Critical,0.0,0.006701953132856475,0.0
Simulator,Critical,0.0,0.006701953132856475,0.0
Simulator,Critical,0.00014634146341463414,0.006701953132856475,2.184
Simulator,Critical,2.7272727272727273e-05,0.006701953132856475,0.407
Simulator,Critical,2.608695652173913e-05,0.006701953132856475,0.389
Simulator,Critical,0.00014634146341463414,0.006701953132856475,2.184
Simulator,Critical,0.00014634146341463414,0.006701953132856475,2.184
Simulator,Critical,0.00014634146341463414,0.006701953132856475,2.184
Simulator,Critical,0.00014634146341463414,0.006701953132856475,2.184
Simulator,Critical,0.00014634146341463414,0.006701953132856475,2.184
Simulator,Critical,0.00014634146341463414,0.006701953132856475,2.184
Simulator,Major,2.3188314351515916e-05,0.006701953132856475,0.346
Simulator,Major,2.114571318723568e-05,0.006701953132856475,0.316
Simulator,Major,2.5113008538422903e-05,0.006701953132856475,0.375
Simulator,Major,2.6757704373500646e-05,0.006701953132856475,0.399
Simulator,Major,2.6757704373500646e-05,0.006701953132856475,0.399
Simulator,Major,2.6757704373500646e-05,0.006701953132856475,0.399
Simulator,Major,2.6757704373500646e-05,0.006701953132856475,0.399
Simulator,Major,2.6757704373500646e-05,0.006701953132856475,0.399
Simulator,Major,2.6757704373500646e-05,0.006701953132856475,0.399
Simulator,Major,2.4958402662229617e-05,0.006701953132856475,0.372
Simulator,Major,2.9449659488312168e-05,0.006701953132856475,0.439
Simulator,Major,2.9449659488312168e-05,0.006701953132856475,0.439
Simulator,Major,2.9449659488312168e-05,0.006701953132856475,0.439
Simulator,Major,2.4958402662229617e-05,0.006701953132856475,0.372
Simulator,Major,2.4958402662229617e-05,0.006701953132856475,0.372
Simulator,Major,1.7775881683731512e-05,0.006701953132856475,0.265
Simulator,Major,1.7775881683731512e-05,0.006701953132856475,0.265
Simulator,Major,1.7775881683731512e-05,0.006701953132856475,0.265
Simulator,Major,1.7775881683731512e-05,0.006701953132856475,0.265
Simulator,Major,1.7775881683731512e-05,0.006701953132856475,0.265
Simulator,Major,2.658435330641698e-06,0.006701953132856475,0.04
Simulator,Major,2.658435330641698e-06,0.006701953132856475,0.04
Simulator,Major,1.4417445108581384e-05,0.006701953132856475,0.215
Simulator,Major,1.8328445747800586e-05,0.006701953132856475,0.273
Simulator,Major,9.615384615384615e-05,0.006701953132856475,1.435
Simulator,Major,9.615384615384615e-05,0.006701953132856475,1.435
Simulator,Major,1.431980906921241e-05,0.006701953132856475,0.214
Simulator,Major,1.431980906921241e-05,0.006701953132856475,0.214
Simulator,Major,1.478369125427949e-05,0.006701953132856475,0.221
Simulator,Major,1.6704631738800305e-05,0.006701953132856475,0.249
Simulator,Major,1.5451174289245984e-05,0.006701953132856475,0.231
Simulator,Major,1.5451174289245984e-05,0.006701953132856475,0.231
Simulator,Major,1.5451174289245984e-05,0.006701953132856475,0.231
Simulator,Major,1.4781391006690524e-05,0.006701953132856475,0.221
Simulator,Major,1.4776792658267227e-05,0.006701953132856475,0.22
Simulator,Major,1.165268344653083e-05,0.006701953132856475,0.174
Simulator,Major,1.5016218032384374e-06,0.006701953132856475,0.022
Simulator,Major,3.1408345501894256e-06,0.006701953132856475,0.047
Simulator,Major,1.8304591382259874e-06,0.006701953132856475,0.027
Simulator,Major,1.8742359034781544e-06,0.006701953132856475,0.028
Simulator,Major,1.7241599801230616e-06,0.006701953132856475,0.026
Simulator,Major,1.4772657829641496e-06,0.006701953132856475,0.022
Simulator,Major,2.649803805086998e-06,0.006701953132856475,0.04
Simulator,Major,3.8659793814432987e-05,0.006701953132856475,0.577
Simulator,Major,3.8659793814432987e-05,0.006701953132856475,0.577
Simulator,Major,3.8659793814432987e-05,0.006701953132856475,0.577
Simulator,Major,0.0,0.006701953132856475,0.0
Simulator,Major,0.0,0.006701953132856475,0.0
Simulator,Major,0.0,0.006701953132856475,0.0
Simulator,Major,6.2769695111886624e-06,0.006701953132856475,0.094
Simulator,Major,1.2567564032749383e-06,0.006701953132856475,0.019
Simulator,Major,8.893200743794971e-07,0.006701953132856475,0.013
Simulator,Major,8.453994896861263e-07,0.006701953132856475,0.013
Simulator,Major,1.1820475012490708e-06,0.006701953132856475,0.018
Simulator,Major,4.904136808506141e-06,0.006701953132856475,0.073
Simulator,Major,4.702911413252329e-06,0.006701953132856475,0.07
Simulator,Major,6.423849320194587e-06,0.006701953132856475,0.096
Simulator,Major,6.31150728365888e-06,0.006701953132856475,0.094
Simulator,Major,6.171756171756172e-06,0.006701953132856475,0.092
Simulator,Major,6.25416220285491e-06,0.006701953132856475,0.093
Simulator,Major,6.122152908748005e-06,0.006701953132856475,0.091
Simulator,Major,6.3346133363231214e-06,0.006701953132856475,0.095
Simulator,Major,6.218357913273168e-06,0.006701953132856475,0.093
Simulator,Major,6.652496756562785e-06,0.006701953132856475,0.099
Simulator,Major,1.4894805436603984e-05,0.006701953132856475,0.222
Simulator,Major,7.287951620406265e-06,0.006701953132856475,0.109
Simulator,Major,6.8191210910593745e-06,0.006701953132856475,0.102
Simulator,Major,6.072631072631073e-06,0.006701953132856475,0.091
Simulator,Major,4.904808617224926e-06,0.006701953132856475,0.073
Simulator,Major,9.120948318954045e-06,0.006701953132856475,0.136
Simulator,Major,1.1108597650632584e-05,0.006701953132856475,0.166
Simulator,Major,1.2208199290604636e-05,0.006701953132856475,0.182
Simulator,Major,4.2283635435282105e-05,0.006701953132856475,0.631
Simulator,Major,9.294263927584394e-06,0.006701953132856475,0.139
Simulator,Major,8.42072968892549e-06,0.006701953132856475,0.126
Simulator,Major,8.264789207064696e-06,0.006701953132856475,0.123
Simulator,Major,8.297738678231594e-06,0.006701953132856475,0.124
Simulator,Major,7.915788028496836e-06,0.006701953132856475,0.118
Simulator,Major,9.129130021392917e-06,0.006701953132856475,0.136
Simulator,Major,8.6451466909161e-06,0.006701953132856475,0.129
Simulator,Major,8.474832773389024e-06,0.006701953132856475,0.126
Simulator,Major,2.733789930605962e-06,0.006701953132856475,0.041
Simulator,Major,1.2866977845523367e-06,0.006701953132856475,0.019
Simulator,Major,2.670940170940171e-05,0.006701953132856475,0.399
Simulator,Major,1.4367816091954022e-05,0.006701953132856475,0.214
Simulator,Major,1.3799448022079117e-05,0.006701953132856475,0.206
Simulator,Major,1.3424821002386635e-05,0.006701953132856475,0.2
Simulator,Major,1.3043478260869566e-05,0.006701953132856475,0.195
Simulator,Major,1.3043478260869566e-05,0.006701953132856475,0.195
Simulator,Major,3.418803418803419e-05,0.006701953132856475,0.51
Simulator,Major,4.5633500357909804e-05,0.006701953132856475,0.681
Simulator,Major,4.277305428384565e-05,0.006701953132856475,0.638
Simulator,Major,4.539184952978057e-05,0.006701953132856475,0.677
Simulator,Major,4.494610534878991e-05,0.006701953132856475,0.671
Simulator,Major,4.4493658143748744e-05,0.006701953132856475,0.664
Simulator,Major,4.4138206510884764e-05,0.006701953132856475,0.659
Simulator,Major,4.2884990253411305e-05,0.006701953132856475,0.64
Simulator,Major,4.108349000765963e-06,0.006701953132856475,0.061
Simulator,Major,4.225298011549148e-06,0.006701953132856475,0.063
