Category,Project,Type,Frequency,Total,Percentage
Simulator,nuSQuIDS,Bug,8.549469917206931e-07,3.728923818052223e-05,2.293
Simulator,nuSQuIDS,Smell,3.6434291188801536e-05,3.728923818052223e-05,97.707
Simulator,qpp,Bug,6.177330063521441e-07,3.1567900511667812e-06,19.568
Simulator,qpp,Smell,2.539057044814637e-06,3.1567900511667812e-06,80.432
Simulator,YaoBlocks.jl,Bug,0.0,0.0,0
Simulator,YaoBlocks.jl,Smell,0.0,0.0,0
Simulator,HPhi,Bug,1.4308449588074286e-05,4.1967605461484036e-05,34.094
Simulator,HPhi,Smell,2.7659155873409748e-05,4.1967605461484036e-05,65.906
Simulator,SimulaQron,Bug,1.9726957108896472e-07,5.1837183089603456e-06,3.806
Simulator,SimulaQron,Smell,4.986448737871381e-06,5.1837183089603456e-06,96.194
Simulator,Yao.jl,Bug,0.0,8.812714776632303e-05,0.0
Simulator,Yao.jl,Smell,8.812714776632303e-05,8.812714776632303e-05,100.0
Simulator,Quirk,Bug,1.88193657220876e-06,1.0103751160612957e-05,18.626
Simulator,Quirk,Smell,8.221814588404196e-06,1.0103751160612957e-05,81.374
Simulator,qiskit-aer,Bug,1.1190417321887039e-07,2.102479923166346e-05,0.532
Simulator,qiskit-aer,Smell,2.091289505844459e-05,2.102479923166346e-05,99.468
Simulator,qutip,Bug,6.303142994168007e-06,2.963476092895844e-05,21.269
Simulator,qutip,Smell,2.3331617934790435e-05,2.963476092895844e-05,78.731
Simulator,QuEST,Bug,4.872295475592108e-07,2.2239633951275654e-06,21.908
Simulator,QuEST,Smell,1.7367338475683543e-06,2.2239633951275654e-06,78.092
Simulator,qrack,Bug,0.0,0.0,0
Simulator,qrack,Smell,0.0,0.0,0
Simulator,qulacs,Bug,3.948979670089251e-06,3.774859926993091e-05,10.461
Simulator,qulacs,Smell,3.379961959984166e-05,3.774859926993091e-05,89.539
Simulator,OpenFermion-Cirq,Bug,2.6143458334913653e-07,7.734562633109708e-05,0.338
Simulator,OpenFermion-Cirq,Smell,7.708419174774794e-05,7.734562633109708e-05,99.662
Simulator,qmt,Bug,2.5321709743133167e-07,8.597836910304519e-06,2.945
Simulator,qmt,Smell,8.344619812873188e-06,8.597836910304519e-06,97.055
Simulator,dotBloch,Bug,0.0,0.0,0
Simulator,dotBloch,Smell,0.0,0.0,0
Simulator,qiskit-jku-provider,Bug,0.0,9.466860424093903e-05,0.0
Simulator,qiskit-jku-provider,Smell,9.466860424093903e-05,9.466860424093903e-05,100.0
Simulator,qflex,Bug,0.0,5.9746366272704285e-05,0.0
Simulator,qflex,Smell,5.9746366272704285e-05,5.9746366272704285e-05,100.0
Simulator,QCViewer,Bug,0.0,0.00026785714285714287,0.0
Simulator,QCViewer,Smell,0.00026785714285714287,0.00026785714285714287,100.0
Simulator,qvm,Bug,0.0,0.0,0
Simulator,qvm,Smell,0.0,0.0,0
Simulator,quantum-mobile,Bug,5.05050505050505e-06,0.00013863448911168952,3.643
Simulator,quantum-mobile,Smell,0.00013358398406118448,0.00013863448911168952,96.357
Experimentation,QGL,Bug,2.5289978905726434e-06,1.780439272657645e-05,14.204
Experimentation,QGL,Smell,1.5275394836003806e-05,1.780439272657645e-05,85.796
Experimentation,artiq,Bug,1.9449133193672925e-06,2.530507599159379e-05,7.686
Experimentation,artiq,Smell,2.33601626722265e-05,2.530507599159379e-05,92.314
Experimentation,quantum-shell,Bug,0.0,1.7513134851138353e-05,0.0
Experimentation,quantum-shell,Smell,1.7513134851138353e-05,1.7513134851138353e-05,100.0
Experimentation,QuantumInformation.jl,Bug,0.0,0.0,0
Experimentation,QuantumInformation.jl,Smell,0.0,0.0,0
Experimentation,qupulse,Bug,6.072393542531688e-06,2.9357106597930166e-05,20.685
Experimentation,qupulse,Smell,2.328471305539848e-05,2.9357106597930166e-05,79.315
Experimentation,pyrpl,Bug,2.0444320331090588e-06,4.387343044834657e-06,46.598
Experimentation,pyrpl,Smell,2.342911011725598e-06,4.387343044834657e-06,53.402
Experimentation,Qlab,Bug,1.9156790437196918e-05,3.6753999748794945e-05,52.122
Experimentation,Qlab,Smell,1.7597209311598027e-05,3.6753999748794945e-05,47.878
Experimentation,PyQLab,Bug,2.21768653095842e-06,2.1051320597151395e-05,10.535
Experimentation,PyQLab,Smell,1.8833634066192974e-05,2.1051320597151395e-05,89.465
Experimentation,pyEPR,Bug,2.4343964719547615e-07,6.6318178631829835e-06,3.671
Experimentation,pyEPR,Smell,6.388378215987507e-06,6.6318178631829835e-06,96.329
Quantum-Chemistry,mpqc,Bug,1.8390641516340311e-07,7.432492383643219e-05,0.247
Quantum-Chemistry,mpqc,Smell,7.414101742126878e-05,7.432492383643219e-05,99.753
Quantum-Chemistry,pyscf,Bug,5.106781469376096e-07,1.3936877526976651e-05,3.664
Quantum-Chemistry,pyscf,Smell,1.3426199380039042e-05,1.3936877526976651e-05,96.336
Quantum-Chemistry,basis_set_exchange,Bug,2.7405523408861197e-06,3.691966700420329e-05,7.423
Quantum-Chemistry,basis_set_exchange,Smell,3.417911466331717e-05,3.691966700420329e-05,92.577
Quantum-Chemistry,QCElemental,Bug,1.6044623847578386e-07,1.1926415773468775e-05,1.345
Quantum-Chemistry,QCElemental,Smell,1.1765969534992991e-05,1.1926415773468775e-05,98.655
Quantum-Chemistry,QCEngine,Bug,6.872631875289105e-07,1.653576414660458e-05,4.156
Quantum-Chemistry,QCEngine,Smell,1.584850095907567e-05,1.653576414660458e-05,95.844
Quantum-Chemistry,QCFractal,Bug,7.473838946131e-07,1.5654135573402324e-05,4.774
Quantum-Chemistry,QCFractal,Smell,1.4906751678789223e-05,1.5654135573402324e-05,95.226
Quantum-Chemistry,CheMPS2,Bug,0.0,6.663829884594419e-05,0.0
Quantum-Chemistry,CheMPS2,Smell,6.663829884594419e-05,6.663829884594419e-05,100.0
Quantum-Chemistry,libra-code,Bug,1.3285624954962497e-07,2.318130869190817e-05,0.573
Quantum-Chemistry,libra-code,Smell,2.3048452442358545e-05,2.318130869190817e-05,99.427
Quantum-Chemistry,qmcpack,Bug,0.0,0.0,0
Quantum-Chemistry,qmcpack,Smell,0.0,0.0,0
Quantum-Chemistry,cp2k,Bug,2.0181894830633204e-06,1.7649834250912295e-05,11.435
Quantum-Chemistry,cp2k,Smell,1.5631644767848975e-05,1.7649834250912295e-05,88.565
Quantum-Chemistry,xtp,Bug,8.111253670428654e-06,7.197209685941167e-05,11.27
Quantum-Chemistry,xtp,Smell,6.386084318898302e-05,7.197209685941167e-05,88.73
Quantum-Chemistry,hande,Bug,7.524866632538046e-07,3.83412631646592e-05,1.963
Quantum-Chemistry,hande,Smell,3.758877650140539e-05,3.83412631646592e-05,98.037
Quantum-Chemistry,quantarhei,Bug,2.8696027054951114e-07,2.1487981586053815e-05,1.335
Quantum-Chemistry,quantarhei,Smell,2.1201021315504303e-05,2.1487981586053815e-05,98.665
Quantum-Chemistry,quantum_package,Bug,1.1372499285975705e-06,2.9884383430377713e-05,3.805
Quantum-Chemistry,quantum_package,Smell,2.8747133501780144e-05,2.9884383430377713e-05,96.195
Quantum-Chemistry,QuantumLab.jl,Bug,0.0,0.0,0
Quantum-Chemistry,QuantumLab.jl,Smell,0.0,0.0,0
Quantum-Chemistry,q2mm,Bug,2.632662859717506e-07,2.245959848195647e-05,1.172
Quantum-Chemistry,q2mm,Smell,2.219633219598472e-05,2.245959848195647e-05,98.828
Quantum-Chemistry,critic2,Bug,0.0,0.0,0
Quantum-Chemistry,critic2,Smell,0.0,0.0,0
Quantum-Chemistry,GQCP,Bug,0.0,0.00015154194882659302,0.0
Quantum-Chemistry,GQCP,Smell,0.00015154194882659302,0.00015154194882659302,100.0
Quantum-Chemistry,qcdb,Bug,1.4313695357684729e-07,8.740811395677289e-06,1.638
Quantum-Chemistry,qcdb,Smell,8.59767444210044e-06,8.740811395677289e-06,98.362
ToolKit,libint,Bug,5.679836237812724e-05,7.34715815178454e-05,77.307
ToolKit,libint,Smell,1.667321913971815e-05,7.34715815178454e-05,22.693
ToolKit,QuantumOptics.jl,Bug,0.0,0.0001276827012025902,0.0
ToolKit,QuantumOptics.jl,Smell,0.0001276827012025902,0.0001276827012025902,100.0
ToolKit,quimb,Bug,1.2389955716233235e-06,1.586314773768281e-05,7.811
ToolKit,quimb,Smell,1.4624152166059486e-05,1.586314773768281e-05,92.189
ToolKit,pennylane,Bug,1.9363416207978383e-06,2.630977600809601e-05,7.36
ToolKit,pennylane,Smell,2.437343438729817e-05,2.630977600809601e-05,92.64
ToolKit,QPanda-2,Bug,3.6533631356659747e-05,6.173090664381395e-05,59.182
ToolKit,QPanda-2,Smell,2.51972752871542e-05,6.173090664381395e-05,40.818
ToolKit,quantum,Bug,1.617123651726464e-06,1.7163994733420066e-05,9.422
ToolKit,quantum,Smell,1.5546871081693603e-05,1.7163994733420066e-05,90.578
ToolKit,forest-benchmarking,Bug,4.60678087051535e-07,2.403402168779946e-05,1.917
ToolKit,forest-benchmarking,Smell,2.3573343600747924e-05,2.403402168779946e-05,98.083
ToolKit,python-qinfer,Bug,4.1542659219992114e-06,3.105875997496661e-05,13.376
ToolKit,python-qinfer,Smell,2.6904494052967403e-05,3.105875997496661e-05,86.624
ToolKit,QGIS-visibility-analysis,Bug,0.0,2.2737344612620378e-05,0.0
ToolKit,QGIS-visibility-analysis,Smell,2.2737344612620378e-05,2.2737344612620378e-05,100.0
ToolKit,QUBEKit,Bug,1.9443969318448717e-06,2.9857076641640638e-05,6.512
ToolKit,QUBEKit,Smell,2.7912679709795765e-05,2.9857076641640638e-05,93.488
ToolKit,quantum,Bug,1.0730666041096066e-06,4.814091590318781e-05,2.229
ToolKit,quantum,Smell,4.7067849299078204e-05,4.814091590318781e-05,97.771
ToolKit,openstack-quantum-puppet,Bug,0.0,0.0,0
ToolKit,openstack-quantum-puppet,Smell,0.0,0.0,0
ToolKit,tweedledum,Bug,0.0,0.0,0
ToolKit,tweedledum,Smell,0.0,0.0,0
ToolKit,triqs,Bug,4.2891790489394796e-06,3.7908760659286335e-05,11.314
