Category,Project Names,Snapshots,Type,TDR
Compiler,pyzx,0,code errors,0.0
Compiler,pyzx,0,code smells,6.857142857142857
Compiler,pyzx,90,code errors,0.73520050922979
Compiler,pyzx,90,code smells,12.145130490133674
Compiler,pyzx,180,code errors,0.2738810955243821
Compiler,pyzx,180,code smells,10.374081496325985
Compiler,pyzx,270,code errors,0.25943893693313647
Compiler,pyzx,270,code smells,10.402868593123813
Compiler,pyzx,360,code errors,0.2616990053807272
Compiler,pyzx,360,code smells,9.964128485243762
Compiler,pyzx,450,code errors,0.22902565716984102
Compiler,pyzx,450,code smells,10.143239414449866
Compiler,pyzx,540,code errors,0.24462734339277548
Compiler,pyzx,540,code smells,10.226337448559672
Compiler,pyzx,630,code errors,0.12199921290830382
Compiler,pyzx,630,code smells,8.05391578118851
Compiler,pyzx,720,code errors,0.17477203647416414
Compiler,pyzx,720,code smells,8.379559270516717
Compiler,OpenQL,0,code errors,0.0
Compiler,OpenQL,0,code smells,0.0
Compiler,OpenQL,90,code errors,5.203570798681301
Compiler,OpenQL,90,code smells,24.126090436717362
Compiler,OpenQL,180,code errors,0.0
Compiler,OpenQL,180,code smells,0.0
Compiler,OpenQL,270,code errors,0.0
Compiler,OpenQL,270,code smells,0.0
Compiler,OpenQL,360,code errors,0.0
Compiler,OpenQL,360,code smells,0.0
Compiler,OpenQL,450,code errors,0.0
Compiler,OpenQL,450,code smells,0.0
Compiler,OpenQL,540,code errors,0.0
Compiler,OpenQL,540,code smells,0.0
Compiler,OpenQL,630,code errors,0.0
Compiler,OpenQL,630,code smells,0.0
Compiler,OpenQL,720,code errors,0.0
Compiler,OpenQL,720,code smells,0.0
Compiler,OpenQL,810,code errors,0.0
Compiler,OpenQL,810,code smells,0.0
Compiler,OpenQL,900,code errors,1.1215748925301914
Compiler,OpenQL,900,code smells,5.261974081119998
Compiler,OpenQL,990,code errors,0.915344959212208
Compiler,OpenQL,990,code smells,4.297000317381347
Compiler,OpenQL,1080,code errors,0.9099050689593409
Compiler,OpenQL,1080,code smells,4.303114045188199
Compiler,OpenQL,1170,code errors,0.5348157014135317
Compiler,OpenQL,1170,code smells,2.290730704068645
Compiler,OpenQL,1260,code errors,0.0
Compiler,OpenQL,1260,code smells,0.0
Compiler,qsharp-compiler,0,code errors,0.0
Compiler,qsharp-compiler,0,code smells,0.0
Compiler,qsharp-compiler,90,code errors,0.0
Compiler,qsharp-compiler,90,code smells,0.0
Compiler,qsharp-compiler,180,code errors,0.0
Compiler,qsharp-compiler,180,code smells,0.0
Compiler,qsharp-compiler,270,code errors,0.0
Compiler,qsharp-compiler,270,code smells,0.0
Compiler,qsharp-compiler,360,code errors,0.0
Compiler,qsharp-compiler,360,code smells,0.0
Compiler,qsharp-compiler,450,code errors,0.0
Compiler,qsharp-compiler,450,code smells,0.0
