Category,Project Names,Snapshots,Type,TDR
None-Quantum,cquery,0,code errors,0.0
None-Quantum,cquery,0,code smells,0.0
None-Quantum,cquery,90,code errors,0.0
None-Quantum,cquery,90,code smells,32.62135922330097
None-Quantum,cquery,180,code errors,0.0
None-Quantum,cquery,180,code smells,16.390243902439025
None-Quantum,cquery,270,code errors,0.0
None-Quantum,cquery,270,code smells,15.724137931034484
None-Quantum,cquery,360,code errors,0.0
None-Quantum,cquery,360,code smells,8.89235569422777
None-Quantum,cquery,450,code errors,0.4132231404958678
None-Quantum,cquery,450,code smells,10.206611570247933
None-Quantum,cquery,540,code errors,0.4132231404958678
None-Quantum,cquery,540,code smells,10.0
None-Quantum,zetavm,0,code errors,0.0
None-Quantum,zetavm,0,code smells,0.0
None-Quantum,zetavm,90,code errors,1.6826923076923077
None-Quantum,zetavm,90,code smells,19.423076923076923
None-Quantum,zetavm,180,code errors,0.36202735317779566
None-Quantum,zetavm,180,code smells,9.726468222043444
None-Quantum,mjolnir,0,code errors,0.0
None-Quantum,mjolnir,0,code smells,0.0
None-Quantum,mjolnir,90,code errors,6.923076923076923
None-Quantum,mjolnir,90,code smells,3.4615384615384617
None-Quantum,mjolnir,180,code errors,0.0
None-Quantum,mjolnir,180,code smells,0.0
None-Quantum,mjolnir,270,code errors,1.7341040462427746
None-Quantum,mjolnir,270,code smells,0.8670520231213873
None-Quantum,mjolnir,360,code errors,1.3888888888888888
None-Quantum,mjolnir,360,code smells,0.6944444444444444
None-Quantum,mjolnir,450,code errors,1.3888888888888888
None-Quantum,mjolnir,450,code smells,0.6944444444444444
None-Quantum,mjolnir,540,code errors,1.3888888888888888
None-Quantum,mjolnir,540,code smells,0.6944444444444444
None-Quantum,mjolnir,630,code errors,1.3888888888888888
None-Quantum,mjolnir,630,code smells,0.6944444444444444
None-Quantum,mjolnir,720,code errors,1.3888888888888888
None-Quantum,mjolnir,720,code smells,0.6944444444444444
None-Quantum,mjolnir,810,code errors,1.3888888888888888
None-Quantum,mjolnir,810,code smells,0.6944444444444444
None-Quantum,mjolnir,900,code errors,1.3888888888888888
None-Quantum,mjolnir,900,code smells,0.6944444444444444
None-Quantum,mjolnir,990,code errors,1.3888888888888888
None-Quantum,mjolnir,990,code smells,0.6944444444444444
None-Quantum,mjolnir,1080,code errors,1.3888888888888888
None-Quantum,mjolnir,1080,code smells,0.6944444444444444
None-Quantum,Dism-Multi-language,0,code errors,0.0
None-Quantum,Dism-Multi-language,0,code smells,0.0
None-Quantum,Dism-Multi-language,90,code errors,0.5360397384126077
None-Quantum,Dism-Multi-language,90,code smells,2.251366901332952
None-Quantum,Dism-Multi-language,180,code errors,0.09462395738417327
None-Quantum,Dism-Multi-language,180,code smells,0.43211607205439123
None-Quantum,Dism-Multi-language,270,code errors,0.09950408965028659
None-Quantum,Dism-Multi-language,270,code smells,0.3970502994783281
None-Quantum,Dism-Multi-language,360,code errors,0.09950408965028659
None-Quantum,Dism-Multi-language,360,code smells,0.3970502994783281
None-Quantum,Dism-Multi-language,450,code errors,0.09950729398125785
None-Quantum,Dism-Multi-language,450,code smells,0.3970630856922036
None-Quantum,Dism-Multi-language,540,code errors,0.09950408965028659
None-Quantum,Dism-Multi-language,540,code smells,0.3970502994783281
None-Quantum,Dism-Multi-language,630,code errors,0.09950088552568025
None-Quantum,Dism-Multi-language,630,code smells,0.39703751408790855
None-Quantum,Dism-Multi-language,720,code errors,0.09950088552568025
None-Quantum,Dism-Multi-language,720,code smells,0.39703751408790855
None-Quantum,Dism-Multi-language,810,code errors,0.09949768160741886
None-Quantum,Dism-Multi-language,810,code smells,0.39702472952086554
None-Quantum,Dism-Multi-language,900,code errors,0.09949768160741886
None-Quantum,Dism-Multi-language,900,code smells,0.39702472952086554
None-Quantum,Dism-Multi-language,990,code errors,0.09949768160741886
None-Quantum,Dism-Multi-language,990,code smells,0.39702472952086554
None-Quantum,Dism-Multi-language,1080,code errors,0.09949768160741886
None-Quantum,Dism-Multi-language,1080,code smells,0.39702472952086554
None-Quantum,Dism-Multi-language,1170,code errors,0.09949768160741886
None-Quantum,Dism-Multi-language,1170,code smells,0.39702472952086554
None-Quantum,keystone-classic,0,code errors,0.0
None-Quantum,keystone-classic,0,code smells,0.0
None-Quantum,keystone-classic,90,code errors,1.436022341163543
None-Quantum,keystone-classic,90,code smells,7.183453765640587
None-Quantum,keystone-classic,180,code errors,0.0
None-Quantum,keystone-classic,180,code smells,0.0
None-Quantum,keystone-classic,270,code errors,0.0
None-Quantum,keystone-classic,270,code smells,0.0
None-Quantum,keystone-classic,360,code errors,0.0
None-Quantum,keystone-classic,360,code smells,0.0
None-Quantum,keystone-classic,450,code errors,0.0
None-Quantum,keystone-classic,450,code smells,0.0
None-Quantum,keystone-classic,540,code errors,0.0
None-Quantum,keystone-classic,540,code smells,0.0
None-Quantum,keystone-classic,630,code errors,0.0
None-Quantum,keystone-classic,630,code smells,0.0
None-Quantum,keystone-classic,720,code errors,0.0
None-Quantum,keystone-classic,720,code smells,0.0
None-Quantum,keystone-classic,810,code errors,0.0
None-Quantum,keystone-classic,810,code smells,0.0
None-Quantum,keystone-classic,900,code errors,0.5810006704659738
None-Quantum,keystone-classic,900,code smells,3.1459520616828693
None-Quantum,keystone-classic,990,code errors,0.3281117917784202
None-Quantum,keystone-classic,990,code smells,1.4495778587157302
None-Quantum,keystone-classic,1080,code errors,0.0
None-Quantum,keystone-classic,1080,code smells,0.0
None-Quantum,keystone-classic,1170,code errors,0.0
None-Quantum,keystone-classic,1170,code smells,0.0
None-Quantum,keystone-classic,1260,code errors,0.0
None-Quantum,keystone-classic,1260,code smells,0.0
None-Quantum,keystone-classic,1350,code errors,0.0
None-Quantum,keystone-classic,1350,code smells,0.0
None-Quantum,keystone-classic,1440,code errors,0.0
None-Quantum,keystone-classic,1440,code smells,0.0
None-Quantum,keystone-classic,1530,code errors,0.0
None-Quantum,keystone-classic,1530,code smells,0.0
None-Quantum,keystone-classic,1620,code errors,0.0
None-Quantum,keystone-classic,1620,code smells,0.0
None-Quantum,keystone-classic,1710,code errors,0.0
None-Quantum,keystone-classic,1710,code smells,0.0
None-Quantum,keystone-classic,1800,code errors,0.0
None-Quantum,keystone-classic,1800,code smells,0.0
None-Quantum,keystone-classic,1890,code errors,0.0
None-Quantum,keystone-classic,1890,code smells,0.0
None-Quantum,keystone-classic,1980,code errors,0.0
None-Quantum,keystone-classic,1980,code smells,0.0
None-Quantum,keystone-classic,2070,code errors,0.0
None-Quantum,keystone-classic,2070,code smells,0.0
None-Quantum,keystone-classic,2160,code errors,0.0
None-Quantum,keystone-classic,2160,code smells,0.0
None-Quantum,keystone-classic,2250,code errors,0.0
None-Quantum,keystone-classic,2250,code smells,0.0
None-Quantum,Open-PS2-Loader,0,code errors,0.0
None-Quantum,Open-PS2-Loader,0,code smells,0.0
None-Quantum,Open-PS2-Loader,90,code errors,3.5215074523129197
None-Quantum,Open-PS2-Loader,90,code smells,4.4204185651401655
None-Quantum,Open-PS2-Loader,180,code errors,0.0
None-Quantum,Open-PS2-Loader,180,code smells,0.0
None-Quantum,Open-PS2-Loader,270,code errors,1.1738660351130104
None-Quantum,Open-PS2-Loader,270,code smells,1.4735107861813312
None-Quantum,Open-PS2-Loader,360,code errors,1.1738660351130104
None-Quantum,Open-PS2-Loader,360,code smells,1.4735107861813312
None-Quantum,Open-PS2-Loader,450,code errors,1.1738660351130104
None-Quantum,Open-PS2-Loader,450,code smells,1.4735107861813312
None-Quantum,Open-PS2-Loader,540,code errors,1.1738660351130104
None-Quantum,Open-PS2-Loader,540,code smells,1.4735107861813312
None-Quantum,Open-PS2-Loader,630,code errors,1.1738660351130104
None-Quantum,Open-PS2-Loader,630,code smells,1.4735107861813312
None-Quantum,Open-PS2-Loader,720,code errors,1.1738660351130104
None-Quantum,Open-PS2-Loader,720,code smells,1.4735107861813312
None-Quantum,Open-PS2-Loader,810,code errors,0.8804108584005869
None-Quantum,Open-PS2-Loader,810,code smells,1.1051473143607367
None-Quantum,Open-PS2-Loader,900,code errors,0.8804108584005869
None-Quantum,Open-PS2-Loader,900,code smells,1.1051473143607367
None-Quantum,Open-PS2-Loader,990,code errors,0.8804108584005869
None-Quantum,Open-PS2-Loader,990,code smells,1.1051473143607367
None-Quantum,Open-PS2-Loader,1080,code errors,0.0
None-Quantum,Open-PS2-Loader,1080,code smells,0.0
None-Quantum,Open-PS2-Loader,1170,code errors,0.0
None-Quantum,Open-PS2-Loader,1170,code smells,0.0
None-Quantum,Open-PS2-Loader,1260,code errors,0.0
None-Quantum,Open-PS2-Loader,1260,code smells,0.0
None-Quantum,Open-PS2-Loader,1350,code errors,0.0
None-Quantum,Open-PS2-Loader,1350,code smells,0.0
None-Quantum,Open-PS2-Loader,1440,code errors,0.0
None-Quantum,Open-PS2-Loader,1440,code smells,0.0
None-Quantum,Open-PS2-Loader,1530,code errors,0.0
None-Quantum,Open-PS2-Loader,1530,code smells,0.0
None-Quantum,Open-PS2-Loader,1620,code errors,0.0
None-Quantum,Open-PS2-Loader,1620,code smells,0.0
None-Quantum,Open-PS2-Loader,1710,code errors,0.0
None-Quantum,Open-PS2-Loader,1710,code smells,0.0
None-Quantum,Open-PS2-Loader,1800,code errors,0.0
None-Quantum,Open-PS2-Loader,1800,code smells,0.0
None-Quantum,Open-PS2-Loader,1890,code errors,0.0
None-Quantum,Open-PS2-Loader,1890,code smells,0.0
None-Quantum,Open-PS2-Loader,1980,code errors,0.0
None-Quantum,Open-PS2-Loader,1980,code smells,0.0
None-Quantum,Open-PS2-Loader,2070,code errors,0.0
None-Quantum,Open-PS2-Loader,2070,code smells,0.0
None-Quantum,Open-PS2-Loader,2160,code errors,0.0
None-Quantum,Open-PS2-Loader,2160,code smells,0.0
None-Quantum,Open-PS2-Loader,2250,code errors,0.0
None-Quantum,Open-PS2-Loader,2250,code smells,0.0
None-Quantum,Open-PS2-Loader,2340,code errors,0.0
None-Quantum,Open-PS2-Loader,2340,code smells,0.0
None-Quantum,Open-PS2-Loader,2430,code errors,0.0
None-Quantum,Open-PS2-Loader,2430,code smells,0.0
None-Quantum,Open-PS2-Loader,2520,code errors,0.0
None-Quantum,Open-PS2-Loader,2520,code smells,0.0
None-Quantum,Open-PS2-Loader,2610,code errors,0.0
None-Quantum,Open-PS2-Loader,2610,code smells,0.0
None-Quantum,Open-PS2-Loader,2700,code errors,0.0
None-Quantum,Open-PS2-Loader,2700,code smells,0.0
None-Quantum,Open-PS2-Loader,2790,code errors,0.0
None-Quantum,Open-PS2-Loader,2790,code smells,0.0
None-Quantum,Open-PS2-Loader,2880,code errors,0.0
None-Quantum,Open-PS2-Loader,2880,code smells,0.0
None-Quantum,Open-PS2-Loader,2970,code errors,0.0
None-Quantum,Open-PS2-Loader,2970,code smells,0.0
None-Quantum,Open-PS2-Loader,3060,code errors,0.0
None-Quantum,Open-PS2-Loader,3060,code smells,0.0
None-Quantum,Open-PS2-Loader,3150,code errors,0.0
None-Quantum,Open-PS2-Loader,3150,code smells,0.0
None-Quantum,Open-PS2-Loader,3240,code errors,0.0
None-Quantum,Open-PS2-Loader,3240,code smells,0.0
None-Quantum,mui,0,code errors,0.0
None-Quantum,mui,0,code smells,0.0
None-Quantum,mui,90,code errors,0.7731626378119937
None-Quantum,mui,90,code smells,2.74701309050113
None-Quantum,mui,180,code errors,0.0
None-Quantum,mui,180,code smells,0.0
None-Quantum,mui,270,code errors,0.0
None-Quantum,mui,270,code smells,0.0
None-Quantum,mui,360,code errors,0.0
None-Quantum,mui,360,code smells,0.0
None-Quantum,mui,450,code errors,0.0
None-Quantum,mui,450,code smells,0.0
None-Quantum,mui,540,code errors,0.0
None-Quantum,mui,540,code smells,0.0
None-Quantum,mui,630,code errors,0.0
None-Quantum,mui,630,code smells,0.0
None-Quantum,mui,720,code errors,0.0
None-Quantum,mui,720,code smells,0.0
None-Quantum,mui,810,code errors,0.0
None-Quantum,mui,810,code smells,0.0
None-Quantum,mui,900,code errors,0.07493302680370723
None-Quantum,mui,900,code smells,0.2899686897301353
None-Quantum,mui,990,code errors,0.07623351394254002
None-Quantum,mui,990,code smells,0.28976416256748844
None-Quantum,mui,1080,code errors,0.08869026509790139
None-Quantum,mui,1080,code smells,0.3303288695286486
None-Quantum,mui,1170,code errors,0.0895935352115769
None-Quantum,mui,1170,code smells,0.33065849366163386
None-Quantum,mui,1260,code errors,0.08959620533718572
None-Quantum,mui,1260,code smells,0.33090363231674896
None-Quantum,mui,1350,code errors,0.08958664983257396
None-Quantum,mui,1350,code smells,0.3308683411883719
None-Quantum,mui,1440,code errors,0.08958735237378253
None-Quantum,mui,1440,code smells,0.3311061967722204
None-Quantum,mui,1530,code errors,0.057027243212722914
None-Quantum,mui,1530,code smells,0.16609419846609888
None-Quantum,recorder,0,code errors,0.0
None-Quantum,recorder,0,code smells,0.0
None-Quantum,recorder,90,code errors,0.17984886649874054
None-Quantum,recorder,90,code smells,1.8272040302267003
None-Quantum,recorder,180,code errors,0.019025318308210158
None-Quantum,recorder,180,code smells,0.15805649056051513
None-Quantum,recorder,270,code errors,0.01868352974992814
None-Quantum,recorder,270,code smells,0.19977004886461625
None-Quantum,recorder,360,code errors,0.018654039316975176
None-Quantum,recorder,360,code smells,0.20232458028411537
None-Quantum,recorder,450,code errors,0.01725892817630659
None-Quantum,recorder,450,code smells,0.1871929902199407
None-Quantum,recorder,540,code errors,0.017185916361873704
None-Quantum,recorder,540,code smells,0.18640109284801482
None-Quantum,recorder,630,code errors,0.01718364469510046
None-Quantum,recorder,630,code smells,0.18637645400070496
None-Quantum,recorder,720,code errors,0.01718137362879422
None-Quantum,recorder,720,code smells,0.1863518216661527
None-Quantum,recorder,810,code errors,0.01718137362879422
None-Quantum,recorder,810,code smells,0.1863518216661527
None-Quantum,recorder,900,code errors,0.017055144968732235
None-Quantum,recorder,900,code smells,0.18498272619932654
None-Quantum,recorder,990,code errors,0.016911669051645633
None-Quantum,recorder,990,code smells,0.18342656432938728
None-Quantum,recorder,1080,code errors,0.019052457767051948
None-Quantum,recorder,1080,code smells,0.18925441381938268
None-Quantum,recorder,1170,code errors,0.016513528390566117
None-Quantum,recorder,1170,code smells,0.18927044078418087
None-Quantum,recorder,1260,code errors,0.01649397335588919
None-Quantum,recorder,1260,code smells,0.1890463100021146
None-Quantum,recorder,1350,code errors,0.01649397335588919
None-Quantum,recorder,1350,code smells,0.1890463100021146
None-Quantum,recorder,1440,code errors,0.01649397335588919
None-Quantum,recorder,1440,code smells,0.15732713047155847
None-Quantum,recorder,1530,code errors,0.01649397335588919
None-Quantum,recorder,1530,code smells,0.15732713047155847
None-Quantum,AppImageKit,0,code errors,0.0
None-Quantum,AppImageKit,0,code smells,0.0
None-Quantum,AppImageKit,90,code errors,0.0
None-Quantum,AppImageKit,90,code smells,0.0
None-Quantum,AppImageKit,180,code errors,0.0
None-Quantum,AppImageKit,180,code smells,0.0
None-Quantum,AppImageKit,270,code errors,0.0
None-Quantum,AppImageKit,270,code smells,0.0
None-Quantum,AppImageKit,360,code errors,0.0
None-Quantum,AppImageKit,360,code smells,0.0
None-Quantum,AppImageKit,450,code errors,0.0
None-Quantum,AppImageKit,450,code smells,0.0
None-Quantum,AppImageKit,540,code errors,0.0
None-Quantum,AppImageKit,540,code smells,0.0
None-Quantum,AppImageKit,630,code errors,0.0
None-Quantum,AppImageKit,630,code smells,0.0
None-Quantum,AppImageKit,720,code errors,0.0
None-Quantum,AppImageKit,720,code smells,0.0
None-Quantum,AppImageKit,810,code errors,0.0
None-Quantum,AppImageKit,810,code smells,0.0
None-Quantum,AppImageKit,900,code errors,0.0
None-Quantum,AppImageKit,900,code smells,0.0
None-Quantum,AppImageKit,990,code errors,0.0
None-Quantum,AppImageKit,990,code smells,0.0
None-Quantum,AppImageKit,1080,code errors,0.0
None-Quantum,AppImageKit,1080,code smells,0.0
None-Quantum,AppImageKit,1170,code errors,0.0
None-Quantum,AppImageKit,1170,code smells,0.0
None-Quantum,DifferentialEquations.jl,0,code errors,0.0
None-Quantum,DifferentialEquations.jl,0,code smells,0.0
None-Quantum,DifferentialEquations.jl,90,code errors,0.0
None-Quantum,DifferentialEquations.jl,90,code smells,0.0
None-Quantum,DifferentialEquations.jl,180,code errors,0.0
None-Quantum,DifferentialEquations.jl,180,code smells,0.0
None-Quantum,DifferentialEquations.jl,270,code errors,0.0
None-Quantum,DifferentialEquations.jl,270,code smells,0.0
None-Quantum,DifferentialEquations.jl,360,code errors,0.0
None-Quantum,DifferentialEquations.jl,360,code smells,0.0
None-Quantum,DifferentialEquations.jl,450,code errors,0.0
None-Quantum,DifferentialEquations.jl,450,code smells,0.0
None-Quantum,DifferentialEquations.jl,540,code errors,0.0
None-Quantum,DifferentialEquations.jl,540,code smells,0.0
None-Quantum,DifferentialEquations.jl,630,code errors,0.0
None-Quantum,DifferentialEquations.jl,630,code smells,0.0
None-Quantum,DifferentialEquations.jl,720,code errors,0.0
None-Quantum,DifferentialEquations.jl,720,code smells,0.0
None-Quantum,DifferentialEquations.jl,810,code errors,0.0
None-Quantum,DifferentialEquations.jl,810,code smells,0.0
None-Quantum,DifferentialEquations.jl,900,code errors,0.0
None-Quantum,DifferentialEquations.jl,900,code smells,0.0
None-Quantum,DifferentialEquations.jl,990,code errors,0.0
None-Quantum,DifferentialEquations.jl,990,code smells,0.0
None-Quantum,DifferentialEquations.jl,1080,code errors,0.0
None-Quantum,DifferentialEquations.jl,1080,code smells,0.0
None-Quantum,DifferentialEquations.jl,1170,code errors,0.0
None-Quantum,DifferentialEquations.jl,1170,code smells,0.0
None-Quantum,DifferentialEquations.jl,1260,code errors,0.0
None-Quantum,DifferentialEquations.jl,1260,code smells,0.0
