Category,Project Names,Snapshots,Type,TDR
Quantum Algorithsm,EDLib,0,code errors,0.0
Quantum Algorithsm,EDLib,0,code smells,0.0
Quantum Algorithsm,EDLib,90,code errors,0.0
Quantum Algorithsm,EDLib,90,code smells,0.0
Quantum Algorithsm,EDLib,180,code errors,0.8108108108108109
Quantum Algorithsm,EDLib,180,code smells,4.054054054054054
Quantum Algorithsm,EDLib,270,code errors,0.6122448979591836
Quantum Algorithsm,EDLib,270,code smells,11.63265306122449
Quantum Algorithsm,EDLib,360,code errors,0.3614457831325301
Quantum Algorithsm,EDLib,360,code smells,8.674698795180722
Quantum Algorithsm,EDLib,450,code errors,0.17341040462427745
Quantum Algorithsm,EDLib,450,code smells,5.028901734104046
Quantum Algorithsm,EDLib,540,code errors,0.17341040462427745
Quantum Algorithsm,EDLib,540,code smells,5.028901734104046
Quantum Algorithsm,EDLib,630,code errors,0.13157894736842105
Quantum Algorithsm,EDLib,630,code smells,7.105263157894736
Quantum Algorithsm,EDLib,720,code errors,0.13157894736842105
Quantum Algorithsm,EDLib,720,code smells,7.105263157894736
Quantum Algorithsm,krotov,0,code errors,0.0
Quantum Algorithsm,krotov,0,code smells,6.180257510729613
Quantum Algorithsm,krotov,90,code errors,0.012200081333875559
Quantum Algorithsm,krotov,90,code smells,5.4412362749084995
Quantum Algorithsm,krotov,180,code errors,0.004422169811320755
Quantum Algorithsm,krotov,180,code smells,5.178360849056604
Quantum Algorithsm,krotov,270,code errors,0.0043859649122807015
Quantum Algorithsm,krotov,270,code smells,5.144736842105264
Quantum Algorithsm,krotov,360,code errors,0.004060638873849486
Quantum Algorithsm,krotov,360,code smells,5.108283703302654
Quantum Algorithsm,krotov,450,code errors,0.003780241935483871
Quantum Algorithsm,krotov,450,code smells,5.016381048387097
Quantum Algorithsm,krotov,540,code errors,0.0035680304471931495
Quantum Algorithsm,krotov,540,code smells,5.1236917221693625
Quantum Algorithsm,netket,0,code errors,0.0
Quantum Algorithsm,netket,0,code smells,0.0
Quantum Algorithsm,netket,90,code errors,0.0
Quantum Algorithsm,netket,90,code smells,7.017543859649122
Quantum Algorithsm,netket,180,code errors,0.0
Quantum Algorithsm,netket,180,code smells,3.9164490861618804
Quantum Algorithsm,netket,270,code errors,0.3456221198156682
Quantum Algorithsm,netket,270,code smells,4.735023041474655
Quantum Algorithsm,netket,360,code errors,0.6183017312448474
Quantum Algorithsm,netket,360,code smells,3.93239901071723
Quantum Algorithsm,netket,450,code errors,0.3177966101694915
Quantum Algorithsm,netket,450,code smells,4.586864406779661
Quantum Algorithsm,netket,540,code errors,0.26331187829139846
Quantum Algorithsm,netket,540,code smells,4.520187244002341
Quantum Algorithsm,netket,630,code errors,0.15071590052750566
Quantum Algorithsm,netket,630,code smells,3.6171816126601355
Quantum Algorithsm,netket,720,code errors,0.2539981185324553
Quantum Algorithsm,netket,720,code smells,4.188146754468486
Quantum Algorithsm,qrefine,0,code errors,0.0
Quantum Algorithsm,qrefine,0,code smells,0.0
