Category,Project,Snapshots,TDR_Bugs,TDR_Smells,KLOC
Quantum-Chemistry,QCElemental,0,0,0,0.001
Quantum-Chemistry,QCElemental,90,0.137867647,5.163143382,8.704
Quantum-Chemistry,QCElemental,180,0.120712202,4.931093451,9.941
Quantum-Chemistry,QCElemental,270,0.098352594,5.554462749,12.201
Quantum-Chemistry,QCElemental,360,0.022558087,5.384615385,13.299
Quantum-Chemistry,QCElemental,450,0.019712202,4.914251922,15.219
Quantum-Chemistry,QCElemental,540,0.005401901,5.671996543,55.536
Quantum-Chemistry,QCElemental,630,0.005381166,5.66367713,55.75
Quantum-Chemistry,QCEngine,0,0,0,0.001
Quantum-Chemistry,QCEngine,90,0.613117871,3.550380228,2.104
Quantum-Chemistry,QCEngine,180,0.649069667,3.517957594,2.311
Quantum-Chemistry,QCEngine,270,0.22539444,3.617580766,2.662
Quantum-Chemistry,QCEngine,360,0.248550124,4.821872411,4.828
Quantum-Chemistry,QCEngine,450,0.166276635,5.727306319,8.119
Quantum-Chemistry,QCEngine,540,0.108785744,6.437007874,9.652
Quantum-Chemistry,QCEngine,630,0.13193667,5.845993923,12.506
Quantum-Chemistry,QCEngine,720,0.132239251,5.753424658,14.746
Quantum-Chemistry,QCEngine,810,0.061561914,5.792096623,17.056
Quantum-Chemistry,basis_set_exchange,0,2.830188679,13.86792453,0.212
Quantum-Chemistry,basis_set_exchange,90,0.232427102,4.952810255,7.099
Quantum-Chemistry,basis_set_exchange,180,0.062146112,0.803756387,7.241
Quantum-Chemistry,basis_set_exchange,270,0.014296607,1.40106748,10.492
Quantum-Chemistry,basis_set_exchange,360,0.026443367,1.888056413,11.345
Quantum-Chemistry,basis_set_exchange,450,0.071411569,2.139966675,12.603
Quantum-Chemistry,basis_set_exchange,540,0.046111282,2.566092837,13.012
Quantum-Chemistry,basis_set_exchange,630,0.045221586,2.625113054,13.268
Quantum-Chemistry,basis_set_exchange,720,0.044179368,2.577866137,13.581
Quantum-Chemistry,basis_set_exchange,810,0.096332927,2.019138141,15.571
Quantum-Chemistry,basis_set_exchange,900,0.09632674,2.019008477,15.572
Quantum-Chemistry,CheMPS2,0,0,0,0.001
Quantum-Chemistry,CheMPS2,90,0,16.02468048,4.538
Quantum-Chemistry,CheMPS2,180,0,0,4.538
Quantum-Chemistry,CheMPS2,270,0,0,4.538
Quantum-Chemistry,CheMPS2,360,0,0,4.538
Quantum-Chemistry,CheMPS2,450,0,1.272420342,4.739
Quantum-Chemistry,CheMPS2,540,0,3.578133628,5.433
Quantum-Chemistry,CheMPS2,630,0,3.488628026,5.452
Quantum-Chemistry,CheMPS2,720,0,2.125799906,6.407
Quantum-Chemistry,CheMPS2,810,0,2.155581948,6.736
Quantum-Chemistry,CheMPS2,900,0,2.14000296,6.757
Quantum-Chemistry,CheMPS2,990,0,2.14000296,6.757
Quantum-Chemistry,CheMPS2,1080,0,1.296433328,6.757
Quantum-Chemistry,CheMPS2,1170,0,1.296433328,6.757
Quantum-Chemistry,CheMPS2,1260,0,1.296433328,6.757
Quantum-Chemistry,CheMPS2,1350,0,1.296433328,6.757
Quantum-Chemistry,CheMPS2,1440,0,1.296433328,6.757
Quantum-Chemistry,libra-code,0,0,0,0.001
Quantum-Chemistry,libra-code,90,0.176880363,26.50600707,49.525
Quantum-Chemistry,libra-code,180,0,0,49.525
Quantum-Chemistry,libra-code,270,0,0,49.525
Quantum-Chemistry,libra-code,360,0,0,49.525
Quantum-Chemistry,libra-code,450,0,0,49.525
Quantum-Chemistry,libra-code,540,0,0,49.525
