project,Buginducing,Date,Modifiedfiles,LOC,TotalFixing,Bugfixing,FixingFiles,Tag,commitmessage
QuantumBFS/Yao.jl,9b7932a7f782ce75ec01b14e8b7eea134f6cd04a,2018-06-14T03:34:29Z,{'src/LuxurySparse/arraymath.jl': 7},7,1,{'8cacdf4a900933e72954a0449bfa39782b551e45'},{'src/LuxurySparse/arraymath.jl'},TRUE,
rigetti/pyquil,39f8050af8cae840cd85dce655935c8d17c1c74f,2018-06-11T15:39:11Z,"{'ACKNOWLEDGEMENTS.md': 2, 'DEVELOPMENT.md': 2, 'Makefile': 1, 'docs/source/changes.rst': 7, 'docs/source/start.rst': 4, 'pyquil/_parser/README.md': 3, 'pyquil/_parser/gen2/Quil.tokens': 97, 'pyquil/_parser/gen2/QuilLexer.py': 277, 'pyquil/_parser/gen2/QuilLexer.tokens': 97, 'pyquil/_parser/gen2/QuilListener.py': 447, 'pyquil/_parser/gen2/QuilParser.py': 3163, 'pyquil/_parser/gen2/__init__.py': 0, 'setup.py': 21}",4121,1,{'a952c3df9afaf40b076734a9a37f93d09d3b399f'},{'docs/source/start.rst'},FALSE,
quantumlib/Cirq,40e82359dc131181f70a028b546dc5563d0a25e8,2019-07-10T03:28:28Z,"{'cirq/_compat.py': 11, 'cirq/circuits/circuit.py': 19, 'cirq/circuits/circuit_test.py': 156, 'cirq/contrib/tpu/circuit_to_tensorflow_test.py': 2, 'cirq/ops/display_test.py': 2, 'cirq/ops/pauli_string_test.py': 2, 'cirq/sim/sparse_simulator_test.py': 3, 'cirq/sim/wave_function_simulator.py': 2, 'dev_tools/profiling/benchmark_simulators.py': 2}",199,5,"{'31b5436df412353a52b71ddded9e3630ebf3c3d9', '890282070b0ef83e74747557a5d7dd7456d529e7', '042b265c59f12db20fd595bcc4a62779415becb0', '040c33580f7a26f25fbe6c1664d8bd5f7fca70c2', '0c2c1c51cc7bdcb7465c0a00e18b2408b80ae94f'}","{'cirq/circuits/circuit_test.py', 'cirq/circuits/circuit.py', 'cirq/_compat.py', 'cirq/ops/display_test.py', 'cirq/contrib/tpu/circuit_to_tensorflow_test.py'}",TRUE,
softwareQinc/staq,67e2db0314cbf05feae9ec8f13a2a974c8f7d201,2019-07-17T19:47:17Z,{'include/mapping/device.hpp': 27},27,3,"{'7629cad38c02731924a14e8c8b71ad241c4b30db', '86c1d12ada7f19fcae64957db98ecaf8f716beb4', '21556bf42f7bfa3fc782ce026a15d9821d064d83'}",{'include/mapping/device.hpp'},TRUE,
microsoft/qmt,a13614df419da31ef8f2a4e5f056b3ddb46bd55d,2018-09-24T15:27:56Z,"{'doc/_build/doctrees/environment.pickle': 0, 'doc/_build/doctrees/rst/tutorial.doctree': 0, 'doc/_build/doctrees/source/modules.doctree': 0, 'doc/_build/html/.buildinfo': 2, 'doc/_build/html/_images/classes.png': 0, 'doc/_build/html/_modules/index.html': 6, 'doc/_build/html/_modules/qmt/data/data_utils.html': 6, 'doc/_build/html/_modules/qmt/data/density_data.html': 6, 'doc/_build/html/_modules/qmt/data/geo_data.html': 6, 'doc/_build/html/_modules/qmt/data/mobility_data.html': 6, 'doc/_build/html/_modules/qmt/data/part_data.html': 6, 'doc/_build/html/_modules/qmt/data/schrodinger_poisson_data.html': 6, 'doc/_build/html/_modules/qmt/data/template.html': 6, 'doc/_build/html/_modules/qmt/data/thomas_fermi_data.html': 6, 'doc/_build/html/_modules/qmt/geometry/freecad/auxiliary.html': 6, 'doc/_build/html/_modules/qmt/geometry/freecad/fileIO.html': 6, 'doc/_build/html/_modules/qmt/geometry/freecad/geomUtils.html': 6, 'doc/_build/html/_modules/qmt/geometry/freecad/objectConstruction.html': 6, 'doc/_build/html/_modules/qmt/geometry/freecad/run.html': 6, 'doc/_build/html/_modules/qmt/geometry/freecad/sketchUtils.html': 6, 'doc/_build/html/_modules/qmt/geometry/freecad_wrapper.html': 6, 'doc/_build/html/_modules/qmt/geometry/property_map.html': 6, 'doc/_build/html/_modules/qmt/materials.html': 22, 'doc/_build/html/_modules/qmt/physics_constants.html': 10, 'doc/_build/html/_modules/qmt/tasks/basic/geometry.html': 6, 'doc/_build/html/_modules/qmt/tasks/basic/reduce_dim.html': 6, 'doc/_build/html/_modules/qmt/tasks/sweep.html': 6, 'doc/_build/html/_modules/qmt/tasks/task.html': 6, 'doc/_build/html/_modules/qmt/visualization/density_1d_plot.html': 6, 'doc/_build/html/_modules/qmt/visualization/density_2d_plot.html': 6, 'doc/_build/html/_modules/qmt/visualization/mobility_plots.html': 6, 'doc/_build/html/_modules/qmt/visualization/plot.html': 6, 'doc/_build/html/_modules/qmt/visualization/plot_helpers.html': 6, 'doc/_build/html/_sources/rst/tutorial.rst.txt': 70, 'doc/_build/html/_static/favicon.ico': 0, 'doc/_build/html/genindex.html': 6, 'doc/_build/html/index.html': 9, 'doc/_build/html/objects.inv': 0, 'doc/_build/html/py-modindex.html': 8, 'doc/_build/html/rst/dev_overview.html': 6, 'doc/_build/html/rst/tutorial.html': 169, 'doc/_build/html/search.html': 6, 'doc/_build/html/searchindex.js': 2, 'doc/_build/html/source/modules.html': 6, 'doc/_build/html/source/qmt.data.html': 6, 'doc/_build/html/source/qmt.geometry.freecad.html': 6, 'doc/_build/html/source/qmt.geometry.html': 6, 'doc/_build/html/source/qmt.html': 6, 'doc/_build/html/source/qmt.tasks.basic.html': 6, 'doc/_build/html/source/qmt.tasks.html': 6, 'doc/_build/html/source/qmt.tasks.ms.html': 6, 'doc/_build/html/source/qmt.visualization.html': 6, 'doc/_static/favicon.ico': 0, 'doc/conf.py': 4, 'doc/rst/tutorial.rst': 70, 'doc/source/classes.png': 0, 'examples/geometry_sweep.py': 2, 'examples/task_hello.py': 56, 'examples/task_hello_sweep.py': 72, 'tests/conftest.py': 2, 'tests/py3/test_tasks.py': 82}",808,3,"{'60866ecbdaa092bdd548dd81114f0e4dcbd03ded', 'a12337af10c115f63fcaafc8a247750c98ae0756', 'c79cbfcc36cc78c4b1408014b43331c0d38d4c40'}","{'tests/conftest.py', 'doc/_build/html/_sources/rst/tutorial.rst.txt', 'examples/deprecated/task_hello.py', 'doc/_build/html/rst/tutorial.html', 'tests/py3/test_tasks.py', 'doc/conf.py', 'doc/rst/tutorial.rst', 'examples/deprecated/task_hello_sweep.py'}",Unclear,
dwavesystems/dwave-system,f2129c914037192520efd92418c1e2a960c288d4,2018-01-08T15:55:54Z,"{'dwave_virtual_graph/__init__.py': 5, 'dwave_virtual_graph/cache/__init__.py': 2, 'dwave_virtual_graph/cache/cache_manager.py': 28, 'dwave_virtual_graph/cache/database_manager.py': 397, 'dwave_virtual_graph/cache/schema.py': 102, 'dwave_virtual_graph/exceptions.py': 2, 'dwave_virtual_graph/flux_bias_offsets.py': 22, 'tests/mock_sampler.py': 5, 'tests/test_cache_manager.py': 13, 'tests/test_composites_virtual_graph.py': 2, 'tests/test_database_manager.py': 127}",705,1,{'23f5d9d76672b84168370663cd7ffce6f1bf0def'},{'tests/unit/test_database_manager.py'},TRUE,
arguelles/nuSQuIDS,ca69943a83a8e70cf68863ad616497484c6fc4aa,2015-02-17T00:49:52Z,{'resources/python/src/nuSQUIDSpy.cpp': 63},63,1,{'be15c03dfcc657d3fe195a20d25477df886a5e60'},{'resources/python/src/nuSQUIDSpy.cpp'},TRUE,
theQRL/QRL,f080bf64e94d5243399f4d28795d56cd08547d89,2018-07-09T12:16:36Z,{'src/qrl/protos/qrl.proto': 10},10,1,{'916a680cbc6282dd7ef1f595120df5e7b3e291b4'},{'src/qrl/protos/qrl.proto'},FALSE,
ValeevGroup/mpqc,8e18623b5a0494bdc91b3cdc30f6ed15102c6dff,1998-01-02T13:58:12Z,"{'mpqc/src/lib/math/optimize/Makefile': 4, 'mpqc/src/lib/math/optimize/linkage.h': 2, 'mpqc/src/lib/math/optimize/newton.cc': 225, 'mpqc/src/lib/math/optimize/newton.h': 73}",304,1,{'f3a08bc6b8cec562e3c591436468e6e79ad2e19e'},{'mpqc/src/lib/math/optimize/newton.cc'},TRUE,
zoran-cuckovic/QGIS-visibility-analysis,d95a407589bc0f2cf2711f6dafb53f362152a50c,2016-08-17T20:32:02Z,{'doViewshed.py': 2},2,1,{'dc59f71ba46e3578b8186a3c6bb44c7ee10e520b'},{'doViewshed.py'},TRUE,
