Id,FileName,AddedHash,CreatedAt,RenamedFrom,RenamedTo,RenamedAt,RenamedHash,RemovedHash,RemovedDate,Added,Removed,OldPath,NewPath,status,modifications,LastModifiedAt,LastModifiedHash
1,CONTRIBUTING,372ef74dd5dbf39835c043b02b9f029cb60c3066,2017-12-19 15:36:27-05:00,CONTRIBUTING,CONTRIBUTING.md,/2018-02-16 12:49:01-08:00,/7005127379958f87b5a4ee95b66e20b791306779,,,40,0,,,added,1,2018-02-05 10:19:55-08:00,5d3c8d29fe58a4b0cb8b3813318e2b6dba4bfbe1
2,LICENSE,372ef74dd5dbf39835c043b02b9f029cb60c3066,2017-12-19 15:36:27-05:00,LICENSE,LICENSE,,,,,205,4,,,added,2,2018-03-28 15:30:23-07:00,8248c06611d2d9a6e8d79fac376d9ce3bf91903f
3,README.md,372ef74dd5dbf39835c043b02b9f029cb60c3066,2017-12-19 15:36:27-05:00,README.md,README.rst,/2018-06-27 17:27:22-07:00,/c97d544693a98e5f29bf82597d1ce3e39d45fd76,,,126,69,,,added,23,2018-06-21 18:22:20-07:00,ad9e854113282a68b8118134314735c67c9394af
4,cirq/__init__.py,372ef74dd5dbf39835c043b02b9f029cb60c3066,2017-12-19 15:36:27-05:00,cirq/__init__.py,cirq/__init__.py,,,,,836,284,,,added,275,2020-09-30 13:49:48-07:00,5029af4e29197a81dba5c34f71612ae24b489ca9
5,cirq/apis/__init__.py,372ef74dd5dbf39835c043b02b9f029cb60c3066,2017-12-19 15:36:27-05:00,cirq/apis/__init__.py,cirq/api/__init__.py,/2018-02-04 18:48:44-08:00,/edb18ada66cf949657fbb8a3d7c664fecf374120,,,28,7,,,added,2,2018-02-01 12:45:57-08:00,8cb2ec93c6e9cf075f19ec1d472cad1ede12f6cb
7,cirq/apis/google/operations.proto,372ef74dd5dbf39835c043b02b9f029cb60c3066,2017-12-19 15:36:27-05:00,cirq/apis/google/operations.proto,cirq/apis/google/v1/operations.proto,/2018-01-17 23:19:03-08:00,/42915f4a171a5f9507780762c8045b30e7e20f00,,,107,0,,,added,0,,
8,cirq/apis/google/operations_pb2.py,372ef74dd5dbf39835c043b02b9f029cb60c3066,2017-12-19 15:36:27-05:00,cirq/apis/google/operations_pb2.py,cirq/apis/google/v1/operations_pb2.py,/2018-01-17 23:19:03-08:00,/42915f4a171a5f9507780762c8045b30e7e20f00,,,475,58,,,added,0,,
9,cirq/apis/google/params.proto,372ef74dd5dbf39835c043b02b9f029cb60c3066,2017-12-19 15:36:27-05:00,cirq/apis/google/params.proto,cirq/apis/google/v1/params.proto,/2018-01-17 23:19:03-08:00,/42915f4a171a5f9507780762c8045b30e7e20f00,,,69,0,,,added,0,,
10,cirq/apis/google/params_pb2.py,372ef74dd5dbf39835c043b02b9f029cb60c3066,2017-12-19 15:36:27-05:00,cirq/apis/google/params_pb2.py,cirq/apis/google/v1/params_pb2.py,/2018-01-17 23:19:03-08:00,/42915f4a171a5f9507780762c8045b30e7e20f00,,,459,56,,,added,0,,
11,cirq/apis/google/program.proto,372ef74dd5dbf39835c043b02b9f029cb60c3066,2017-12-19 15:36:27-05:00,cirq/apis/google/program.proto,cirq/apis/google/v1/program.proto,/2018-01-17 23:19:03-08:00,/42915f4a171a5f9507780762c8045b30e7e20f00,,,42,2,,,added,0,,
12,cirq/apis/google/program_pb2.py,372ef74dd5dbf39835c043b02b9f029cb60c3066,2017-12-19 15:36:27-05:00,cirq/apis/google/program_pb2.py,cirq/apis/google/v1/program_pb2.py,/2018-01-17 23:19:03-08:00,/42915f4a171a5f9507780762c8045b30e7e20f00,,,216,39,,,added,0,,
13,cirq/circuits/__init__.py,372ef74dd5dbf39835c043b02b9f029cb60c3066,2017-12-19 15:36:27-05:00,cirq/circuits/__init__.py,cirq/circuits/__init__.py,,,,,89,51,,,added,18,2020-05-08 18:45:22-05:00,a98041d079752badcb6f16c63d20e459fc2547ed
14,cirq/circuits/ascii.py,372ef74dd5dbf39835c043b02b9f029cb60c3066,2017-12-19 15:36:27-05:00,cirq/circuits/ascii.py,cirq/circuits/ascii_parser.py,/2018-02-15 16:26:22-08:00,/f10bbdf4c502ae811c677af430a9e419841c87f4,,,392,107,,,added,3,2018-02-13 19:52:58-08:00,da5c47976d15b196fee177b8200481b09eb33c96
15,cirq/circuits/ascii_test.py,372ef74dd5dbf39835c043b02b9f029cb60c3066,2017-12-19 15:36:27-05:00,cirq/circuits/ascii_test.py,cirq/circuits/ascii_parser_test.py,/2018-02-15 16:26:22-08:00,/f10bbdf4c502ae811c677af430a9e419841c87f4,,,267,46,,,added,3,2018-02-13 19:52:58-08:00,da5c47976d15b196fee177b8200481b09eb33c96
16,cirq/circuits/circuit.py,372ef74dd5dbf39835c043b02b9f029cb60c3066,2017-12-19 15:36:27-05:00,cirq/circuits/circuit.py,cirq/circuits/circuit.py,,,,,3817,1577,,,added,171,2020-09-29 08:23:03-07:00,b65e0b4ee3e32f7348d5df422190e75d3b90b46a
17,cirq/circuits/circuit_test.py,372ef74dd5dbf39835c043b02b9f029cb60c3066,2017-12-19 15:36:27-05:00,cirq/circuits/circuit_test.py,cirq/circuits/circuit_test.py,,,,,6343,2425,,,added,151,2020-09-29 08:23:03-07:00,b65e0b4ee3e32f7348d5df422190e75d3b90b46a
18,cirq/circuits/drop_negligible.py,372ef74dd5dbf39835c043b02b9f029cb60c3066,2017-12-19 15:36:27-05:00,cirq/circuits/drop_negligible.py,cirq/optimizers/drop_negligible.py,/2018-11-07 21:37:51-08:00,/5aac678433f1a827773264c0136fb0c86a098bf6,,,88,47,,,added,11,2018-10-19 12:41:42-07:00,01eb96a0ed8994481feaad567708483f21ae18d2
19,cirq/circuits/drop_negligible_test.py,372ef74dd5dbf39835c043b02b9f029cb60c3066,2017-12-19 15:36:27-05:00,cirq/circuits/drop_negligible_test.py,cirq/optimizers/drop_negligible_test.py,/2018-11-07 21:37:51-08:00,/5aac678433f1a827773264c0136fb0c86a098bf6,,,158,93,,,added,9,2018-10-14 16:26:07-07:00,98bf3b0075f8371af4ac6027bc39ad8fea4ed3e6
20,cirq/circuits/eject_z.py,372ef74dd5dbf39835c043b02b9f029cb60c3066,2017-12-19 15:36:27-05:00,cirq/circuits/eject_z.py,cirq/google/eject_z.py,/2018-02-22 13:36:17-08:00,/fed8d93ea0974029c5bf02d4b13aa623f04a6219,,,205,31,,,added,8,2018-02-15 17:01:30-08:00,64c53b599900dd89064c46cc6a50fc5be3922e22
21,cirq/circuits/eject_z_test.py,372ef74dd5dbf39835c043b02b9f029cb60c3066,2017-12-19 15:36:27-05:00,cirq/circuits/eject_z_test.py,cirq/google/eject_z_test.py,/2018-02-22 13:36:17-08:00,/fed8d93ea0974029c5bf02d4b13aa623f04a6219,,,269,75,,,added,7,2018-02-16 11:28:10-08:00,994efec86c74f9ceb7ac900c4da95d0895d84eea
