Id,FileName,AddedHash,CreatedAt,RenamedFrom,RenamedTo,RenamedAt,RenamedHash,RemovedHash,RemovedDate,Added,Removed,OldPath,NewPath,status,modifications,LastModifiedAt,LastModifiedHash
1,.gitattributes,2f5ef0a7be90f6bd042a8f960656dcb3a235a7ea,2017-10-04 10:34:35+02:00,,,,,,,17,0,,,added,0,,
2,README.md,99d6a76306e127c7589f88134005e6ecc50cdefa,2017-10-04 10:36:12+02:00,README.md,README.md,,,,,852,591,,,added,91,2020-06-16 19:46:41+02:00,dc72e4acb6dee82e2c94af798ff487b99b50e3aa
18,classic/css/buttons/appbutton_at_navbars_start.css,fda20076fa7447ca1086c3da60f5f303478e211c,2017-10-06 13:07:12+02:00,classic/css/buttons/appbutton_at_navbars_start.css,classic/css/buttons/appbutton_on_navbar_start_position.css,/2017-10-21 17:07:36+02:00,/e6f2dd60300c2da53c157f68b200cd636dfcc890,,,22,0,,,added,1,2017-10-12 18:56:07+02:00,cb4afe54cd2d3bf4a0219196530683b076caf37a
19,classic/css/buttons/appbutton_in_titlebar.css,fda20076fa7447ca1086c3da60f5f303478e211c,2017-10-06 13:07:12+02:00,classic/css/buttons/appbutton_in_titlebar.css,classic/css/appbutton/appbutton_in_titlebar.css,/2018-11-07 15:53:18+01:00,/c44f4baeba8edc9c98ab8e3357383a439844f522,,,678,332,,,added,24,2018-10-21 12:10:34+02:00,0c1e07e420cdd8d317f599055e4fcb260c2e532c
20,classic/css/buttons/appbutton_in_titlebar57.css,fda20076fa7447ca1086c3da60f5f303478e211c,2017-10-06 13:07:12+02:00,,,,,/afc6b7c2b9215d18904d41d0cb6ffe0a0f59706e,/2017-10-13 23:59:21+02:00,194,194,,,added/removed,0,,
21,classic/css/buttons/appbutton_in_titlebar_aurora.css,fda20076fa7447ca1086c3da60f5f303478e211c,2017-10-06 13:07:12+02:00,classic/css/buttons/appbutton_in_titlebar_aurora.css,classic/css/appbutton/appbutton_in_titlebar_aurora.css,/2018-11-07 15:53:18+01:00,/c44f4baeba8edc9c98ab8e3357383a439844f522,,,44,27,,,added,4,2018-03-16 09:44:43+01:00,947628f3f9c79435b109d89be0f12c28f753a375
22,classic/css/buttons/appbutton_in_titlebar_deved57p.css,fda20076fa7447ca1086c3da60f5f303478e211c,2017-10-06 13:07:12+02:00,classic/css/buttons/appbutton_in_titlebar_deved57p.css,classic/css/appbutton/appbutton_in_titlebar_deved57p.css,/2018-11-07 15:53:18+01:00,/c44f4baeba8edc9c98ab8e3357383a439844f522,,,45,28,,,added,5,2018-03-16 09:44:43+01:00,947628f3f9c79435b109d89be0f12c28f753a375
23,classic/css/buttons/appbutton_in_titlebar_nightly.css,fda20076fa7447ca1086c3da60f5f303478e211c,2017-10-06 13:07:12+02:00,classic/css/buttons/appbutton_in_titlebar_nightly.css,classic/css/appbutton/appbutton_in_titlebar_nightly.css,/2018-11-07 15:53:18+01:00,/c44f4baeba8edc9c98ab8e3357383a439844f522,,,44,26,,,added,4,2018-03-16 09:44:43+01:00,947628f3f9c79435b109d89be0f12c28f753a375
24,classic/css/buttons/appbutton_in_titlebar_nightly57p.css,fda20076fa7447ca1086c3da60f5f303478e211c,2017-10-06 13:07:12+02:00,classic/css/buttons/appbutton_in_titlebar_nightly57p.css,classic/css/appbutton/appbutton_in_titlebar_nightly57p.css,/2018-11-07 15:53:18+01:00,/c44f4baeba8edc9c98ab8e3357383a439844f522,,,48,30,,,added,5,2018-03-16 09:44:43+01:00,947628f3f9c79435b109d89be0f12c28f753a375
25,classic/css/buttons/appbutton_in_titlebar_palemoon.css,fda20076fa7447ca1086c3da60f5f303478e211c,2017-10-06 13:07:12+02:00,classic/css/buttons/appbutton_in_titlebar_palemoon.css,classic/css/appbutton/appbutton_in_titlebar_palemoon.css,/2018-11-07 15:53:18+01:00,/c44f4baeba8edc9c98ab8e3357383a439844f522,,,44,27,,,added,4,2018-03-16 09:44:43+01:00,947628f3f9c79435b109d89be0f12c28f753a375
