Id,FileName,AddedHash,CreatedAt,RenamedFrom,RenamedTo,RenamedAt,RenamedHash,RemovedHash,RemovedDate,Added,Removed,OldPath,NewPath,status,modifications,LastModifiedAt,LastModifiedHash
1,LICENSE,4ca00b89f44b819c74ec7ee17546e78f3c63032a,2016-07-19 11:51:30-04:00,,,,,,,21,0,,,added,0,,
2,CMakeLists.txt,3762f132dc7cf1f252ebb80ae084da663cd59ae3,2016-07-19 19:57:36-04:00,CMakeLists.txt,CMakeLists.txt,,,,,233,106,,,added,56,2019-10-15 18:34:14-04:00,d38fe23c26370b9ed37a399a52e7534a8bf3e7db
3,cmake/FindARPACK.cmake,3762f132dc7cf1f252ebb80ae084da663cd59ae3,2016-07-19 19:57:36-04:00,cmake/FindARPACK.cmake,cmake/FindARPACK.cmake,,,,,47,10,,,added,5,2016-12-15 18:59:52+01:00,a54f972cec96110174239df25b019d2a18072b27
4,main.cpp,3762f132dc7cf1f252ebb80ae084da663cd59ae3,2016-07-19 19:57:36-04:00,main.cpp,main.cpp,,,,,306,188,,,added,69,2019-10-16 13:46:30-04:00,7517dfb4a7d0072decd7f49ed3e09ae0aa2ee16c
5,src/CMakeLists.txt,3762f132dc7cf1f252ebb80ae084da663cd59ae3,2016-07-19 19:57:36-04:00,src/CMakeLists.txt,src/CMakeLists.txt,,,/97d18417bac422271e651760bed161503ab25bb4,/2016-09-22 12:16:22-04:00,18,18,,,added/removed,13,2016-09-15 11:16:31-04:00,136ffba33c22e46fac4c7120f3cf1254d13607ed
6,src/Combination.cpp,3762f132dc7cf1f252ebb80ae084da663cd59ae3,2016-07-19 19:57:36-04:00,src/Combination.cpp,src/SzSimmetry.cpp,/2016-07-21 13:58:50-04:00,/839059dc1d2854cb1545b1f9a33ba91684aedc58,,,6,1,,,added,0,,
211,src/Combination.h,ab7db5a974aab7e76a27022a16c025ba250f0880,2016-08-22 00:46:08-04:00,src/Combination.h,include/edlib/Combination.h,/2016-09-22 12:16:22-04:00,/97d18417bac422271e651760bed161503ab25bb4,,,132,54,,,added,3,2016-08-28 04:05:20-04:00,48e99000129e7ae123b78a5fed046e436ba8d260
8,src/Hamiltonian.cpp,3762f132dc7cf1f252ebb80ae084da663cd59ae3,2016-07-19 19:57:36-04:00,,,,,/97d18417bac422271e651760bed161503ab25bb4,/2016-09-22 12:16:22-04:00,8,8,,,added/removed,0,,
9,src/Hamiltonian.h,3762f132dc7cf1f252ebb80ae084da663cd59ae3,2016-07-19 19:57:36-04:00,src/Hamiltonian.h,include/edlib/Hamiltonian.h,/2016-09-22 12:16:22-04:00,/97d18417bac422271e651760bed161503ab25bb4,,,505,389,,,added,24,2016-09-14 12:38:01-04:00,9e7ae77e5b7ad95487974e03b44c3e64357b9b32
10,src/Sector.cpp,3762f132dc7cf1f252ebb80ae084da663cd59ae3,2016-07-19 19:57:36-04:00,src/Sector.cpp,src/Simmetry.cpp,/2016-07-21 13:58:50-04:00,/839059dc1d2854cb1545b1f9a33ba91684aedc58,,,6,1,,,added,0,,
11,src/Sector.h,3762f132dc7cf1f252ebb80ae084da663cd59ae3,2016-07-19 19:57:36-04:00,,,,,/839059dc1d2854cb1545b1f9a33ba91684aedc58,/2016-07-21 13:58:50-04:00,14,14,,,added/removed,0,,
12,src/SzCombination.cpp,3762f132dc7cf1f252ebb80ae084da663cd59ae3,2016-07-19 19:57:36-04:00,,,,,/839059dc1d2854cb1545b1f9a33ba91684aedc58,/2016-07-21 13:58:50-04:00,5,5,,,added/removed,0,,
13,src/SzCombination.h,3762f132dc7cf1f252ebb80ae084da663cd59ae3,2016-07-19 19:57:36-04:00,,,,,/839059dc1d2854cb1545b1f9a33ba91684aedc58,/2016-07-21 13:58:50-04:00,43,43,,,added/removed,0,,
15,.idea/vcs.xml,47b30ea0539fdb44a0c995f855ad9622318c32d5,2016-07-19 20:00:47-04:00,,,,,/392a93ef65e6f7e7e28ebb417095a4d26becb768,/2017-01-04 05:43:27-05:00,6,6,,,added/removed,0,,
17,lib/CMakeLists.txt,68680f53c4d0ea3f84e7707739a2cb6eb4b193c2,2016-07-20 11:28:04-04:00,lib/CMakeLists.txt,lib/CMakeLists.txt,,,,,20,11,,,added,8,2019-10-15 18:23:09-04:00,c7a852dd258dec9234d8f97dadc6efca09341c4a
18,lib/CRSStorage.cpp,68680f53c4d0ea3f84e7707739a2cb6eb4b193c2,2016-07-20 11:28:04-04:00,lib/CRSStorage.cpp,lib/CRSStorage.cpp,,,/97d18417bac422271e651760bed161503ab25bb4,/2016-09-22 12:16:22-04:00,6,6,,,added/removed,1,2016-07-21 20:38:31-04:00,925ba621ce538ee797d971854e3e12058b7d6863
19,lib/CRSStorage.h,68680f53c4d0ea3f84e7707739a2cb6eb4b193c2,2016-07-20 11:28:04-04:00,lib/CRSStorage.h,include/edlib/CRSStorage.h,/2016-09-22 12:16:22-04:00,/97d18417bac422271e651760bed161503ab25bb4,,,421,246,,,added,20,2016-09-14 12:38:01-04:00,9e7ae77e5b7ad95487974e03b44c3e64357b9b32
25,lib/darnoldi.f90,de4b7002524d40f7f565ff83cedb722e926c2c0d,2016-07-20 12:37:00-04:00,,,,,/839059dc1d2854cb1545b1f9a33ba91684aedc58,/2016-07-21 13:58:50-04:00,207,207,,,added/removed,0,,
26,lib/fortranbinding.h,de4b7002524d40f7f565ff83cedb722e926c2c0d,2016-07-20 12:37:00-04:00,lib/fortranbinding.h,include/edlib/fortranbinding.h,/2016-09-22 12:16:22-04:00,/97d18417bac422271e651760bed161503ab25bb4,,,51,11,,,added,6,2016-08-28 17:55:11-04:00,c12d6d5811ff13aae79c0618679d370e9f09570b
35,lib/Storage.cpp,839059dc1d2854cb1545b1f9a33ba91684aedc58,2016-07-21 13:58:50-04:00,,,,,/97d18417bac422271e651760bed161503ab25bb4,/2016-09-22 12:16:22-04:00,5,5,,,added/removed,0,,
36,lib/Storage.h,839059dc1d2854cb1545b1f9a33ba91684aedc58,2016-07-21 13:58:50-04:00,lib/Storage.h,include/edlib/Storage.h,/2016-09-22 12:16:22-04:00,/97d18417bac422271e651760bed161503ab25bb4,,,531,267,,,added,18,2016-09-20 19:45:26-04:00,de6688f7b0605997aad8331f923d28493888d237
37,lib/dummy.f90,839059dc1d2854cb1545b1f9a33ba91684aedc58,2016-07-21 13:58:50-04:00,,,,,,,3,0,,,added,0,,
10,src/Simmetry.cpp,3762f132dc7cf1f252ebb80ae084da663cd59ae3,2016-07-19 19:57:36-04:00,src/Simmetry.cpp,src/Symmetry.cpp,/2016-07-21 13:58:50-04:00/2016-07-21 20:38:31-04:00,/839059dc1d2854cb1545b1f9a33ba91684aedc58/925ba621ce538ee797d971854e3e12058b7d6863,,,7,2,,,added/renamed,0,,
42,src/Simmetry.h,839059dc1d2854cb1545b1f9a33ba91684aedc58,2016-07-21 13:58:50-04:00,src/Simmetry.h,src/Symmetry.h,/2016-07-21 20:38:31-04:00,/925ba621ce538ee797d971854e3e12058b7d6863,,,38,4,,,added,0,,
6,src/SzSimmetry.cpp,3762f132dc7cf1f252ebb80ae084da663cd59ae3,2016-07-19 19:57:36-04:00,src/SzSimmetry.cpp,src/SzSymmetry.cpp,/2016-07-21 13:58:50-04:00/2016-07-21 20:38:31-04:00,/839059dc1d2854cb1545b1f9a33ba91684aedc58/925ba621ce538ee797d971854e3e12058b7d6863,,,7,2,,,added/renamed,0,,
43,src/SzSimmetry.h,839059dc1d2854cb1545b1f9a33ba91684aedc58,2016-07-21 13:58:50-04:00,,,,,/925ba621ce538ee797d971854e3e12058b7d6863,/2016-07-21 20:38:31-04:00,77,77,,,added/removed,0,,
10,src/Symmetry.cpp,3762f132dc7cf1f252ebb80ae084da663cd59ae3,2016-07-19 19:57:36-04:00,src/Symmetry.cpp,examples/Symmetry.cpp,/2016-07-21 13:58:50-04:00/2016-07-21 20:38:31-04:00/2016-09-22 12:16:22-04:00,/839059dc1d2854cb1545b1f9a33ba91684aedc58/925ba621ce538ee797d971854e3e12058b7d6863/97d18417bac422271e651760bed161503ab25bb4,,,8,3,,,added/renamed/renamed,0,,
42,src/Symmetry.h,839059dc1d2854cb1545b1f9a33ba91684aedc58,2016-07-21 13:58:50-04:00,src/Symmetry.h,include/edlib/Symmetry.h,/2016-07-21 20:38:31-04:00/2016-09-22 12:16:22-04:00,/925ba621ce538ee797d971854e3e12058b7d6863/97d18417bac422271e651760bed161503ab25bb4,,,85,40,,,added/renamed,6,2016-08-28 04:05:20-04:00,48e99000129e7ae123b78a5fed046e436ba8d260
6,src/SzSymmetry.cpp,3762f132dc7cf1f252ebb80ae084da663cd59ae3,2016-07-19 19:57:36-04:00,src/SzSimmetry.cpp,src/SzSymmetry.cpp,/2016-07-21 13:58:50-04:00/2016-07-21 20:38:31-04:00,/839059dc1d2854cb1545b1f9a33ba91684aedc58/925ba621ce538ee797d971854e3e12058b7d6863,/97d18417bac422271e651760bed161503ab25bb4,/2016-09-22 12:16:22-04:00,7,7,,,added/renamed/renamed/removed,0,,
50,src/SzSymmetry.h,925ba621ce538ee797d971854e3e12058b7d6863,2016-07-21 20:38:31-04:00,src/SzSymmetry.h,include/edlib/SzSymmetry.h,/2016-09-22 12:16:22-04:00,/97d18417bac422271e651760bed161503ab25bb4,,,652,403,,,added,21,2016-09-22 11:21:20-04:00,765de1fb6948d1c6f0d1790678a84ed2d08a63a9
52,cmake/EnableGtests.cmake,67c1d1335f645b0a5ae0bf78ee3b0c0f557a5463,2016-07-22 13:52:29-04:00,cmake/EnableGtests.cmake,cmake/EnableGtests.cmake,,,,,93,5,,,added,2,2017-01-03 01:28:58-05:00,9bd90a3192c1752418bfbde27f2699fc59f94645
55,test/SzSymmetry_Test.cpp,67c1d1335f645b0a5ae0bf78ee3b0c0f557a5463,2016-07-22 13:52:29-04:00,test/SzSymmetry_Test.cpp,test/SzSymmetry_Test.cpp,,,,,59,19,,,added,7,2017-01-03 12:11:47-05:00,46535a28ddc81825eacccdf43c119462336cfe88
59,lib/SOCRSStorage.h,5a79fb96d8f557617be79c986105eab3282fdb95,2016-07-28 13:10:41-04:00,lib/SOCRSStorage.h,include/edlib/SOCRSStorage.h,/2016-09-22 12:16:22-04:00,/97d18417bac422271e651760bed161503ab25bb4,,,596,326,,,added,20,2016-09-22 11:21:20-04:00,765de1fb6948d1c6f0d1790678a84ed2d08a63a9
62,scripts/generate_input.py,5a79fb96d8f557617be79c986105eab3282fdb95,2016-07-28 13:10:41-04:00,scripts/generate_input.py,scripts/generate_hubbard_model_input.py,/2016-09-30 15:48:10-04:00,/8ea9d2912cbd22529e730d8981af5005802ae889,,,97,53,,,added,5,2016-08-24 17:48:43-04:00,a8b0474f14cfb0ff8ae9f2cc9b484f9de63a978f
64,src/EigenPair.h,5a79fb96d8f557617be79c986105eab3282fdb95,2016-07-28 13:10:41-04:00,src/EigenPair.h,include/edlib/EigenPair.h,/2016-09-22 12:16:22-04:00,/97d18417bac422271e651760bed161503ab25bb4,,,91,37,,,added,3,2016-09-20 19:45:26-04:00,de6688f7b0605997aad8331f923d28493888d237
83,input/hubbard.param,defdb1088e4376e62b7a825ce76881c3eea2e1b9,2016-07-28 18:02:13-04:00,input/hubbard.param,input/anderson/anderson.param,/2016-09-23 16:20:43-04:00,/a61b2544114eedbdbd540dff39ae1f4b712df3c1,,,34,18,,,added,11,2016-08-24 17:48:43-04:00,a8b0474f14cfb0ff8ae9f2cc9b484f9de63a978f
100,src/HubbardModel.h,a7720a23862915ab3cca0867f280be26c6ca8985,2016-07-29 14:31:31-04:00,src/HubbardModel.h,include/edlib/HubbardModel.h,/2016-09-22 12:16:22-04:00,/97d18417bac422271e651760bed161503ab25bb4,,,528,261,,,added,11,2016-08-28 04:05:20-04:00,48e99000129e7ae123b78a5fed046e436ba8d260
105,.idea/EDLib.iml,4d5ba8883b0b0c4a9440afccda7986e5415315a1,2016-08-01 12:34:25-04:00,.idea/EDLib.iml,.idea/EDLib.iml,,,/392a93ef65e6f7e7e28ebb417095a4d26becb768,/2017-01-04 05:43:27-05:00,616,616,,,added/removed,21,2017-01-03 19:32:36-05:00,a29610e23fbd54b5676389b708e0aae9b5f9f84d
106,.idea/misc.xml,4d5ba8883b0b0c4a9440afccda7986e5415315a1,2016-08-01 12:34:25-04:00,.idea/misc.xml,.idea/misc.xml,,,/392a93ef65e6f7e7e28ebb417095a4d26becb768,/2017-01-04 05:43:27-05:00,12,12,,,added/removed,1,2017-01-03 19:32:36-05:00,a29610e23fbd54b5676389b708e0aae9b5f9f84d
107,.idea/modules.xml,4d5ba8883b0b0c4a9440afccda7986e5415315a1,2016-08-01 12:34:25-04:00,,,,,/392a93ef65e6f7e7e28ebb417095a4d26becb768,/2017-01-04 05:43:27-05:00,8,8,,,added/removed,0,,
117,src/GreensFunction.h,1300607286afbc6cfd8601683e79c2a268445ff0,2016-08-02 14:51:38-04:00,src/GreensFunction.h,include/edlib/GreensFunction.h,/2016-09-22 12:16:22-04:00,/97d18417bac422271e651760bed161503ab25bb4,,,191,104,,,added,13,2016-09-05 14:20:18-04:00,6462cd9ac8b3e898ff7f9c588884ae2b6b97a79d
120,src/Lanczos.h,1300607286afbc6cfd8601683e79c2a268445ff0,2016-08-02 14:51:38-04:00,src/Lanczos.h,include/edlib/Lanczos.h,/2016-09-22 12:16:22-04:00,/97d18417bac422271e651760bed161503ab25bb4,,,231,106,,,added,8,2016-09-05 14:45:01-04:00,6dd0fe8b6b061841137444b002a13c69d8da53b3
165,src/EDParams.h,4a7d25598c7441df5a13d552d1af13231f363441,2016-08-18 13:44:31-04:00,src/EDParams.h,lib/EDParams.h,/2016-08-18 13:53:25-04:00,/f79e4687d22a3d2ccb8c16b7a87bd20abd48d16a,,,42,0,,,added,0,,
165,lib/EDParams.h,4a7d25598c7441df5a13d552d1af13231f363441,2016-08-18 13:44:31-04:00,lib/EDParams.h,include/edlib/EDParams.h,/2016-08-18 13:53:25-04:00/2016-09-22 12:16:22-04:00,/f79e4687d22a3d2ccb8c16b7a87bd20abd48d16a/97d18417bac422271e651760bed161503ab25bb4,,,81,34,,,added/renamed,4,2016-09-05 14:20:18-04:00,6462cd9ac8b3e898ff7f9c588884ae2b6b97a79d
213,src/NSymmetry.h,ab7db5a974aab7e76a27022a16c025ba250f0880,2016-08-22 00:46:08-04:00,src/NSymmetry.h,include/edlib/NSymmetry.h,/2016-09-22 12:16:22-04:00,/97d18417bac422271e651760bed161503ab25bb4,,,301,150,,,added,5,2016-08-28 17:55:11-04:00,c12d6d5811ff13aae79c0618679d370e9f09570b
214,src/NSymmetryWithBoson.h,ab7db5a974aab7e76a27022a16c025ba250f0880,2016-08-22 00:46:08-04:00,src/NSymmetryWithBoson.h,include/edlib/NSymmetryWithBoson.h,/2016-09-22 12:16:22-04:00,/97d18417bac422271e651760bed161503ab25bb4,,,300,157,,,added,6,2016-08-28 04:05:20-04:00,48e99000129e7ae123b78a5fed046e436ba8d260
218,test/NSymmetryWithBoson_Test.cpp,ab7db5a974aab7e76a27022a16c025ba250f0880,2016-08-22 00:46:08-04:00,test/NSymmetryWithBoson_Test.cpp,test/NSymmetryWithBoson_Test.cpp,,,/cf225499c6da4b87cca89327b6f5d7d4c3dd4c68,/2016-10-18 14:26:20-04:00,23,23,,,added/removed,2,2016-09-22 12:16:22-04:00,97d18417bac422271e651760bed161503ab25bb4
219,test/NSymmetry_Test.cpp,ab7db5a974aab7e76a27022a16c025ba250f0880,2016-08-22 00:46:08-04:00,test/NSymmetry_Test.cpp,test/NSymmetry_Test.cpp,,,,,27,5,,,added,4,2017-01-03 12:11:47-05:00,46535a28ddc81825eacccdf43c119462336cfe88
233,src/HolsteinAndersonModel.h,ce2a6ebace7534be66697787c9ffc15ac8323708,2016-08-22 01:29:34-04:00,src/HolsteinAndersonModel.h,include/edlib/HolsteinAndersonModel.h,/2016-09-22 12:16:22-04:00,/97d18417bac422271e651760bed161503ab25bb4,,,417,197,,,added,4,2016-08-28 04:05:20-04:00,48e99000129e7ae123b78a5fed046e436ba8d260
