Id,FileName,AddedHash,CreatedAt,RenamedFrom,RenamedTo,RenamedAt,RenamedHash,RemovedHash,RemovedDate,Added,Removed,OldPath,NewPath,status,modifications,LastModifiedAt,LastModifiedHash
1,LICENSE,28ab90c4a38d25e01d4d5be187e19a08c80a3495,2017-04-30 22:46:51-07:00,,,,,,,201,0,,,added,0,,
3,.gitignore,3a1b17418c0943867003e85928b0b9d63453760e,2017-05-08 01:56:35-07:00,.gitignore,.gitignore,,,,,77,3,,,added,2,2017-07-18 22:14:15-07:00,544b3d9cf5e25d7a6b0dd1b05ccbd89ec22a15e5
4,.travis.yml,3a1b17418c0943867003e85928b0b9d63453760e,2017-05-08 01:56:35-07:00,.travis.yml,.travis.yml,,,,,53,3,,,added,3,2017-08-07 08:11:22+02:00,5ea9ff45f858a3f08a3efa3151d56e0b7d99b8e0
5,MANIFEST.in,3a1b17418c0943867003e85928b0b9d63453760e,2017-05-08 01:56:35-07:00,,,,,,,8,0,,,added,0,,
6,NOTICE,3a1b17418c0943867003e85928b0b9d63453760e,2017-05-08 01:56:35-07:00,,,,,,,19,0,,,added,0,,
7,README.rst,3a1b17418c0943867003e85928b0b9d63453760e,2017-05-08 01:56:35-07:00,README.rst,README.rst,,,,,103,31,,,added,11,2018-03-06 23:27:57-08:00,9aef7d5a912ebe759a2877c8aea5754a4db93543
9,docs/Makefile,3a1b17418c0943867003e85928b0b9d63453760e,2017-05-08 01:56:35-07:00,,,,,,,225,0,,,added,0,,
10,docs/conf.py,3a1b17418c0943867003e85928b0b9d63453760e,2017-05-08 01:56:35-07:00,,,,,,,344,0,,,added,0,,
11,docs/examples.rst,3a1b17418c0943867003e85928b0b9d63453760e,2017-05-08 01:56:35-07:00,docs/examples.rst,docs/examples.rst,,,,,445,14,,,added,2,2017-06-23 11:34:45-07:00,5626f06972dcd07f0719612fec6fc3c64de01fe4
12,docs/fermilib.rst,3a1b17418c0943867003e85928b0b9d63453760e,2017-05-08 01:56:35-07:00,,,,,,,29,0,,,added,0,,
13,docs/index.rst,3a1b17418c0943867003e85928b0b9d63453760e,2017-05-08 01:56:35-07:00,,,,,,,18,0,,,added,0,,
14,docs/intro.rst,3a1b17418c0943867003e85928b0b9d63453760e,2017-05-08 01:56:35-07:00,docs/intro.rst,docs/intro.rst,,,,,70,6,,,added,3,2017-07-14 09:46:12-07:00,b5eed09ce1a3f9bc519d642df9e37b350b03d161
15,docs/make.bat,3a1b17418c0943867003e85928b0b9d63453760e,2017-05-08 01:56:35-07:00,,,,,,,281,0,,,added,0,,
16,examples/fermilib_demo.ipynb,3a1b17418c0943867003e85928b0b9d63453760e,2017-05-08 01:56:35-07:00,examples/fermilib_demo.ipynb,examples/fermilib_demo.ipynb,,,,,2481,953,,,added,12,2017-08-09 13:02:59-07:00,43daa47e90412deb4259e89a2f367b90c36a144d
17,examples/performance_benchmarks.py,3a1b17418c0943867003e85928b0b9d63453760e,2017-05-08 01:56:35-07:00,examples/performance_benchmarks.py,examples/performance_benchmarks.py,,,,,210,0,,,added,1,2017-09-06 11:50:44+02:00,1ecb9232dab64b7ad8a0c6db3ecd9276b0d91fbd
18,requirements.txt,3a1b17418c0943867003e85928b0b9d63453760e,2017-05-08 01:56:35-07:00,requirements.txt,requirements.txt,,,,,8,1,,,added,2,2017-08-11 14:35:03-04:00,4869809f21eceecd6805cc1d9b9397afd3505e6c
19,setup.py,3a1b17418c0943867003e85928b0b9d63453760e,2017-05-08 01:56:35-07:00,setup.py,setup.py,,,,,51,4,,,added,2,2017-09-06 11:50:44+02:00,1ecb9232dab64b7ad8a0c6db3ecd9276b0d91fbd
20,src/fermilib/__init__.py,3a1b17418c0943867003e85928b0b9d63453760e,2017-05-08 01:56:35-07:00,src/fermilib/__init__.py,src/fermilib/__init__.py,,,,,23,0,,,added,1,2017-09-06 11:50:44+02:00,1ecb9232dab64b7ad8a0c6db3ecd9276b0d91fbd
21,src/fermilib/_version.py,3a1b17418c0943867003e85928b0b9d63453760e,2017-05-08 01:56:35-07:00,src/fermilib/_version.py,src/fermilib/_version.py,,,,,19,3,,,added,4,2017-09-06 11:50:44+02:00,1ecb9232dab64b7ad8a0c6db3ecd9276b0d91fbd
22,src/fermilib/config.py,3a1b17418c0943867003e85928b0b9d63453760e,2017-05-08 01:56:35-07:00,src/fermilib/config.py,src/fermilib/config.py,,,,,23,0,,,added,1,2017-09-06 11:50:44+02:00,1ecb9232dab64b7ad8a0c6db3ecd9276b0d91fbd
156,src/fermilib/data/geometry_example.txt,3a1b17418c0943867003e85928b0b9d63453760e,2017-05-08 01:56:35-07:00,,,,,,,3,0,,,added,0,,
