Id,FileName,AddedHash,CreatedAt,RenamedFrom,RenamedTo,RenamedAt,RenamedHash,RemovedHash,RemovedDate,Added,Removed,OldPath,NewPath,status,modifications,LastModifiedAt,LastModifiedHash
1,.gitignore,42d1ec64ba6980c817b5b7abcb09ed1567d1fc5f,2018-08-23 14:12:58+02:00,.gitignore,.gitignore,,,,,69,15,,,added,18,2020-09-04 13:37:47+02:00,8a3a09e69d6ebc126e2f617455375e9a05e553cb
2,.travis.yml,42d1ec64ba6980c817b5b7abcb09ed1567d1fc5f,2018-08-23 14:12:58+02:00,.travis.yml,.travis.yml,,,/ded878b768cf15c591bfba1bb068026788040e70,/2020-09-01 17:40:41+02:00,654,638,,,added/removed,114,2020-08-11 09:53:58+02:00,54820590ba4ada7d5f27aae3aa587ff4eb9376bb
3,CMakeLists.txt,42d1ec64ba6980c817b5b7abcb09ed1567d1fc5f,2018-08-23 14:12:58+02:00,CMakeLists.txt,CMakeLists.txt,,,,,726,527,,,added,104,2020-09-08 10:49:57+02:00,442a23699d01ed6fa8c0160a92adde78faa9503d
4,CONTRIBUTORS,42d1ec64ba6980c817b5b7abcb09ed1567d1fc5f,2018-08-23 14:12:58+02:00,CONTRIBUTORS,CONTRIBUTORS,,,/c1a16393318b4968d8d75ee540ea335593f1b068,/2020-08-18 21:44:09+02:00,5,5,,,added/removed,2,2019-01-30 14:02:29+01:00,30b3f8c90a2f9c6e656423f015f1a0083dc4cfc3
5,LICENSE,42d1ec64ba6980c817b5b7abcb09ed1567d1fc5f,2018-08-23 14:12:58+02:00,,,,,,,165,0,,,added,0,,
6,README.md,42d1ec64ba6980c817b5b7abcb09ed1567d1fc5f,2018-08-23 14:12:58+02:00,README.md,README.md,,,,,314,302,,,added,49,2020-08-18 20:45:30+02:00,e9518a93cb1caec170489bff0d9175e89a0f3c33
7,cmake/Config.cmake.in,42d1ec64ba6980c817b5b7abcb09ed1567d1fc5f,2018-08-23 14:12:58+02:00,cmake/Config.cmake.in,cmake/Parse/Config.cmake.in,/2019-01-30 14:02:29+01:00,/30b3f8c90a2f9c6e656423f015f1a0083dc4cfc3,,,17,0,,,added,0,,
8,cmake/ConfigVersion.cmake.in,42d1ec64ba6980c817b5b7abcb09ed1567d1fc5f,2018-08-23 14:12:58+02:00,cmake/ConfigVersion.cmake.in,cmake/Parse/ConfigVersion.cmake.in,/2019-01-30 14:02:29+01:00,/30b3f8c90a2f9c6e656423f015f1a0083dc4cfc3,,,18,0,,,added,0,,
9,cmake/ConfigureExecutable.cmake,42d1ec64ba6980c817b5b7abcb09ed1567d1fc5f,2018-08-23 14:12:58+02:00,cmake/ConfigureExecutable.cmake,cmake/Configure/ConfigureExecutable.cmake,/2018-12-12 12:28:17+01:00,/8005760516218cd513b3795c4fd79a71714e96dd,,,60,43,,,added,7,2018-12-07 15:04:24+01:00,af2d878903b3c4c04c51b28399d9f9abdaf686c5
10,cmake/ConfigureLibrary.cmake,42d1ec64ba6980c817b5b7abcb09ed1567d1fc5f,2018-08-23 14:12:58+02:00,cmake/ConfigureLibrary.cmake,cmake/Configure/ConfigureLibrary.cmake,/2018-12-12 12:28:17+01:00,/8005760516218cd513b3795c4fd79a71714e96dd,,,82,25,,,added,13,2018-12-07 15:04:24+01:00,af2d878903b3c4c04c51b28399d9f9abdaf686c5
5663,cmake/FindEigen3.cmake,ed116985d19cbb3b9ccad5bd1a90b1b1b014c4d9,2019-06-05 12:36:06+02:00,,,,,,,106,0,,,added,0,,
12,cmake/FindPackages.cmake,42d1ec64ba6980c817b5b7abcb09ed1567d1fc5f,2018-08-23 14:12:58+02:00,cmake/FindPackages.cmake,cmake/Find/FindPackages.cmake,/2018-12-13 18:31:34+01:00,/0e60f2f23b15d9e337a0bddb77ca7072b6ae884b,,,59,23,,,added,18,2018-12-06 15:45:32+01:00,f3f7de914ecb1d1ce7c3d49721e04bf8ab093875
13,cmake/InstallLibrary.cmake,42d1ec64ba6980c817b5b7abcb09ed1567d1fc5f,2018-08-23 14:12:58+02:00,cmake/InstallLibrary.cmake,cmake/InstallLibrary.cmake,,,/30b3f8c90a2f9c6e656423f015f1a0083dc4cfc3,/2019-01-30 14:02:29+01:00,39,39,,,added/removed,2,2018-12-17 15:00:34+01:00,c22707cdaec01b6744fdb24e25ee391315fd24bb
14,cmake/SetCMakeEnvironment.cmake,42d1ec64ba6980c817b5b7abcb09ed1567d1fc5f,2018-08-23 14:12:58+02:00,cmake/SetCMakeEnvironment.cmake,cmake/SetCMakeEnvironment.cmake,,,/30b3f8c90a2f9c6e656423f015f1a0083dc4cfc3,/2019-01-30 14:02:29+01:00,482,459,,,added/removed,96,2019-01-23 14:06:18+01:00,5c9d2c07cf7ce7f590bc8f3b60c5706415088213
16,docs/Temp.puml,42d1ec64ba6980c817b5b7abcb09ed1567d1fc5f,2018-08-23 14:12:58+02:00,,,,,/75477c786a0db21c8fc190c2040998fcb0558bd8,/2018-08-23 14:16:19+02:00,44,44,,,added/removed,0,,
1281,exe/CMakeLists.txt,74b013ec35e3b881dfffdc51e92b77bce61552e3,2018-10-26 07:47:34+02:00,exe/CMakeLists.txt,exe/CMakeLists.txt,,,/0e60f2f23b15d9e337a0bddb77ca7072b6ae884b,/2018-12-13 19:48:11+01:00,27,27,,,added/removed,2,2018-12-12 12:28:17+01:00,8005760516218cd513b3795c4fd79a71714e96dd
18,exe/main.cpp,42d1ec64ba6980c817b5b7abcb09ed1567d1fc5f,2018-08-23 14:12:58+02:00,,,,,/0e0278e808faeae8e5607cc484e99d4a20f6bceb,/2018-09-03 15:14:12+02:00,66,66,,,added/removed,0,,
19,include/temp.hpp,42d1ec64ba6980c817b5b7abcb09ed1567d1fc5f,2018-08-23 14:12:58+02:00,,,,,/0e0278e808faeae8e5607cc484e99d4a20f6bceb,/2018-09-03 15:14:12+02:00,27,27,,,added/removed,0,,
20,include/version.hpp.in,42d1ec64ba6980c817b5b7abcb09ed1567d1fc5f,2018-08-23 14:12:58+02:00,include/version.hpp.in,cmake/Parse/version.hpp.in,/2019-01-30 14:02:29+01:00,/30b3f8c90a2f9c6e656423f015f1a0083dc4cfc3,,,30,1,,,added,1,2018-10-19 11:18:53+02:00,5a5c55361523ff943ca110de433e608b2fb8d7bc
21,src/CMakeLists.txt,42d1ec64ba6980c817b5b7abcb09ed1567d1fc5f,2018-08-23 14:12:58+02:00,src/CMakeLists.txt,gqcp/src/CMakeLists.txt,/2020-01-14 12:26:34+01:00,/dd56a8d8f6b60c4f7f7c2e87c3b95980e55ef2a5,,,83,60,,,added,30,2019-07-03 11:00:05+02:00,feae4d5848b73999748199aa3cc1302bc877b911
22,src/example_src.cpp,42d1ec64ba6980c817b5b7abcb09ed1567d1fc5f,2018-08-23 14:12:58+02:00,,,,,/0e0278e808faeae8e5607cc484e99d4a20f6bceb,/2018-09-03 15:14:12+02:00,26,26,,,added/removed,0,,
23,tests/CMakeLists.txt,42d1ec64ba6980c817b5b7abcb09ed1567d1fc5f,2018-08-23 14:12:58+02:00,tests/CMakeLists.txt,gqcp/tests/CMakeLists.txt,/2020-01-14 12:26:34+01:00,/dd56a8d8f6b60c4f7f7c2e87c3b95980e55ef2a5,,,199,157,,,added,25,2019-09-06 17:12:14+02:00,8c1c25227a5f0e27437c59bf4c5601c9dd3e61ac
24,tests/example_test.cpp,42d1ec64ba6980c817b5b7abcb09ed1567d1fc5f,2018-08-23 14:12:58+02:00,,,,,/0e0278e808faeae8e5607cc484e99d4a20f6bceb,/2018-09-03 15:14:12+02:00,16,16,,,added/removed,0,,
25,tools/HEADER,42d1ec64ba6980c817b5b7abcb09ed1567d1fc5f,2018-08-23 14:12:58+02:00,tools/HEADER,tools/HEADER,,,,,40,24,,,added,6,2020-04-24 13:51:59+02:00,981405650f141563f4e44400a3373a1ee1c3346c
26,tools/update_copyright_headers.py,42d1ec64ba6980c817b5b7abcb09ed1567d1fc5f,2018-08-23 14:12:58+02:00,,,,,/5a5c55361523ff943ca110de433e608b2fb8d7bc,/2018-10-19 11:19:03+02:00,61,61,,,added/removed,0,,
28,docs/gqcg.puml,75477c786a0db21c8fc190c2040998fcb0558bd8,2018-08-23 14:16:19+02:00,docs/gqcg.puml,docs/gqcp.puml,/2018-10-19 12:29:59+02:00,/d36234f6b06201c7bcc09701ba9d68d693ff71cd,,,312,83,,,added,6,2018-10-19 09:05:34+02:00,f0960aff9e37c4685d7b302ab43cd7148567f12c
34,include/Atom.hpp,0e0278e808faeae8e5607cc484e99d4a20f6bceb,2018-09-03 15:14:12+02:00,include/Atom.hpp,include/Molecule/Atom.hpp,/2019-07-01 15:55:10+02:00,/c5d505929f6aaee0da6bc9cb04b0e1699bca6c69,,,178,56,,,added,13,2019-06-26 11:39:28+02:00,bf321d97a91afada8a2018e2594fb02d5ab9ba3e
35,include/Molecule.hpp,0e0278e808faeae8e5607cc484e99d4a20f6bceb,2018-09-03 15:14:12+02:00,include/Molecule.hpp,include/Molecule/Molecule.hpp,/2019-07-01 15:55:10+02:00,/c5d505929f6aaee0da6bc9cb04b0e1699bca6c69,,,290,161,,,added,24,2019-03-04 14:49:40+01:00,eb0f4ecaad32779380ef2f9e49659c81ef7a794e
36,include/elements.hpp,0e0278e808faeae8e5607cc484e99d4a20f6bceb,2018-09-03 15:14:12+02:00,include/elements.hpp,gqcp/include/Molecule/elements.hpp,/2020-01-14 12:26:34+01:00,/dd56a8d8f6b60c4f7f7c2e87c3b95980e55ef2a5,,,59,14,,,added,5,2019-08-21 12:25:27+02:00,60a7ce4795ca0027519153a735f86fea017f8461
37,include/units.hpp,0e0278e808faeae8e5607cc484e99d4a20f6bceb,2018-09-03 15:14:12+02:00,include/units.hpp,gqcp/include/Utilities/units.hpp,/2020-01-14 12:26:34+01:00,/dd56a8d8f6b60c4f7f7c2e87c3b95980e55ef2a5,,,74,21,,,added,8,2019-08-21 12:25:27+02:00,60a7ce4795ca0027519153a735f86fea017f8461
38,src/Atom.cpp,0e0278e808faeae8e5607cc484e99d4a20f6bceb,2018-09-03 15:14:12+02:00,src/Atom.cpp,src/Molecule/Atom.cpp,/2019-07-01 15:55:10+02:00,/c5d505929f6aaee0da6bc9cb04b0e1699bca6c69,,,227,56,,,added,11,2019-03-29 10:04:38+01:00,4a27e9124caed187f6c97dcfe6fa26792bbac16e
40,src/Molecule.cpp,0e0278e808faeae8e5607cc484e99d4a20f6bceb,2018-09-03 15:14:12+02:00,src/Molecule.cpp,src/Molecule/Molecule.cpp,/2019-07-01 15:55:10+02:00,/c5d505929f6aaee0da6bc9cb04b0e1699bca6c69,,,579,269,,,added,17,2019-06-11 20:37:07+02:00,3862dab7cd4c6823d197c347998339c0bf380f2a
41,src/elements.cpp,0e0278e808faeae8e5607cc484e99d4a20f6bceb,2018-09-03 15:14:12+02:00,src/elements.cpp,gqcp/src/elements.cpp,/2020-01-14 12:26:34+01:00,/dd56a8d8f6b60c4f7f7c2e87c3b95980e55ef2a5,,,99,5,,,added,4,2019-01-30 15:04:33+01:00,b034b07cbf3e25db6296ed58cf9ff0c586c40df1
42,tests/Atom_test.cpp,0e0278e808faeae8e5607cc484e99d4a20f6bceb,2018-09-03 15:14:12+02:00,tests/Atom_test.cpp,tests/Molecule/Atom_test.cpp,/2019-07-01 15:55:10+02:00,/c5d505929f6aaee0da6bc9cb04b0e1699bca6c69,,,156,27,,,added,6,2019-05-23 13:49:34+02:00,f3d721f022e6fb0ecac8c90687b5ce36f46fe422
43,tests/Molecule_test.cpp,0e0278e808faeae8e5607cc484e99d4a20f6bceb,2018-09-03 15:14:12+02:00,tests/Molecule_test.cpp,tests/Molecule/Molecule_test.cpp,/2019-07-01 15:55:10+02:00,/c5d505929f6aaee0da6bc9cb04b0e1699bca6c69,,,421,95,,,added,15,2019-06-11 21:09:23+02:00,fae4b75337476fdbe9ce2825a93e21589c3abe5b
479,tests/data/h2.xyz,3b5700c41931a5b642ae283b4d117ff6c2ca8f64,2018-10-15 13:54:07+02:00,tests/data/h2.xyz,gqcp/tests/data/h2.xyz,/2020-01-14 12:26:34+01:00,/dd56a8d8f6b60c4f7f7c2e87c3b95980e55ef2a5,,,4,0,,,added,0,,
45,tests/data/h2o.xyz,0e0278e808faeae8e5607cc484e99d4a20f6bceb,2018-09-03 15:14:12+02:00,tests/data/h2o.xyz,gqcp/tests/data/h2o.xyz,/2020-01-14 12:26:34+01:00,/dd56a8d8f6b60c4f7f7c2e87c3b95980e55ef2a5,,,5,0,,,added,0,,
46,tests/elements_test.cpp,0e0278e808faeae8e5607cc484e99d4a20f6bceb,2018-09-03 15:14:12+02:00,tests/elements_test.cpp,gqcp/tests/elements_test.cpp,/2020-01-14 12:26:34+01:00,/dd56a8d8f6b60c4f7f7c2e87c3b95980e55ef2a5,,,50,12,,,added,7,2019-08-21 12:25:27+02:00,60a7ce4795ca0027519153a735f86fea017f8461
51,tools/conda.recipe/build.sh,72c2270da0b568591dcfac66932e781045d0cc50,2018-09-05 15:48:04+02:00,,,,,,,6,0,,,added,0,,
52,tools/conda.recipe/meta.yaml,72c2270da0b568591dcfac66932e781045d0cc50,2018-09-05 15:48:04+02:00,tools/conda.recipe/meta.yaml,tools/conda.recipe/meta.yaml,,,,,8,1,,,added,1,2018-10-19 09:05:34+02:00,f0960aff9e37c4685d7b302ab43cd7148567f12c
59,include/JacobiRotationParameters.hpp,4ed7d0f028b2ed12a26df3807e2921c0c864663a,2018-09-19 08:53:08+02:00,include/JacobiRotationParameters.hpp,include/OrbitalOptimization/JacobiRotationParameters.hpp,/2019-06-10 09:19:40+02:00,/d0ed326269038a9a5392bdf904a1178db319d822,,,106,37,,,added,10,2019-03-05 10:51:53+01:00,d2acdcc1db89434ef51c2a8c047a10e9e9ab6709
3393,include/Operator/BaseOperator.hpp,b656feae00b92a5f8fa134888d679d1ac8efab7f,2019-02-14 15:15:00+01:00,include/Operator/BaseOperator.hpp,include/Operator/SecondQuantized/BaseSQOperator.hpp,/2019-06-30 22:09:45+02:00/2019-06-30 22:09:45+02:00/2019-08-23 14:40:46+02:00,/ca4ecf99cfebf883d3c21f191ecb704ddb704bc9/f071c75e3185e01c893aba63d357ba754977c477/c41a102e14998a942fe0238ca58820554a666a18,,,121,47,,,added/renamed,12,2019-08-22 20:56:39+02:00,38fec94c591529bc175adea151fc414bfcc72649
61,include/Operator/OneElectronOperator.hpp,4ed7d0f028b2ed12a26df3807e2921c0c864663a,2018-09-19 08:53:08+02:00,include/Operator/OneElectronOperator.hpp,include/Operator/SecondQuantized/SQOneElectronOperator.hpp,/2019-08-23 14:40:46+02:00,/c41a102e14998a942fe0238ca58820554a666a18,,,312,207,,,added,33,2019-08-22 20:56:39+02:00,38fec94c591529bc175adea151fc414bfcc72649
62,include/Operator/TwoElectronOperator.hpp,4ed7d0f028b2ed12a26df3807e2921c0c864663a,2018-09-19 08:53:08+02:00,include/Operator/TwoElectronOperator.hpp,include/Operator/SecondQuantized/SQTwoElectronOperator.hpp,/2019-08-23 14:40:46+02:00,/c41a102e14998a942fe0238ca58820554a666a18,,,312,207,,,added,31,2019-08-22 20:56:39+02:00,38fec94c591529bc175adea151fc414bfcc72649
63,include/miscellaneous.hpp,4ed7d0f028b2ed12a26df3807e2921c0c864663a,2018-09-19 08:53:08+02:00,include/miscellaneous.hpp,include/miscellaneous.hpp,,,/bdcf14081403d2c6918ed635c1c737782b1d5b1e,/2018-12-13 16:35:33+01:00,186,129,,,added/removed,14,2018-12-11 07:57:06+01:00,27318d759759bd4875d49a514ebf2a01002026a2
64,src/JacobiRotationParameters.cpp,4ed7d0f028b2ed12a26df3807e2921c0c864663a,2018-09-19 08:53:08+02:00,src/JacobiRotationParameters.cpp,src/OrbitalOptimization/JacobiRotationParameters.cpp,/2019-06-10 09:19:40+02:00,/d0ed326269038a9a5392bdf904a1178db319d822,,,78,14,,,added,8,2019-03-11 16:02:13+01:00,16321d798142f4e08201d1cb0fb3a79fa591fe20
65,src/Operator/OneElectronOperator.cpp,4ed7d0f028b2ed12a26df3807e2921c0c864663a,2018-09-19 08:53:08+02:00,src/Operator/OneElectronOperator.cpp,src/Operator/OneElectronOperator.cpp,,,/0441281ec6ee15844438ece5a9129450daf86d9e,/2019-02-15 12:41:43+01:00,283,287,,,added/removed,13,2019-02-14 15:15:00+01:00,b656feae00b92a5f8fa134888d679d1ac8efab7f
66,src/Operator/TwoElectronOperator.cpp,4ed7d0f028b2ed12a26df3807e2921c0c864663a,2018-09-19 08:53:08+02:00,src/Operator/TwoElectronOperator.cpp,src/Operator/TwoElectronOperator.cpp,,,/0441281ec6ee15844438ece5a9129450daf86d9e,/2019-02-15 12:41:43+01:00,293,293,,,added/removed,10,2019-02-14 15:15:00+01:00,b656feae00b92a5f8fa134888d679d1ac8efab7f
67,src/miscellaneous.cpp,4ed7d0f028b2ed12a26df3807e2921c0c864663a,2018-09-19 08:53:08+02:00,src/miscellaneous.cpp,src/utilities/miscellaneous.cpp,/2018-12-13 16:21:34+01:00,/bdcf14081403d2c6918ed635c1c737782b1d5b1e,,,464,46,,,added,15,2018-12-11 07:57:06+01:00,27318d759759bd4875d49a514ebf2a01002026a2
68,tests/JacobiRotationParameters_test.cpp,4ed7d0f028b2ed12a26df3807e2921c0c864663a,2018-09-19 08:53:08+02:00,tests/JacobiRotationParameters_test.cpp,tests/OrbitalOptimization/JacobiRotationParameters_test.cpp,/2019-06-10 09:19:40+02:00,/d0ed326269038a9a5392bdf904a1178db319d822,,,49,10,,,added,7,2019-05-23 13:49:34+02:00,f3d721f022e6fb0ecac8c90687b5ce36f46fe422
69,tests/Operator/OneElectronOperator_test.cpp,4ed7d0f028b2ed12a26df3807e2921c0c864663a,2018-09-19 08:53:08+02:00,tests/Operator/OneElectronOperator_test.cpp,tests/Operator/SecondQuantized/SQOneElectronOperator_test.cpp,/2019-08-23 14:40:46+02:00,/c41a102e14998a942fe0238ca58820554a666a18,,,376,212,,,added,25,2019-08-21 12:25:27+02:00,60a7ce4795ca0027519153a735f86fea017f8461
70,tests/Operator/TwoElectronOperator_test.cpp,4ed7d0f028b2ed12a26df3807e2921c0c864663a,2018-09-19 08:53:08+02:00,tests/Operator/TwoElectronOperator_test.cpp,tests/Operator/SecondQuantized/SQTwoElectronOperator_test.cpp,/2019-08-23 14:40:46+02:00,/c41a102e14998a942fe0238ca58820554a666a18,,,300,157,,,added,21,2019-08-21 12:25:27+02:00,60a7ce4795ca0027519153a735f86fea017f8461
71,tests/data/rotated_two_electron_integrals_olsens.data,4ed7d0f028b2ed12a26df3807e2921c0c864663a,2018-09-19 08:53:08+02:00,tests/data/rotated_two_electron_integrals_olsens.data,gqcp/tests/data/rotated_two_electron_integrals_olsens.data,/2020-01-14 12:26:34+01:00,/dd56a8d8f6b60c4f7f7c2e87c3b95980e55ef2a5,,,16,0,,,added,0,,
72,tests/miscellaneous_test.cpp,4ed7d0f028b2ed12a26df3807e2921c0c864663a,2018-09-19 08:53:08+02:00,tests/miscellaneous_test.cpp,tests/utilities/miscellaneous_test.cpp,/2018-12-14 07:35:56+01:00,/2694e5e77d29939d5426b1db74dfc42f785b9dc0,,,342,16,,,added,12,2018-12-13 19:56:07+01:00,666957db12a41be97ea93f095f1cab6cfab5a957
76,cmake/Findlibint2.cmake,8f76604edc1e6cd2f362bdbae356428162037c97,2018-09-19 12:54:43+02:00,cmake/Findlibint2.cmake,cmake/FindLibint2.cmake,/2018-11-09 15:22:13+01:00,/1cd55411d179493b5938257527bb23408fb4be85,,,42,10,,,added,1,2018-11-05 16:56:10+01:00,af7275a9548810ce508c26028a53f17963f9f751
80,include/AOBasis.hpp,8f76604edc1e6cd2f362bdbae356428162037c97,2018-09-19 12:54:43+02:00,include/AOBasis.hpp,include/AOBasis.hpp,,,/4584a8c2b1ec41b88add0ed363b30342269a8919,/2019-03-19 11:27:09+01:00,88,88,,,added/removed,11,2019-03-05 16:19:58+01:00,802ddd7bd2227d9a1c68e649c0ddc44156e40ba3
81,include/LibintCommunicator.hpp,8f76604edc1e6cd2f362bdbae356428162037c97,2018-09-19 12:54:43+02:00,include/LibintCommunicator.hpp,include/LibintInterfacer.hpp,/2019-03-22 10:59:41+01:00,/4c65f4b106c0b19b67136c1868539b554dbb6df4,,,514,296,,,added,19,2019-03-19 12:38:14+01:00,8bb7a8ce7ff42d00f2c76dd825bd2bce1517f00e
83,src/AOBasis.cpp,8f76604edc1e6cd2f362bdbae356428162037c97,2018-09-19 12:54:43+02:00,src/AOBasis.cpp,include/Basis/AOBasis.hpp,/2019-03-19 10:42:35+01:00,/4584a8c2b1ec41b88add0ed363b30342269a8919,,,75,19,,,added,6,2019-01-30 15:04:33+01:00,b034b07cbf3e25db6296ed58cf9ff0c586c40df1
84,src/LibintCommunicator.cpp,8f76604edc1e6cd2f362bdbae356428162037c97,2018-09-19 12:54:43+02:00,src/LibintCommunicator.cpp,src/LibintInterfacer.cpp,/2019-03-22 10:59:41+01:00,/4c65f4b106c0b19b67136c1868539b554dbb6df4,,,624,297,,,added,21,2019-03-19 12:38:14+01:00,8bb7a8ce7ff42d00f2c76dd825bd2bce1517f00e
85,tests/AOBasis_test.cpp,8f76604edc1e6cd2f362bdbae356428162037c97,2018-09-19 12:54:43+02:00,tests/AOBasis_test.cpp,tests/Basis/AOBasis_test.cpp,/2019-03-19 10:42:35+01:00,/4584a8c2b1ec41b88add0ed363b30342269a8919,,,58,14,,,added,7,2019-01-30 15:04:33+01:00,b034b07cbf3e25db6296ed58cf9ff0c586c40df1
86,tests/LibintCommunicator_test.cpp,8f76604edc1e6cd2f362bdbae356428162037c97,2018-09-19 12:54:43+02:00,tests/LibintCommunicator_test.cpp,tests/LibintInterfacer_test.cpp,/2019-03-22 10:59:41+01:00,/4c65f4b106c0b19b67136c1868539b554dbb6df4,,,237,169,,,added,14,2019-03-19 12:38:14+01:00,8bb7a8ce7ff42d00f2c76dd825bd2bce1517f00e
44,tests/data/h2_szabo.xyz,0e0278e808faeae8e5607cc484e99d4a20f6bceb,2018-09-03 15:14:12+02:00,tests/data/h2_szabo.xyz,gqcp/tests/data/h2_szabo.xyz,/2018-09-19 12:54:43+02:00/2020-01-14 12:26:34+01:00,/8f76604edc1e6cd2f362bdbae356428162037c97/dd56a8d8f6b60c4f7f7c2e87c3b95980e55ef2a5,,,4,0,,,added/renamed,0,,
88,tests/data/h2o_sto-3g_coulomb_horton.data,8f76604edc1e6cd2f362bdbae356428162037c97,2018-09-19 12:54:43+02:00,tests/data/h2o_sto-3g_coulomb_horton.data,gqcp/tests/data/h2o_sto-3g_coulomb_horton.data,/2020-01-14 12:26:34+01:00,/dd56a8d8f6b60c4f7f7c2e87c3b95980e55ef2a5,,,2401,0,,,added,0,,
89,tests/data/h2o_sto-3g_kinetic_horton.data,8f76604edc1e6cd2f362bdbae356428162037c97,2018-09-19 12:54:43+02:00,tests/data/h2o_sto-3g_kinetic_horton.data,gqcp/tests/data/h2o_sto-3g_kinetic_horton.data,/2020-01-14 12:26:34+01:00,/dd56a8d8f6b60c4f7f7c2e87c3b95980e55ef2a5,,,49,0,,,added,0,,
90,tests/data/h2o_sto-3g_nuclear_horton.data,8f76604edc1e6cd2f362bdbae356428162037c97,2018-09-19 12:54:43+02:00,tests/data/h2o_sto-3g_nuclear_horton.data,gqcp/tests/data/h2o_sto-3g_nuclear_horton.data,/2020-01-14 12:26:34+01:00,/dd56a8d8f6b60c4f7f7c2e87c3b95980e55ef2a5,,,49,0,,,added,0,,
91,tests/data/h2o_sto-3g_overlap_horton.data,8f76604edc1e6cd2f362bdbae356428162037c97,2018-09-19 12:54:43+02:00,tests/data/h2o_sto-3g_overlap_horton.data,gqcp/tests/data/h2o_sto-3g_overlap_horton.data,/2020-01-14 12:26:34+01:00,/dd56a8d8f6b60c4f7f7c2e87c3b95980e55ef2a5,,,49,0,,,added,0,,
93,tests/units_test.cpp,5aad48d621ef18d8d5b6c33386771aa34ee9f37a,2018-09-24 13:44:26+02:00,tests/units_test.cpp,gqcp/tests/units_test.cpp,/2020-01-14 12:26:34+01:00,/dd56a8d8f6b60c4f7f7c2e87c3b95980e55ef2a5,,,45,14,,,added,8,2019-08-21 12:25:27+02:00,60a7ce4795ca0027519153a735f86fea017f8461
96,include/AddressingScheme.hpp,97134668af8dbd7e59e0c21a064fd258b75f0c33,2018-09-24 14:09:01+02:00,,,,,/957ce62b9c18f447d44a35ff425d3c23e615cb85,/2018-10-05 13:24:52+02:00,44,44,,,added/removed,0,,
97,include/common.hpp,97134668af8dbd7e59e0c21a064fd258b75f0c33,2018-09-24 14:09:01+02:00,include/common.hpp,include/typedefs.hpp,/2019-02-14 14:10:59+01:00,/13b9c6c4d9c69f128a7b7336b0098156fb09e15d,,,84,10,,,added,7,2019-01-30 15:04:33+01:00,b034b07cbf3e25db6296ed58cf9ff0c586c40df1
98,src/AddressingScheme.cpp,97134668af8dbd7e59e0c21a064fd258b75f0c33,2018-09-24 14:09:01+02:00,,,,,/957ce62b9c18f447d44a35ff425d3c23e615cb85,/2018-10-05 13:24:52+02:00,66,66,,,added/removed,0,,
99,tests/AddressingScheme_test.cpp,97134668af8dbd7e59e0c21a064fd258b75f0c33,2018-09-24 14:09:01+02:00,,,,,/a355c42d5c450ea5d5a06f4f1e977bea9c13792e,/2018-10-05 14:11:42+02:00,24,24,,,added/removed,0,,
103,include/HamiltonianParameters/BaseHamiltonianParameters.hpp,84bc9d1186644716b7a1d2d4ac67d5d5e9b38230,2018-09-24 16:43:45+02:00,include/HamiltonianParameters/BaseHamiltonianParameters.hpp,include/HamiltonianParameters/BaseHamiltonianParameters.hpp,,,/5674bd6fc7cc7ed0f517314ea61cd6c84271cefd,/2019-09-07 07:39:06+02:00,96,96,,,added/removed,17,2019-09-06 18:39:20+02:00,b1c22dcd2de2024d5a390a7a23b7d295b0ef123e
