Id,FileName,AddedHash,CreatedAt,RenamedFrom,RenamedTo,RenamedAt,RenamedHash,RemovedHash,RemovedDate,Added,Removed,OldPath,NewPath,status,modifications,LastModifiedAt,LastModifiedHash
1,.gitignore,cc3426066d6080f649823387fc6355f8fccb2989,2018-03-23 16:24:42-07:00,.gitignore,.gitignore,,,,,39,3,,,added,8,2020-04-08 13:55:09-07:00,07184254cde486ce734f5aa51901bdffafd54879
2,CONTRIBUTING.md,cc3426066d6080f649823387fc6355f8fccb2989,2018-03-23 16:24:42-07:00,CONTRIBUTING.md,CONTRIBUTING.md,,,,,175,38,,,added,3,2019-09-09 09:31:11-07:00,415915c1feb8b9956a52ee1cde635cb686abc60a
3,LICENSE,cc3426066d6080f649823387fc6355f8fccb2989,2018-03-23 16:24:42-07:00,LICENSE,LICENSE,,,,,202,1,,,added,1,2018-03-29 17:01:19-07:00,c54101a66c30adc46f00d2d46fb4d5a86cd9ccef
4,README.md,cc3426066d6080f649823387fc6355f8fccb2989,2018-03-23 16:24:42-07:00,README.md,README.rst,/2018-06-27 11:11:13-07:00,/4a3ba4a3edf0fb9b50c1d224077959b926836d9c,,,53,1,,,added,2,2018-05-24 18:04:06-04:00,f180e0eb134a72efbd2a5917197d6e1c01643752
5,continuous-integration/.pylintrc,cc3426066d6080f649823387fc6355f8fccb2989,2018-03-23 16:24:42-07:00,continuous-integration/.pylintrc,dev_tools/conf/.pylintrc,/2018-10-24 15:55:06-07:00,/08d10bbf5bc7c1d73f752008a5ce3cae3eee019b,,,57,0,,,added,1,2018-07-17 16:32:56-07:00,458587c1b48664f3f89be0c9810867a447f79fa4
6,continuous-integration/load-pull-request-content.sh,cc3426066d6080f649823387fc6355f8fccb2989,2018-03-23 16:24:42-07:00,,,,,/f180e0eb134a72efbd2a5917197d6e1c01643752,/2018-05-24 18:04:06-04:00,95,95,,,added/removed,0,,
7,continuous-integration/pylint-pull-request.sh,cc3426066d6080f649823387fc6355f8fccb2989,2018-03-23 16:24:42-07:00,,,,,/f180e0eb134a72efbd2a5917197d6e1c01643752,/2018-05-24 18:04:06-04:00,70,70,,,added/removed,0,,
8,continuous-integration/test-pull-request.sh,cc3426066d6080f649823387fc6355f8fccb2989,2018-03-23 16:24:42-07:00,,,,,/f180e0eb134a72efbd2a5917197d6e1c01643752,/2018-05-24 18:04:06-04:00,71,71,,,added/removed,0,,
10,openfermioncirq/example.py,cc3426066d6080f649823387fc6355f8fccb2989,2018-03-23 16:24:42-07:00,openfermioncirq/example.py,openfermioncirq/example.py,,,/4b48cc364b065b9e7cc4eec002afcd8b4f3476b9,/2018-04-30 15:53:20-07:00,34,34,,,added/removed,2,2018-03-29 17:01:19-07:00,c54101a66c30adc46f00d2d46fb4d5a86cd9ccef
11,openfermioncirq/example_test.py,cc3426066d6080f649823387fc6355f8fccb2989,2018-03-23 16:24:42-07:00,openfermioncirq/example_test.py,openfermioncirq/example_test.py,,,/4b48cc364b065b9e7cc4eec002afcd8b4f3476b9,/2018-04-30 15:53:20-07:00,33,33,,,added/removed,2,2018-03-29 17:01:19-07:00,c54101a66c30adc46f00d2d46fb4d5a86cd9ccef
223,requirements.txt,d05033adf34dc60500993d5d44c083cd991945d6,2018-06-29 15:56:12-07:00,requirements.txt,requirements.txt,/2018-10-24 15:55:06-07:00,/08d10bbf5bc7c1d73f752008a5ce3cae3eee019b,,,44,34,,,added/renamed,21,2020-04-08 13:55:09-07:00,07184254cde486ce734f5aa51901bdffafd54879
17,openfermioncirq/linear_qubit.py,f1e74a339a82f778ad59ac49bb535d6d2e03decb,2018-03-27 17:56:44-07:00,openfermioncirq/linear_qubit.py,openfermioncirq/linear_qubit.py,,,/4b48cc364b065b9e7cc4eec002afcd8b4f3476b9,/2018-04-30 15:53:20-07:00,49,49,,,added/removed,2,2018-03-29 17:01:19-07:00,c54101a66c30adc46f00d2d46fb4d5a86cd9ccef
18,openfermioncirq/linear_qubit_test.py,f1e74a339a82f778ad59ac49bb535d6d2e03decb,2018-03-27 17:56:44-07:00,openfermioncirq/linear_qubit_test.py,openfermioncirq/linear_qubit_test.py,,,/4b48cc364b065b9e7cc4eec002afcd8b4f3476b9,/2018-04-30 15:53:20-07:00,44,44,,,added/removed,1,2018-03-29 17:01:19-07:00,c54101a66c30adc46f00d2d46fb4d5a86cd9ccef
19,openfermioncirq/planar_qubit.py,f1e74a339a82f778ad59ac49bb535d6d2e03decb,2018-03-27 17:56:44-07:00,openfermioncirq/planar_qubit.py,openfermioncirq/ops/planar_qubit.py,/2018-06-29 20:08:29-07:00,/367cc78932a6e98a992a4b3be0ea79ae965ad43f,,,43,2,,,added,1,2018-03-29 17:01:19-07:00,c54101a66c30adc46f00d2d46fb4d5a86cd9ccef
20,openfermioncirq/planar_qubit_test.py,f1e74a339a82f778ad59ac49bb535d6d2e03decb,2018-03-27 17:56:44-07:00,openfermioncirq/planar_qubit_test.py,openfermioncirq/ops/planar_qubit_test.py,/2018-06-29 20:08:29-07:00,/367cc78932a6e98a992a4b3be0ea79ae965ad43f,,,57,3,,,added,1,2018-03-29 17:01:19-07:00,c54101a66c30adc46f00d2d46fb4d5a86cd9ccef
22,openfermioncirq/_version.py,d74fb4833ba2bb250361b82f78a3b417fb80b417,2018-03-28 16:28:30-07:00,openfermioncirq/_version.py,openfermioncirq/_version.py,,,,,34,19,,,added,10,2020-04-03 17:33:25-07:00,269442c740d36d2dfb84f390a2af2ba9d8aba41b
23,openfermioncirq/fermionic_simulation_gate.py,523a7acc9f0bb963350be21b210dcfd53215ac60,2018-03-28 16:30:18-07:00,openfermioncirq/fermionic_simulation_gate.py,openfermioncirq/gates.py,/2018-04-03 19:43:54-07:00,/c06c5dcc4c2c7dd792422c3beb314eb28b56dcac,,,166,69,,,added,0,,
24,openfermioncirq/fermionic_simulation_gate_test.py,523a7acc9f0bb963350be21b210dcfd53215ac60,2018-03-28 16:30:18-07:00,openfermioncirq/fermionic_simulation_gate_test.py,openfermioncirq/gates_test.py,/2018-04-03 19:43:54-07:00,/c06c5dcc4c2c7dd792422c3beb314eb28b56dcac,,,149,61,,,added,0,,
