Id,FileName,AddedHash,CreatedAt,RenamedFrom,RenamedTo,RenamedAt,RenamedHash,RemovedHash,RemovedDate,Added,Removed,OldPath,NewPath,status,modifications,LastModifiedAt,LastModifiedHash
1,.gitignore,3e88922c21b6c5be63bc56910b70a846d1ba598f,2017-09-21 16:47:30-07:00,.gitignore,.gitignore,,,,,93,2,,,added,6,2020-04-29 01:14:19-05:00,abf72fc1e9d9deb43ae43642f5829c92bed4e87d
2,CONTRIBUTING.md,3e88922c21b6c5be63bc56910b70a846d1ba598f,2017-09-21 16:47:30-07:00,,,,,/de507002fdfd8b1ba06230eb451d4a37616c3d89,/2017-10-05 16:13:03-07:00,29,29,,,added/removed,0,,
3,LICENSE,3e88922c21b6c5be63bc56910b70a846d1ba598f,2017-09-21 16:47:30-07:00,,,,,,,201,0,,,added,0,,
4,MANIFEST.in,3e88922c21b6c5be63bc56910b70a846d1ba598f,2017-09-21 16:47:30-07:00,MANIFEST.in,MANIFEST.in,,,,,12,4,,,added,3,2020-08-04 16:51:11-07:00,9bdcfee28046f8a2ce9e87807d3918f5d5efb7c5
5,NOTICE,3e88922c21b6c5be63bc56910b70a846d1ba598f,2017-09-21 16:47:30-07:00,NOTICE,NOTICE,,,,,97,14,,,added,26,2019-07-28 00:55:35+02:00,a9dbb37d80b0108e35cc962c139c87351c4f2644
6,README.rst,3e88922c21b6c5be63bc56910b70a846d1ba598f,2017-09-21 16:47:30-07:00,README.rst,README.rst,,,,,521,316,,,added,97,2020-08-12 15:07:37-07:00,6ffeb3b9133866636df15dcd6caa4ac9541767ec
8,docs/Makefile,3e88922c21b6c5be63bc56910b70a846d1ba598f,2017-09-21 16:47:30-07:00,docs/Makefile,dev_tools/docs/sphinx/Makefile,/2020-08-04 16:51:11-07:00,/9bdcfee28046f8a2ce9e87807d3918f5d5efb7c5,,,224,0,,,added,0,,
9,docs/conf.py,3e88922c21b6c5be63bc56910b70a846d1ba598f,2017-09-21 16:47:30-07:00,docs/conf.py,dev_tools/docs/sphinx/conf.py,/2020-08-04 16:51:11-07:00,/9bdcfee28046f8a2ce9e87807d3918f5d5efb7c5,,,365,29,,,added,2,2017-11-14 12:24:31-05:00,b95df9f190d6b6d0128e634b28fa9b3e8900bc8c
10,docs/examples.rst,3e88922c21b6c5be63bc56910b70a846d1ba598f,2017-09-21 16:47:30-07:00,docs/examples.rst,docs/examples.rst,,,/36dbbac64268a7f0ce54830870e9cd40a13cb081,/2018-03-26 14:36:31-07:00,565,559,,,added/removed,5,2017-10-27 11:44:36-04:00,fd78df468ef1e16f7412565a70bf1935708176ec
11,docs/index.rst,3e88922c21b6c5be63bc56910b70a846d1ba598f,2017-09-21 16:47:30-07:00,docs/index.rst,dev_tools/docs/sphinx/index.rst,/2020-08-04 16:51:11-07:00,/9bdcfee28046f8a2ce9e87807d3918f5d5efb7c5,,,27,14,,,added,3,2018-03-26 14:36:31-07:00,36dbbac64268a7f0ce54830870e9cd40a13cb081
12,docs/intro.rst,3e88922c21b6c5be63bc56910b70a846d1ba598f,2017-09-21 16:47:30-07:00,docs/intro.rst,docs/intro.rst,,,/36dbbac64268a7f0ce54830870e9cd40a13cb081,/2018-03-26 14:36:31-07:00,107,102,,,added/removed,4,2017-10-17 21:42:34-07:00,238513d206fb590db685a479b12d811ba7fea2e4
13,docs/make.bat,3e88922c21b6c5be63bc56910b70a846d1ba598f,2017-09-21 16:47:30-07:00,docs/make.bat,dev_tools/docs/sphinx/make.bat,/2020-08-04 16:51:11-07:00,/9bdcfee28046f8a2ce9e87807d3918f5d5efb7c5,,,281,0,,,added,0,,
14,docs/openfermion.rst,3e88922c21b6c5be63bc56910b70a846d1ba598f,2017-09-21 16:47:30-07:00,docs/openfermion.rst,dev_tools/docs/sphinx/openfermion.rst,/2020-08-04 16:51:11-07:00,/9bdcfee28046f8a2ce9e87807d3918f5d5efb7c5,,,52,2,,,added,4,2018-01-23 21:53:19-05:00,40d01250367bedff33cc331cddd72e456600223b
15,examples/openfermion_demo.ipynb,3e88922c21b6c5be63bc56910b70a846d1ba598f,2017-09-21 16:47:30-07:00,examples/openfermion_demo.ipynb,examples/openfermion_tutorial.ipynb,/2018-03-26 14:36:31-07:00,/36dbbac64268a7f0ce54830870e9cd40a13cb081,,,1772,415,,,added,11,2018-03-21 08:58:38-07:00,c999a3973efceb0f01977976a8f6cd8dea338db3
16,examples/performance_benchmarks.py,3e88922c21b6c5be63bc56910b70a846d1ba598f,2017-09-21 16:47:30-07:00,examples/performance_benchmarks.py,examples/performance_benchmarks.py,,,,,488,172,,,added,11,2020-08-01 17:38:22+02:00,239888748a79a108fb76afd8f756ae0aa6a6db9e
17,requirements.txt,3e88922c21b6c5be63bc56910b70a846d1ba598f,2017-09-21 16:47:30-07:00,requirements.txt,requirements.txt,,,,,26,17,,,added,16,2020-07-29 13:49:42-07:00,4a544510bae6d725d98af08c7bb6d07207da113e
18,setup.py,3e88922c21b6c5be63bc56910b70a846d1ba598f,2017-09-21 16:47:30-07:00,setup.py,setup.py,,,,,83,23,,,added,9,2020-08-10 16:19:55-07:00,85c4a8339d590a3fdaba02874dc04f76d3c04d17
19,src/openfermion/__init__.py,3e88922c21b6c5be63bc56910b70a846d1ba598f,2017-09-21 16:47:30-07:00,src/openfermion/__init__.py,src/openfermion/__init__.py,,,,,617,263,,,added,10,2020-08-13 21:09:23-07:00,597e4a1253a912a587c02ed5550f75102cb83452
20,src/openfermion/_version.py,3e88922c21b6c5be63bc56910b70a846d1ba598f,2017-09-21 16:47:30-07:00,src/openfermion/_version.py,src/openfermion/_version.py,,,,,35,21,,,added,21,2020-04-02 17:08:12-07:00,8cf31e501cb7f7dc878f476162c24e29da7ac807
21,src/openfermion/config.py,3e88922c21b6c5be63bc56910b70a846d1ba598f,2017-09-21 16:47:30-07:00,src/openfermion/config.py,src/openfermion/config.py,,,,,23,2,,,added,2,2020-08-11 14:41:20+00:00,7847330c11e94ff98d56c866c1e39562e848999d
24,src/openfermion/data/H1-Li1_sto-3g_singlet_1.45.out,3e88922c21b6c5be63bc56910b70a846d1ba598f,2017-09-21 16:47:30-07:00,,,,,/7f11cf164e040e94e3664e7fa39dfdb7092e5595,/2017-09-22 12:58:49-07:00,1757,1755,,,added/removed,0,,
