Id,FileName,AddedHash,CreatedAt,RenamedFrom,RenamedTo,RenamedAt,RenamedHash,RemovedHash,RemovedDate,Added,Removed,OldPath,NewPath,status,modifications,LastModifiedAt,LastModifiedHash
1,.gitignore,44c58882444d1522703e7ff8fcd504d367021f73,2012-01-08 11:40:05-05:00,.gitignore,.gitignore,,,,,18,14,,,added,7,2015-06-04 13:41:49-04:00,a55c262fd7eda7f584dd731caa4b11f65f4c7210
2,PulseSequencer/PulseSequencePlotter.py,fe505b054bceee4106e84c1c1672296075f88704,2012-01-09 23:38:59-05:00,PulseSequencer/PulseSequencePlotter.py,QGL/PulseSequencePlotter.py,/2012-12-16 18:12:38-05:00,/6e5f8c70774f39a8da394532657674c7cad4fb70,,,354,114,,,added,13,2012-11-26 13:37:07-05:00,2414d92203065223e0d125e2e9d133a9bc8d78f9
4,instruments/DigitalAttenuator.py,3a9efb61365bdf6bb162bac76af55cd04e593d08,2012-01-17 13:18:37-05:00,instruments/DigitalAttenuator.py,instruments/DigitalAttenuator.py,,,,,258,131,,,added,3,2013-03-28 14:44:41-04:00,92c62e5bd453b1b7c87dc03a015936e51876371b
5,instruments/LabBrick.py,3a9efb61365bdf6bb162bac76af55cd04e593d08,2012-01-17 13:18:37-05:00,instruments/LabBrick.py,instruments/LabBrick.py,,,,,575,287,,,added,1,2012-06-03 18:15:23-04:00,92e43c7ec236f5baa9806c597f529ea37cef8896
6,instruments/QPC.py,3a9efb61365bdf6bb162bac76af55cd04e593d08,2012-01-17 13:18:37-05:00,instruments/QPC.py,instruments/QPC.py,,,,,145,72,,,added,1,2012-06-03 18:15:23-04:00,92e43c7ec236f5baa9806c597f529ea37cef8896
8,PulseSequencer/PatternGen.py,4763d102723ca94299b1ce8f0d1b7e2f47fe546e,2012-01-17 13:19:19-05:00,PulseSequencer/PatternGen.py,PulseSequencer/PatternGen.py,,,/1de5566f185c4b6940b53d837b2aac6e8b8cc27b,/2013-02-28 11:08:57-05:00,209,209,,,added/removed,15,2012-12-09 16:44:21-05:00,669a7b4877b34d269227775f6768602101877032
9,PulseSequencer/PulseSequencer.py,4763d102723ca94299b1ce8f0d1b7e2f47fe546e,2012-01-17 13:19:19-05:00,PulseSequencer/PulseSequencer.py,PulseSequencer/PulseSequencer.py,,,/1de5566f185c4b6940b53d837b2aac6e8b8cc27b,/2013-02-28 11:08:57-05:00,1325,1329,,,added/removed,31,2012-12-13 16:22:40-05:00,5fc0af49189617116c83eb32f7c3c21dfe9dae7e
11,PulseSequencer/ChannelInfo.py,15033af3574037aca392673322ac4933f4994b4f,2012-04-04 15:32:40-04:00,PulseSequencer/ChannelInfo.py,PulseSequencer/Channels.py,/2012-05-10 20:40:20-04:00,/f9077d6f6c9ea15766c139323734ab8bc0554c64,,,385,39,,,added,4,2012-05-09 17:49:48-04:00,c9573868822745c75e00bd5d6f2b2c72073965e5
22,PulseSequencer/TekPattern.py,20e4afc220466f6f6d6cfc58483e276d2d96b380,2012-05-09 13:45:25-04:00,PulseSequencer/TekPattern.py,QGL/TekPattern.py,/2012-12-16 18:12:38-05:00,/6e5f8c70774f39a8da394532657674c7cad4fb70,,,206,18,,,added,3,2012-11-14 18:20:23-05:00,1c90ea8071d385c273b4c82a1dcd014b73c533f5
30,PulseSequencer/SequenceCompilerGUI.py,e72fba07f33f85291dbc9ae30cbf2f784c0a8cef,2012-05-10 11:54:36-04:00,,,,,/1de5566f185c4b6940b53d837b2aac6e8b8cc27b,/2013-02-28 11:08:57-05:00,114,114,,,added/removed,0,,
11,PulseSequencer/Channels.py,15033af3574037aca392673322ac4933f4994b4f,2012-04-04 15:32:40-04:00,PulseSequencer/Channels.py,QGL/Channels.py,/2012-05-10 20:40:20-04:00/2012-12-12 18:07:59-05:00,/f9077d6f6c9ea15766c139323734ab8bc0554c64/ac3c9ea93f3f9ebddfcf2260c73bfdd377f675c0,,,889,472,,,added/renamed,24,2012-11-26 22:22:10-05:00,a1347ff0d45a679d6f005a5424b8da8f49f04b0f
37,PulseSequencer/sequences/Ramsey.py,b40f2d62fa487c24ebab492ab57e6fc255557bb7,2012-05-16 22:29:09-04:00,PulseSequencer/sequences/Ramsey.py,PulseSequencer/sequences/Ramsey.py,,,/1de5566f185c4b6940b53d837b2aac6e8b8cc27b,/2013-02-28 11:08:57-05:00,110,110,,,added/removed,8,2012-11-08 22:01:09-05:00,4993b3d7c12d0830e4561b15432aa5f0bbc6bf8a
42,PulseSequencer/sequences/__init__.py,94fb5f59370d601e955e895800363a77904d8c0d,2012-05-22 20:47:34-04:00,PulseSequencer/sequences/__init__.py,PulseSequencer/sequences/__init__.py,,,/1de5566f185c4b6940b53d837b2aac6e8b8cc27b,/2013-02-28 11:08:57-05:00,8,8,,,added/removed,4,2012-11-06 09:53:01-05:00,00251f762a8c08272edf43d0608ce8cb778e54a8
46,PulseSequencer/APSPattern.py,f835e5f38b0aa4ea7f28dd5e76513471bf2f302d,2012-05-28 15:28:39-04:00,PulseSequencer/APSPattern.py,PulseSequencer/APSPattern.py,,,/1de5566f185c4b6940b53d837b2aac6e8b8cc27b,/2013-02-28 11:08:57-05:00,528,528,,,added/removed,10,2013-01-02 15:27:24-05:00,aa2102686b2233a9705511e49d6c8c234997f20e
56,PulseSequencer/sequences/RabiAmp.py,331540b3f1e25528422445632c8228e2cd7bfc72,2012-06-03 12:47:48-04:00,PulseSequencer/sequences/RabiAmp.py,PulseSequencer/sequences/RabiAmp.py,,,/1de5566f185c4b6940b53d837b2aac6e8b8cc27b,/2013-02-28 11:08:57-05:00,46,46,,,added/removed,2,2012-11-06 09:53:01-05:00,00251f762a8c08272edf43d0608ce8cb778e54a8
62,.gitattributes,92e43c7ec236f5baa9806c597f529ea37cef8896,2012-06-03 18:15:23-04:00,,,,,,,22,0,,,added,0,,
72,PulseSequencer/sequences/FlipFlop.py,33c5a0e2cfd4607472c51e3763e86a81741c639f,2012-06-03 20:21:30-04:00,PulseSequencer/sequences/FlipFlop.py,PulseSequencer/sequences/FlipFlop.py,,,/1de5566f185c4b6940b53d837b2aac6e8b8cc27b,/2013-02-28 11:08:57-05:00,61,61,,,added/removed,2,2012-11-06 09:53:01-05:00,00251f762a8c08272edf43d0608ce8cb778e54a8
77,PulseSequencer/sequences/RB.py,a0214b88ca3e0c5ba7fb0eabda4c5516f3c07b71,2012-06-03 21:30:11-04:00,,,,,/1de5566f185c4b6940b53d837b2aac6e8b8cc27b,/2013-02-28 11:08:57-05:00,55,55,,,added/removed,0,,
97,README.md,468258a40d6b5de225fc33703c2b629cada1f60c,2012-06-20 21:30:55-04:00,README.md,README.md,,,,,118,68,,,added,23,2017-05-31 17:27:35-04:00,aa58b08aae5a74e72a19a0a3ef2cb32ec57ff7f8
108,PulseSequencer/sequences/PiRabi.py,00251f762a8c08272edf43d0608ce8cb778e54a8,2012-11-06 09:53:01-05:00,,,,,/1de5566f185c4b6940b53d837b2aac6e8b8cc27b,/2013-02-28 11:08:57-05:00,65,65,,,added/removed,0,,
125,PulseSequencer/Compiler.py,97167e342217bf38b2c340d3fb56e9275aaaf0a6,2012-12-07 17:07:14-05:00,,,,,/1de5566f185c4b6940b53d837b2aac6e8b8cc27b,/2013-02-28 11:08:57-05:00,368,368,,,added/removed,0,,
126,PulseSequencer/PulsePrimitives.py,97167e342217bf38b2c340d3fb56e9275aaaf0a6,2012-12-07 17:07:14-05:00,PulseSequencer/PulsePrimitives.py,QGL/PulsePrimitives.py,/2012-12-12 18:07:59-05:00,/ac3c9ea93f3f9ebddfcf2260c73bfdd377f675c0,,,220,112,,,added,3,2012-12-10 11:58:21-05:00,478d375c6f48974d6b199c70bf5d3bc6bac109c5
