Id,FileName,AddedHash,CreatedAt,RenamedFrom,RenamedTo,RenamedAt,RenamedHash,RemovedHash,RemovedDate,Added,Removed,OldPath,NewPath,status,modifications,LastModifiedAt,LastModifiedHash
1,.gitignore,79fd99b2c057c2481d601a95fb726b3d332f79a3,2018-08-31 13:37:38-04:00,.gitignore,.gitignore,,,,,128,7,,,added,9,2020-01-10 11:49:14-05:00,6c493e634fbc57dd6768cc408dad784d5dad03b2
2,LICENSE,79fd99b2c057c2481d601a95fb726b3d332f79a3,2018-08-31 13:37:38-04:00,LICENSE,LICENSE,,,,,31,2,,,added,2,2020-01-06 13:55:00-05:00,77f394958af9623447aeb95e89724515b3696b69
3,README.md,79fd99b2c057c2481d601a95fb726b3d332f79a3,2018-08-31 13:37:38-04:00,README.md,README.md,,,,,178,71,,,added,24,2020-01-08 09:37:54-05:00,60f2e202c85588598bbef63b7f61ff827a1c9185
120,qcelemental/data/README.md,0a4b28d58f6700a85a4d522c460b412227b6df16,2018-09-26 17:43:38-04:00,,,,,,,4,0,,,added,0,,
5,qcelemental/data/element_names.py,9aaaacd4422160ca39cb9af235e04ec54852e186,2018-08-31 13:45:43-04:00,,,,,/ad17052d3ec79446a632c5c477fdcb18c27bc9a9,/2018-09-26 18:14:20-04:00,123,123,,,added/removed,0,,
6,qcelemental/data/longest_lived_isotope_for_unstable_elements.py,9aaaacd4422160ca39cb9af235e04ec54852e186,2018-08-31 13:45:43-04:00,,,,,/ad17052d3ec79446a632c5c477fdcb18c27bc9a9,/2018-09-26 18:14:20-04:00,39,39,,,added/removed,0,,
7,qcelemental/data/srd144_Atomic_Weights_and_Isotopic_Compositions_for_All_Elements.json,9aaaacd4422160ca39cb9af235e04ec54852e186,2018-08-31 13:45:43-04:00,qcelemental/data/srd144_Atomic_Weights_and_Isotopic_Compositions_for_All_Elements.json,nist_data/srd144_Atomic_Weights_and_Isotopic_Compositions_for_All_Elements.json,/2018-09-26 14:30:28-04:00,/ca8b4947c589dfa19420f9fbb306a83009d51f9e,,,17871,0,,,added,0,,
8,qcelemental/__init__.py,1bd4f1ce2b15613ac8b9bffd187e6d8bec9b89fc,2018-08-31 23:52:48-04:00,qcelemental/__init__.py,qcelemental/__init__.py,,,,,101,69,,,added,34,2020-01-16 19:25:57-05:00,3411f6e2093235d6b629231bb4f55798614e5c3c
9,qcelemental/chemistry.py,1bd4f1ce2b15613ac8b9bffd187e6d8bec9b89fc,2018-08-31 23:52:48-04:00,qcelemental/chemistry.py,qcelemental/periodic_table.py,/2018-09-13 14:44:05-04:00,/c9d34d3a50028550d1ee5243a170532523273048,,,477,69,,,added,6,2018-09-13 09:37:02-04:00,ceed7b6b65057cd7b24659ff1dbef4b325b295e2
10,qcelemental/data/__init__.py,1bd4f1ce2b15613ac8b9bffd187e6d8bec9b89fc,2018-08-31 23:52:48-04:00,qcelemental/data/__init__.py,qcelemental/data/__init__.py,,,,,38,33,,,added,13,2020-01-11 15:45:38-05:00,72d30b459a9a9c002b0ab877259fc8bfafaf8722
11,tests/test_chemistry.py,1bd4f1ce2b15613ac8b9bffd187e6d8bec9b89fc,2018-08-31 23:52:48-04:00,tests/test_chemistry.py,qcelemental/tests/test_chemistry.py,/2018-09-01 01:32:18-04:00,/4e4ed5133a8de8a35c3324d58fff94062469d13c,,,201,0,,,added,0,,
12,.gitattributes,3c471e19cedf647129c0d4f622803b73255469b3,2018-09-01 00:03:30-04:00,,,,,,,1,0,,,added,0,,
13,MANIFEST.in,3c471e19cedf647129c0d4f622803b73255469b3,2018-09-01 00:03:30-04:00,MANIFEST.in,MANIFEST.in,,,,,12,2,,,added,2,2020-06-25 21:43:40-04:00,29dbd18fc3d8d358f43d79b016f74d46cd9d2c3a
15,qcelemental/_version.py,3c471e19cedf647129c0d4f622803b73255469b3,2018-09-01 00:03:30-04:00,qcelemental/_version.py,qcelemental/_version.py,,,,,612,79,,,added,3,2019-11-07 19:42:36-05:00,be62c0378ceb881242e4183987699459fe70ad0b
16,versioneer.py,3c471e19cedf647129c0d4f622803b73255469b3,2018-09-01 00:03:30-04:00,,,,,,,1822,0,,,added,0,,
17,qcelemental/exceptions.py,1b0eba59a822c81f5ae4cdab92884c4c7fbfa1b3,2018-09-01 00:35:28-04:00,qcelemental/exceptions.py,qcelemental/exceptions.py,,,,,75,25,,,added,11,2020-06-24 15:59:28-04:00,2b11ac93bc2858ea0db383955134bfdab9457f59
18,setup.cfg,1b0eba59a822c81f5ae4cdab92884c4c7fbfa1b3,2018-09-01 00:35:28-04:00,setup.cfg,setup.cfg,,,,,84,8,,,added,11,2019-12-01 14:45:39-05:00,5f16cb1348ff37167082133159bd041bd2dd875f
19,setup.py,1b0eba59a822c81f5ae4cdab92884c4c7fbfa1b3,2018-09-01 00:35:28-04:00,setup.py,setup.py,,,,,111,38,,,added,25,2020-01-07 02:37:20-05:00,437d67eec9eb81d6ef9cb355e611f28fe924e6f8
20,.scripts/travis-ci_get_miniconda.sh,4e4ed5133a8de8a35c3324d58fff94062469d13c,2018-09-01 01:32:18-04:00,.scripts/travis-ci_get_miniconda.sh,devtools/travis-ci/before_install.sh,/2018-09-13 09:24:46-04:00,/cb48766e317f7dbd59c7a7cb3f53568e6da9f9cb,,,36,3,,,added,0,,
21,.travis.yml,4e4ed5133a8de8a35c3324d58fff94062469d13c,2018-09-01 01:32:18-04:00,.travis.yml,.travis.yml,,,/1e2bbb10ec675d20023cb412b59270e0ac2fab43,/2020-10-07 22:53:16-04:00,96,96,,,added/removed,10,2019-07-17 13:56:08-04:00,2489dad14b67786afd52826d193ef530bd382021
11,qcelemental/tests/test_chemistry.py,1bd4f1ce2b15613ac8b9bffd187e6d8bec9b89fc,2018-08-31 23:52:48-04:00,qcelemental/tests/test_chemistry.py,qcelemental/tests/test_chemistry.py,/2018-09-01 01:32:18-04:00,/4e4ed5133a8de8a35c3324d58fff94062469d13c,/739cac8fa9b137e6b735bbc06541cdd9fe88b641,/2018-09-26 14:03:08-04:00,215,215,,,added/renamed/removed,4,2018-09-25 17:52:53-04:00,a14463282aa750d181ac31ee7852e212295049e7
23,qcelemental/checkup_data/__init__.py,78d2283558db4669571264b8c816ef5be866db04,2018-09-01 01:53:02-04:00,qcelemental/checkup_data/__init__.py,qcelemental/checkup_data/__init__.py,,,,,5,3,,,added,3,2019-08-23 11:55:52-04:00,61a6012dd303519a7857f3b171d1f19a753e5d34
24,qcelemental/checkup_data/cfour_primary_masses.py,78d2283558db4669571264b8c816ef5be866db04,2018-09-01 01:53:02-04:00,qcelemental/checkup_data/cfour_primary_masses.py,qcelemental/checkup_data/cfour_primary_masses.py,,,,,117,0,,,added,1,2019-11-07 19:40:56-05:00,00f04769313dc4174fff3a77950a5dee4807740d
25,qcelemental/checkup_data/periodictable.py,78d2283558db4669571264b8c816ef5be866db04,2018-09-01 01:53:02-04:00,qcelemental/checkup_data/periodictable.py,qcelemental/checkup_data/periodictable.py,,,,,1820,1084,,,added,3,2019-11-07 19:40:56-05:00,00f04769313dc4174fff3a77950a5dee4807740d
28,qcelemental/checkup_data/README.md,91d36cb7eba2bcc7956e01897d3a73d30c81549e,2018-09-01 02:01:17-04:00,qcelemental/checkup_data/README.md,qcelemental/checkup_data/README.md,,,,,5,0,,,added,1,2018-09-03 00:22:49-04:00,8a3e4f8b7ebd9b59142ac16103cea6e78a5fdb04
32,qcelemental/physics.py,10430fe2e5fd666c63ab593e784bac1d79d3216e,2018-09-03 00:14:29-04:00,qcelemental/physics.py,qcelemental/physical_constants.py,/2018-09-13 14:44:05-04:00,/c9d34d3a50028550d1ee5243a170532523273048,,,273,45,,,added,7,2018-09-13 09:37:02-04:00,ceed7b6b65057cd7b24659ff1dbef4b325b295e2
36,qcelemental/checkup_data/physconst.py,8a3e4f8b7ebd9b59142ac16103cea6e78a5fdb04,2018-09-03 00:22:49-04:00,qcelemental/checkup_data/physconst.py,qcelemental/checkup_data/physconst.py,,,,,63,28,,,added,2,2019-11-07 19:40:56-05:00,00f04769313dc4174fff3a77950a5dee4807740d
39,qcelemental/data/srd121_nist-codata-fundamental-physical-constants-2014-metadata.json,8a3e4f8b7ebd9b59142ac16103cea6e78a5fdb04,2018-09-03 00:22:49-04:00,qcelemental/data/srd121_nist-codata-fundamental-physical-constants-2014-metadata.json,nist_data/srd121_nist-codata-fundamental-physical-constants-2014-metadata.json,/2018-09-26 14:30:28-04:00,/ca8b4947c589dfa19420f9fbb306a83009d51f9e,,,1,0,,,added,0,,
40,qcelemental/data/srd121_nist-codata-fundamental-physical-constants-2014.json,8a3e4f8b7ebd9b59142ac16103cea6e78a5fdb04,2018-09-03 00:22:49-04:00,qcelemental/data/srd121_nist-codata-fundamental-physical-constants-2014.json,nist_data/srd121_nist-codata-fundamental-physical-constants-2014.json,/2018-09-26 14:30:28-04:00,/ca8b4947c589dfa19420f9fbb306a83009d51f9e,,,2014,0,,,added,0,,
42,qcelemental/datastructures.py,54e832c156b00dca6eaea661e00afca04132537a,2018-09-03 00:27:14-04:00,qcelemental/datastructures.py,qcelemental/datum.py,/2018-09-03 21:17:04-04:00,/f0dc0c7ab36679a93dde655a24e8479239d1fd6f,,,124,6,,,added,0,,
44,qcelemental/tests/test_physics.py,54e832c156b00dca6eaea661e00afca04132537a,2018-09-03 00:27:14-04:00,qcelemental/tests/test_physics.py,qcelemental/tests/test_constants.py,/2018-09-26 09:24:29-04:00,/739cac8fa9b137e6b735bbc06541cdd9fe88b641,,,110,24,,,added,8,2018-09-25 17:52:53-04:00,a14463282aa750d181ac31ee7852e212295049e7
