Id,FileName,AddedHash,CreatedAt,RenamedFrom,RenamedTo,RenamedAt,RenamedHash,RemovedHash,RemovedDate,Added,Removed,OldPath,NewPath,status,modifications,LastModifiedAt,LastModifiedHash
1,.gitignore,b2e277b73385edd3f636c0a576eedd9bbff194c8,2018-03-01 17:25:36-05:00,.gitignore,.gitignore,,,,,125,46,,,added,7,2020-01-28 11:46:26-05:00,9e1e2a10a393913c4f7cea03dae586186428f992
2,LICENSE,b2e277b73385edd3f636c0a576eedd9bbff194c8,2018-03-01 17:25:36-05:00,LICENSE,LICENSE,,,,,32,3,,,added,3,2020-08-30 15:45:53-04:00,514d68deba118039d8579d465f2379bd4cd22dd9
3,README.md,b2e277b73385edd3f636c0a576eedd9bbff194c8,2018-03-01 17:25:36-05:00,README.md,README.md,,,,,94,35,,,added,19,2020-01-22 10:38:11-05:00,00cb8a1f818efec21fd05e2a8b7e771c4c7a1793
4,dqm_compute/__init__.py,2050b9ec62d2541a3e1724855ea515d440019f92,2018-03-02 13:28:24-05:00,dqm_compute/__init__.py,qcengine/__init__.py,/2018-05-08 09:55:11-04:00,/59049256737a8279a1b4039fc1c0366651bfcda7,,,23,6,,,added,5,2018-05-04 17:23:36-04:00,a4cb3fe765563822e6d62b39b6aacd2b81db24a6
5,dqm_compute/dqm_config.py,2050b9ec62d2541a3e1724855ea515d440019f92,2018-03-02 13:28:24-05:00,dqm_compute/dqm_config.py,qcengine/config.py,/2018-05-08 09:55:11-04:00,/59049256737a8279a1b4039fc1c0366651bfcda7,,,177,38,,,added,8,2018-05-04 13:37:48-04:00,148e42b0eeee20612325e1aa5be0ffeb899f842f
6,dqm_compute/timer.dat,2050b9ec62d2541a3e1724855ea515d440019f92,2018-03-02 13:28:24-05:00,,,,,/4e0cf33706fcf27456d34a7fc692495dcdd13c4d,/2018-05-04 15:10:42-04:00,12,11,,,added/removed,0,,
9,setup.py,efaa69b68ed917ee1a8907724e007fad96127b8a,2018-03-02 13:31:56-05:00,setup.py,setup.py,,,,,126,71,,,added,26,2020-08-19 17:50:06-04:00,c3235647cc3659619a80bbe094d7e02073cc0db1
12,tests/dqm_config.yaml,93c4f05f8f4c2554a5ef7c09ec24438e64fd4406,2018-03-02 13:42:49-05:00,tests/dqm_config.yaml,dqm_compute/tests/dqm_config.yaml,/2018-05-04 17:17:41-04:00,/542eeb3cf5fe1ce2f801b36db8e0c37efebde214,,,30,11,,,added,1,2018-03-02 16:55:43-05:00,8882fcbae35b0414b951510c60203837791f414e
13,tests/test_config.py,93c4f05f8f4c2554a5ef7c09ec24438e64fd4406,2018-03-02 13:42:49-05:00,tests/test_config.py,dqm_compute/tests/test_config.py,/2018-05-04 17:17:41-04:00,/542eeb3cf5fe1ce2f801b36db8e0c37efebde214,,,47,9,,,added,5,2018-03-16 10:41:05-04:00,b12f96b685b07b9cdbe3dfff66321d1ffac4ccd3
14,.travis.yml,c807f43560b23c45f022dc827f3df2aab1cd8071,2018-03-02 13:42:59-05:00,.travis.yml,.travis.yml,,,,,258,161,,,added,57,2020-06-05 21:43:45+02:00,44593788de8372fb9c21fa6169ddd7391871a8da
18,dqm_compute/psi_compute.py,0d75a4425bae3b1f8b113a0911ec981eee78bee2,2018-03-02 15:58:29-05:00,dqm_compute/psi_compute.py,qcengine/psi_compute.py,/2018-05-08 09:55:11-04:00,/59049256737a8279a1b4039fc1c0366651bfcda7,,,83,21,,,added,7,2018-05-04 15:10:42-04:00,4e0cf33706fcf27456d34a7fc692495dcdd13c4d
32,dqm_compute/compute.py,dea7d5d5f471aaaeec99a48ce937b7c63fb56d3a,2018-03-16 10:16:03-04:00,dqm_compute/compute.py,qcengine/compute.py,/2018-05-08 09:55:11-04:00,/59049256737a8279a1b4039fc1c0366651bfcda7,,,40,11,,,added,3,2018-05-04 17:23:36-04:00,a4cb3fe765563822e6d62b39b6aacd2b81db24a6
33,dqm_compute/pass_compute.py,dea7d5d5f471aaaeec99a48ce937b7c63fb56d3a,2018-03-16 10:16:03-04:00,,,,,/a4cb3fe765563822e6d62b39b6aacd2b81db24a6,/2018-05-04 17:23:36-04:00,30,30,,,added/removed,0,,
34,tests/addons.py,7b45ed3f263cee607d60ac75b51b9f435b5059bb,2018-03-16 10:16:16-04:00,tests/addons.py,dqm_compute/tests/addons.py,/2018-05-04 17:17:41-04:00,/542eeb3cf5fe1ce2f801b36db8e0c37efebde214,,,47,3,,,added,3,2018-05-04 16:43:36-04:00,f5378448b1095f4b58b5243d49ab6e0ecab5d3fc
