Id,FileName,AddedHash,CreatedAt,RenamedFrom,RenamedTo,RenamedAt,RenamedHash,RemovedHash,RemovedDate,Added,Removed,OldPath,NewPath,status,modifications,LastModifiedAt,LastModifiedHash
1,README.md,fa34e4bb98f1ba292b90ee493c46683479e78de4,2016-11-26 16:25:58-05:00,README.md,README.md,,,,,357,345,,,added,43,2019-09-27 13:25:26-04:00,034ae32b89760fcd57b34b26f099f64183b30340
5,MongoQCDB.py,6597c0e449e009d9f89c0cf229d71516ea673c57,2016-11-28 03:17:17-05:00,MongoQCDB.py,MongoQCDB.py,,,/7b1926aacc1e5d553744f5f19651dd7088188752,/2017-01-15 16:08:07-05:00,99,99,,,added/removed,3,2016-11-30 05:06:40-05:00,c7582f149e3b1ab4a37f4c9de9732af390850045
6,main.py,6597c0e449e009d9f89c0cf229d71516ea673c57,2016-11-28 03:17:17-05:00,main.py,.scripts/setup_test_database.py,/2017-02-13 10:33:23-05:00,/a7a5d4073a871b6fdade2453b75c1dca7afd150b,,,98,68,,,added,11,2017-01-19 17:33:46-05:00,68ec33870db815ea22294a951b774715a7efeefd
19,sample-json/databases/A33.json,d3f13228589f72f77e95867b3e1118d209efb7c8,2016-11-29 00:10:15-05:00,,,,,/c7582f149e3b1ab4a37f4c9de9732af390850045,/2016-11-30 05:06:40-05:00,19,19,,,added/removed,0,,
20,sample-json/databases/S22.json,d3f13228589f72f77e95867b3e1118d209efb7c8,2016-11-29 00:10:15-05:00,sample-json/databases/S22.json,sample-json/databases/S22.json,,,/4a14aa14d843b06bd4e784ad2f01cc72d46f5c48,/2018-03-26 17:05:23-04:00,76,76,,,added/removed,4,2016-12-13 20:55:52-05:00,c90536d6b604dd43dd33208405272c4eca055f06
21,sample-json/molecules/C6H12O6.json,d3f13228589f72f77e95867b3e1118d209efb7c8,2016-11-29 00:10:15-05:00,,,,,/c7582f149e3b1ab4a37f4c9de9732af390850045,/2016-11-30 05:06:40-05:00,71,71,,,added/removed,0,,
24,sample-json/molecules/H2O.json,d3f13228589f72f77e95867b3e1118d209efb7c8,2016-11-29 00:10:15-05:00,sample-json/molecules/H2O.json,sample-json/molecules/H2O.json,,,/357f2803556739a2745e312424904dd0910de143,/2016-11-30 20:04:23-05:00,56,56,,,added/removed,3,2016-11-30 12:49:05-05:00,7da4a9d61e8e1cc7c56d495dc6f1b51279567919
25,sample-json/molecules/SiO2.json,d3f13228589f72f77e95867b3e1118d209efb7c8,2016-11-29 00:10:15-05:00,,,,,/c7582f149e3b1ab4a37f4c9de9732af390850045,/2016-11-30 05:06:40-05:00,21,21,,,added/removed,0,,
26,sample-json/pages/C6H12O6-B.json,d3f13228589f72f77e95867b3e1118d209efb7c8,2016-11-29 00:10:15-05:00,,,,,/c7582f149e3b1ab4a37f4c9de9732af390850045,/2016-11-30 05:06:40-05:00,9,9,,,added/removed,0,,
27,sample-json/pages/CO2-A.json,d3f13228589f72f77e95867b3e1118d209efb7c8,2016-11-29 00:10:15-05:00,sample-json/pages/CO2-A.json,sample-json/pages/CO2-A.json,,,/4a14aa14d843b06bd4e784ad2f01cc72d46f5c48,/2018-03-26 17:05:23-04:00,36,36,,,added/removed,5,2017-01-18 11:44:19-05:00,f9c6f1d73e44fd8fc8c6a784bee2c1ef4e663f67
28,sample-json/pages/SiO2-A.json,d3f13228589f72f77e95867b3e1118d209efb7c8,2016-11-29 00:10:15-05:00,,,,,/c7582f149e3b1ab4a37f4c9de9732af390850045,/2016-11-30 05:06:40-05:00,9,9,,,added/removed,0,,
56,.gitignore,2817801176a4b5022233fdddf3ea953d3b373b32,2016-11-30 20:36:30-05:00,.gitignore,.gitignore,,,,,108,3,,,added,21,2020-08-26 09:05:00-04:00,8e247cb91c8fdf2fc729d80f0b3394f7fdb57836
64,DB_HBC6/TODO,55281ff90b4320beb8540b73be6e49433be24b63,2017-01-12 16:23:56-05:00,,,,,/68ec33870db815ea22294a951b774715a7efeefd,/2017-01-19 17:33:46-05:00,7,7,,,added/removed,0,,
65,DB_HBC6/databases/HBC6.json,55281ff90b4320beb8540b73be6e49433be24b63,2017-01-12 16:23:56-05:00,DB_HBC6/databases/HBC6.json,databases/DB_HBC6/databases/HBC6.json,/2017-02-13 10:33:23-05:00,/a7a5d4073a871b6fdade2453b75c1dca7afd150b,,,5907,2008,,,added,1,2017-01-17 13:33:47-05:00,dc31ab0024999c8650239bcc4588f6be35a7e478
66,DB_HBC6/exporter.py,55281ff90b4320beb8540b73be6e49433be24b63,2017-01-12 16:23:56-05:00,DB_HBC6/exporter.py,databases/DB_HBC6/exporter.py,/2017-02-13 10:33:23-05:00,/a7a5d4073a871b6fdade2453b75c1dca7afd150b,,,120,6,,,added,1,2017-01-17 13:33:47-05:00,dc31ab0024999c8650239bcc4588f6be35a7e478
67,DB_HBC6/molecules/00eea37c8000e2b3dbb6e013ac2c585a84609742.json,55281ff90b4320beb8540b73be6e49433be24b63,2017-01-12 16:23:56-05:00,,,,,/dc31ab0024999c8650239bcc4588f6be35a7e478,/2017-01-17 13:33:47-05:00,130,130,,,added/removed,0,,
68,DB_HBC6/molecules/014593cbc7e81288de8b387f8f134f8873c88738.json,55281ff90b4320beb8540b73be6e49433be24b63,2017-01-12 16:23:56-05:00,,,,,/dc31ab0024999c8650239bcc4588f6be35a7e478,/2017-01-17 13:33:47-05:00,139,139,,,added/removed,0,,
69,DB_HBC6/molecules/029b14e8cefb01f5a507a0538a005d5b234fe0d7.json,55281ff90b4320beb8540b73be6e49433be24b63,2017-01-12 16:23:56-05:00,,,,,/dc31ab0024999c8650239bcc4588f6be35a7e478,/2017-01-17 13:33:47-05:00,121,121,,,added/removed,0,,
70,DB_HBC6/molecules/02fb10435e71fdeb7423c300cdc1fb1ecec5e2d9.json,55281ff90b4320beb8540b73be6e49433be24b63,2017-01-12 16:23:56-05:00,,,,,/dc31ab0024999c8650239bcc4588f6be35a7e478,/2017-01-17 13:33:47-05:00,148,148,,,added/removed,0,,
71,DB_HBC6/molecules/03575046cf2b463f89faee86a0630745e0907515.json,55281ff90b4320beb8540b73be6e49433be24b63,2017-01-12 16:23:56-05:00,,,,,/dc31ab0024999c8650239bcc4588f6be35a7e478,/2017-01-17 13:33:47-05:00,130,130,,,added/removed,0,,
72,DB_HBC6/molecules/0365690675c5fa5b996d81ad71fad2935012f4e8.json,55281ff90b4320beb8540b73be6e49433be24b63,2017-01-12 16:23:56-05:00,,,,,/dc31ab0024999c8650239bcc4588f6be35a7e478,/2017-01-17 13:33:47-05:00,130,130,,,added/removed,0,,
73,DB_HBC6/molecules/0485dc5d8717e7706356c2fe0c303e24b7ef89be.json,55281ff90b4320beb8540b73be6e49433be24b63,2017-01-12 16:23:56-05:00,,,,,/dc31ab0024999c8650239bcc4588f6be35a7e478,/2017-01-17 13:33:47-05:00,121,121,,,added/removed,0,,
74,DB_HBC6/molecules/04c4803632ba9af68457bda289852b4482469586.json,55281ff90b4320beb8540b73be6e49433be24b63,2017-01-12 16:23:56-05:00,,,,,/dc31ab0024999c8650239bcc4588f6be35a7e478,/2017-01-17 13:33:47-05:00,157,157,,,added/removed,0,,
75,DB_HBC6/molecules/053ffe2dd5e483d33ec1af5dfc0501f42a08078b.json,55281ff90b4320beb8540b73be6e49433be24b63,2017-01-12 16:23:56-05:00,,,,,/dc31ab0024999c8650239bcc4588f6be35a7e478,/2017-01-17 13:33:47-05:00,130,130,,,added/removed,0,,
76,DB_HBC6/molecules/0560e66a05a82c787d7d6244ed2705fcf336f331.json,55281ff90b4320beb8540b73be6e49433be24b63,2017-01-12 16:23:56-05:00,,,,,/dc31ab0024999c8650239bcc4588f6be35a7e478,/2017-01-17 13:33:47-05:00,139,139,,,added/removed,0,,
77,DB_HBC6/molecules/056935073eccd5a68276ab734597c0cb1b1aab6e.json,55281ff90b4320beb8540b73be6e49433be24b63,2017-01-12 16:23:56-05:00,,,,,/dc31ab0024999c8650239bcc4588f6be35a7e478,/2017-01-17 13:33:47-05:00,121,121,,,added/removed,0,,
78,DB_HBC6/molecules/0594b000bb2b84843849eb8db168e5ffec2bac9c.json,55281ff90b4320beb8540b73be6e49433be24b63,2017-01-12 16:23:56-05:00,,,,,/dc31ab0024999c8650239bcc4588f6be35a7e478,/2017-01-17 13:33:47-05:00,148,148,,,added/removed,0,,
79,DB_HBC6/molecules/0797626a53eca8f2e6e00b6a3c44364a170e6bd7.json,55281ff90b4320beb8540b73be6e49433be24b63,2017-01-12 16:23:56-05:00,,,,,/dc31ab0024999c8650239bcc4588f6be35a7e478,/2017-01-17 13:33:47-05:00,148,148,,,added/removed,0,,
80,DB_HBC6/molecules/07c2938c1c071262eecc1b92978cff665fb4d430.json,55281ff90b4320beb8540b73be6e49433be24b63,2017-01-12 16:23:56-05:00,,,,,/dc31ab0024999c8650239bcc4588f6be35a7e478,/2017-01-17 13:33:47-05:00,157,157,,,added/removed,0,,
81,DB_HBC6/molecules/07eae462b6716fd4fba94a3e3fe606f2e7883031.json,55281ff90b4320beb8540b73be6e49433be24b63,2017-01-12 16:23:56-05:00,,,,,/dc31ab0024999c8650239bcc4588f6be35a7e478,/2017-01-17 13:33:47-05:00,157,157,,,added/removed,0,,
82,DB_HBC6/molecules/08cec8cdb248f879bdbbbc4b87fbf95379938c52.json,55281ff90b4320beb8540b73be6e49433be24b63,2017-01-12 16:23:56-05:00,,,,,/dc31ab0024999c8650239bcc4588f6be35a7e478,/2017-01-17 13:33:47-05:00,139,139,,,added/removed,0,,
