Id,FileName,AddedHash,CreatedAt,RenamedFrom,RenamedTo,RenamedAt,RenamedHash,RemovedHash,RemovedDate,Added,Removed,OldPath,NewPath,status,modifications,LastModifiedAt,LastModifiedHash
1,LICENSE,76b158a8414cbd7d3957c092c5124ef6fe31feaf,2014-02-08 00:00:12-08:00,,,,,/a15e951b993422135f3678ea77ddbb17985cc476,/2014-02-08 23:48:18+01:00,339,339,,,added/removed,0,,
62,README.md,3cd5df68e699443eb8f0eb0568618f2ab48e901d,2014-12-08 22:44:20+01:00,README.md,README.md,,,,,94,45,,,added,20,2020-04-25 16:02:48+02:00,d36171a62d821be8424627c12210301ae5126409
3,LICENCE.txt,f95b829d0b49308942f34d9a7b47df2b1a6de324,2014-02-08 23:30:37+01:00,,,,,,,674,0,,,added,0,,
4,Makefile,f95b829d0b49308942f34d9a7b47df2b1a6de324,2014-02-08 23:30:37+01:00,Makefile,Makefile,,,,,301,72,,,added,1,2019-05-28 13:17:15+02:00,05933bd0d186de794c54821394746b9910590d10
7,TEST_DATA/DEM.tiff.aux.xml,f95b829d0b49308942f34d9a7b47df2b1a6de324,2014-02-08 23:30:37+01:00,TEST_DATA/DEM.tiff.aux.xml,TEST_DATA/DEM.tiff.aux.xml,,,/c9117ca6893421cef8273fbacc9467b5636a7df0,/2016-07-29 08:03:00+02:00,28,28,,,added/removed,1,2016-07-27 23:04:10+02:00,6fbfe3d4ee048a09c3d6fd42044a721a9844d572
9,TEST_DATA/points_A.prj,f95b829d0b49308942f34d9a7b47df2b1a6de324,2014-02-08 23:30:37+01:00,,,,,/6fbfe3d4ee048a09c3d6fd42044a721a9844d572,/2016-07-27 23:04:10+02:00,1,1,,,added/removed,0,,
10,TEST_DATA/points_A.qpj,f95b829d0b49308942f34d9a7b47df2b1a6de324,2014-02-08 23:30:37+01:00,,,,,/6fbfe3d4ee048a09c3d6fd42044a721a9844d572,/2016-07-27 23:04:10+02:00,1,1,,,added/removed,0,,
14,TEST_DATA/points_B.prj,f95b829d0b49308942f34d9a7b47df2b1a6de324,2014-02-08 23:30:37+01:00,,,,,/6fbfe3d4ee048a09c3d6fd42044a721a9844d572,/2016-07-27 23:04:10+02:00,1,1,,,added/removed,0,,
15,TEST_DATA/points_B.qpj,f95b829d0b49308942f34d9a7b47df2b1a6de324,2014-02-08 23:30:37+01:00,,,,,/6fbfe3d4ee048a09c3d6fd42044a721a9844d572,/2016-07-27 23:04:10+02:00,1,1,,,added/removed,0,,
19,TEST_DATA/single_point.prj,f95b829d0b49308942f34d9a7b47df2b1a6de324,2014-02-08 23:30:37+01:00,,,,,/6fbfe3d4ee048a09c3d6fd42044a721a9844d572,/2016-07-27 23:04:10+02:00,1,1,,,added/removed,0,,
20,TEST_DATA/single_point.qpj,f95b829d0b49308942f34d9a7b47df2b1a6de324,2014-02-08 23:30:37+01:00,,,,,/6fbfe3d4ee048a09c3d6fd42044a721a9844d572,/2016-07-27 23:04:10+02:00,1,1,,,added/removed,0,,
23,__init__.py,f95b829d0b49308942f34d9a7b47df2b1a6de324,2014-02-08 23:30:37+01:00,__init__.py,__init__.py,,,,,83,43,,,added,6,2019-05-28 13:17:15+02:00,05933bd0d186de794c54821394746b9910590d10
25,doViewshed.py,f95b829d0b49308942f34d9a7b47df2b1a6de324,2014-02-08 23:30:37+01:00,doViewshed.py,doViewshed.py,,,/05933bd0d186de794c54821394746b9910590d10,/2019-05-28 13:17:15+02:00,2052,2050,,,added/removed,20,2016-12-22 13:10:48+01:00,a17372f290ba96bf6d5c1a8ede785b224854022d
27,help/Makefile,f95b829d0b49308942f34d9a7b47df2b1a6de324,2014-02-08 23:30:37+01:00,help/Makefile,help/Makefile,,,,,134,4,,,added,1,2019-05-28 13:17:15+02:00,05933bd0d186de794c54821394746b9910590d10
28,help/make.bat,f95b829d0b49308942f34d9a7b47df2b1a6de324,2014-02-08 23:30:37+01:00,help/make.bat,help/make.bat,,,,,157,2,,,added,1,2019-05-28 13:17:15+02:00,05933bd0d186de794c54821394746b9910590d10
29,help/source/conf.py,f95b829d0b49308942f34d9a7b47df2b1a6de324,2014-02-08 23:30:37+01:00,help/source/conf.py,help/source/conf.py,,,,,227,11,,,added,1,2019-05-28 13:17:15+02:00,05933bd0d186de794c54821394746b9910590d10
30,help/source/index.rst,f95b829d0b49308942f34d9a7b47df2b1a6de324,2014-02-08 23:30:37+01:00,help/source/index.rst,help/source/index.rst,,,,,22,2,,,added,1,2019-05-28 13:17:15+02:00,05933bd0d186de794c54821394746b9910590d10
32,metadata.txt,f95b829d0b49308942f34d9a7b47df2b1a6de324,2014-02-08 23:30:37+01:00,metadata.txt,metadata.txt,,,,,84,51,,,added,15,2020-04-24 19:06:22+02:00,aa9200eb7d892542a2bbfa2b566ffe10833a71ed
51,plugin_upload.py,cded5344788dcd987e32701846ee48b0555ee6ae,2014-02-09 00:12:42+01:00,plugin_upload.py,plugin_upload.py,,,,,154,47,,,added,1,2019-05-28 13:17:15+02:00,05933bd0d186de794c54821394746b9910590d10
34,resources.py,f95b829d0b49308942f34d9a7b47df2b1a6de324,2014-02-08 23:30:37+01:00,,,,,/05933bd0d186de794c54821394746b9910590d10,/2019-05-28 13:17:15+02:00,1519,1519,,,added/removed,0,,
35,resources.qrc,f95b829d0b49308942f34d9a7b47df2b1a6de324,2014-02-08 23:30:37+01:00,,,,,/05933bd0d186de794c54821394746b9910590d10,/2019-05-28 13:17:15+02:00,6,6,,,added/removed,0,,
36,resources_rc.py,f95b829d0b49308942f34d9a7b47df2b1a6de324,2014-02-08 23:30:37+01:00,,,,,/05933bd0d186de794c54821394746b9910590d10,/2019-05-28 13:17:15+02:00,1519,1519,,,added/removed,0,,
38,ui_viewshedanalysis.py,f95b829d0b49308942f34d9a7b47df2b1a6de324,2014-02-08 23:30:37+01:00,ui_viewshedanalysis.py,ui_viewshedanalysis.py,,,/05933bd0d186de794c54821394746b9910590d10,/2019-05-28 13:17:15+02:00,540,540,,,added/removed,11,2016-12-22 13:16:11+01:00,6709e708f7f87adb4d5c3b91afe245ed7b92294e
73,ui_viewshedanalysis.ui,f9cbcf7d26342d4babc33fefd40e4bb471d3141f,2015-02-03 11:51:47+01:00,ui_viewshedanalysis.ui,ui_viewshedanalysis.ui,,,/05933bd0d186de794c54821394746b9910590d10,/2019-05-28 13:17:15+02:00,864,864,,,added/removed,8,2016-12-22 13:15:11+01:00,7a22c5a6cfe9ac08c7b1055fed0dfa342ac07506
41,viewshedanalysis.py,f95b829d0b49308942f34d9a7b47df2b1a6de324,2014-02-08 23:30:37+01:00,viewshedanalysis.py,viewshedanalysis.py,,,/05933bd0d186de794c54821394746b9910590d10,/2019-05-28 13:17:15+02:00,273,273,,,added/removed,2,2016-07-29 20:06:25+02:00,c7a1b1335d59af15c35b44e20e26deb60cc8d72b
43,viewshedanalysisdialog.py,f95b829d0b49308942f34d9a7b47df2b1a6de324,2014-02-08 23:30:37+01:00,viewshedanalysisdialog.py,viewshedanalysisdialog.py,,,/05933bd0d186de794c54821394746b9910590d10,/2019-05-28 13:17:15+02:00,166,166,,,added/removed,4,2016-12-22 13:12:42+01:00,c03af5f0d1e14afd8fc1340b32185029553a8198
64,README,fe6df30be7e4003ca4116005915d646ddcd96969,2014-12-08 22:49:52+01:00,README,,,,2014-12-08 22:49:52+01:00,fe6df30be7e4003ca4116005915d646ddcd96969,0,6,README,,added->removed,0,,
97,paper/paper.md,76188936fc044b5f0f28594a7fb9c5d7d29640d8,2016-06-24 16:28:16+02:00,paper/paper.md,paper/paper.md,,,,,76,45,,,added,16,2016-08-09 15:19:58-07:00,3a0bc6290a36047f845637ba696a3c6c9e66b2af
103,paper/codemeta.json,ae47b67ad92c4b7187923404412f08e33c4007a3,2016-06-24 16:55:33+02:00,paper/codemeta.json,paper/codemeta.json,,,,,28,3,,,added,3,2016-08-09 23:01:38+02:00,41ee6b0f224cc8456d13d37eb7be7c86322c8be4
136,Contributor_code.md,ffbfc284214b9efd756c8bee48add9f285e44966,2016-07-29 20:08:06+02:00,,,,,,,42,0,,,added,0,,
152,paper/paper.bib,d6b139d97283285b2416ace55568d1fb7002d896,2016-08-09 22:35:47+02:00,paper/paper.bib,paper/paper.bib,,,,,78,16,,,added,3,2016-08-09 15:18:58-07:00,22da4483e0c95c4dd144e8dea230fbbb969622fe
172,.gitignore,05933bd0d186de794c54821394746b9910590d10,2019-05-28 13:17:15+02:00,,,,,,,1,0,,,added,0,,
177,algorithms/modules/Points.py,05933bd0d186de794c54821394746b9910590d10,2019-05-28 13:17:15+02:00,algorithms/modules/Points.py,algorithms/modules/Points.py,,,,,531,1,,,added,1,2020-02-01 11:25:33+01:00,2756e24be51fa087d3690cb9afa4e054de3f0c46
178,algorithms/modules/Raster.py,05933bd0d186de794c54821394746b9910590d10,2019-05-28 13:17:15+02:00,algorithms/modules/Raster.py,algorithms/modules/Raster.py,,,,,511,21,,,added,2,2020-04-24 22:35:51+01:00,599eb37d46c1470d3356c26f3439402017677866
180,algorithms/modules/visibility.py,05933bd0d186de794c54821394746b9910590d10,2019-05-28 13:17:15+02:00,algorithms/modules/visibility.py,algorithms/modules/visibility.py,,,,,695,25,,,added,3,2020-04-24 18:42:18+02:00,0e3cab8d7237e7c111b3e2bd31e19661ca9f63dc
181,algorithms/viewshed_horizon_depth.py,05933bd0d186de794c54821394746b9910590d10,2019-05-28 13:17:15+02:00,algorithms/viewshed_horizon_depth.py,algorithms/viewshed_horizon_depth.py,,,/46e272ec3ca315fc3005579b5abb2e23d01a6435,/2020-02-01 11:19:35+01:00,313,313,,,added/removed,1,2019-05-28 14:27:57+02:00,1e533446453801a5ac018fc2b904115c50b0e8c5
