Id,FileName,AddedHash,CreatedAt,RenamedFrom,RenamedTo,RenamedAt,RenamedHash,RemovedHash,RemovedDate,Added,Removed,OldPath,NewPath,status,modifications,LastModifiedAt,LastModifiedHash
1,QUBEKit/BONDS/benzene.psi4in,bb5686ea213f84a33e67daaa8c2fcbff340f988d,2018-09-20 16:07:19+01:00,,,,,/0b6f8d85dcea7adb6793e39f803ec09bdb2bfff8,/2018-09-21 17:49:37+01:00,18,18,,,added/removed,0,,
4,QUBEKit/benzene.pdb,bb5686ea213f84a33e67daaa8c2fcbff340f988d,2018-09-20 16:07:19+01:00,QUBEKit/benzene.pdb,QUBEKit/benzene.pdb,,,/c9c32e30764a36965cac39b354f41120dac43d6e,/2019-02-05 14:39:21+00:00,39,32,,,added/removed,1,2019-01-17 16:12:30+00:00,983a6f603842816fffb6d2d50a571c60130c154d
5,QUBEKit/bonds.py,bb5686ea213f84a33e67daaa8c2fcbff340f988d,2018-09-20 16:07:19+01:00,QUBEKit/bonds.py,QUBEKit/bonds.py,,,/d81514692c66478284d3cf230b074bc436776933,/2018-11-26 15:42:42+00:00,612,687,,,added/removed,9,2018-11-19 09:46:51+00:00,f485122045766cdc11b4cb223980df6b8c3f0d33
6,QUBEKit/config.ini,bb5686ea213f84a33e67daaa8c2fcbff340f988d,2018-09-20 16:07:19+01:00,,,,,/e4e43dc54531035aa6d89a0fa478157fe8f829a4,/2018-10-05 16:09:36+01:00,30,30,,,added/removed,0,,
7,QUBEKit/run.py,bb5686ea213f84a33e67daaa8c2fcbff340f988d,2018-09-20 16:07:19+01:00,QUBEKit/run.py,QUBEKit/run.py,,,,,4245,3296,,,added,172,2020-10-07 14:57:05+01:00,56f5550a9ea6cb5fc8f92f322bec329eaa9dc85a
10,build/lib/QUBEKit/run.py,bb5686ea213f84a33e67daaa8c2fcbff340f988d,2018-09-20 16:07:19+01:00,build/lib/QUBEKit/run.py,build/lib/QUBEKit/run.py,,,/e467ad736e4433cb07eae1929d7a472ab661d425,/2019-02-05 14:26:12+00:00,1280,1280,,,added/removed,13,2019-01-31 14:38:26+00:00,b9a6d32ddca6490ef5741584e5f7e40d35a9ed6f
12,qubekit.egg-info/PKG-INFO,bb5686ea213f84a33e67daaa8c2fcbff340f988d,2018-09-20 16:07:19+01:00,qubekit.egg-info/PKG-INFO,qubekit.egg-info/PKG-INFO,,,/e467ad736e4433cb07eae1929d7a472ab661d425,/2019-02-05 14:26:12+00:00,12,12,,,added/removed,1,2018-10-31 15:50:55+00:00,9b05fd6c99f639174ad0176e7ae5e9525627813b
13,qubekit.egg-info/SOURCES.txt,bb5686ea213f84a33e67daaa8c2fcbff340f988d,2018-09-20 16:07:19+01:00,qubekit.egg-info/SOURCES.txt,qubekit.egg-info/SOURCES.txt,,,/e467ad736e4433cb07eae1929d7a472ab661d425,/2019-02-05 14:26:12+00:00,29,29,,,added/removed,3,2018-12-17 10:24:52+00:00,0288b471bd56d4fafc7e80a682e244715dfb2eb4
14,qubekit.egg-info/dependency_links.txt,bb5686ea213f84a33e67daaa8c2fcbff340f988d,2018-09-20 16:07:19+01:00,,,,,/e467ad736e4433cb07eae1929d7a472ab661d425,/2019-02-05 14:26:12+00:00,1,1,,,added/removed,0,,
15,qubekit.egg-info/entry_points.txt,bb5686ea213f84a33e67daaa8c2fcbff340f988d,2018-09-20 16:07:19+01:00,qubekit.egg-info/entry_points.txt,qubekit.egg-info/entry_points.txt,,,/e467ad736e4433cb07eae1929d7a472ab661d425,/2019-02-05 14:26:12+00:00,4,4,,,added/removed,1,2019-02-01 11:33:30+00:00,32245a4b268d16a0155e3d1ae155b37148b9ec49
16,qubekit.egg-info/requires.txt,bb5686ea213f84a33e67daaa8c2fcbff340f988d,2018-09-20 16:07:19+01:00,,,,,/9b05fd6c99f639174ad0176e7ae5e9525627813b,/2018-10-31 15:50:55+00:00,1,1,,,added/removed,0,,
17,qubekit.egg-info/top_level.txt,bb5686ea213f84a33e67daaa8c2fcbff340f988d,2018-09-20 16:07:19+01:00,,,,,/e467ad736e4433cb07eae1929d7a472ab661d425,/2019-02-05 14:26:12+00:00,1,1,,,added/removed,0,,
18,setup.py,bb5686ea213f84a33e67daaa8c2fcbff340f988d,2018-09-20 16:07:19+01:00,setup.py,setup.py,,,,,170,145,,,added,41,2020-09-17 11:29:18+01:00,858ce130f859664674e54f70c28f667bd4357e82
19,QUBEKit/BONDS/FREQ/ethane_freq.dat,0b6f8d85dcea7adb6793e39f803ec09bdb2bfff8,2018-09-21 17:49:37+01:00,QUBEKit/BONDS/FREQ/ethane_freq.dat,QUBEKit/BONDS/FREQ/ethane_freq.dat,,,,,26,8,,,added,1,2018-09-26 14:26:02+01:00,452c0ab069d1281f5ac60e4841ce7c94f4da7f95
