Id,FileName,AddedHash,CreatedAt,RenamedFrom,RenamedTo,RenamedAt,RenamedHash,RemovedHash,RemovedDate,Added,Removed,OldPath,NewPath,status,modifications,LastModifiedAt,LastModifiedHash
1,LICENSE,99d22b3566c86fceb0bd06ffe9d96ab25f0cceff,2011-02-01 19:45:15+00:00,,,,,,,202,0,,,added,0,,
2,NOTICE,99d22b3566c86fceb0bd06ffe9d96ab25f0cceff,2011-02-01 19:45:15+00:00,,,,,,,16,0,,,added,0,,
3,analysis/Resonator_fitting/Dummy_data_20100121T104210.out,99d22b3566c86fceb0bd06ffe9d96ab25f0cceff,2011-02-01 19:45:15+00:00,,,,,/0beee8d85c8b7a8901deb297dbe82010f3c34769,/2016-10-07 10:15:00-04:00,66,66,,,added/removed,0,,
4,analysis/Resonator_fitting/FitResonance8720TOnew.m,99d22b3566c86fceb0bd06ffe9d96ab25f0cceff,2011-02-01 19:45:15+00:00,analysis/Resonator_fitting/FitResonance8720TOnew.m,analysis/Resonator_fitting/FitResonance8720TOnew.m,,,/0beee8d85c8b7a8901deb297dbe82010f3c34769,/2016-10-07 10:15:00-04:00,340,340,,,added/removed,2,2012-10-29 11:31:44-04:00,cc524c9d9859777c054175f2f34a08da341694b4
5,analysis/Resonator_fitting/circfit.m,99d22b3566c86fceb0bd06ffe9d96ab25f0cceff,2011-02-01 19:45:15+00:00,analysis/Resonator_fitting/circfit.m,analysis/Resonator_fitting/circfit.m,,,/0beee8d85c8b7a8901deb297dbe82010f3c34769,/2016-10-07 10:15:00-04:00,41,41,,,added/removed,1,2012-10-29 11:31:44-04:00,cc524c9d9859777c054175f2f34a08da341694b4
6,analysis/Resonator_fitting/fminsearchbnd license.txt,99d22b3566c86fceb0bd06ffe9d96ab25f0cceff,2011-02-01 19:45:15+00:00,,,,,/13c0d9e459af300c66c5f271ee4936fc6f7b03bb,/2012-01-27 13:48:30-05:00,24,24,,,added/removed,0,,
7,analysis/Resonator_fitting/fminsearchbnd.m,99d22b3566c86fceb0bd06ffe9d96ab25f0cceff,2011-02-01 19:45:15+00:00,analysis/Resonator_fitting/fminsearchbnd.m,common/src/util/fminsearchbnd.m,/2011-12-14 17:50:31-05:00,/13c0d9e459af300c66c5f271ee4936fc6f7b03bb,,,305,1,,,added,0,,
8,analysis/Resonator_fitting/moving_average.m,99d22b3566c86fceb0bd06ffe9d96ab25f0cceff,2011-02-01 19:45:15+00:00,analysis/Resonator_fitting/moving_average.m,analysis/Resonator_fitting/moving_average.m,,,/0beee8d85c8b7a8901deb297dbe82010f3c34769,/2016-10-07 10:15:00-04:00,261,261,,,added/removed,1,2012-10-29 11:31:44-04:00,cc524c9d9859777c054175f2f34a08da341694b4
9,analysis/Resonator_fitting/parseDataFile_TO.m,99d22b3566c86fceb0bd06ffe9d96ab25f0cceff,2011-02-01 19:45:15+00:00,analysis/Resonator_fitting/parseDataFile_TO.m,analysis/Resonator_fitting/parseDataFile_TO.m,,,/0beee8d85c8b7a8901deb297dbe82010f3c34769,/2016-10-07 10:15:00-04:00,82,82,,,added/removed,1,2012-10-29 11:31:44-04:00,cc524c9d9859777c054175f2f34a08da341694b4
10,analysis/Resonator_fitting/parse_ExpcfgFile_TO.m,99d22b3566c86fceb0bd06ffe9d96ab25f0cceff,2011-02-01 19:45:15+00:00,,,,,/0beee8d85c8b7a8901deb297dbe82010f3c34769,/2016-10-07 10:15:00-04:00,104,104,,,added/removed,0,,
11,analysis/Resonator_fitting/readme.txt,99d22b3566c86fceb0bd06ffe9d96ab25f0cceff,2011-02-01 19:45:15+00:00,analysis/Resonator_fitting/readme.txt,analysis/Resonator_fitting/readme.txt,,,/0beee8d85c8b7a8901deb297dbe82010f3c34769,/2016-10-07 10:15:00-04:00,36,36,,,added/removed,1,2012-10-29 11:31:44-04:00,cc524c9d9859777c054175f2f34a08da341694b4
12,analysis/Resonator_fitting/su_resonators.m,99d22b3566c86fceb0bd06ffe9d96ab25f0cceff,2011-02-01 19:45:15+00:00,,,,,/0beee8d85c8b7a8901deb297dbe82010f3c34769,/2016-10-07 10:15:00-04:00,32,32,,,added/removed,0,,
13,analysis/Resonator_fitting/su_resonators_plot.m,99d22b3566c86fceb0bd06ffe9d96ab25f0cceff,2011-02-01 19:45:15+00:00,analysis/Resonator_fitting/su_resonators_plot.m,analysis/Resonator_fitting/su_resonators_plot.m,,,/0beee8d85c8b7a8901deb297dbe82010f3c34769,/2016-10-07 10:15:00-04:00,36,36,,,added/removed,1,2011-02-03 19:48:56+00:00,86f67e82b383b64e27cc7a0964a630b92eef41fa
14,analysis/bgsubtract.m,99d22b3566c86fceb0bd06ffe9d96ab25f0cceff,2011-02-01 19:45:15+00:00,analysis/bgsubtract.m,analysis/bgsubtract.m,,,,,24,16,,,added,4,2013-10-22 14:14:48-04:00,3ba177ecec41a805395c7552dd176be00e0304df
15,analysis/cQED_dataAnalysis/cQED_qubitlevels.m,99d22b3566c86fceb0bd06ffe9d96ab25f0cceff,2011-02-01 19:45:15+00:00,analysis/cQED_dataAnalysis/cQED_qubitlevels.m,analysis/cQED_dataAnalysis/cQED_qubitlevels.m,,,,,128,64,,,added,1,2012-10-29 11:31:44-04:00,cc524c9d9859777c054175f2f34a08da341694b4
16,analysis/cQED_dataAnalysis/calculateResidue_cQEDsim.m,99d22b3566c86fceb0bd06ffe9d96ab25f0cceff,2011-02-01 19:45:15+00:00,analysis/cQED_dataAnalysis/calculateResidue_cQEDsim.m,analysis/cQED_dataAnalysis/calculateResidue_cQEDsim.m,,,,,53,26,,,added,1,2012-10-29 11:31:44-04:00,cc524c9d9859777c054175f2f34a08da341694b4
