Id,FileName,AddedHash,CreatedAt,RenamedFrom,RenamedTo,RenamedAt,RenamedHash,RemovedHash,RemovedDate,Added,Removed,OldPath,NewPath,status,modifications,LastModifiedAt,LastModifiedHash
1,LICENSE,ba75d48a8c5ceddb58a48eb87c0a5d689c9cb68b,2017-11-23 09:38:21+01:00,,,,,,,373,0,,,added,0,,
2,README.md,e9155094ad134e37aa380f44276dbd19e8d3c861,2017-11-23 09:38:37+01:00,README.md,README.md,,,,,2214,2088,,,added,467,2020-10-05 01:21:54+02:00,f3759d1f04e6ddde4d3ca93f31a0d6ccf1961508
3,chrome.manifest,a55ba7a7f426a2d9f9443fdcef2cd5ed12818d8f,2017-11-23 09:39:29+01:00,,,,,/20551d246b5316bbc5baef7a11e57119ae8965b2,/2018-01-03 07:54:11+01:00,1,1,,,added/removed,0,,
4,scrollbars.css,a55ba7a7f426a2d9f9443fdcef2cd5ed12818d8f,2017-11-23 09:39:29+01:00,scrollbars.css,scrollbars.css,,,/95e9da06bacb542293ad0626b21311b08178363d,/2018-01-03 07:54:25+01:00,196,196,,,added/removed,3,2017-11-29 07:50:36+01:00,6851cfbd61865a244337fb29a034e2b39c861f63
5,userChrome.css,a55ba7a7f426a2d9f9443fdcef2cd5ed12818d8f,2017-11-23 09:39:29+01:00,userChrome.css,Full theme (except scrollbars)/userChrome.css,/2018-03-03 08:16:37+01:00,/3f4fdcb911c2f4ced4c991b915e98ef97b559870,,,1439,960,,,added,43,2018-03-03 05:50:02+01:00,0e3eb9a5ff6e78e3e1b0f9ee1b3adb3420bd222c
6,userContent.css,a55ba7a7f426a2d9f9443fdcef2cd5ed12818d8f,2017-11-23 09:39:29+01:00,userContent.css,Full theme (except scrollbars)/userContent.css,/2018-03-03 08:16:37+01:00,/3f4fdcb911c2f4ced4c991b915e98ef97b559870,,,2407,1622,,,added,36,2018-02-24 04:56:27+01:00,2d073a7745d0cbf38c18a5a053c5eccc61b7dd93
80,Scrollbar patchers/Readme!.txt,a1efa228e20dfac70fc106216d9ad5bd7d63e8d6,2017-12-07 09:54:49+01:00,Scrollbar patchers/Readme!.txt,Scrollbar patchers/Readme!.txt,,,/a2665ce4252d0a5d1abe35fe1ac6561199eac6d4,/2017-12-08 03:35:49+01:00,33,32,,,added/removed,3,2017-12-07 13:54:26+01:00,63a6aa10cb59093ff80a9b3946fe7eac126a8180
81,Scrollbar patchers/Scrollbars first time patch (32-bits).bat,a1efa228e20dfac70fc106216d9ad5bd7d63e8d6,2017-12-07 09:54:49+01:00,,,,,/04071ecbc234a65f996edf1ff4ab80fb991a9d96,/2017-12-08 03:35:20+01:00,8,8,,,added/removed,0,,
82,Scrollbar patchers/Scrollbars first time patch (64-bits).bat,a1efa228e20dfac70fc106216d9ad5bd7d63e8d6,2017-12-07 09:54:49+01:00,,,,,/6fc5b5ae83b495d1771c9b187f7475a3ec3fba3e,/2017-12-08 03:35:09+01:00,8,8,,,added/removed,0,,
83,Scrollbar patchers/Scrollbars re-patcher (32-bits).bat,a1efa228e20dfac70fc106216d9ad5bd7d63e8d6,2017-12-07 09:54:49+01:00,,,,,/e94fad4cc7842936bcaf8e6a072eedbd28b81bb3,/2017-12-08 03:34:33+01:00,7,7,,,added/removed,0,,
