Id,FileName,AddedHash,CreatedAt,RenamedFrom,RenamedTo,RenamedAt,RenamedHash,RemovedHash,RemovedDate,Added,Removed,OldPath,NewPath,status,modifications,LastModifiedAt,LastModifiedHash
1,.gitignore,9b70f07d036274eae47cc8759a2639b411a179e2,2015-10-02 12:10:57+02:00,.gitignore,.gitignore,,,,,98,44,,,added,11,2020-01-27 17:21:54-08:00,90d8b0c4841462ad0e32ce6680baace28600a99a
2,.travis.yml,9b70f07d036274eae47cc8759a2639b411a179e2,2015-10-02 12:10:57+02:00,.travis.yml,.travis.yml,,,,,79,54,,,added,15,2020-01-13 12:59:57-08:00,af701513fc04d02590d3dc51f1d16d3518e9811c
3,LICENSE.md,9b70f07d036274eae47cc8759a2639b411a179e2,2015-10-02 12:10:57+02:00,LICENSE.md,LICENSE.md,,,,,23,1,,,added,1,2015-10-02 12:29:34+02:00,796829d2577b316416503e96d2f926ccb9a34000
4,README.md,9b70f07d036274eae47cc8759a2639b411a179e2,2015-10-02 12:10:57+02:00,README.md,README.md,,,,,80,34,,,added,17,2020-01-28 16:52:57-08:00,56f4a27d613b6d8547bca0789d0d4929d16be65e
5,src/QuantumLab.jl,9b70f07d036274eae47cc8759a2639b411a179e2,2015-10-02 12:10:57+02:00,src/QuantumLab.jl,src/QuantumLab.jl,,,,,331,206,,,added,26,2019-04-05 17:22:30-07:00,04f21e240d078f708b05afc47538478a102a1781
6,test/runtests.jl,9b70f07d036274eae47cc8759a2639b411a179e2,2015-10-02 12:10:57+02:00,test/runtests.jl,test/runtests.jl,,,,,606,427,,,added,37,2020-01-16 14:49:53-08:00,3bba1d5d57cf583d6d0cc94b0fdc7557b7881eb3
10,test/h2o.xyz,c0ca45c742eb2a6a09950a6509e6eabf95b7e349,2015-10-02 16:18:08+02:00,,,,,,,5,0,,,added,0,,
16,src/SubModules/AtomModule.jl,9059cbe72a6420e3018caf5b51cdcda2f4916e5e,2015-10-02 17:41:12+02:00,src/SubModules/AtomModule.jl,src/SubModules/AtomModule.jl,,,,,251,15,,,added,10,2019-08-30 17:35:45-07:00,f7edb75ea547ec30cc1edc14d0d41063539450e3
17,src/SubModules/Base.jl,9059cbe72a6420e3018caf5b51cdcda2f4916e5e,2015-10-02 17:41:12+02:00,,,,,/74cb3a0cc74a51f2d0892f0a125d9c9112438a99,/2015-11-17 16:36:35+01:00,10,10,,,added/removed,0,,
25,src/SubModules/BaseModule.jl,74cb3a0cc74a51f2d0892f0a125d9c9112438a99,2015-11-17 16:36:24+01:00,src/SubModules/BaseModule.jl,src/SubModules/BaseModule.jl,,,,,227,77,,,added,18,2019-04-05 17:22:30-07:00,04f21e240d078f708b05afc47538478a102a1781
26,src/SubModules/BasisModule.jl,74cb3a0cc74a51f2d0892f0a125d9c9112438a99,2015-11-17 16:36:24+01:00,src/SubModules/BasisModule.jl,src/SubModules/BasisModule.jl,,,,,185,89,,,added,18,2020-01-28 16:52:57-08:00,56f4a27d613b6d8547bca0789d0d4929d16be65e
27,src/SubModules/BasisSetModule.jl,74cb3a0cc74a51f2d0892f0a125d9c9112438a99,2015-11-17 16:36:24+01:00,src/SubModules/BasisSetModule.jl,src/SubModules/BasisSetModule.jl,,,,,212,93,,,added,11,2020-01-28 16:52:57-08:00,56f4a27d613b6d8547bca0789d0d4929d16be65e
28,src/SubModules/GeometryModule.jl,74cb3a0cc74a51f2d0892f0a125d9c9112438a99,2015-11-17 16:36:24+01:00,src/SubModules/GeometryModule.jl,src/SubModules/GeometryModule.jl,,,,,221,101,,,added,18,2020-01-28 16:52:57-08:00,56f4a27d613b6d8547bca0789d0d4929d16be65e
29,src/SubModules/IntegralsModule.jl,74cb3a0cc74a51f2d0892f0a125d9c9112438a99,2015-11-17 16:36:24+01:00,src/SubModules/IntegralsModule.jl,src/SubModules/IntegralsModule.jl,,,,,1644,1166,,,added,26,2019-04-05 17:22:30-07:00,04f21e240d078f708b05afc47538478a102a1781
263,test/STO-3G.tx93,22af29662e4ad8fba491aebd2ff38399f49a1b4b,2016-07-21 11:36:08+02:00,,,,,,,1247,0,,,added,0,,
32,REQUIRE,d26407544d284caaa03e16c9a75c8138429e0311,2015-11-17 17:50:35+01:00,REQUIRE,REQUIRE,,,/a2fe63199b043d8d4c1ed6ee3fe0d9acbac946d5,/2020-01-16 13:10:08-08:00,23,23,,,added/removed,10,2020-01-13 13:00:44-08:00,51bc41f67827120f0e1cb824b6c53ac35adffed2
43,test/HF.jl,19cf14540364cddc2de9a53e576377b1ca7d7dc2,2015-11-20 16:52:51+01:00,test/HF.jl,test/HF.jl,,,/a260a7cb3afa9ca2c459fda0016ffba931aaa92e,/2016-02-25 15:46:23+01:00,435,435,,,added/removed,7,2016-02-24 18:10:48+01:00,33e3bff72ebb65e304a38e32425e58fdbeaaee64
48,src/SubModules/BasisFunctionsModule.jl,be2b92fc9095c92d04501b61193f27caddf56c8e,2015-11-27 09:32:34+01:00,src/SubModules/BasisFunctionsModule.jl,src/SubModules/BasisFunctionsModule.jl,,,,,145,91,,,added,11,2020-01-28 16:52:57-08:00,56f4a27d613b6d8547bca0789d0d4929d16be65e
52,src/SubModules/SpecialMatricesModule.jl,be2b92fc9095c92d04501b61193f27caddf56c8e,2015-11-27 09:32:34+01:00,src/SubModules/SpecialMatricesModule.jl,src/SubModules/SpecialMatricesModule.jl,,,,,896,578,,,added,24,2019-04-05 17:22:30-07:00,04f21e240d078f708b05afc47538478a102a1781
64,appveyor.yml,ca3ca8291deb1b6c2cc00cc74ddf415d6aafb0f5,2015-12-08 00:32:06+01:00,appveyor.yml,appveyor.yml,,,/af701513fc04d02590d3dc51f1d16d3518e9811c,/2020-01-13 12:59:57-08:00,76,76,,,added/removed,4,2020-01-13 12:36:58-08:00,f47fb50c540d210f73fabdac107e4c87ac9011f2
76,test/visualization.jl,18fd0033bd08673b769013b78761bb6201863475,2015-12-18 15:58:08+01:00,test/visualization.jl,test/visualization.jl,,,,,77,40,,,added,2,2017-12-30 19:22:16+01:00,19de5aefb3ed47ffc1618c0aab9c4b7c56a89aa1
96,src/SubModules/HartreeFockModule.jl,a260a7cb3afa9ca2c459fda0016ffba931aaa92e,2016-02-25 15:46:23+01:00,src/SubModules/HartreeFockModule.jl,src/SubModules/HartreeFockModule.jl,,,,,435,223,,,added,18,2019-04-05 17:22:30-07:00,04f21e240d078f708b05afc47538478a102a1781
97,src/SubModules/InitialGuessModule.jl,a260a7cb3afa9ca2c459fda0016ffba931aaa92e,2016-02-25 15:46:23+01:00,src/SubModules/InitialGuessModule.jl,src/SubModules/InitialGuessModule.jl,,,,,131,25,,,added,3,2019-04-05 17:22:30-07:00,04f21e240d078f708b05afc47538478a102a1781
104,src/SubModules/DocumentationModule.jl,4bdd604bc95eb92593f38bc7d48449f8da1b7deb,2016-02-26 17:20:30+01:00,src/SubModules/DocumentationModule.jl,src/SubModules/DocumentationModule.jl,,,,,247,80,,,added,9,2020-01-28 16:52:57-08:00,56f4a27d613b6d8547bca0789d0d4929d16be65e
113,src/SubModules/BasisSetExchangeModule.jl,8a036f4beccd2bb8db92d696fadad2ffcde694db,2016-03-22 11:22:02+01:00,src/SubModules/BasisSetExchangeModule.jl,src/SubModules/BasisSetExchangeModule.jl,,,,,203,106,,,added,9,2020-01-16 14:49:53-08:00,3bba1d5d57cf583d6d0cc94b0fdc7557b7881eb3
118,src/SubModules/libint2/Makefile,34a25d3ebf6196119129f399c5d0a87c0ed1c9bb,2016-05-06 18:45:51+02:00,src/SubModules/libint2/Makefile,src/SubModules/libint2/Makefile,,,/55f42f995afd3df76a4a4d18607f10c27b41e3f9,/2016-06-14 14:14:08+02:00,21,21,,,added/removed,1,2016-05-09 17:11:42+02:00,f1a4bd6bdfa466323f29d839f8f4c6163ca037c7
119,src/SubModules/libint2/libinttest.cpp,34a25d3ebf6196119129f399c5d0a87c0ed1c9bb,2016-05-06 18:45:51+02:00,src/SubModules/libint2/libinttest.cpp,src/SubModules/libint2/libint2jl.cpp,/2016-05-09 17:11:42+02:00,/f1a4bd6bdfa466323f29d839f8f4c6163ca037c7,,,145,20,,,added,0,,
119,src/SubModules/libint2/libint2jl.cpp,34a25d3ebf6196119129f399c5d0a87c0ed1c9bb,2016-05-06 18:45:51+02:00,src/SubModules/libint2/libint2jl.cpp,deps/usr/src/libint2jl.cpp,/2016-05-09 17:11:42+02:00/2016-06-14 14:14:08+02:00,/f1a4bd6bdfa466323f29d839f8f4c6163ca037c7/55f42f995afd3df76a4a4d18607f10c27b41e3f9,,,158,20,,,added/renamed,0,,
122,src/SubModules/libint2/libinttest.so,f1a4bd6bdfa466323f29d839f8f4c6163ca037c7,2016-05-09 17:11:42+02:00,src/SubModules/libint2/libinttest.so,src/SubModules/libint2/libint2jl.so,2016-05-09 17:11:42+02:00/2016-05-09 17:11:42+02:00,f1a4bd6bdfa466323f29d839f8f4c6163ca037c7/f1a4bd6bdfa466323f29d839f8f4c6163ca037c7,,,0,0,src/SubModules/libint2/libinttest.so,src/SubModules/libint2/libint2jl.so,added->renamed,0,,
122,src/SubModules/libint2/libint2jl.so,f1a4bd6bdfa466323f29d839f8f4c6163ca037c7,2016-05-09 17:11:42+02:00,src/SubModules/libint2/libint2jl.so,src/SubModules/libint2/libint2jl.so,2016-05-09 17:11:42+02:00/2016-05-09 17:11:42+02:00,f1a4bd6bdfa466323f29d839f8f4c6163ca037c7/f1a4bd6bdfa466323f29d839f8f4c6163ca037c7,,,0,0,src/SubModules/libint2/libinttest.so,src/SubModules/libint2/libint2jl.so,added->renamed/renamed,1,2016-06-14 14:14:08+02:00,55f42f995afd3df76a4a4d18607f10c27b41e3f9
128,src/SubModules/LibInt2Module.jl,287f61da92d87b9967fc02865d01babefd853bdf,2016-05-09 18:30:58+02:00,src/SubModules/LibInt2Module.jl,src/SubModules/LibInt2Module.jl,,,,,859,494,,,added,26,2020-01-28 16:52:57-08:00,56f4a27d613b6d8547bca0789d0d4929d16be65e
129,src/SubModules/ShellModule.jl,287f61da92d87b9967fc02865d01babefd853bdf,2016-05-09 18:30:58+02:00,src/SubModules/ShellModule.jl,src/SubModules/ShellModule.jl,,,,,194,59,,,added,12,2020-01-28 16:52:57-08:00,56f4a27d613b6d8547bca0789d0d4929d16be65e
134,deps/build.jl,7b6ee46e3d371b7a7c459220796fb0ea26c177f3,2016-05-12 12:30:53+02:00,deps/build.jl,deps/build.jl,,,,,213,223,,,added,11,2019-04-05 17:22:30-07:00,04f21e240d078f708b05afc47538478a102a1781
136,deps/deps.jl,0fd8b86b57126e071a47cb4c24a22df3e03c316b,2016-05-20 14:17:20+02:00,,,,,,,15,0,,,added,0,,
158,deps/usr/src/Makefile,55f42f995afd3df76a4a4d18607f10c27b41e3f9,2016-06-14 14:14:08+02:00,deps/usr/src/Makefile,deps/usr/src/Makefile,,,,,408,232,,,added,11,2016-08-04 19:24:15+02:00,b93cf75ec4d31464dcab8d66b8956bc8d7c3832c
119,deps/usr/src/libint2jl.cpp,34a25d3ebf6196119129f399c5d0a87c0ed1c9bb,2016-05-06 18:45:51+02:00,deps/usr/src/libint2jl.cpp,deps/usr/src/libint2jl.cpp,/2016-05-09 17:11:42+02:00/2016-06-14 14:14:08+02:00,/f1a4bd6bdfa466323f29d839f8f4c6163ca037c7/55f42f995afd3df76a4a4d18607f10c27b41e3f9,,,329,181,,,added/renamed/renamed,3,2016-08-04 15:06:08+02:00,933ec5b49e88464a7f2787049fc8f2a13ca8268a
175,src/SubModules/LaplaceModule.jl,b95b790b5835e7f111016d66e2249cbd9876e7db,2016-07-01 13:50:43+02:00,src/SubModules/LaplaceModule.jl,src/SubModules/LaplaceModule.jl,,,,,348,139,,,added,10,2020-01-28 16:52:57-08:00,56f4a27d613b6d8547bca0789d0d4929d16be65e
183,src/SubModules/RIMethods.jl,7adf2a15dd890dd22643cf0857e8ecb8009fc700,2016-07-01 16:13:34+02:00,,,,,,,32,0,,,added,0,,
190,Makefile,0eedc42a9c36150b2dc9c73a5bf2fb90ec8f53c1,2016-07-08 16:06:52+02:00,Makefile,Makefile,,,,,130,62,,,added,6,2016-07-25 03:01:50+02:00,447cf5153de24fe38b7e45dac91164367870ed9d
217,deps/usr/lib/libint2jl.so,ba1cff8ea107d4130f1c119d9d57265d875d96dd,2016-07-15 13:48:20+02:00,deps/usr/lib/libint2jl.so,deps/usr/lib/libint2jl-2.2.0-beta1.so,2016-07-15 13:48:20+02:00/2016-07-15 13:48:20+02:00,ba1cff8ea107d4130f1c119d9d57265d875d96dd/ba1cff8ea107d4130f1c119d9d57265d875d96dd,,,0,0,deps/usr/lib/libint2jl.so,deps/usr/lib/libint2jl-2.2.0-beta1.so,added->renamed,0,,
217,deps/usr/lib/libint2jl-2.2.0-beta1.so,ba1cff8ea107d4130f1c119d9d57265d875d96dd,2016-07-15 13:48:20+02:00,deps/usr/lib/libint2jl-2.2.0-beta1.so,deps/usr/lib/libint2jl-2.2.0-beta1-avx.so,2016-07-15 13:48:20+02:00/2016-07-15 13:48:20+02:00/2016-08-04 18:47:54+02:00,ba1cff8ea107d4130f1c119d9d57265d875d96dd/ba1cff8ea107d4130f1c119d9d57265d875d96dd/5b5490c788d14338ed0298452b83f69271bfaae7,,,0,0,deps/usr/lib/libint2jl.so,deps/usr/lib/libint2jl-2.2.0-beta1.so,added->renamed/renamed,2,2016-08-04 15:06:08+02:00,933ec5b49e88464a7f2787049fc8f2a13ca8268a
231,src/SubModules/LibInt2_Substitution_Module.jl,09cba7f10431f02b354067a3760ad1cec04fd13b,2016-07-18 10:24:00+02:00,,,,,,,260,0,,,added,0,,
288,src/SubModules/LibInt2Module.stubs,0d18c057eebd6d8c85131beee985e2cefc62ab75,2016-08-02 15:28:01+02:00,src/SubModules/LibInt2Module.stubs,src/SubModules/LibInt2Module.stubs,,,,,55,12,,,added,3,2019-04-05 17:22:30-07:00,04f21e240d078f708b05afc47538478a102a1781
297,.ctags,447cf5153de24fe38b7e45dac91164367870ed9d,2016-07-25 03:01:50+02:00,,,,,,,4,0,,,added,0,,
305,deps/usr/lib/libint2-2.2.0-beta1.dylib,a876a6896ffc77d0ed7becd9be42f3c7acd04f23,2016-08-04 16:56:20+02:00,deps/usr/lib/libint2-2.2.0-beta1.dylib,deps/usr/lib/libint2-2.2.0-beta1-avx.dylib,2016-08-04 16:56:20+02:00/2016-08-04 16:56:20+02:00,a876a6896ffc77d0ed7becd9be42f3c7acd04f23/a876a6896ffc77d0ed7becd9be42f3c7acd04f23,,,0,0,deps/usr/lib/libint2-2.2.0-beta1.dylib,deps/usr/lib/libint2-2.2.0-beta1-avx.dylib,added->renamed,0,,
305,deps/usr/lib/libint2-2.2.0-beta1-avx.dylib,a876a6896ffc77d0ed7becd9be42f3c7acd04f23,2016-08-04 16:56:20+02:00,deps/usr/lib/libint2-2.2.0-beta1-avx.dylib,deps/usr/lib/libint2-2.2.0-beta1-avx.dylib,2016-08-04 16:56:20+02:00/2016-08-04 16:56:20+02:00,a876a6896ffc77d0ed7becd9be42f3c7acd04f23/a876a6896ffc77d0ed7becd9be42f3c7acd04f23,,,0,0,deps/usr/lib/libint2-2.2.0-beta1.dylib,deps/usr/lib/libint2-2.2.0-beta1-avx.dylib,added->renamed/renamed,1,2016-08-05 18:19:38+02:00,d47fc3597ddd08dbb637006dfd3d5bff61c08895
306,deps/usr/lib/libint2jl-2.2.0-beta1.dylib,a876a6896ffc77d0ed7becd9be42f3c7acd04f23,2016-08-04 16:56:20+02:00,deps/usr/lib/libint2jl-2.2.0-beta1.dylib,deps/usr/lib/libint2jl-2.2.0-beta1-avx.dylib,2016-08-04 16:56:20+02:00/2016-08-04 16:56:20+02:00,a876a6896ffc77d0ed7becd9be42f3c7acd04f23/a876a6896ffc77d0ed7becd9be42f3c7acd04f23,,,0,0,deps/usr/lib/libint2jl-2.2.0-beta1.dylib,deps/usr/lib/libint2jl-2.2.0-beta1-avx.dylib,added->renamed,0,,
306,deps/usr/lib/libint2jl-2.2.0-beta1-avx.dylib,a876a6896ffc77d0ed7becd9be42f3c7acd04f23,2016-08-04 16:56:20+02:00,deps/usr/lib/libint2jl-2.2.0-beta1-avx.dylib,deps/usr/lib/libint2jl-2.2.0-beta1-avx.dylib,2016-08-04 16:56:20+02:00/2016-08-04 16:56:20+02:00,a876a6896ffc77d0ed7becd9be42f3c7acd04f23/a876a6896ffc77d0ed7becd9be42f3c7acd04f23,,,0,0,deps/usr/lib/libint2jl-2.2.0-beta1.dylib,deps/usr/lib/libint2jl-2.2.0-beta1-avx.dylib,added->renamed/renamed,1,2016-08-05 18:19:38+02:00,d47fc3597ddd08dbb637006dfd3d5bff61c08895
314,test/setup.jl,b2647c24e84bcc7b7f095d7cce61afa0272bc6d7,2016-08-04 18:47:27+02:00,test/setup.jl,test/setup.jl,,,,,79,30,,,added,8,2020-01-16 14:49:53-08:00,3bba1d5d57cf583d6d0cc94b0fdc7557b7881eb3
315,deps/usr/lib/libint2-2.2.0-beta1.so,5b5490c788d14338ed0298452b83f69271bfaae7,2016-08-04 18:47:54+02:00,deps/usr/lib/libint2-2.2.0-beta1.so,deps/usr/lib/libint2-2.2.0-beta1-avx.so,2016-08-04 18:47:54+02:00/2016-08-04 18:47:54+02:00,5b5490c788d14338ed0298452b83f69271bfaae7/5b5490c788d14338ed0298452b83f69271bfaae7,,,0,0,deps/usr/lib/libint2-2.2.0-beta1.so,deps/usr/lib/libint2-2.2.0-beta1-avx.so,added->renamed,0,,
315,deps/usr/lib/libint2-2.2.0-beta1-avx.so,5b5490c788d14338ed0298452b83f69271bfaae7,2016-08-04 18:47:54+02:00,deps/usr/lib/libint2-2.2.0-beta1.so,deps/usr/lib/libint2-2.2.0-beta1-avx.so,2016-08-04 18:47:54+02:00/2016-08-04 18:47:54+02:00,5b5490c788d14338ed0298452b83f69271bfaae7/5b5490c788d14338ed0298452b83f69271bfaae7,,,0,0,deps/usr/lib/libint2-2.2.0-beta1.so,deps/usr/lib/libint2-2.2.0-beta1-avx.so,added->renamed/renamed,0,,
