Id,FileName,AddedHash,CreatedAt,RenamedFrom,RenamedTo,RenamedAt,RenamedHash,RemovedHash,RemovedDate,Added,Removed,OldPath,NewPath,status,modifications,LastModifiedAt,LastModifiedHash
1,README.md,d8bc70ce40689e4ec21980c39895f57723fb7931,2017-12-08 15:01:45-08:00,README.md,README.md,,,,,116,39,,,added,14,2020-09-16 23:03:05-07:00,827554ed66c4380832bdce3ee52f8f814bf8d3c5
2,.gitattributes,565e09cdccfd5b309857e5276671b886f9f645e6,2017-12-10 19:34:20-08:00,.gitattributes,.gitattributes,,,,,118,57,,,added,3,2018-10-25 18:28:58-07:00,038ddfd42ed939f9542e97dd6700f35d666a3ad7
3,.gitignore,565e09cdccfd5b309857e5276671b886f9f645e6,2017-12-10 19:34:20-08:00,.gitignore,.gitignore,,,,,343,11,,,added,4,2019-07-25 09:46:11-07:00,3023acf7f617f65de37f6dd483f2bae65ecba6d0
4,Docs/README.md,565e09cdccfd5b309857e5276671b886f9f645e6,2017-12-10 19:34:20-08:00,Docs/README.md,Docs/README.md,,,,,9,1,,,added,1,2018-02-27 08:43:20-08:00,cd2eaecc4d23859f98d54250ba215a94837d9b8f
5,Docs/style-guide.md,565e09cdccfd5b309857e5276671b886f9f645e6,2017-12-10 19:34:20-08:00,Docs/style-guide.md,Docs/style-guide.md,,,,,81,1,,,added,1,2018-02-26 06:39:46-08:00,1789de8b7384d48e8cbecdf6efcda13ff164c860
6,LICENSE,565e09cdccfd5b309857e5276671b886f9f645e6,2017-12-10 19:34:20-08:00,LICENSE,LICENSE,,,/f81d0a113ab1f2a428224f575ce42a77688ac000,/2018-04-23 14:28:16-07:00,199,199,,,added/removed,1,2018-02-26 05:21:28-08:00,18cabfe46b7c7757dd798c77b9afbf4b549cb603
7,LibraryTests/AmplitudeAmplificationTests.qs,565e09cdccfd5b309857e5276671b886f9f645e6,2017-12-10 19:34:20-08:00,LibraryTests/AmplitudeAmplificationTests.qs,LibraryTests/AmplitudeAmplificationTests.qs,,,/038ddfd42ed939f9542e97dd6700f35d666a3ad7,/2018-10-25 18:28:58-07:00,124,124,,,added/removed,1,2018-02-26 05:21:28-08:00,18cabfe46b7c7757dd798c77b9afbf4b549cb603
8,LibraryTests/ApplyMultiControlledTests.qs,565e09cdccfd5b309857e5276671b886f9f645e6,2017-12-10 19:34:20-08:00,LibraryTests/ApplyMultiControlledTests.qs,LibraryTests/ApplyMultiControlledTests.qs,,,/038ddfd42ed939f9542e97dd6700f35d666a3ad7,/2018-10-25 18:28:58-07:00,47,47,,,added/removed,1,2018-02-26 05:21:28-08:00,18cabfe46b7c7757dd798c77b9afbf4b549cb603
9,LibraryTests/ArithmeticTests.qs,565e09cdccfd5b309857e5276671b886f9f645e6,2017-12-10 19:34:20-08:00,LibraryTests/ArithmeticTests.qs,LibraryTests/ArithmeticTests.qs,,,/038ddfd42ed939f9542e97dd6700f35d666a3ad7,/2018-10-25 18:28:58-07:00,183,183,,,added/removed,1,2018-02-26 05:21:28-08:00,18cabfe46b7c7757dd798c77b9afbf4b549cb603
10,LibraryTests/ArrayTests.qs,565e09cdccfd5b309857e5276671b886f9f645e6,2017-12-10 19:34:20-08:00,LibraryTests/ArrayTests.qs,LibraryTests/ArrayTests.qs,,,/038ddfd42ed939f9542e97dd6700f35d666a3ad7,/2018-10-25 18:28:58-07:00,90,90,,,added/removed,2,2018-04-10 17:53:08-07:00,81dd07bc6e740d69f1025dc8ef8456ad900d122f
11,LibraryTests/AssertTests.qs,565e09cdccfd5b309857e5276671b886f9f645e6,2017-12-10 19:34:20-08:00,LibraryTests/AssertTests.qs,LibraryTests/AssertTests.qs,,,/038ddfd42ed939f9542e97dd6700f35d666a3ad7,/2018-10-25 18:28:58-07:00,127,127,,,added/removed,3,2018-04-10 17:53:08-07:00,81dd07bc6e740d69f1025dc8ef8456ad900d122f
12,LibraryTests/CombinatorTests.qs,565e09cdccfd5b309857e5276671b886f9f645e6,2017-12-10 19:34:20-08:00,LibraryTests/CombinatorTests.qs,LibraryTests/CombinatorTests.qs,,,/038ddfd42ed939f9542e97dd6700f35d666a3ad7,/2018-10-25 18:28:58-07:00,207,207,,,added/removed,5,2018-05-09 09:05:45-07:00,519c2a736ec06314f833feb7ad7e46ceb191366b
13,LibraryTests/ConversionTests.qs,565e09cdccfd5b309857e5276671b886f9f645e6,2017-12-10 19:34:20-08:00,LibraryTests/ConversionTests.qs,LibraryTests/ConversionTests.qs,,,/038ddfd42ed939f9542e97dd6700f35d666a3ad7,/2018-10-25 18:28:58-07:00,31,31,,,added/removed,1,2018-02-26 05:21:28-08:00,18cabfe46b7c7757dd798c77b9afbf4b549cb603
14,LibraryTests/EnumerationTests.qs,565e09cdccfd5b309857e5276671b886f9f645e6,2017-12-10 19:34:20-08:00,LibraryTests/EnumerationTests.qs,LibraryTests/EnumerationTests.qs,,,/038ddfd42ed939f9542e97dd6700f35d666a3ad7,/2018-10-25 18:28:58-07:00,55,55,,,added/removed,1,2018-02-26 05:21:28-08:00,18cabfe46b7c7757dd798c77b9afbf4b549cb603
15,LibraryTests/LibraryTests.csproj,565e09cdccfd5b309857e5276671b886f9f645e6,2017-12-10 19:34:20-08:00,LibraryTests/LibraryTests.csproj,LibraryTests/LibraryTests.csproj,,,/038ddfd42ed939f9542e97dd6700f35d666a3ad7,/2018-10-25 18:28:58-07:00,254,254,,,added/removed,9,2018-09-10 13:38:31-07:00,5dc18387fb16e4d1b380df1ee9cbc55b1a854c77
16,LibraryTests/MathTests.qs,565e09cdccfd5b309857e5276671b886f9f645e6,2017-12-10 19:34:20-08:00,LibraryTests/MathTests.qs,LibraryTests/MathTests.qs,,,/038ddfd42ed939f9542e97dd6700f35d666a3ad7,/2018-10-25 18:28:58-07:00,130,130,,,added/removed,2,2018-04-10 17:53:08-07:00,81dd07bc6e740d69f1025dc8ef8456ad900d122f
17,LibraryTests/MeasurementTests.qs,565e09cdccfd5b309857e5276671b886f9f645e6,2017-12-10 19:34:20-08:00,LibraryTests/MeasurementTests.qs,LibraryTests/MeasurementTests.qs,,,/038ddfd42ed939f9542e97dd6700f35d666a3ad7,/2018-10-25 18:28:58-07:00,22,22,,,added/removed,1,2018-02-26 05:21:28-08:00,18cabfe46b7c7757dd798c77b9afbf4b549cb603
18,LibraryTests/PairTests.qs,565e09cdccfd5b309857e5276671b886f9f645e6,2017-12-10 19:34:20-08:00,LibraryTests/PairTests.qs,Canon/tests/PairTests.qs,/2018-10-25 18:28:58-07:00,/038ddfd42ed939f9542e97dd6700f35d666a3ad7,,,33,8,,,added,1,2018-02-26 05:21:28-08:00,18cabfe46b7c7757dd798c77b9afbf4b549cb603
19,LibraryTests/PauliTests.qs,565e09cdccfd5b309857e5276671b886f9f645e6,2017-12-10 19:34:20-08:00,LibraryTests/PauliTests.qs,LibraryTests/PauliTests.qs,,,/038ddfd42ed939f9542e97dd6700f35d666a3ad7,/2018-10-25 18:28:58-07:00,42,42,,,added/removed,1,2018-02-26 05:21:28-08:00,18cabfe46b7c7757dd798c77b9afbf4b549cb603
20,LibraryTests/Properties/AssemblyInfo.cs,565e09cdccfd5b309857e5276671b886f9f645e6,2017-12-10 19:34:20-08:00,LibraryTests/Properties/AssemblyInfo.cs,LibraryTests/Properties/AssemblyInfo.cs,,,/038ddfd42ed939f9542e97dd6700f35d666a3ad7,/2018-10-25 18:28:58-07:00,43,43,,,added/removed,1,2018-02-26 05:21:28-08:00,18cabfe46b7c7757dd798c77b9afbf4b549cb603
21,LibraryTests/QFTTests.qs,565e09cdccfd5b309857e5276671b886f9f645e6,2017-12-10 19:34:20-08:00,LibraryTests/QFTTests.qs,LibraryTests/QFTTests.qs,,,/038ddfd42ed939f9542e97dd6700f35d666a3ad7,/2018-10-25 18:28:58-07:00,98,98,,,added/removed,1,2018-02-26 05:21:28-08:00,18cabfe46b7c7757dd798c77b9afbf4b549cb603
22,LibraryTests/QcvvTests.qs,565e09cdccfd5b309857e5276671b886f9f645e6,2017-12-10 19:34:20-08:00,LibraryTests/QcvvTests.qs,LibraryTests/QcvvTests.qs,,,/038ddfd42ed939f9542e97dd6700f35d666a3ad7,/2018-10-25 18:28:58-07:00,108,108,,,added/removed,2,2018-02-26 06:39:46-08:00,1789de8b7384d48e8cbecdf6efcda13ff164c860
