Id,FileName,AddedHash,CreatedAt,RenamedFrom,RenamedTo,RenamedAt,RenamedHash,RemovedHash,RemovedDate,Added,Removed,OldPath,NewPath,status,modifications,LastModifiedAt,LastModifiedHash
1,artiq/sim.py,c3c83f86b632fe0f83861d449106ae31cce460f9,2014-05-17 14:08:50+02:00,artiq/sim.py,artiq/sim/time.py,/2014-05-28 22:42:01+02:00,/18ef03c5450b03b6266c2274346c316c9a620635,,,110,50,,,added,0,,
2,artiq/units.py,c3c83f86b632fe0f83861d449106ae31cce460f9,2014-05-17 14:08:50+02:00,artiq/units.py,artiq/language/units.py,/2014-05-28 22:42:01+02:00,/18ef03c5450b03b6266c2274346c316c9a620635,,,52,0,,,added,0,,
3,examples/al_spectroscopy.py,c3c83f86b632fe0f83861d449106ae31cce460f9,2014-05-17 14:08:50+02:00,examples/al_spectroscopy.py,examples/sim/al_spectroscopy.py,/2015-02-21 20:34:31-07:00,/651ed71b79ef6b92320b1b5a7dbee65dba0ffb39,,,164,122,,,added,15,2015-01-12 18:51:23+08:00,891c0d12f21c39eb062bffad86976c6e3fbc232f
4,.gitignore,8b57e7de014b5e5e9e086fe9e54886c3056759f4,2014-05-17 14:09:14+02:00,.gitignore,.gitignore,,,,,79,45,,,added,33,2018-05-04 23:44:51+00:00,b1d349cc1ba5bb2875ed54576dee3b2656b94e5f
5,examples/threads_test.py,1a473abecb6464a8dc54784a98ccb68e18dd8150,2014-05-18 19:28:08+02:00,,,,,/7409f095f1468f19476ccfc6397a78b2a5e18c91,/2014-05-28 22:40:26+02:00,21,21,,,added/removed,0,,
6,examples/threads_test_lowered.py,1a473abecb6464a8dc54784a98ccb68e18dd8150,2014-05-18 19:28:08+02:00,,,,,/7409f095f1468f19476ccfc6397a78b2a5e18c91,/2014-05-28 22:40:26+02:00,81,81,,,added/removed,0,,
7,artiq/unparse.py,8e1d334b7b5d8dc5d1e5a18e6b2a7a7e0272db8a,2014-05-24 23:05:48+02:00,artiq/unparse.py,artiq/compiler/unparse.py,/2014-05-30 18:20:13+02:00,/c769bdab9b96ef1d2e163101628b28b6eb5eec73,,,564,0,,,added,0,,
9,examples/transform.py,e3620cc61f23d6f3fd491a2e65a0b4b8425f7339,2014-05-24 23:06:48+02:00,examples/transform.py,artiq/compiler/transform.py,/2014-05-30 18:20:13+02:00,/c769bdab9b96ef1d2e163101628b28b6eb5eec73,,,274,66,,,added,3,2014-05-25 20:23:29+02:00,c423b4c9a0828277833ac9346a58c4736db975a9
10,examples/collapse_test.py,08ff5154a8dd6ff92b6f015eaa1026fdcb7a9849,2014-05-25 13:31:02+02:00,examples/collapse_test.py,examples/collapse_test.py,,,/c769bdab9b96ef1d2e163101628b28b6eb5eec73,/2014-05-30 18:20:13+02:00,16,16,,,added/removed,1,2014-05-25 20:23:29+02:00,c423b4c9a0828277833ac9346a58c4736db975a9
1717,artiq/language/experiment.py,f2e3dfb8481467718ac031ef3c63ffba95ea5f97,2015-03-08 15:43:04+01:00,artiq/language/experiment.py,artiq/language/experiment.py,,,/32d141f5ac8e76ae58062b9a2f06b8093b70728f,/2015-07-13 22:21:32+02:00,60,60,,,added/removed,2,2015-07-09 13:18:12+02:00,96a5d73c81f01891e606509bac055aebdd2e2622
2,artiq/language/units.py,c3c83f86b632fe0f83861d449106ae31cce460f9,2014-05-17 14:08:50+02:00,artiq/language/units.py,artiq/language/units.py,/2014-05-28 22:42:01+02:00,/18ef03c5450b03b6266c2274346c316c9a620635,,,505,483,,,added/renamed,24,2018-05-22 17:36:02+00:00,9a86dfe70d782c0b5f45b95269353e168bfd14e0
16,artiq/sim/devices.py,18ef03c5450b03b6266c2274346c316c9a620635,2014-05-28 22:42:01+02:00,artiq/sim/devices.py,artiq/sim/devices.py,,,,,217,110,,,added,17,2018-07-23 15:34:18+01:00,cbdef0225c274979478fed3057b31b5beed5a2be
1,artiq/sim/time.py,c3c83f86b632fe0f83861d449106ae31cce460f9,2014-05-17 14:08:50+02:00,artiq/sim/time.py,artiq/sim/time.py,/2014-05-28 22:42:01+02:00,/18ef03c5450b03b6266c2274346c316c9a620635,,,203,130,,,added/renamed,5,2015-07-01 22:22:53+02:00,9d6287a6a362b63dd880d8d7705a94c9f323bde1
