Id,FileName,AddedHash,CreatedAt,RenamedFrom,RenamedTo,RenamedAt,RenamedHash,RemovedHash,RemovedDate,Added,Removed,OldPath,NewPath,status,modifications,LastModifiedAt,LastModifiedHash
2,dwave_qasolver/decorators.py,b2bcb3e5e1d71104bd1ddf46a2a8873d67bca0cb,2017-06-28 13:16:46-07:00,dwave_qasolver/decorators.py,dimodsampler/decorators.py,/2017-07-06 13:19:05-07:00,/142fea0a33501cdb5685c83bf48433a5854e37ef,,,200,21,,,added,5,2017-07-06 11:56:43-07:00,b6501460826d631281673adf85cd45c821a1d8ba
3,dwave_qasolver/optimization_solver.py,b2bcb3e5e1d71104bd1ddf46a2a8873d67bca0cb,2017-06-28 13:16:46-07:00,dwave_qasolver/optimization_solver.py,dwave_qasolver/solvers/optimization_solver.py,/2017-06-29 11:54:02-07:00,/2b60a341c9ed96fae6f1b91753506507f76ed6d4,,,89,39,,,added,1,2017-06-29 11:14:51-07:00,15982b747047da214869a0f15b631424fd6e0a82
4,dwave_qasolver/solver_template.py,b2bcb3e5e1d71104bd1ddf46a2a8873d67bca0cb,2017-06-28 13:16:46-07:00,dwave_qasolver/solver_template.py,dimodsampler/solver_template.py,/2017-07-06 13:19:05-07:00,/142fea0a33501cdb5685c83bf48433a5854e37ef,,,34,4,,,added,2,2017-06-30 16:37:10-07:00,9d7d93fbc8949bd0a30b6586347ecdb95acf2e52
6,dwave_qasolver/tests/test_decorators.py,b2bcb3e5e1d71104bd1ddf46a2a8873d67bca0cb,2017-06-28 13:16:46-07:00,dwave_qasolver/tests/test_decorators.py,dimodsampler/tests/test_decorators.py,/2017-07-06 13:19:05-07:00,/142fea0a33501cdb5685c83bf48433a5854e37ef,,,31,30,,,added,3,2017-07-06 11:56:43-07:00,b6501460826d631281673adf85cd45c821a1d8ba
7,dwave_qasolver/tests/test_optimization_solver.py,b2bcb3e5e1d71104bd1ddf46a2a8873d67bca0cb,2017-06-28 13:16:46-07:00,dwave_qasolver/tests/test_optimization_solver.py,dwave_qasolver/tests/test_optimization_solver.py,,,/2b60a341c9ed96fae6f1b91753506507f76ed6d4,/2017-06-29 11:54:02-07:00,27,27,,,added/removed,1,2017-06-29 11:14:51-07:00,15982b747047da214869a0f15b631424fd6e0a82
10,dwave_qasolver/solution_templates.py,15982b747047da214869a0f15b631424fd6e0a82,2017-06-29 11:14:51-07:00,dwave_qasolver/solution_templates.py,dimodsampler/solution_templates.py,/2017-07-06 13:19:05-07:00,/142fea0a33501cdb5685c83bf48433a5854e37ef,,,278,47,,,added,4,2017-07-06 11:56:43-07:00,b6501460826d631281673adf85cd45c821a1d8ba
13,dwave_qasolver/solvers/__init__.py,2b60a341c9ed96fae6f1b91753506507f76ed6d4,2017-06-29 11:54:02-07:00,dwave_qasolver/solvers/__init__.py,dimodsampler/solvers/__init__.py,/2017-07-06 13:19:05-07:00,/142fea0a33501cdb5685c83bf48433a5854e37ef,,,2,1,,,added,1,2017-07-05 14:37:40-07:00,4d9d6c83ff411bb441dc29469a7fdaf78cebb20c
3,dwave_qasolver/solvers/optimization_solver.py,b2bcb3e5e1d71104bd1ddf46a2a8873d67bca0cb,2017-06-28 13:16:46-07:00,dwave_qasolver/solvers/optimization_solver.py,dwave_qasolver/solvers/optimization_solver.py,/2017-06-29 11:54:02-07:00,/2b60a341c9ed96fae6f1b91753506507f76ed6d4,/b6501460826d631281673adf85cd45c821a1d8ba,/2017-07-06 11:56:43-07:00,114,114,,,added/renamed/removed,2,2017-06-30 11:52:34-07:00,a88b17ec33f8d4f1b8d61604048e5f138a4d3714
15,dwave_qasolver/solvers/tests/generic_solver_tests.py,2b60a341c9ed96fae6f1b91753506507f76ed6d4,2017-06-29 11:54:02-07:00,dwave_qasolver/solvers/tests/generic_solver_tests.py,dimodsampler/solvers/tests/generic_solver_tests.py,/2017-07-06 13:19:05-07:00,/142fea0a33501cdb5685c83bf48433a5854e37ef,,,49,0,,,added,1,2017-07-06 11:56:43-07:00,b6501460826d631281673adf85cd45c821a1d8ba
16,dwave_qasolver/solvers/tests/test_optimization_solver.py,2b60a341c9ed96fae6f1b91753506507f76ed6d4,2017-06-29 11:54:02-07:00,,,,,/b6501460826d631281673adf85cd45c821a1d8ba,/2017-07-06 11:56:43-07:00,12,12,,,added/removed,0,,
