Id,FileName,AddedHash,CreatedAt,RenamedFrom,RenamedTo,RenamedAt,RenamedHash,RemovedHash,RemovedDate,Added,Removed,OldPath,NewPath,status,modifications,LastModifiedAt,LastModifiedHash
1,LICENSE,90b724fecb13eced6c35824af875e571698b65b9,2018-02-08 17:49:46+01:00,,,,,,,373,0,,,added,0,,
2,README.md,90b724fecb13eced6c35824af875e571698b65b9,2018-02-08 17:49:46+01:00,README.md,README.md,,,,,54,21,,,added,11,2018-12-13 18:31:22+01:00,a7401c085fb8ccdb0a298e594e5dcdcb7c8e9155
4,background/js/background.js,fa96302297e7932165b3621c2b7ca38767c8bfc1,2018-02-08 18:04:02+01:00,background/js/background.js,js/independent/background.js,/2018-02-22 18:44:38+01:00,/18758b44fb5cee21753e3df2a6f7439f56ae9c46,,,107,36,,,added,4,2018-02-22 17:19:34+01:00,ee1c9769d5050094f67cea099e961e85d0210423
5,background/js/content-script.js,fa96302297e7932165b3621c2b7ca38767c8bfc1,2018-02-08 18:04:02+01:00,background/js/content-script.js,js/independent/content-script.js,/2018-02-22 18:44:38+01:00,/18758b44fb5cee21753e3df2a6f7439f56ae9c46,,,64,17,,,added,4,2018-02-22 17:19:34+01:00,ee1c9769d5050094f67cea099e961e85d0210423
6,helpers/bookmarkHelper.js,fa96302297e7932165b3621c2b7ca38767c8bfc1,2018-02-08 18:04:02+01:00,helpers/bookmarkHelper.js,js/tools/bookmarkHelper.js,/2018-02-22 18:44:38+01:00,/18758b44fb5cee21753e3df2a6f7439f56ae9c46,,,12,1,,,added,2,2018-02-22 17:19:34+01:00,ee1c9769d5050094f67cea099e961e85d0210423
7,helpers/cssHelper.js,fa96302297e7932165b3621c2b7ca38767c8bfc1,2018-02-08 18:04:02+01:00,helpers/cssHelper.js,js/tools/cssHelper.js,/2018-02-22 18:44:38+01:00,/18758b44fb5cee21753e3df2a6f7439f56ae9c46,,,42,3,,,added,1,2018-02-13 15:31:24+01:00,a84dc1dc0ef2ed57890059f401fe28ae35abed59
8,helpers/dateTimeHelper.js,fa96302297e7932165b3621c2b7ca38767c8bfc1,2018-02-08 18:04:02+01:00,helpers/dateTimeHelper.js,js/tools/dateTimeHelper.js,/2018-02-22 18:44:38+01:00,/18758b44fb5cee21753e3df2a6f7439f56ae9c46,,,59,6,,,added,2,2018-02-22 17:19:34+01:00,ee1c9769d5050094f67cea099e961e85d0210423
9,helpers/domHelper.js,fa96302297e7932165b3621c2b7ca38767c8bfc1,2018-02-08 18:04:02+01:00,helpers/domHelper.js,helpers/domHelper.js,,,/bea95950430e5246e1db05886924167e9e4d2432,/2018-02-18 14:39:41+01:00,9,9,,,added/removed,2,2018-02-13 15:37:55+01:00,9654e2d33230d263a9de902cfa5d9dd6f49cb5b0
10,helpers/feedHelper.js,fa96302297e7932165b3621c2b7ca38767c8bfc1,2018-02-08 18:04:02+01:00,helpers/feedHelper.js,js/tools/feedHelper.js,/2018-02-22 18:44:38+01:00,/18758b44fb5cee21753e3df2a6f7439f56ae9c46,,,786,264,,,added,7,2018-02-22 17:19:34+01:00,ee1c9769d5050094f67cea099e961e85d0210423
11,helpers/logHelper.js,fa96302297e7932165b3621c2b7ca38767c8bfc1,2018-02-08 18:04:02+01:00,helpers/logHelper.js,js/tools/logHelper.js,/2018-02-22 18:44:38+01:00,/18758b44fb5cee21753e3df2a6f7439f56ae9c46,,,8,2,,,added,1,2018-02-13 15:37:55+01:00,9654e2d33230d263a9de902cfa5d9dd6f49cb5b0
