Id,FileName,AddedHash,CreatedAt,RenamedFrom,RenamedTo,RenamedAt,RenamedHash,RemovedHash,RemovedDate,Added,Removed,OldPath,NewPath,status,modifications,LastModifiedAt,LastModifiedHash
1,LICENSE,dd81017256935dac78889b409d7bfceda88d91df,2019-06-28 18:58:24+01:00,,,,,,,339,0,,,added,0,,
2,_locales/en/messages.json,1162354a4446519b6691bc645a9b08bd0b2ba868,2019-06-28 20:25:10+01:00,_locales/en/messages.json,src/_locales/en/messages.json,/2019-07-03 22:57:29+01:00,/af4bfbdfc2805be43f1d3f009bb4cb63d706274c,,,1203,1084,,,added,2,2019-07-03 21:38:05+01:00,ba51dbbfa306bac8922c9c40b7a8eafc0689961a
3,about.html,1162354a4446519b6691bc645a9b08bd0b2ba868,2019-06-28 20:25:10+01:00,about.html,src/about.html,/2019-07-03 22:57:29+01:00,/af4bfbdfc2805be43f1d3f009bb4cb63d706274c,,,133,57,,,added,6,2019-07-03 21:38:05+01:00,ba51dbbfa306bac8922c9c40b7a8eafc0689961a
4,add-edit-proxy.html,1162354a4446519b6691bc645a9b08bd0b2ba868,2019-06-28 20:25:10+01:00,add-edit-proxy.html,src/add-edit-proxy.html,/2019-07-03 22:57:29+01:00,/af4bfbdfc2805be43f1d3f009bb4cb63d706274c,,,225,107,,,added,2,2019-07-03 07:15:42+01:00,5bc13d0295fc6889835a57506f6cde10021f73c0
5,background.html,1162354a4446519b6691bc645a9b08bd0b2ba868,2019-06-28 20:25:10+01:00,background.html,src/background.html,/2019-07-03 22:57:29+01:00,/af4bfbdfc2805be43f1d3f009bb4cb63d706274c,,,227,10,,,added,2,2019-07-03 07:15:42+01:00,5bc13d0295fc6889835a57506f6cde10021f73c0
6,enter-account-info.html,1162354a4446519b6691bc645a9b08bd0b2ba868,2019-06-28 20:25:10+01:00,enter-account-info.html,enter-account-info.html,,,/d19d1d79ae57bd2b1aa2ae3f4fc6c8891a523427,/2019-07-03 21:38:39+01:00,99,99,,,added/removed,2,2019-07-03 07:15:42+01:00,5bc13d0295fc6889835a57506f6cde10021f73c0
7,first-install.html,1162354a4446519b6691bc645a9b08bd0b2ba868,2019-06-28 20:25:10+01:00,first-install.html,src/first-install.html,/2019-07-03 22:57:29+01:00,/af4bfbdfc2805be43f1d3f009bb4cb63d706274c,,,144,84,,,added,5,2019-07-03 21:38:05+01:00,ba51dbbfa306bac8922c9c40b7a8eafc0689961a
8,images/16x16.svg,1162354a4446519b6691bc645a9b08bd0b2ba868,2019-06-28 20:25:10+01:00,images/16x16.svg,src/images/16x16.svg,/2019-07-03 22:57:29+01:00,/af4bfbdfc2805be43f1d3f009bb4cb63d706274c,,,230,0,,,added,0,,
9,images/24x24.svg,1162354a4446519b6691bc645a9b08bd0b2ba868,2019-06-28 20:25:10+01:00,images/24x24.svg,src/images/24x24.svg,/2019-07-03 22:57:29+01:00,/af4bfbdfc2805be43f1d3f009bb4cb63d706274c,,,230,0,,,added,0,,
10,images/32x32.svg,1162354a4446519b6691bc645a9b08bd0b2ba868,2019-06-28 20:25:10+01:00,images/32x32.svg,src/images/32x32.svg,/2019-07-03 22:57:29+01:00,/af4bfbdfc2805be43f1d3f009bb4cb63d706274c,,,230,0,,,added,0,,
11,images/48x48.svg,1162354a4446519b6691bc645a9b08bd0b2ba868,2019-06-28 20:25:10+01:00,images/48x48.svg,src/images/48x48.svg,/2019-07-03 22:57:29+01:00,/af4bfbdfc2805be43f1d3f009bb4cb63d706274c,,,231,0,,,added,0,,
12,images/FOXYlogo.svg,1162354a4446519b6691bc645a9b08bd0b2ba868,2019-06-28 20:25:10+01:00,images/FOXYlogo.svg,src/images/FOXYlogo.svg,/2019-07-03 22:57:29+01:00,/af4bfbdfc2805be43f1d3f009bb4cb63d706274c,,,316,0,,,added,0,,
14,images/foxyproxy-disabled.svg,1162354a4446519b6691bc645a9b08bd0b2ba868,2019-06-28 20:25:10+01:00,images/foxyproxy-disabled.svg,src/images/foxyproxy-disabled.svg,/2019-07-03 22:57:29+01:00,/af4bfbdfc2805be43f1d3f009bb4cb63d706274c,,,23,0,,,added,0,,
19,import.html,1162354a4446519b6691bc645a9b08bd0b2ba868,2019-06-28 20:25:10+01:00,import.html,src/import.html,/2019-07-03 22:57:29+01:00,/af4bfbdfc2805be43f1d3f009bb4cb63d706274c,,,83,35,,,added,2,2019-07-03 07:15:42+01:00,5bc13d0295fc6889835a57506f6cde10021f73c0
20,log.html,1162354a4446519b6691bc645a9b08bd0b2ba868,2019-06-28 20:25:10+01:00,log.html,src/log.html,/2019-07-03 22:57:29+01:00,/af4bfbdfc2805be43f1d3f009bb4cb63d706274c,,,126,57,,,added,2,2019-07-03 07:15:42+01:00,5bc13d0295fc6889835a57506f6cde10021f73c0
21,manifest.json,1162354a4446519b6691bc645a9b08bd0b2ba868,2019-06-28 20:25:10+01:00,manifest.json,src/manifest.json,/2019-07-03 22:57:29+01:00,/af4bfbdfc2805be43f1d3f009bb4cb63d706274c,,,50,7,,,added,3,2019-07-03 18:17:15+01:00,4ea949297cbfcd81c95cfec7754b3f37d80d2c2c
22,pattern-help.html,1162354a4446519b6691bc645a9b08bd0b2ba868,2019-06-28 20:25:10+01:00,pattern-help.html,src/pattern-help.html,/2019-07-03 22:57:29+01:00,/af4bfbdfc2805be43f1d3f009bb4cb63d706274c,,,161,76,,,added,3,2019-07-03 07:15:42+01:00,5bc13d0295fc6889835a57506f6cde10021f73c0
23,pattern-tester.html,1162354a4446519b6691bc645a9b08bd0b2ba868,2019-06-28 20:25:10+01:00,pattern-tester.html,src/pattern-tester.html,/2019-07-03 22:57:29+01:00,/af4bfbdfc2805be43f1d3f009bb4cb63d706274c,,,107,48,,,added,2,2019-07-03 07:15:42+01:00,5bc13d0295fc6889835a57506f6cde10021f73c0
24,patterns.html,1162354a4446519b6691bc645a9b08bd0b2ba868,2019-06-28 20:25:10+01:00,patterns.html,src/patterns.html,/2019-07-03 22:57:29+01:00,/af4bfbdfc2805be43f1d3f009bb4cb63d706274c,,,200,95,,,added,3,2019-07-03 07:15:42+01:00,5bc13d0295fc6889835a57506f6cde10021f73c0
25,popup.html,1162354a4446519b6691bc645a9b08bd0b2ba868,2019-06-28 20:25:10+01:00,popup.html,src/popup.html,/2019-07-03 22:57:29+01:00,/af4bfbdfc2805be43f1d3f009bb4cb63d706274c,,,89,38,,,added,2,2019-07-03 07:15:42+01:00,5bc13d0295fc6889835a57506f6cde10021f73c0
