Id,FileName,AddedHash,CreatedAt,RenamedFrom,RenamedTo,RenamedAt,RenamedHash,RemovedHash,RemovedDate,Added,Removed,OldPath,NewPath,status,modifications,LastModifiedAt,LastModifiedHash
1,.gitignore,60ddf5ac38dea3b0daf8e88cdb9f4fee322aca1b,2016-12-21 17:08:42-08:00,.gitignore,.gitignore,,,,,95,0,,,added,2,2017-10-11 13:40:27-07:00,e2c2a0e43b5099b2f1026db18ae078d6d8b3968d
2,grover.py,139081e46bf650e762524f27b67eab3e42560b80,2016-12-23 11:38:49-08:00,grover.py,grove/grover/grover.py,/2017-04-13 15:52:28-07:00,/e735cd0c6a37b9917de943e146a814f12847839c,,,294,89,,,added,3,2017-01-09 15:19:34-08:00,aea67c00ec0fe5899108853697fa8a2328be2b63
5,QFT/fourier.py,dfff4c422c352cee90da36a6b922b5a6f21307c4,2017-01-03 11:31:19-08:00,QFT/fourier.py,grove/qft/fourier.py,/2017-01-04 14:20:31-08:00,/347d0e9d7fe455e6047fba10ddeb241ac6f9b24b,,,48,0,,,added,0,,
6,README.md,dfff4c422c352cee90da36a6b922b5a6f21307c4,2017-01-03 11:31:19-08:00,README.md,README.md,,,,,204,62,,,added,21,2018-05-29 00:14:42-07:00,4858c9177f9d07fb64ddc6723d258a17b762f157
7,VQE/vqe.py,dfff4c422c352cee90da36a6b922b5a6f21307c4,2017-01-03 11:31:19-08:00,VQE/vqe.py,grove/VQE/vqe.py,/2017-01-04 14:20:31-08:00,/347d0e9d7fe455e6047fba10ddeb241ac6f9b24b,,,205,1,,,added,0,,
8,pyQAOA/.gitignore,dfff4c422c352cee90da36a6b922b5a6f21307c4,2017-01-03 11:31:19-08:00,,,,,/347d0e9d7fe455e6047fba10ddeb241ac6f9b24b,/2017-01-04 14:20:31-08:00,95,95,,,added/removed,0,,
9,pyQAOA/README.md,dfff4c422c352cee90da36a6b922b5a6f21307c4,2017-01-03 11:31:19-08:00,pyQAOA/README.md,grove/pyqaoa/README.md,/2017-01-04 14:20:31-08:00,/347d0e9d7fe455e6047fba10ddeb241ac6f9b24b,,,128,13,,,added,0,,
10,pyQAOA/docs/Makefile,dfff4c422c352cee90da36a6b922b5a6f21307c4,2017-01-03 11:31:19-08:00,pyQAOA/docs/Makefile,docs/Makefile,/2017-01-04 14:20:31-08:00,/347d0e9d7fe455e6047fba10ddeb241ac6f9b24b,,,216,0,,,added,0,,
11,pyQAOA/docs/algorithm_detail.rst,dfff4c422c352cee90da36a6b922b5a6f21307c4,2017-01-03 11:31:19-08:00,pyQAOA/docs/algorithm_detail.rst,docs/algorithm_detail.rst,/2017-01-04 14:20:31-08:00,/347d0e9d7fe455e6047fba10ddeb241ac6f9b24b,,,316,0,,,added,0,,
12,pyQAOA/docs/conf.py,dfff4c422c352cee90da36a6b922b5a6f21307c4,2017-01-03 11:31:19-08:00,pyQAOA/docs/conf.py,docs/conf.py,/2017-01-04 14:20:31-08:00,/347d0e9d7fe455e6047fba10ddeb241ac6f9b24b,,,299,0,,,added,0,,
23,pyQAOA/docs/index.rst,dfff4c422c352cee90da36a6b922b5a6f21307c4,2017-01-03 11:31:19-08:00,pyQAOA/docs/index.rst,docs/index.rst,/2017-01-04 14:20:31-08:00,/347d0e9d7fe455e6047fba10ddeb241ac6f9b24b,,,27,2,,,added,0,,
24,pyQAOA/docs/installation_quickstart.rst,dfff4c422c352cee90da36a6b922b5a6f21307c4,2017-01-03 11:31:19-08:00,pyQAOA/docs/installation_quickstart.rst,docs/installation_quickstart.rst,/2017-01-04 14:20:31-08:00,/347d0e9d7fe455e6047fba10ddeb241ac6f9b24b,,,124,0,,,added,0,,
25,pyQAOA/docs/make.bat,dfff4c422c352cee90da36a6b922b5a6f21307c4,2017-01-03 11:31:19-08:00,pyQAOA/docs/make.bat,docs/make.bat,/2017-01-04 14:20:31-08:00,/347d0e9d7fe455e6047fba10ddeb241ac6f9b24b,,,263,0,,,added,0,,
26,pyQAOA/docs/overview.rst,dfff4c422c352cee90da36a6b922b5a6f21307c4,2017-01-03 11:31:19-08:00,pyQAOA/docs/overview.rst,docs/overview.rst,/2017-01-04 14:20:31-08:00,/347d0e9d7fe455e6047fba10ddeb241ac6f9b24b,,,33,0,,,added,0,,
27,pyQAOA/docs/qaoa.rst,dfff4c422c352cee90da36a6b922b5a6f21307c4,2017-01-03 11:31:19-08:00,pyQAOA/docs/qaoa.rst,docs/qaoa.rst,/2017-01-04 14:20:31-08:00,/347d0e9d7fe455e6047fba10ddeb241ac6f9b24b,,,9,0,,,added,0,,
28,pyQAOA/docs/sourcecode_docs.rst,dfff4c422c352cee90da36a6b922b5a6f21307c4,2017-01-03 11:31:19-08:00,pyQAOA/docs/sourcecode_docs.rst,docs/sourcecode_docs.rst,/2017-01-04 14:20:31-08:00,/347d0e9d7fe455e6047fba10ddeb241ac6f9b24b,,,6,0,,,added,0,,
29,pyQAOA/getting-started/Min-cut with constraints.ipynb,dfff4c422c352cee90da36a6b922b5a6f21307c4,2017-01-03 11:31:19-08:00,pyQAOA/getting-started/Min-cut with constraints.ipynb,getting-started/Min-cut with constraints.ipynb,/2017-01-04 14:20:31-08:00,/347d0e9d7fe455e6047fba10ddeb241ac6f9b24b,,,746,0,,,added,0,,
30,pyQAOA/getting-started/QAOA_overview_maxcut.ipynb,dfff4c422c352cee90da36a6b922b5a6f21307c4,2017-01-03 11:31:19-08:00,pyQAOA/getting-started/QAOA_overview_maxcut.ipynb,getting-started/QAOA_overview_maxcut.ipynb,/2017-01-04 14:20:31-08:00,/347d0e9d7fe455e6047fba10ddeb241ac6f9b24b,,,456,0,,,added,0,,
31,pyQAOA/getting-started/getting-started.ipynb,dfff4c422c352cee90da36a6b922b5a6f21307c4,2017-01-03 11:31:19-08:00,pyQAOA/getting-started/getting-started.ipynb,getting-started/getting-started.ipynb,/2017-01-04 14:20:31-08:00,/347d0e9d7fe455e6047fba10ddeb241ac6f9b24b,,,125,0,,,added,0,,
39,pyQAOA/pyqaoa/__init__.py,dfff4c422c352cee90da36a6b922b5a6f21307c4,2017-01-03 11:31:19-08:00,pyQAOA/pyqaoa/__init__.py,grove/pyqaoa/__init__.py,/2017-01-04 14:20:31-08:00,/347d0e9d7fe455e6047fba10ddeb241ac6f9b24b,,,6,0,,,added,0,,
