Id,FileName,AddedHash,CreatedAt,RenamedFrom,RenamedTo,RenamedAt,RenamedHash,RemovedHash,RemovedDate,Added,Removed,OldPath,NewPath,status,modifications,LastModifiedAt,LastModifiedHash
1,hubbard.cpp,50c5df0c0167ee3df8c8555f87c93fb9cd1fe4a6,2009-10-15 17:16:28+01:00,,,,,/f0d5fdc094a654134c0432c82c5719a5caed7809,/2009-10-19 17:18:58+01:00,1,1,,,added/removed,0,,
2,const.f90,319f5b1e57bb279a79808b6d58650be16457610c,2009-10-19 18:17:14+01:00,const.f90,src/const.f90,/2009-11-29 15:15:46+00:00,/ec0c3f393c71899c475aa54613cad238f4a62860,,,15,2,,,added,3,2009-11-27 17:08:22+00:00,d3231341174303df30ae00f0cfa8d40ee3e64c91
3,environment_report.F90,319f5b1e57bb279a79808b6d58650be16457610c,2009-10-19 18:17:14+01:00,environment_report.F90,lib/environment_report.F90,/2009-11-29 15:15:46+00:00,/ec0c3f393c71899c475aa54613cad238f4a62860,,,160,3,,,added,1,2009-11-27 17:08:22+00:00,d3231341174303df30ae00f0cfa8d40ee3e64c91
15317,mkconfig.py,09542382405d5270031c082724e7907f116cf45a,2018-01-19 16:27:16+01:00,mkconfig.py,cmakeconfig.py,/2018-03-12 12:51:36+01:00,/1d7804878dd1b807274cad00e6fbdc321b85418f,,,149,25,,,added,4,2018-01-31 15:10:36+01:00,2d9ae76997b056bb8e3ca3e2b428a8b3dce43d89
5,hubbard_core.f90,7bf481513b1575701f4cb855ae5ad00e8ee0229a,2009-10-19 18:20:40+01:00,hubbard_core.f90,src/hubbard_core.f90,/2009-11-29 15:15:46+00:00,/ec0c3f393c71899c475aa54613cad238f4a62860,,,37,9,,,added,4,2009-11-29 14:04:18+00:00,5823afb247c86af1f3025db8b8b252a2b7eb233d
6,.depend,2d8e22df19962341d610946e212e329b6e1c72bb,2009-10-19 18:21:52+01:00,.depend,.depend,,,/a59cb4a2d97e9ac3b7aab29c4516f84936634634,/2010-01-30 16:30:15+00:00,174,174,,,added/removed,24,2010-01-05 18:48:49+00:00,f9ed4d3c9aa626960f5643faa1648ada22ab56bf
7,hubbard.f90,2d8e22df19962341d610946e212e329b6e1c72bb,2009-10-19 18:21:52+01:00,hubbard.f90,src/hubbard.f90,/2009-11-29 15:15:46+00:00,/ec0c3f393c71899c475aa54613cad238f4a62860,,,111,21,,,added,6,2009-11-29 14:04:18+00:00,5823afb247c86af1f3025db8b8b252a2b7eb233d
8,kpoints.f90,2d8e22df19962341d610946e212e329b6e1c72bb,2009-10-19 18:21:52+01:00,kpoints.f90,src/kpoints.f90,/2009-11-29 15:15:46+00:00,/ec0c3f393c71899c475aa54613cad238f4a62860,,,123,26,,,added,8,2009-11-29 14:04:18+00:00,5823afb247c86af1f3025db8b8b252a2b7eb233d
9,system.f90,2d8e22df19962341d610946e212e329b6e1c72bb,2009-10-19 18:21:52+01:00,system.f90,src/system.f90,/2009-11-29 15:15:46+00:00,/ec0c3f393c71899c475aa54613cad238f4a62860,,,86,10,,,added,5,2009-11-29 14:04:18+00:00,5823afb247c86af1f3025db8b8b252a2b7eb233d
11,input.F90,7cb24bac8581855947631a259c5d06207eb7632b,2009-10-19 19:01:36+01:00,input.F90,lib/input.F90,/2009-11-29 15:15:46+00:00,/ec0c3f393c71899c475aa54613cad238f4a62860,,,1019,0,,,added,0,,
12,parallel.f90,7cb24bac8581855947631a259c5d06207eb7632b,2009-10-19 19:01:36+01:00,parallel.f90,src/parallel.f90,/2009-11-29 15:15:46+00:00,/ec0c3f393c71899c475aa54613cad238f4a62860,,,8,1,,,added,1,2009-11-27 10:31:20+00:00,ad8a9cf522dc6c7a598db6a4e67c10255bbdb714
13,parse_input.F90,7cb24bac8581855947631a259c5d06207eb7632b,2009-10-19 19:01:36+01:00,parse_input.F90,src/parse_input.F90,/2009-11-29 15:15:46+00:00,/ec0c3f393c71899c475aa54613cad238f4a62860,,,183,47,,,added,7,2009-11-29 14:04:18+00:00,5823afb247c86af1f3025db8b8b252a2b7eb233d
15,mrgref.f90,e6d4d6afa3556e37f8441b0e25895c04098c263b,2009-10-19 21:10:34+01:00,mrgref.f90,lib/mrgref.f90,/2009-11-29 15:15:46+00:00,/ec0c3f393c71899c475aa54613cad238f4a62860,,,396,0,,,added,0,,
22,error_handling.F90,e6be97a056c4941c365e79cb61567bd274c9c057,2009-10-22 15:41:30+01:00,error_handling.F90,lib/error_handling.F90,/2009-11-29 15:15:46+00:00,/ec0c3f393c71899c475aa54613cad238f4a62860,,,123,45,,,added,2,2009-11-27 17:08:22+00:00,d3231341174303df30ae00f0cfa8d40ee3e64c91
52,comb.f90,ab77cf055b4141a6be82f4ddfce1b994cdf18144,2009-11-27 17:27:51+00:00,comb.f90,lib/comb.f90,/2009-11-29 15:15:46+00:00,/ec0c3f393c71899c475aa54613cad238f4a62860,,,93,15,,,added,1,2009-11-29 14:04:50+00:00,7f8b6c68befcb7abb727f14f2be82fca95e196db
52,lib/comb.f90,ab77cf055b4141a6be82f4ddfce1b994cdf18144,2009-11-27 17:27:51+00:00,lib/comb.f90,lib/comb.f90,/2009-11-29 15:15:46+00:00,/ec0c3f393c71899c475aa54613cad238f4a62860,/ba11ff2fd05e37a9ed141e5ff6da8c869ac3383f,/2010-05-24 13:48:42+02:00,115,115,,,added/renamed/removed,2,2009-12-21 12:08:08+00:00,bceffc1c38269354936bfcc2e14c78dfa021f2c0
3,lib/environment_report.F90,319f5b1e57bb279a79808b6d58650be16457610c,2009-10-19 18:17:14+01:00,lib/environment_report.F90,lib/local/environment_report.F90,/2009-11-29 15:15:46+00:00/2011-01-30 13:02:00+00:00,/ec0c3f393c71899c475aa54613cad238f4a62860/8b09415cc24e112ad041bb5b4779d35fe5575c63,,,197,13,,,added/renamed,5,2010-05-24 00:26:01+02:00,13e3b5911bcdf397877368b03caa9f6c895da7c8
22,lib/error_handling.F90,e6be97a056c4941c365e79cb61567bd274c9c057,2009-10-22 15:41:30+01:00,lib/error_handling.F90,lib/local/error_handling.F90,/2009-11-29 15:15:46+00:00/2011-01-30 13:02:00+00:00,/ec0c3f393c71899c475aa54613cad238f4a62860/8b09415cc24e112ad041bb5b4779d35fe5575c63,,,202,80,,,added/renamed,13,2010-04-14 21:39:01+01:00,7dc19ea53c7458839c3b7087422d8af4187627b9
11,lib/input.F90,7cb24bac8581855947631a259c5d06207eb7632b,2009-10-19 19:01:36+01:00,lib/input.F90,lib/local/input.F90,/2009-11-29 15:15:46+00:00/2011-01-30 13:02:00+00:00,/ec0c3f393c71899c475aa54613cad238f4a62860/8b09415cc24e112ad041bb5b4779d35fe5575c63,,,1021,2,,,added/renamed,1,2010-02-13 16:28:59+00:00,96426b08350d8d011af62b7c65fce6e2ec579744
15,lib/mrgref.f90,e6d4d6afa3556e37f8441b0e25895c04098c263b,2009-10-19 21:10:34+01:00,lib/mrgref.f90,lib/external/mrgref.f90,/2009-11-29 15:15:46+00:00/2011-01-30 13:02:00+00:00,/ec0c3f393c71899c475aa54613cad238f4a62860/8b09415cc24e112ad041bb5b4779d35fe5575c63,,,396,0,,,added/renamed,0,,
2,src/const.f90,319f5b1e57bb279a79808b6d58650be16457610c,2009-10-19 18:17:14+01:00,src/const.f90,src/const.F90,/2009-11-29 15:15:46+00:00/2010-03-21 21:35:31+00:00,/ec0c3f393c71899c475aa54613cad238f4a62860/92c6c31a954889e1c5ef7caa4799e133dbf4f120,,,55,8,,,added/renamed,7,2009-12-12 15:51:23+00:00,63baa2c880af812106a4bcb2ca7ce298826454ea
7,src/hubbard.f90,2d8e22df19962341d610946e212e329b6e1c72bb,2009-10-19 18:21:52+01:00,src/hubbard.f90,src/hubbard.f90,/2009-11-29 15:15:46+00:00,/ec0c3f393c71899c475aa54613cad238f4a62860,/dc6df64fb2cc1d05fe4d24358fb548f43503bf97,/2011-05-12 13:45:53+01:00,408,438,,,added/renamed/removed,47,2012-01-06 17:40:58+00:00,ad1432d09fafba892b839f49db77db764278f340
