Id,FileName,AddedHash,CreatedAt,RenamedFrom,RenamedTo,RenamedAt,RenamedHash,RemovedHash,RemovedDate,Added,Removed,OldPath,NewPath,status,modifications,LastModifiedAt,LastModifiedHash
1,.editorconfig,077685a10d8b4105af6b38b539393b151b942788,2018-11-05 16:40:05-05:00,,,,,,,21,0,,,added,0,,
2,.github/ISSUE_TEMPLATE.md,077685a10d8b4105af6b38b539393b151b942788,2018-11-05 16:40:05-05:00,.github/ISSUE_TEMPLATE.md,.github/ISSUE_TEMPLATE.md,,,,,16,12,,,added,1,2019-12-14 13:17:36-05:00,afc5c444756137f58af955d0e8669ba955504575
3,.gitignore,077685a10d8b4105af6b38b539393b151b942788,2018-11-05 16:40:05-05:00,.gitignore,.gitignore,,,,,144,5,,,added,7,2019-09-14 20:32:30-04:00,488b641eec32e235bbf06ba06c6a161211b12be4
4,.travis.yml,077685a10d8b4105af6b38b539393b151b942788,2018-11-05 16:40:05-05:00,.travis.yml,.travis.yml,,,,,168,80,,,added,38,2020-03-15 17:30:41-04:00,b1be012a31cb7de06c5f4faa7c57ceedaab7e47b
5,AUTHORS.rst,077685a10d8b4105af6b38b539393b151b942788,2018-11-05 16:40:05-05:00,AUTHORS.rst,AUTHORS.rst,,,,,58,17,,,added,9,2020-08-17 10:33:52-04:00,b9b9a2d8dc57707fc19462939db3a0b4d572857f
6,CONTRIBUTING.rst,077685a10d8b4105af6b38b539393b151b942788,2018-11-05 16:40:05-05:00,CONTRIBUTING.rst,CONTRIBUTING.rst,,,,,1157,359,,,added,34,2020-03-24 13:30:49-04:00,b7c8dbebff34725b98ce931b542a32643fe09e20
7,HISTORY.rst,077685a10d8b4105af6b38b539393b151b942788,2018-11-05 16:40:05-05:00,HISTORY.rst,HISTORY.rst,,,,,181,27,,,added,54,2020-08-17 13:21:04-04:00,84d573119e0ea33c653bd61ee59445f546f09cc4
8,LICENSE,077685a10d8b4105af6b38b539393b151b942788,2018-11-05 16:40:05-05:00,,,,,,,29,0,,,added,0,,
9,MANIFEST.in,077685a10d8b4105af6b38b539393b151b942788,2018-11-05 16:40:05-05:00,MANIFEST.in,MANIFEST.in,,,,,13,0,,,added,1,2019-04-23 18:51:14-04:00,01e7011bb7fb370ec2abb69a768953affaca61cf
10,Makefile,077685a10d8b4105af6b38b539393b151b942788,2018-11-05 16:40:05-05:00,Makefile,Makefile,,,,,465,312,,,added,45,2020-03-15 17:30:41-04:00,b1be012a31cb7de06c5f4faa7c57ceedaab7e47b
11,README.rst,077685a10d8b4105af6b38b539393b151b942788,2018-11-05 16:40:05-05:00,README.rst,README.rst,,,,,388,205,,,added,35,2020-08-17 10:33:52-04:00,b9b9a2d8dc57707fc19462939db3a0b4d572857f
12,docs/API/.gitignore,077685a10d8b4105af6b38b539393b151b942788,2018-11-05 16:40:05-05:00,,,,,,,1,0,,,added,0,,
13,docs/Makefile,077685a10d8b4105af6b38b539393b151b942788,2018-11-05 16:40:05-05:00,docs/Makefile,docs/Makefile,,,,,72,23,,,added,13,2020-03-15 16:11:45-04:00,d858802f543d058ea3017ec243392b81c23d890f
14,docs/_extensions/dollarmath.py,077685a10d8b4105af6b38b539393b151b942788,2018-11-05 16:40:05-05:00,docs/_extensions/dollarmath.py,docs/_extensions/dollarmath.py,,,,,94,18,,,added,2,2019-04-23 15:36:30-04:00,c399511281eb869aaae4a9f5b641e880c53dec85
15,docs/_static/MathJax_local.js,077685a10d8b4105af6b38b539393b151b942788,2018-11-05 16:40:05-05:00,,,,,/5263693be4d26c07f9464bd6523011958ffdfb7a,/2018-11-18 19:56:03-05:00,11,11,,,added/removed,0,,
16,docs/_static/mathjax_config.js,077685a10d8b4105af6b38b539393b151b942788,2018-11-05 16:40:05-05:00,docs/_static/mathjax_config.js,docs/_static/mathjax_config.js,,,/5263693be4d26c07f9464bd6523011958ffdfb7a,/2018-11-18 19:56:03-05:00,63,63,,,added/removed,2,2018-11-14 23:28:00-05:00,262ecbf737fc2ca6dc47ab2a3560d8aebc4a7757
17,docs/_static/mycss.css,077685a10d8b4105af6b38b539393b151b942788,2018-11-05 16:40:05-05:00,docs/_static/mycss.css,docs/_static/mycss.css,,,,,40,1,,,added,1,2018-11-13 09:48:32-05:00,3eef31ec9e9f96824a05c64f4e51f723791e3ca5
18,docs/_templates/breadcrumbs.html,077685a10d8b4105af6b38b539393b151b942788,2018-11-05 16:40:05-05:00,,,,,,,94,0,,,added,0,,
19,docs/_templates/layout.html,077685a10d8b4105af6b38b539393b151b942788,2018-11-05 16:40:05-05:00,docs/_templates/layout.html,docs/_templates/layout.html,,,,,3,1,,,added,1,2018-11-18 19:56:03-05:00,5263693be4d26c07f9464bd6523011958ffdfb7a
20,docs/_templates/module.rst,077685a10d8b4105af6b38b539393b151b942788,2018-11-05 16:40:05-05:00,,,,,,,75,0,,,added,0,,
21,docs/_templates/package.rst,077685a10d8b4105af6b38b539393b151b942788,2018-11-05 16:40:05-05:00,,,,,,,114,0,,,added,0,,
22,docs/authors.rst,077685a10d8b4105af6b38b539393b151b942788,2018-11-05 16:40:05-05:00,docs/authors.rst,docs/03_authors.rst,/2018-12-16 12:14:36-05:00,/0204410d02cf31cadb48e6604a12ad3c38f7087a,,,1,0,,,added,0,,
23,docs/conf.py,077685a10d8b4105af6b38b539393b151b942788,2018-11-05 16:40:05-05:00,docs/conf.py,docs/conf.py,,,,,837,314,,,added,40,2020-03-24 01:19:56-04:00,a5a8043f38847f39816a596131a7574740e7dc37
24,docs/contributing.rst,077685a10d8b4105af6b38b539393b151b942788,2018-11-05 16:40:05-05:00,docs/contributing.rst,docs/02_contributing.rst,/2018-12-16 12:14:36-05:00,/0204410d02cf31cadb48e6604a12ad3c38f7087a,,,1,0,,,added,0,,
