Id,FileName,AddedHash,CreatedAt,RenamedFrom,RenamedTo,RenamedAt,RenamedHash,RemovedHash,RemovedDate,Added,Removed,OldPath,NewPath,status,modifications,LastModifiedAt,LastModifiedHash
1,.gitignore,3e63bb81499b1445d953f00f96ef155b9a5d3dc9,2015-04-28 13:23:31-07:00,.gitignore,.gitignore,,,,,19,6,,,added,11,2019-09-18 13:15:00-04:00,cd79f85776411f9726f87b36ba16ce6f1bcebdae
2,CMakeLists.txt,3e63bb81499b1445d953f00f96ef155b9a5d3dc9,2015-04-28 13:23:31-07:00,CMakeLists.txt,CMakeLists.txt,,,,,327,218,,,added,30,2020-03-27 14:23:28-04:00,b1639ef55506e9e55a1e19fc5770ff563ad2beab
3,cmake/modules/FindEigen2.cmake,3e63bb81499b1445d953f00f96ef155b9a5d3dc9,2015-04-28 13:23:31-07:00,,,,,,,32,0,,,added,0,,
4,cmake/modules/FindEigen3.cmake,3e63bb81499b1445d953f00f96ef155b9a5d3dc9,2015-04-28 13:23:31-07:00,,,,,,,32,0,,,added,0,,
5,src/CMakeLists.txt,3e63bb81499b1445d953f00f96ef155b9a5d3dc9,2015-04-28 13:23:31-07:00,src/CMakeLists.txt,src/CMakeLists.txt,,,,,340,110,,,added,40,2019-12-13 15:40:17-05:00,19a90b6435ed6dbcca16b416ca10bad293791771
6,src/mmath/CMakeLists.txt,3e63bb81499b1445d953f00f96ef155b9a5d3dc9,2015-04-28 13:23:31-07:00,src/mmath/CMakeLists.txt,src/mmath/CMakeLists.txt,,,/e9f16dbd71f4cf49460212bb9d6c389f615079e0,/2017-05-09 18:33:21-04:00,82,82,,,added/removed,9,2017-04-16 22:11:09-04:00,8c9d16f156bcfbed01f6195e499e45e19e9f2e40
7,src/mmath/CONSTANTS.h,3e63bb81499b1445d953f00f96ef155b9a5d3dc9,2015-04-28 13:23:31-07:00,,,,,/1772427ce60d703d3b9f6d8c46daf69bedcf0924,/2015-04-28 18:21:05-07:00,27,27,,,added/removed,0,,
8,src/mmath/DATA.cpp,3e63bb81499b1445d953f00f96ef155b9a5d3dc9,2015-04-28 13:23:31-07:00,src/mmath/DATA.cpp,src/mmath/data/DATA.cpp,/2015-05-13 23:01:30-07:00,/cbc59a2ad6329ad65bcad6dd2046151bed78e444,,,493,15,,,added,3,2015-05-05 22:39:46-07:00,c40c011c8ce418d30e5d73bce7c0b2d8b105f302
9,src/mmath/DATA.h,3e63bb81499b1445d953f00f96ef155b9a5d3dc9,2015-04-28 13:23:31-07:00,src/mmath/DATA.h,src/mmath/DATA.h,,,/cbc59a2ad6329ad65bcad6dd2046151bed78e444,/2015-05-13 23:01:30-07:00,112,112,,,added/removed,2,2015-05-05 22:39:46-07:00,c40c011c8ce418d30e5d73bce7c0b2d8b105f302
10,src/mmath/GRAPH.cpp,3e63bb81499b1445d953f00f96ef155b9a5d3dc9,2015-04-28 13:23:31-07:00,src/mmath/GRAPH.cpp,src/mmath/graph/GRAPH.cpp,/2015-05-13 00:41:18-07:00,/571e7a24f8df859a801e2adbfcf6202a08d72b33,,,159,0,,,added,1,2015-04-28 18:21:05-07:00,1772427ce60d703d3b9f6d8c46daf69bedcf0924
11,src/mmath/GRAPH.h,3e63bb81499b1445d953f00f96ef155b9a5d3dc9,2015-04-28 13:23:31-07:00,src/mmath/GRAPH.h,src/mmath/graph/GRAPH.h,/2015-05-13 00:41:18-07:00,/571e7a24f8df859a801e2adbfcf6202a08d72b33,,,973,0,,,added,1,2015-04-28 18:21:05-07:00,1772427ce60d703d3b9f6d8c46daf69bedcf0924
12,src/mmath/MATRIX.cpp,3e63bb81499b1445d953f00f96ef155b9a5d3dc9,2015-04-28 13:23:31-07:00,src/mmath/MATRIX.cpp,src/mmath/linalg/MATRIX.cpp,/2015-05-13 00:41:18-07:00,/571e7a24f8df859a801e2adbfcf6202a08d72b33,,,1306,3,,,added,2,2015-05-05 22:39:46-07:00,c40c011c8ce418d30e5d73bce7c0b2d8b105f302
13,src/mmath/MATRIX.h,3e63bb81499b1445d953f00f96ef155b9a5d3dc9,2015-04-28 13:23:31-07:00,src/mmath/MATRIX.h,src/mmath/linalg/MATRIX.h,/2015-05-13 00:41:18-07:00,/571e7a24f8df859a801e2adbfcf6202a08d72b33,,,171,1,,,added,2,2015-05-05 22:39:46-07:00,c40c011c8ce418d30e5d73bce7c0b2d8b105f302
14,src/mmath/MATRIX3x3.cpp,3e63bb81499b1445d953f00f96ef155b9a5d3dc9,2015-04-28 13:23:31-07:00,src/mmath/MATRIX3x3.cpp,src/mmath/linalg/MATRIX3x3.cpp,/2015-05-13 00:41:18-07:00,/571e7a24f8df859a801e2adbfcf6202a08d72b33,,,173,1,,,added,1,2015-04-28 18:21:05-07:00,1772427ce60d703d3b9f6d8c46daf69bedcf0924
15,src/mmath/MATRIX3x3.h,3e63bb81499b1445d953f00f96ef155b9a5d3dc9,2015-04-28 13:23:31-07:00,src/mmath/MATRIX3x3.h,src/mmath/linalg/MATRIX3x3.h,/2015-05-13 00:41:18-07:00,/571e7a24f8df859a801e2adbfcf6202a08d72b33,,,260,1,,,added,2,2015-05-05 22:39:46-07:00,c40c011c8ce418d30e5d73bce7c0b2d8b105f302
16,src/mmath/Makefile,3e63bb81499b1445d953f00f96ef155b9a5d3dc9,2015-04-28 13:23:31-07:00,,,,,/571e7a24f8df859a801e2adbfcf6202a08d72b33,/2015-05-13 00:41:18-07:00,448,448,,,added/removed,0,,
17,src/mmath/Mathematics.cpp,3e63bb81499b1445d953f00f96ef155b9a5d3dc9,2015-04-28 13:23:31-07:00,src/mmath/Mathematics.cpp,src/mmath/linalg/Mathematics.cpp,/2015-05-13 00:41:18-07:00,/571e7a24f8df859a801e2adbfcf6202a08d72b33,,,114,1,,,added,1,2015-04-28 18:21:05-07:00,1772427ce60d703d3b9f6d8c46daf69bedcf0924
18,src/mmath/PyCopy.h,3e63bb81499b1445d953f00f96ef155b9a5d3dc9,2015-04-28 13:23:31-07:00,src/mmath/PyCopy.h,src/mmath/linalg/PyCopy.h,/2015-05-13 00:41:18-07:00,/571e7a24f8df859a801e2adbfcf6202a08d72b33,,,66,0,,,added,0,,
19,src/mmath/QUATERNION.cpp,3e63bb81499b1445d953f00f96ef155b9a5d3dc9,2015-04-28 13:23:31-07:00,src/mmath/QUATERNION.cpp,src/mmath/linalg/QUATERNION.cpp,/2015-05-13 00:41:18-07:00,/571e7a24f8df859a801e2adbfcf6202a08d72b33,,,29,1,,,added,1,2015-04-28 18:21:05-07:00,1772427ce60d703d3b9f6d8c46daf69bedcf0924
20,src/mmath/QUATERNION.h,3e63bb81499b1445d953f00f96ef155b9a5d3dc9,2015-04-28 13:23:31-07:00,src/mmath/QUATERNION.h,src/mmath/linalg/QUATERNION.h,/2015-05-13 00:41:18-07:00,/571e7a24f8df859a801e2adbfcf6202a08d72b33,,,252,0,,,added,2,2015-05-05 22:39:46-07:00,c40c011c8ce418d30e5d73bce7c0b2d8b105f302
21,src/mmath/SMATRIX.cpp,3e63bb81499b1445d953f00f96ef155b9a5d3dc9,2015-04-28 13:23:31-07:00,src/mmath/SMATRIX.cpp,src/mmath/linalg/SMATRIX.cpp,/2015-05-13 00:41:18-07:00,/571e7a24f8df859a801e2adbfcf6202a08d72b33,,,142,1,,,added,1,2015-04-28 18:21:05-07:00,1772427ce60d703d3b9f6d8c46daf69bedcf0924
22,src/mmath/SMATRIX.h,3e63bb81499b1445d953f00f96ef155b9a5d3dc9,2015-04-28 13:23:31-07:00,src/mmath/SMATRIX.h,src/mmath/linalg/SMATRIX.h,/2015-05-13 00:41:18-07:00,/571e7a24f8df859a801e2adbfcf6202a08d72b33,,,93,0,,,added,1,2015-04-28 18:21:05-07:00,1772427ce60d703d3b9f6d8c46daf69bedcf0924
23,src/mmath/SpecialFunctions.cpp,3e63bb81499b1445d953f00f96ef155b9a5d3dc9,2015-04-28 13:23:31-07:00,src/mmath/SpecialFunctions.cpp,src/mmath/specialfunctions/SpecialFunctions.cpp,/2015-05-13 00:41:18-07:00,/571e7a24f8df859a801e2adbfcf6202a08d72b33,,,1093,0,,,added,2,2015-05-11 13:35:40-07:00,ce4229fc98557da75cf5c75616aa3473d62a759a
