Id,FileName,AddedHash,CreatedAt,RenamedFrom,RenamedTo,RenamedAt,RenamedHash,RemovedHash,RemovedDate,Added,Removed,OldPath,NewPath,status,modifications,LastModifiedAt,LastModifiedHash
1,.gitignore,f2c6485d5cd5948e9203375b6a5c44def8fe2054,2014-09-17 15:25:12+02:00,.gitignore,.gitignore,,,,,36,0,,,added,3,2014-12-03 17:18:06-06:00,4a9a30608be0705994d799feca0ccf3bd9fcb935
2,LICENSE,f2c6485d5cd5948e9203375b6a5c44def8fe2054,2014-09-17 15:25:12+02:00,,,,,,,165,0,,,added,0,,
6,README.md,559bf8178415bc3975897b1009d2099d63b01f00,2014-09-17 15:30:15+02:00,README.md,README.md,/2017-08-18 23:14:26-06:00,/941c252ea323b33dec2fa69f4d5182794fa760db,,,162,45,,,added/renamed,17,2019-10-25 13:19:14-05:00,0f29595f79ec6920e09cb21e3dad4f5998e17960
4,AUTHORS,559bf8178415bc3975897b1009d2099d63b01f00,2014-09-17 15:30:15+02:00,AUTHORS,AUTHORS,,,,,10,2,,,added,1,2015-02-15 13:06:18-06:00,2ea821886b6d919ab2bbc4d8e38f0fe263445728
5,Makefile,559bf8178415bc3975897b1009d2099d63b01f00,2014-09-17 15:30:15+02:00,Makefile,Makefile,,,/4a9a30608be0705994d799feca0ccf3bd9fcb935,/2014-12-03 17:18:06-06:00,142,142,,,added/removed,10,2014-11-25 20:08:52-06:00,420daca2e5c2dac6f7293274d40d6474df9e18dd
6,README,559bf8178415bc3975897b1009d2099d63b01f00,2014-09-17 15:30:15+02:00,README,README.md,/2017-08-18 23:14:26-06:00,/941c252ea323b33dec2fa69f4d5182794fa760db,,,78,16,,,added,9,2015-04-05 13:52:28-05:00,460835e23fe4abd74dd65ce9af6fd30e06a94277
7,config.sh,559bf8178415bc3975897b1009d2099d63b01f00,2014-09-17 15:30:15+02:00,config.sh,configure,/2017-08-19 00:02:02-06:00,/f13c34eea62e1b739974693f3655bd38730a8ca8,,,1110,399,,,added,74,2017-08-18 23:38:00-06:00,9f7280d71f35c64ba28a7574ff78ee27a38b8f25
8,data/astro/bs05_agsop.dat,559bf8178415bc3975897b1009d2099d63b01f00,2014-09-17 15:30:15+02:00,,,,,,,1284,0,,,added,0,,
9,data/astro/bs05op-org.dat,559bf8178415bc3975897b1009d2099d63b01f00,2014-09-17 15:30:15+02:00,data/astro/bs05op-org.dat,data/astro/bs05op-org.dat,,,,,1269,1,,,added,1,2020-07-24 17:22:41-05:00,d2b01c7b23c87d2e67e6b0454529c0a444e69b85
10,data/astro/bs05op.dat,559bf8178415bc3975897b1009d2099d63b01f00,2014-09-17 15:30:15+02:00,,,,,,,1268,0,,,added,0,,
11,data/astro/nele_bs05op.dat,559bf8178415bc3975897b1009d2099d63b01f00,2014-09-17 15:30:15+02:00,,,,,,,2364,0,,,added,0,,
12,data/xsections/dsde_CC_1e+11_1e+18_500.dat,559bf8178415bc3975897b1009d2099d63b01f00,2014-09-17 15:30:15+02:00,data/xsections/dsde_CC_1e+11_1e+18_500.dat,data/xsections/DIS_dsde_CC.dat,/2017-11-11 20:59:16-07:00,/b093b7c7e35deae55415e428a9afd880dd1189c8,,,251001,0,,,added,0,,
13,data/xsections/dsde_NC_1e+11_1e+18_500.dat,559bf8178415bc3975897b1009d2099d63b01f00,2014-09-17 15:30:15+02:00,data/xsections/dsde_NC_1e+11_1e+18_500.dat,data/xsections/DIS_dsde_NC.dat,/2017-11-11 20:59:16-07:00,/b093b7c7e35deae55415e428a9afd880dd1189c8,,,251001,0,,,added,0,,
14,data/xsections/sigma_CC_1e+11_1e+18_500.dat,559bf8178415bc3975897b1009d2099d63b01f00,2014-09-17 15:30:15+02:00,data/xsections/sigma_CC_1e+11_1e+18_500.dat,data/xsections/DIS_sigma_CC.dat,/2017-11-11 20:59:16-07:00,/b093b7c7e35deae55415e428a9afd880dd1189c8,,,501,0,,,added,0,,
15,data/xsections/sigma_NC_1e+11_1e+18_500.dat,559bf8178415bc3975897b1009d2099d63b01f00,2014-09-17 15:30:15+02:00,data/xsections/sigma_NC_1e+11_1e+18_500.dat,data/xsections/DIS_sigma_NC.dat,/2017-11-11 20:59:16-07:00,/b093b7c7e35deae55415e428a9afd880dd1189c8,,,501,0,,,added,0,,
16,doc/paper/fig/earth_oscillation.eps,559bf8178415bc3975897b1009d2099d63b01f00,2014-09-17 15:30:15+02:00,,,,,/774ce2d9bc13061e26dc1e9aea1d18db1e1dcadd,/2014-09-17 15:45:05+02:00,2606,2606,,,added/removed,0,,
19,doc/paper/src/elsarticle-harv.bst,559bf8178415bc3975897b1009d2099d63b01f00,2014-09-17 15:30:15+02:00,,,,,/774ce2d9bc13061e26dc1e9aea1d18db1e1dcadd,/2014-09-17 15:45:05+02:00,1537,1537,,,added/removed,0,,
20,doc/paper/src/elsarticle-num-names.bst,559bf8178415bc3975897b1009d2099d63b01f00,2014-09-17 15:30:15+02:00,,,,,/774ce2d9bc13061e26dc1e9aea1d18db1e1dcadd,/2014-09-17 15:45:05+02:00,1461,1461,,,added/removed,0,,
21,doc/paper/src/elsarticle-num.bst,559bf8178415bc3975897b1009d2099d63b01f00,2014-09-17 15:30:15+02:00,,,,,/774ce2d9bc13061e26dc1e9aea1d18db1e1dcadd,/2014-09-17 15:45:05+02:00,1517,1517,,,added/removed,0,,
22,doc/paper/src/elsarticle.dtx,559bf8178415bc3975897b1009d2099d63b01f00,2014-09-17 15:30:15+02:00,,,,,/774ce2d9bc13061e26dc1e9aea1d18db1e1dcadd,/2014-09-17 15:45:05+02:00,882,882,,,added/removed,0,,
23,doc/paper/src/nusquids.bib,559bf8178415bc3975897b1009d2099d63b01f00,2014-09-17 15:30:15+02:00,,,,,/774ce2d9bc13061e26dc1e9aea1d18db1e1dcadd,/2014-09-17 15:45:05+02:00,388,388,,,added/removed,0,,
25,doc/paper/src/nusquids_v1.aux,559bf8178415bc3975897b1009d2099d63b01f00,2014-09-17 15:30:15+02:00,,,,,/774ce2d9bc13061e26dc1e9aea1d18db1e1dcadd,/2014-09-17 15:45:05+02:00,133,133,,,added/removed,0,,
26,doc/paper/src/nusquids_v1.bbl,559bf8178415bc3975897b1009d2099d63b01f00,2014-09-17 15:30:15+02:00,,,,,/774ce2d9bc13061e26dc1e9aea1d18db1e1dcadd,/2014-09-17 15:45:05+02:00,212,212,,,added/removed,0,,
27,doc/paper/src/nusquids_v1.blg,559bf8178415bc3975897b1009d2099d63b01f00,2014-09-17 15:30:15+02:00,,,,,/774ce2d9bc13061e26dc1e9aea1d18db1e1dcadd,/2014-09-17 15:45:05+02:00,65,65,,,added/removed,0,,
