Id,FileName,AddedHash,CreatedAt,RenamedFrom,RenamedTo,RenamedAt,RenamedHash,RemovedHash,RemovedDate,Added,Removed,OldPath,NewPath,status,modifications,LastModifiedAt,LastModifiedHash
1,LICENSE,86142f1a9def38bf870e8964b1f37fdf4e96422d,2017-09-22 15:12:58+09:00,LICENSE,LICENSE,,,,,47,18,,,added,2,2018-01-22 18:14:54+09:00,b4f99d38b8fff613d6453fd05ffe09d34cf4fbae
2,README.md,86142f1a9def38bf870e8964b1f37fdf4e96422d,2017-09-22 15:12:58+09:00,README.md,README.md,,,,,230,116,,,added,62,2020-03-12 19:22:13+01:00,f7ad2cabffe8807c747ed92d402cf93b2482924e
4,examples/steadystate_superradiance.ipynb,4b90100985e44634066a3d77a4e44a5d8ae727bc,2017-09-22 15:35:00+09:00,,,,,/d3efa525c2aa87b896e935affee85b69dda4f5e3,/2017-11-07 20:23:55+09:00,419,419,,,added/removed,0,,
5,pim.py,4b90100985e44634066a3d77a4e44a5d8ae727bc,2017-09-22 15:35:00+09:00,,,,,/d3efa525c2aa87b896e935affee85b69dda4f5e3,/2017-11-07 20:23:55+09:00,967,967,,,added/removed,0,,
7,dicke_h.py,d3efa525c2aa87b896e935affee85b69dda4f5e3,2017-11-07 20:23:55+09:00,dicke_h.py,dicke_h.py,,,/244eaaf978ca864016a1bb6c847ebbada6a3e6c7,/2018-01-22 18:43:41+09:00,3268,3268,,,added/removed,4,2017-12-20 15:29:27+09:00,0e7ba828396678295f67a209b0094a7f4859d974
8,ops_h.py,d3efa525c2aa87b896e935affee85b69dda4f5e3,2017-11-07 20:23:55+09:00,ops_h.py,ops_h.py,,,/8b739fd1982c438a30e60126f7fa473cd15b0c4f,/2017-11-30 16:20:05+09:00,774,774,,,added/removed,1,2017-11-18 19:00:37+09:00,ff60188487514a3eb90151405b652f082313919d
9,test_dicke_h.ipynb,d3efa525c2aa87b896e935affee85b69dda4f5e3,2017-11-07 20:23:55+09:00,,,,,/ff60188487514a3eb90151405b652f082313919d,/2017-11-18 19:00:37+09:00,169,169,,,added/removed,0,,
10,operators_check.ipynb,d140eba869a7a7fee02ef501f11ed7c9a4b096e9,2017-11-07 20:26:03+09:00,,,,,/ff60188487514a3eb90151405b652f082313919d,/2017-11-18 19:00:37+09:00,396,396,,,added/removed,0,,
13,pim_brute.py,ff60188487514a3eb90151405b652f082313919d,2017-11-18 19:00:37+09:00,,,,,/8b739fd1982c438a30e60126f7fa473cd15b0c4f,/2017-11-30 16:20:05+09:00,1492,1492,,,added/removed,0,,
14,super_tensor_dicke_short.ipynb,ff60188487514a3eb90151405b652f082313919d,2017-11-18 19:00:37+09:00,,,,,/244eaaf978ca864016a1bb6c847ebbada6a3e6c7,/2018-01-22 18:43:41+09:00,345,345,,,added/removed,0,,
15,superop.ipynb,ff60188487514a3eb90151405b652f082313919d,2017-11-18 19:00:37+09:00,,,,,/244eaaf978ca864016a1bb6c847ebbada6a3e6c7,/2018-01-22 18:43:41+09:00,335,335,,,added/removed,0,,
16,test_brute.ipynb,ff60188487514a3eb90151405b652f082313919d,2017-11-18 19:00:37+09:00,,,,,/244eaaf978ca864016a1bb6c847ebbada6a3e6c7,/2018-01-22 18:43:41+09:00,243,243,,,added/removed,0,,
17,test_brute_photonic.ipynb,ff60188487514a3eb90151405b652f082313919d,2017-11-18 19:00:37+09:00,,,,,/244eaaf978ca864016a1bb6c847ebbada6a3e6c7,/2018-01-22 18:43:41+09:00,471,471,,,added/removed,0,,
19,lindblad.ipynb,8b739fd1982c438a30e60126f7fa473cd15b0c4f,2017-11-30 16:20:05+09:00,,,,,/244eaaf978ca864016a1bb6c847ebbada6a3e6c7,/2018-01-22 18:43:41+09:00,355,355,,,added/removed,0,,
29,.gitignore,27a81cf3a35a06fc8581bbc8433277547a3b9d31,2018-01-22 19:12:01+09:00,,,,,,,33,0,,,added,0,,
31,piqs/cy/dicke.pyx,27a81cf3a35a06fc8581bbc8433277547a3b9d31,2018-01-22 19:12:01+09:00,piqs/cy/dicke.pyx,piqs/cy/dicke.pyx,,,,,2182,1544,,,added,8,2018-03-13 17:00:27+09:00,3ff8de6905e768a98ec80bf0759f241190715ee7
32,piqs/dicke.py,27a81cf3a35a06fc8581bbc8433277547a3b9d31,2018-01-22 19:12:01+09:00,piqs/dicke.py,piqs/dicke.py,,,,,3568,1825,,,added,36,2018-05-23 00:44:42+09:00,04ecb81e000980cb82e57b5e54db9f1bc424e012
34,piqs/tests/test_dicke.py,27a81cf3a35a06fc8581bbc8433277547a3b9d31,2018-01-22 19:12:01+09:00,piqs/tests/test_dicke.py,piqs/tests/test_dicke.py,,,,,2078,824,,,added,26,2018-04-11 23:23:47+09:00,d1184f727343c3ae200e116104301f30896ae366
254,requirements.txt,5bd1e8f45f4ac603a70fdf371efa84e2ac6581e0,2018-04-23 10:50:20+09:00,,,,,,,3,0,,,added,0,,
36,setup.py,0f000f3c707caabc15728250a395513db2f9a47d,2018-01-22 19:36:33+09:00,setup.py,setup.py,,,,,138,15,,,added,8,2018-05-15 15:49:56+09:00,de8dbee508ac16aa07c3c0719e263b1faf7d3d23
47,notebook_piqs.ipynb,d021531bc2c58d56559f684d31dbbbc1a85da286,2018-01-25 21:16:36+09:00,,,,,/f4b80d4c09cde975bcc81954d2e832a0514631b5,/2018-01-29 11:41:51+09:00,801,801,,,added/removed,0,,
55,piqs/cy/dicke.cpp,5c196464580dda7551af4b72fff2c69ec9087b52,2018-01-26 18:07:48+09:00,piqs/cy/dicke.cpp,piqs/cy/dicke.cpp,,,,,57606,40465,,,added,8,2018-04-05 11:53:39+09:00,117a86a9372b36f7aa5fe36c7f7dfafeab979c3f
63,notebooks/notebook_piqs.ipynb,88e2bf9d8526fe677214ef861a7a5a81d87f78b7,2018-01-26 19:35:32+09:00,notebooks/notebook_piqs.ipynb,notebooks/piqs_intro.ipynb,/2018-01-29 13:45:16+09:00,/b8769b76acd3f6ca88386e8076c25e39b8966af9,,,1040,155,,,added,2,2018-01-26 20:34:26+09:00,c3b293f0f3dcd00a34908dee7d620a745f3165d7
64,notebooks/piqs_steadystate_superradiance.ipynb,88e2bf9d8526fe677214ef861a7a5a81d87f78b7,2018-01-26 19:35:32+09:00,notebooks/piqs_steadystate_superradiance.ipynb,notebooks/piqs_steadystate_superradiance.ipynb,,,/3ff8de6905e768a98ec80bf0759f241190715ee7,/2018-03-13 17:00:27+09:00,359,359,,,added/removed,1,2018-01-26 20:34:26+09:00,c3b293f0f3dcd00a34908dee7d620a745f3165d7
65,notebooks/piqs_superradiance.ipynb,88e2bf9d8526fe677214ef861a7a5a81d87f78b7,2018-01-26 19:35:32+09:00,notebooks/piqs_superradiance.ipynb,notebooks/piqs_superradiance.ipynb,,,/3ff8de6905e768a98ec80bf0759f241190715ee7,/2018-03-13 17:00:27+09:00,424,424,,,added/removed,1,2018-01-26 20:34:26+09:00,c3b293f0f3dcd00a34908dee7d620a745f3165d7
66,notebooks/.ipynb_checkpoints/notebook_piqs-checkpoint.ipynb,bb233e0e8391646af646f152951bba7b0a890a89,2018-01-26 20:07:54+09:00,,,,,/c3b293f0f3dcd00a34908dee7d620a745f3165d7,/2018-01-26 20:34:26+09:00,883,883,,,added/removed,0,,
63,notebooks/piqs_intro.ipynb,88e2bf9d8526fe677214ef861a7a5a81d87f78b7,2018-01-26 19:35:32+09:00,notebooks/notebook_piqs.ipynb,notebooks/piqs_intro.ipynb,/2018-01-29 13:45:16+09:00,/b8769b76acd3f6ca88386e8076c25e39b8966af9,/3ff8de6905e768a98ec80bf0759f241190715ee7,/2018-03-13 17:00:27+09:00,1040,1040,,,added/renamed/removed,2,2018-01-26 20:34:26+09:00,c3b293f0f3dcd00a34908dee7d620a745f3165d7
97,doc/notebooks/.ipynb_checkpoints/piqs_introduction-checkpoint.ipynb,3ff8de6905e768a98ec80bf0759f241190715ee7,2018-03-13 17:00:27+09:00,doc/notebooks/.ipynb_checkpoints/piqs_introduction-checkpoint.ipynb,doc/notebooks/.ipynb_checkpoints/piqs_introduction-checkpoint.ipynb,,,/06c1412e6fb45022d67fb673b4aaa9e9a5da013e,/2018-04-05 18:36:08+09:00,847,847,,,added/removed,1,2018-04-04 19:34:46+09:00,41c3152493eb8794bf0a045de569b2f08c729db8
