Id,FileName,AddedHash,CreatedAt,RenamedFrom,RenamedTo,RenamedAt,RenamedHash,RemovedHash,RemovedDate,Added,Removed,OldPath,NewPath,status,modifications,LastModifiedAt,LastModifiedHash
5,src/scripts/qgl2prep,67ffe24a0648aa7760659e0defe9d3c223dc8108,2015-10-06 10:12:12-04:00,src/scripts/qgl2prep,src/scripts/qgl2prep,,,,,73,0,,,added,1,2015-10-06 10:26:40-04:00,e03164d80e93d44695b08d1e2eddd18353d1ccc6
8,src/python/qgl2/qgl2.py,3ae151330dd1bc9b33bcde284f09204f10f600c4,2015-10-06 18:15:36-04:00,src/python/qgl2/qgl2.py,src/python/qgl2/qgl2.py,,,,,310,204,,,added,18,2019-06-11 13:51:27-04:00,2e89a9d65c25c114e3461b4d561f416a32ca558d
9,src/python/pyqgl2/ast_util.py,4a49eae565db99bcbb7c5ad6dfe5b070c6156c17,2015-10-07 17:46:28-04:00,src/python/pyqgl2/ast_util.py,src/python/pyqgl2/ast_util.py,,,,,686,255,,,added,29,2017-04-05 17:07:07-04:00,dcec0cd0e2780ee6db1ec0037a3dcc3b7fb120e3
10,src/python/pyqgl2/check_qbit.py,84ffb66daf33f2cb15dfe620de877cfb1111fe14,2015-10-07 17:58:42-04:00,src/python/pyqgl2/check_qbit.py,src/python/attic/check_qbit.py,/2017-04-06 10:01:35-04:00,/f6164de8ec7318a1b1117fc9cf2059b3b2c75d6c,,,1644,614,,,added,39,2016-09-28 15:39:00-04:00,4bb20c45b541d7dba6456cded56932f628f99851
12,src/python/pyqgl2/test/ex0.py,37fb478da28a2f403e5d83d85f08549035532ad7,2015-10-12 11:20:25-04:00,src/python/pyqgl2/test/ex0.py,test/code/ex0.py,/2016-09-20 15:34:09-04:00,/f3ca23047910d5752c2207031afa83ce1cd24295,,,27,5,,,added,2,2016-03-21 16:46:01-04:00,30b22f27f5b740f388e8ed7a01f2efacc086f507
13,src/python/pyqgl2/test/ex1.py,37fb478da28a2f403e5d83d85f08549035532ad7,2015-10-12 11:20:25-04:00,src/python/pyqgl2/test/ex1.py,test/code/ex1.py,/2016-09-20 15:34:09-04:00,/f3ca23047910d5752c2207031afa83ce1cd24295,,,48,10,,,added,5,2016-04-20 14:04:13-04:00,aeb80edee57487014837931862d9aa617e949fac
22,src/python/pyqgl2/builtin_decl.py,2a85685e09084ad4434d7bfe94997a23eb486dec,2015-10-15 15:53:22-04:00,src/python/pyqgl2/builtin_decl.py,src/python/pyqgl2/builtin_decl.py,,,/182775d6778082e94af6cc832d2c4f2a7f258f0a,/2017-03-30 14:11:17-04:00,28,28,,,added/removed,1,2015-12-04 13:01:58-05:00,1011c23b64bc4f09a532f841f973e4ba7b8cd8c3
24,src/python/pyqgl2/check_symtab.py,2a85685e09084ad4434d7bfe94997a23eb486dec,2015-10-15 15:53:22-04:00,src/python/pyqgl2/check_symtab.py,src/python/attic/check_symtab.py,/2017-04-06 10:01:35-04:00,/f6164de8ec7318a1b1117fc9cf2059b3b2c75d6c,,,190,43,,,added,9,2017-03-30 14:11:17-04:00,182775d6778082e94af6cc832d2c4f2a7f258f0a
29,src/python/pyqgl2/check_waveforms.py,22d291105e893a6358330b08e3fa1c8daa01a1fd,2015-10-16 10:15:58-04:00,src/python/pyqgl2/check_waveforms.py,src/python/attic/check_waveforms.py,/2017-04-06 10:01:35-04:00,/f6164de8ec7318a1b1117fc9cf2059b3b2c75d6c,,,222,45,,,added,6,2017-03-30 14:11:17-04:00,182775d6778082e94af6cc832d2c4f2a7f258f0a
34,src/python/pyqgl2/lang.py,0c7d9002550459a9867fee893b314063a028211d,2015-10-19 15:56:49-04:00,src/python/pyqgl2/lang.py,src/python/pyqgl2/lang.py,,,,,48,10,,,added,13,2019-06-11 13:48:44-04:00,138d0850af1a32891ee18bd737427c9f849fc959
