Id,FileName,AddedHash,CreatedAt,RenamedFrom,RenamedTo,RenamedAt,RenamedHash,RemovedHash,RemovedDate,Added,Removed,OldPath,NewPath,status,modifications,LastModifiedAt,LastModifiedHash
1,.gitignore,306934a65ebdf6d2910c6f3d3018f6bcb255435d,2017-01-09 14:02:55-08:00,.gitignore,.gitignore,,,,,187,2,,,added,5,2019-12-19 14:03:40-08:00,d636b0c4bdb4e2436ddd27835f7a1f0a392e4b98
2,ACKNOWLEDGEMENTS.md,306934a65ebdf6d2910c6f3d3018f6bcb255435d,2017-01-09 14:02:55-08:00,ACKNOWLEDGEMENTS.md,ACKNOWLEDGEMENTS.md,,,,,81,26,,,added,4,2020-01-24 19:18:18-05:00,70f74f8cbdb82e3d55ca97f2544ea0741132cb05
3,LICENSE,306934a65ebdf6d2910c6f3d3018f6bcb255435d,2017-01-09 14:02:55-08:00,LICENSE,LICENSE,,,,,222,20,,,added,2,2019-08-26 11:33:30-07:00,0537a9ebdbb1c39487ff63e6f24762ee45edabb2
4,NOTICE,306934a65ebdf6d2910c6f3d3018f6bcb255435d,2017-01-09 14:02:55-08:00,,,,,/0537a9ebdbb1c39487ff63e6f24762ee45edabb2,/2019-08-26 11:33:30-07:00,6,6,,,added/removed,0,,
5,README.md,306934a65ebdf6d2910c6f3d3018f6bcb255435d,2017-01-09 14:02:55-08:00,README.md,README.md,,,,,552,332,,,added,42,2020-04-21 13:27:22-07:00,b1a9748ead852249c7b3f6a80ebe5bd1facca668
6,docs/source/conf.py,306934a65ebdf6d2910c6f3d3018f6bcb255435d,2017-01-09 14:02:55-08:00,docs/source/conf.py,docs/source/conf.py,,,,,503,107,,,added,18,2019-12-23 16:52:21-05:00,7210fbe56290121c44da97b9ec6eea032fcdb612
7,docs/source/forest.rst,306934a65ebdf6d2910c6f3d3018f6bcb255435d,2017-01-09 14:02:55-08:00,docs/source/forest.rst,docs/source/api.rst,/2017-06-17 19:01:05-04:00,/bb594f2429ce55e5bc2fccdd870a8e47f5431641,,,7,0,,,added,0,,
8,docs/source/gates.rst,306934a65ebdf6d2910c6f3d3018f6bcb255435d,2017-01-09 14:02:55-08:00,,,,,/3f9d69fb2a084c9e482282a83837058d634ea3b9,/2018-02-20 10:06:40-08:00,7,6,,,added/removed,0,,
9,docs/source/getting_started.rst,306934a65ebdf6d2910c6f3d3018f6bcb255435d,2017-01-09 14:02:55-08:00,docs/source/getting_started.rst,docs/source/start.rst,/2018-02-20 10:06:40-08:00,/3f9d69fb2a084c9e482282a83837058d634ea3b9,,,1559,511,,,added,42,2018-02-15 15:56:40-08:00,a44b2051858609461d606a1c4c20e5d0f0657c1b
15,docs/source/index.rst,306934a65ebdf6d2910c6f3d3018f6bcb255435d,2017-01-09 14:02:55-08:00,docs/source/index.rst,docs/source/index.rst,,,,,218,105,,,added,40,2020-06-12 17:30:39-07:00,08dae8d90ecc992f5b6718ed0fab2bf331956f3c
16,docs/source/intro_to_qc.ipynb,306934a65ebdf6d2910c6f3d3018f6bcb255435d,2017-01-09 14:02:55-08:00,docs/source/intro_to_qc.ipynb,docs/source/intro_to_qc.ipynb,,,/992eb416d029bfce2be7e0d34062400408946c6d,/2018-11-21 09:37:19-08:00,1122,1122,,,added/removed,2,2018-10-03 16:37:16-07:00,a952c3df9afaf40b076734a9a37f93d09d3b399f
17,docs/source/intro_to_qc.rst,306934a65ebdf6d2910c6f3d3018f6bcb255435d,2017-01-09 14:02:55-08:00,docs/source/intro_to_qc.rst,docs/source/intro.rst,/2018-02-20 10:06:40-08:00,/3f9d69fb2a084c9e482282a83837058d634ea3b9,,,1009,174,,,added,9,2017-11-27 17:55:38+01:00,4229a22f98c37967635fbe7b29fcfadde2aea7d8
18,docs/source/next_steps.rst,306934a65ebdf6d2910c6f3d3018f6bcb255435d,2017-01-09 14:02:55-08:00,docs/source/next_steps.rst,docs/source/next_steps.rst,,,/3f9d69fb2a084c9e482282a83837058d634ea3b9,/2018-02-20 10:06:40-08:00,14,14,,,added/removed,2,2017-06-20 22:44:26-07:00,917e980e64cff52e4afe638de98375ee335c90ac
19,docs/source/overview.rst,306934a65ebdf6d2910c6f3d3018f6bcb255435d,2017-01-09 14:02:55-08:00,docs/source/overview.rst,docs/source/overview.rst,,,/3f9d69fb2a084c9e482282a83837058d634ea3b9,/2018-02-20 10:06:40-08:00,49,49,,,added/removed,4,2018-01-02 13:28:17-08:00,00d6a25f068d712e687d2689d3f6d516e06e5881
20,docs/source/parametric.rst,306934a65ebdf6d2910c6f3d3018f6bcb255435d,2017-01-09 14:02:55-08:00,,,,,/3f9d69fb2a084c9e482282a83837058d634ea3b9,/2018-02-20 10:06:40-08:00,7,6,,,added/removed,0,,
21,docs/source/paulis.rst,306934a65ebdf6d2910c6f3d3018f6bcb255435d,2017-01-09 14:02:55-08:00,,,,,/3f9d69fb2a084c9e482282a83837058d634ea3b9,/2018-02-20 10:06:40-08:00,7,6,,,added/removed,0,,
22,docs/source/quil.rst,306934a65ebdf6d2910c6f3d3018f6bcb255435d,2017-01-09 14:02:55-08:00,,,,,/3f9d69fb2a084c9e482282a83837058d634ea3b9,/2018-02-20 10:06:40-08:00,7,6,,,added/removed,0,,
23,docs/source/quil_atom.rst,306934a65ebdf6d2910c6f3d3018f6bcb255435d,2017-01-09 14:02:55-08:00,,,,,/e09bca74ffe538ae217603d3943cdba2e7ccb9e4,/2017-11-14 12:46:04-08:00,7,6,,,added/removed,0,,
24,docs/source/quilbase.rst,306934a65ebdf6d2910c6f3d3018f6bcb255435d,2017-01-09 14:02:55-08:00,,,,,/3f9d69fb2a084c9e482282a83837058d634ea3b9,/2018-02-20 10:06:40-08:00,7,6,,,added/removed,0,,
25,docs/source/resource_manager.rst,306934a65ebdf6d2910c6f3d3018f6bcb255435d,2017-01-09 14:02:55-08:00,,,,,/e09bca74ffe538ae217603d3943cdba2e7ccb9e4,/2017-11-14 12:46:04-08:00,7,6,,,added/removed,0,,
26,docs/source/slot.rst,306934a65ebdf6d2910c6f3d3018f6bcb255435d,2017-01-09 14:02:55-08:00,,,,,/3f9d69fb2a084c9e482282a83837058d634ea3b9,/2018-02-20 10:06:40-08:00,7,6,,,added/removed,0,,
27,docs/source/source_docs.rst,306934a65ebdf6d2910c6f3d3018f6bcb255435d,2017-01-09 14:02:55-08:00,docs/source/source_docs.rst,docs/source/source_docs.rst,,,/3f9d69fb2a084c9e482282a83837058d634ea3b9,/2018-02-20 10:06:40-08:00,25,25,,,added/removed,8,2018-02-01 14:38:03-08:00,1063140e974d4839f76c5ed14d2604eb6c763e26
28,examples/getting_started.ipynb,306934a65ebdf6d2910c6f3d3018f6bcb255435d,2017-01-09 14:02:55-08:00,examples/getting_started.ipynb,examples/getting_started.ipynb,,,/f85823a22f511427cbf64cee92b13bfdd5cc57c7,/2017-06-18 10:05:42-04:00,1516,1516,,,added/removed,5,2017-06-05 17:07:42-07:00,3878417090d9168583d69cd2890645193825a9a8
29,examples/phase_estimation.py,306934a65ebdf6d2910c6f3d3018f6bcb255435d,2017-01-09 14:02:55-08:00,,,,,/f0ea0fccbe713e82050f3cfe9ddbdbd2f984dacb,/2017-01-18 15:20:35-08:00,89,89,,,added/removed,0,,
30,examples/pointer.py,306934a65ebdf6d2910c6f3d3018f6bcb255435d,2017-01-09 14:02:55-08:00,examples/pointer.py,examples/pointer.py,,,/5f68f68b32a29d48e3c192b2b06bc72b95dac26c,/2020-01-29 12:48:04-08:00,139,139,,,added/removed,6,2019-12-23 16:52:21-05:00,7210fbe56290121c44da97b9ec6eea032fcdb612
31,examples/quantum_die.py,306934a65ebdf6d2910c6f3d3018f6bcb255435d,2017-01-09 14:02:55-08:00,examples/quantum_die.py,examples/quantum_die.py,,,/5f68f68b32a29d48e3c192b2b06bc72b95dac26c,/2020-01-29 12:48:04-08:00,140,140,,,added/removed,14,2019-12-23 16:52:21-05:00,7210fbe56290121c44da97b9ec6eea032fcdb612
32,examples/teleportation.py,306934a65ebdf6d2910c6f3d3018f6bcb255435d,2017-01-09 14:02:55-08:00,examples/teleportation.py,examples/teleportation.py,,,/5f68f68b32a29d48e3c192b2b06bc72b95dac26c,/2020-01-29 12:48:04-08:00,99,99,,,added/removed,9,2019-12-23 16:52:21-05:00,7210fbe56290121c44da97b9ec6eea032fcdb612
34,pyquil/forest.py,306934a65ebdf6d2910c6f3d3018f6bcb255435d,2017-01-09 14:02:55-08:00,pyquil/forest.py,pyquil/api.py,/2017-06-09 16:21:20-07:00,/650be980b6e0d3ec5a0bad2a41467021da29b122,,,1029,521,,,added,25,2017-06-06 23:53:56-07:00,0a90297776474da1d8471b2c65c2cc83f4e1ecf8
35,pyquil/gates.py,306934a65ebdf6d2910c6f3d3018f6bcb255435d,2017-01-09 14:02:55-08:00,pyquil/gates.py,pyquil/gates.py,,,,,1794,811,,,added,30,2019-12-27 16:13:37+00:00,3d287511e99601865829289f85909cfa7fd0c8da
36,pyquil/parametric.py,306934a65ebdf6d2910c6f3d3018f6bcb255435d,2017-01-09 14:02:55-08:00,pyquil/parametric.py,pyquil/parametric.py,,,/f5fd474481523c127d2ad6ed3f00dcb8ccb859fb,/2018-10-29 11:54:03-07:00,109,109,,,added/removed,7,2018-10-03 16:37:16-07:00,a952c3df9afaf40b076734a9a37f93d09d3b399f
37,pyquil/paulis.py,306934a65ebdf6d2910c6f3d3018f6bcb255435d,2017-01-09 14:02:55-08:00,pyquil/paulis.py,pyquil/paulis.py,,,,,1905,769,,,added,68,2020-07-15 13:41:16-07:00,f0abb39fd35da562828e118a10e4e78da4f36bf9
38,pyquil/quil.py,306934a65ebdf6d2910c6f3d3018f6bcb255435d,2017-01-09 14:02:55-08:00,pyquil/quil.py,pyquil/quil.py,,,,,1863,719,,,added,71,2020-02-25 06:53:47-08:00,d45246d183a7308187bc28442c73714e87f7c25a
39,pyquil/quil_atom.py,306934a65ebdf6d2910c6f3d3018f6bcb255435d,2017-01-09 14:02:55-08:00,pyquil/quil_atom.py,pyquil/quil_atom.py,,,/e09bca74ffe538ae217603d3943cdba2e7ccb9e4,/2017-11-14 12:46:04-08:00,28,28,,,added/removed,3,2017-10-11 00:43:08+02:00,26ba0832c610a9a0b9948b8759ce25248913d0a3
40,pyquil/quilbase.py,306934a65ebdf6d2910c6f3d3018f6bcb255435d,2017-01-09 14:02:55-08:00,pyquil/quilbase.py,pyquil/quilbase.py,,,,,2148,1021,,,added,47,2020-09-07 15:56:26+01:00,7b8fef6a21aead96f4632fcf2763588f40da1fb8
41,pyquil/resource_manager.py,306934a65ebdf6d2910c6f3d3018f6bcb255435d,2017-01-09 14:02:55-08:00,pyquil/resource_manager.py,pyquil/resource_manager.py,,,/e09bca74ffe538ae217603d3943cdba2e7ccb9e4,/2017-11-14 12:46:04-08:00,220,220,,,added/removed,6,2017-10-11 00:43:08+02:00,26ba0832c610a9a0b9948b8759ce25248913d0a3
42,pyquil/slot.py,306934a65ebdf6d2910c6f3d3018f6bcb255435d,2017-01-09 14:02:55-08:00,pyquil/slot.py,pyquil/slot.py,,,/f5fd474481523c127d2ad6ed3f00dcb8ccb859fb,/2018-10-29 11:54:03-07:00,110,110,,,added/removed,6,2018-10-03 16:37:16-07:00,a952c3df9afaf40b076734a9a37f93d09d3b399f
43,pyquil/tests/data/test1.json,306934a65ebdf6d2910c6f3d3018f6bcb255435d,2017-01-09 14:02:55-08:00,,,,,,,1,0,,,added,0,,
44,pyquil/tests/data/test1.quil,306934a65ebdf6d2910c6f3d3018f6bcb255435d,2017-01-09 14:02:55-08:00,,,,,,,27,0,,,added,0,,
45,pyquil/tests/test_forest.py,306934a65ebdf6d2910c6f3d3018f6bcb255435d,2017-01-09 14:02:55-08:00,pyquil/tests/test_forest.py,pyquil/tests/test_api.py,/2017-10-03 11:00:42-07:00,/254a86ef88b19011bb590c1dc35e13a76fa0850e,,,169,34,,,added,6,2017-06-12 18:24:51-07:00,e0c3fa359f9a1f42daf86e8cd385ce69da386eb3
46,pyquil/tests/test_parametric.py,306934a65ebdf6d2910c6f3d3018f6bcb255435d,2017-01-09 14:02:55-08:00,pyquil/tests/test_parametric.py,pyquil/tests/test_parametric.py,,,/f5fd474481523c127d2ad6ed3f00dcb8ccb859fb,/2018-10-29 11:54:03-07:00,185,185,,,added/removed,4,2018-06-26 17:41:57-07:00,250f92cbbcb7eafe6e60d83527ae0e88e8392296
