Id,FileName,AddedHash,CreatedAt,RenamedFrom,RenamedTo,RenamedAt,RenamedHash,RemovedHash,RemovedDate,Added,Removed,OldPath,NewPath,status,modifications,LastModifiedAt,LastModifiedHash
1,README.md,fb4096671c5e1fae94a8021047e450dd5a5e452d,2012-08-14 18:02:46-07:00,README.md,README.md,,,/8d85fc7d0d0bf6682cd317549eb0b40234e9ba04,/2013-01-28 23:04:02-05:00,6,6,,,added/removed,1,2012-08-14 22:14:07-03:00,9cc31685cb863658d3f833a934222132d25e3959
2,.gitignore,f9adab19f708f1c33ec65f30f53f42a2c76e196a,2012-08-14 21:11:53-04:00,.gitignore,.gitignore,,,,,79,3,,,added,12,2016-09-07 10:27:59+10:00,0acf71e633aafbdfeb40d7e98917d84a9be93b85
5,doc/Makefile,f0a7f3c9a39e04d852990af2d182da6c48eda382,2012-08-14 21:15:13-04:00,doc/Makefile,doc/Makefile,,,,,137,7,,,added,3,2017-06-14 10:18:36-04:00,c40d582b97c6e6fa9d4b5d780b6fe3f66e3eb6cd
6,doc/make.bat,f0a7f3c9a39e04d852990af2d182da6c48eda382,2012-08-14 21:15:13-04:00,doc/make.bat,doc/make.bat,,,,,171,1,,,added,1,2014-02-08 17:45:51-05:00,c8d66cb38f752bee78bac9e987706099e9bda249
7,doc/source/conf.py,f0a7f3c9a39e04d852990af2d182da6c48eda382,2012-08-14 21:15:13-04:00,doc/source/conf.py,doc/source/conf.py,,,,,636,216,,,added,36,2018-08-06 17:25:42-07:00,0019f2aa515654ea67d2f682c69daf15f5c04a64
8,doc/source/index.rst,f0a7f3c9a39e04d852990af2d182da6c48eda382,2012-08-14 21:15:13-04:00,doc/source/index.rst,doc/source/index.rst,,,,,54,18,,,added,6,2016-06-15 14:27:03+10:00,7a9a8ddefa6b6b2016057f326db5707915bd4d3e
9,COPYING.txt,42e7ade74c417956a9cdd294890db3074c34cbf4,2012-08-16 14:23:11-04:00,COPYING.txt,COPYING.txt,,,,,1327,1316,,,added,2,2017-08-23 09:16:53-07:00,46c69c75fc480939704b50d4b11aa67daeb8bdbb
10,src/qinfer/SMC.py,977adced47fed0561a8fb0cc8ff723dc1d95c1a1,2012-08-16 14:28:21-04:00,src/qinfer/SMC.py,src/qinfer/smc.py,/2012-08-21 15:47:10-04:00,/45fdcd8cbfd44fb6c3218ae5c272ad193f7dd8bf,,,75,1,,,added,1,2012-08-16 20:22:09-04:00,e7d936c256a4888eb83f772faba4f749c0013927
11,src/qinfer/tomography.py,4166d88827d0217d6c12a678a52ebbae0dc11950,2012-08-16 17:54:25-04:00,src/qinfer/tomography.py,src/qinfer/tomography/legacy.py,/2015-07-13 18:41:10+10:00,/33ab428f9be694e22278152fe32742137128dbcb,,,1465,1031,,,added,42,2015-07-13 14:24:20+10:00,841401b597188494f363a5604f0b14816216f26e
14,src/qinfer/distributions.py,e7d936c256a4888eb83f772faba4f749c0013927,2012-08-16 20:22:09-04:00,src/qinfer/distributions.py,src/qinfer/distributions.py,,,,,1969,546,,,added,84,2017-08-23 09:16:53-07:00,46c69c75fc480939704b50d4b11aa67daeb8bdbb
10,src/qinfer/smc.py,977adced47fed0561a8fb0cc8ff723dc1d95c1a1,2012-08-16 14:28:21-04:00,src/qinfer/smc.py,src/qinfer/smc.py,/2012-08-21 15:47:10-04:00,/45fdcd8cbfd44fb6c3218ae5c272ad193f7dd8bf,,,3115,1878,,,added/renamed,153,2018-08-16 13:29:00-04:00,b9bd357974342f70d1b00eecd6e2be3e8a55b56c
20,src/qinfer/abstract_model.py,5eb3f029d18e5e2ba3a27f8cd58b16a6a8f99316,2012-08-21 16:25:37-04:00,src/qinfer/abstract_model.py,src/qinfer/abstract_model.py,,,,,1462,699,,,added,51,2017-08-23 09:16:53-07:00,46c69c75fc480939704b50d4b11aa67daeb8bdbb
23,src/qinfer/test_models.py,59bb91a6aae3e3ca92e06226764f82fcaf69049e,2012-08-22 08:13:38-04:00,src/qinfer/test_models.py,src/qinfer/test_models.py,,,,,1194,715,,,added,53,2018-08-08 13:33:47-07:00,acbd0c9cd4cfe440e4a214278acd7e8e9e8923e4
37,setup.py,0cbac45cc1ae65771ef609fbcf0cc939cdc4b73a,2012-08-24 20:28:05-04:00,setup.py,setup.py,,,,,119,33,,,added,18,2018-08-06 17:26:22-07:00,cb4074fa763720a863b7d9e27165abe51c346d5d
43,src/qinfer/utils.py,20d758cb74afe2a4a0bcf2b95b66d343a12237bf,2012-08-28 20:13:15-04:00,src/qinfer/utils.py,src/qinfer/utils.py,,,,,1195,507,,,added,47,2018-08-08 13:33:47-07:00,acbd0c9cd4cfe440e4a214278acd7e8e9e8923e4
52,src/qinfer/test_tomography_qubit.py,92a9cf771a60d377ee2f7dce5f50bf5be9033b19,2012-09-01 04:31:00-04:00,src/qinfer/test_tomography_qubit.py,src/qinfer/test_tomography_qubit.py,/2013-01-03 13:59:39-05:00,/cc8408876dfde5b9919304f6200871db14bbb83a,,,495,281,,,added,18,2013-01-18 16:38:47-05:00,06b38bdef16963d3b2f07b5b0874d1c8cc96ecd3
71,src/qinfer/derived_models.py,9af6a8b7de65c072878d8e9cf63a9670d166700a,2012-09-11 16:00:27-04:00,src/qinfer/derived_models.py,src/qinfer/derived_models.py,,,,,1377,392,,,added,59,2018-08-08 15:37:28-04:00,4b9344714783be70788c0cbcb79011699085559d
110,src/qinfer/resamplers.py,cce4d1ae513081e9fb9eaaf283b6962265cb0179,2012-11-12 13:54:39-05:00,src/qinfer/resamplers.py,src/qinfer/resamplers.py,,,,,760,433,,,added,46,2017-08-23 09:16:53-07:00,46c69c75fc480939704b50d4b11aa67daeb8bdbb
117,.gitattributes,0ab303cb5b567c9b1e00cef9c5e5252f0e470553,2012-12-13 14:05:06-05:00,.gitattributes,.gitattributes,,,,,11,1,,,added,2,2014-08-14 14:06:42-04:00,824b77d27e6b2f04f94bc77f0bc04159f8146a04
128,src/qinfer/_lib/LICENSE-MIT-docopt,b742cada379bb7549566096d1272a6c42bd8739f,2013-01-03 13:30:22-05:00,,,,,/d0d6451bf8cd1fcf33a8dfca8e81a85800e9c1fb,/2017-03-23 10:54:12+11:00,19,19,,,added/removed,0,,
129,src/qinfer/_lib/__init__.py,b742cada379bb7549566096d1272a6c42bd8739f,2013-01-03 13:30:22-05:00,src/qinfer/_lib/__init__.py,src/qinfer/_lib/__init__.py,,,,,54,17,,,added,1,2017-08-23 09:16:53-07:00,46c69c75fc480939704b50d4b11aa67daeb8bdbb
130,src/qinfer/_lib/docopt.py,b742cada379bb7549566096d1272a6c42bd8739f,2013-01-03 13:30:22-05:00,src/qinfer/_lib/docopt.py,src/qinfer/_lib/docopt.py,,,/d0d6451bf8cd1fcf33a8dfca8e81a85800e9c1fb,/2017-03-23 10:54:12+11:00,668,668,,,added/removed,2,2016-04-03 22:00:51-04:00,1d431dedfbfa27728581059e5602ade71de8e873
52,src/qinfer/examples/qubit_tomography_example.py,92a9cf771a60d377ee2f7dce5f50bf5be9033b19,2012-09-01 04:31:00-04:00,src/qinfer/examples/qubit_tomography_example.py,src/qinfer/examples/qubit_tomography_example.py,/2013-01-03 13:59:39-05:00,/cc8408876dfde5b9919304f6200871db14bbb83a,/96f402540673d56a9cda69f70a3786aa5a7eb930,/2016-05-10 11:19:21+10:00,911,903,,,added/renamed/removed,34,2016-04-06 13:00:56+10:00,b489664567f194966cae5750feb3457fff2918ff
141,src/qinfer/test_coinflip.py,fb9c7880bde2deb2e8397ab6f36398be199f0978,2013-01-08 13:44:05-07:00,src/qinfer/test_coinflip.py,examples/test_coinflip.py,/2014-04-14 18:26:21-04:00,/06427723ead8f0d677759dc781d7c4fe41dd1635,,,323,159,,,added,1,2013-02-18 21:23:23-07:00,e4028e0693a2828503ef3d6ebd6068898457457b
145,src/qinfer/metrics.py,ea69e7736bc770e9b9f572518957f3b64b14d6b9,2013-01-15 18:04:34-05:00,src/qinfer/metrics.py,src/qinfer/metrics.py,,,,,174,45,,,added,11,2017-08-23 09:16:53-07:00,46c69c75fc480939704b50d4b11aa67daeb8bdbb
151,src/qinfer/exceptions.py,b21d54263eab916fd77bb7f036f197df2acae671,2013-01-17 13:06:37-05:00,src/qinfer/exceptions.py,src/qinfer/_exceptions.py,/2013-01-22 17:23:14-05:00,/3af7c6145167810c1973dd63b75934215fe4188d,,,49,1,,,added,0,,
154,doc/source/acknowledgements.rst,06cdfdc4a814abe58e5f677841c905e249fcf41d,2013-01-17 14:13:37-05:00,doc/source/acknowledgements.rst,doc/source/acknowledgements.rst,,,,,43,9,,,added,5,2016-06-14 12:07:33+10:00,f5051b09d1724d3d01ac9e7b877271d976e561c3
155,doc/source/apiref/abstract_models.rst,06cdfdc4a814abe58e5f677841c905e249fcf41d,2013-01-17 14:13:37-05:00,doc/source/apiref/abstract_models.rst,doc/source/apiref/abstract_models.rst,,,,,73,7,,,added,4,2016-09-09 17:00:15-04:00,38720178b55a7f7de4418f0571b63dd187ea79fe
156,doc/source/apiref/distributions.rst,06cdfdc4a814abe58e5f677841c905e249fcf41d,2013-01-17 14:13:37-05:00,doc/source/apiref/distributions.rst,doc/source/apiref/distributions.rst,,,,,127,23,,,added,15,2017-08-14 09:27:20-04:00,300012612feac6301f6107cd412f46b51d50a1f5
157,doc/source/apiref/index.rst,06cdfdc4a814abe58e5f677841c905e249fcf41d,2013-01-17 14:13:37-05:00,doc/source/apiref/index.rst,doc/source/apiref/index.rst,,,,,21,1,,,added,1,2016-05-11 01:14:51+10:00,5d2eb141d15ad82defebbe67c93d07e44c6ee62c
