Id,FileName,AddedHash,CreatedAt,RenamedFrom,RenamedTo,RenamedAt,RenamedHash,RemovedHash,RemovedDate,Added,Removed,OldPath,NewPath,status,modifications,LastModifiedAt,LastModifiedHash
1,README.txt,a9f187c71c3910954656f5d07e770de0794c0600,2019-02-07 13:45:52-08:00,README.txt,README.md,/2019-09-16 11:52:52-07:00,/d67f5b0daea4f38f5464ab2672b7c1ce298954de,,,27,4,,,added,1,2019-03-18 11:58:05-07:00,a30f2ebdd62ce49c987d62aeff7dacaf2e3662e7
3,circuits/ben_11_32_0.txt,7570ee00eb33ecd38e14d77cca04400dee35d073,2019-02-10 19:29:35-08:00,circuits/ben_11_32_0.txt,circuits/bristlecone_70_1-32-1_0.txt,/2019-10-05 15:54:44-05:00,/665266d89388a8b4c854cea710883e16e7dc852d,,,1464,0,,,added,0,,
4,compile,7570ee00eb33ecd38e14d77cca04400dee35d073,2019-02-10 19:29:35-08:00,compile,compile,,,/f285dc35df702f220d3ce7f49b05857545493a8c/fd3a20bafa7bbe12058280e9e872733b20783ba1,/2019-09-17 14:38:15-07:00/2019-09-19 19:51:08-07:00,46,47,,,added/removed/removed,2,2019-04-10 10:23:51-04:00,65d89f958975db00a3e475e48820827cfef3e229
5,compile_with_talsh,7570ee00eb33ecd38e14d77cca04400dee35d073,2019-02-10 19:29:35-08:00,compile_with_talsh,compile_with_talsh,,,/af55d37acd8d4e63ec31e2fb84089f6ef2819b93,/2019-03-20 15:21:30-07:00,29,29,,,added/removed,3,2019-02-26 08:24:51-08:00,11f0a73e85aa7b5b4ac994b77c084d1109067eac
7,main_bristlecone-70x4_new.cpp,7570ee00eb33ecd38e14d77cca04400dee35d073,2019-02-10 19:29:35-08:00,main_bristlecone-70x4_new.cpp,main_bristlecone-70x4_new.cpp,,,/af55d37acd8d4e63ec31e2fb84089f6ef2819b93,/2019-03-20 15:21:30-07:00,536,536,,,added/removed,1,2019-03-18 11:58:05-07:00,a30f2ebdd62ce49c987d62aeff7dacaf2e3662e7
8,mkl_tensor.cpp,7570ee00eb33ecd38e14d77cca04400dee35d073,2019-02-10 19:29:35-08:00,mkl_tensor.cpp,tensor.cpp,/2019-09-12 17:01:49-07:00,/03e9e3820892489342a29dd0bdb934a75cfac543,,,2254,1196,,,added,27,2019-09-06 15:30:32-07:00,9249153279123710c6ed6186836ac91bd486fc3f
9,mkl_tensor.h,7570ee00eb33ecd38e14d77cca04400dee35d073,2019-02-10 19:29:35-08:00,mkl_tensor.h,tensor.h,/2019-09-12 17:01:49-07:00,/03e9e3820892489342a29dd0bdb934a75cfac543,,,1102,595,,,added,12,2019-09-06 13:53:21-07:00,b2a644ed43f8e599adb35774fe395d96d8df7405
10,pin.c,7570ee00eb33ecd38e14d77cca04400dee35d073,2019-02-10 19:29:35-08:00,,,,,/2100a6f4e62f78c9c7d15450e5bfe648155ddbe5,/2019-03-18 13:04:59-05:00,67,67,,,added/removed,0,,
11,read_circuit.h,7570ee00eb33ecd38e14d77cca04400dee35d073,2019-02-10 19:29:35-08:00,read_circuit.h,src/read_circuit.h,/2019-10-12 08:52:41-07:00,/ccc4c4572196c622483802af860526f68eb8476a,,,1404,1278,,,added,29,2019-10-10 16:23:33-07:00,eed3ebd4b97e6ac5835dfd15687a5328c4f970a7
13,skeleton_main_with_talsh.cpp,7570ee00eb33ecd38e14d77cca04400dee35d073,2019-02-10 19:29:35-08:00,skeleton_main_with_talsh.cpp,skeleton_main_with_talsh.cpp,,,/af55d37acd8d4e63ec31e2fb84089f6ef2819b93,/2019-03-20 15:21:30-07:00,64,64,,,added/removed,1,2019-03-18 11:58:05-07:00,a30f2ebdd62ce49c987d62aeff7dacaf2e3662e7
369,main.cpp,3b46d6396462508708662125b78bc1ee99a68e00,2019-07-17 15:24:56-07:00,main.cpp,main.cpp,/2019-10-12 08:52:41-07:00,/ccc4c4572196c622483802af860526f68eb8476a,/7338c5a126b7d4212a947d4fffd106482ab9e489,/2019-10-14 18:35:37-07:00,426,424,,,added/removed,24,2019-10-14 18:09:28-07:00,fed42167778b3dc52721668defeaa82e4f85a473
