Id,FileName,AddedHash,CreatedAt,RenamedFrom,RenamedTo,RenamedAt,RenamedHash,RemovedHash,RemovedDate,Added,Removed,OldPath,NewPath,status,modifications,LastModifiedAt,LastModifiedHash
1,.gitignore,9b89a182d1f851d5d6f7c4d66c2549fc60253e71,2018-06-27 21:36:57+02:00,,,,,,,104,0,,,added,0,,
2,LICENSE,9b89a182d1f851d5d6f7c4d66c2549fc60253e71,2018-06-27 21:36:57+02:00,LICENSE,LICENSE,,,,,204,1,,,added,1,2018-09-14 12:06:20+02:00,900293d1f716244f475674bdedc51d709b96147f
3,README.md,9b89a182d1f851d5d6f7c4d66c2549fc60253e71,2018-06-27 21:36:57+02:00,README.md,README.md,,,,,120,46,,,added,16,2019-02-23 17:14:50+02:00,fbc80814cba0d11350b583906c5caffc9636973b
4,qiskit_addon_jku/__init__.py,c600d7684dfaa7891246def07a4784522c2e627d,2018-07-01 16:52:04+03:00,qiskit_addon_jku/__init__.py,qiskit_jku_provider/__init__.py,/2018-09-14 11:23:26+02:00/2018-10-07 12:41:56+03:00/2019-01-09 13:30:41+02:00,/d6f16b33bfc7d3515b67b1dab10bbc699315a8a4/2a2efc91258c981aabeca925c360c5c3939b0fc6/67436ccb6f63fcd3fc94df7ab94878784d044dcc,,,29,16,,,added/renamed/renamed,3,2018-09-14 12:06:20+02:00,900293d1f716244f475674bdedc51d709b96147f
5,qiskit_addon_jku/qasm_simulator_jku.py,c600d7684dfaa7891246def07a4784522c2e627d,2018-07-01 16:52:04+03:00,qiskit_addon_jku/qasm_simulator_jku.py,qiskit_jku_provider/qasm_simulator_jku.py,/2018-09-14 11:23:26+02:00/2018-10-07 12:41:56+03:00/2019-01-09 13:30:41+02:00,/d6f16b33bfc7d3515b67b1dab10bbc699315a8a4/2a2efc91258c981aabeca925c360c5c3939b0fc6/67436ccb6f63fcd3fc94df7ab94878784d044dcc,,,763,390,,,added/renamed/renamed,25,2018-10-07 14:27:32+03:00,60cec36ada7803df0067c303458b43b2fbf05370
8,examples/ghz.qasm,e8e03cb306df19fb33825f92e507a458667da0c4,2018-07-02 10:24:09+03:00,,,,,/c4d85c29d327bc70a2ac4b5d34acf317cfec0165,/2019-02-18 21:11:17-05:00,11,11,,,added/removed,0,,
9,examples/jku_backend.py,e8e03cb306df19fb33825f92e507a458667da0c4,2018-07-02 10:24:09+03:00,examples/jku_backend.py,examples/jku_backend.py,,,/f044a09bc08622750ce4acf6238a8cb2bbb178a4,/2019-02-18 21:10:42-05:00,58,58,,,added/removed,9,2019-02-18 13:47:07+02:00,6e7f56a0205df747392e42f3a0437e6c7333e5b5
11,test_jku/t.qasm,e1c22e923a5703c43e63373218a56d815f18b8d1,2018-07-02 11:41:27+03:00,,,,,/e148c462d7ee70cc1ec418243736cb1fb70528f9,/2019-02-20 17:20:20+01:00,5,5,,,added/removed,0,,
12,test_jku/temp.qasm,e1c22e923a5703c43e63373218a56d815f18b8d1,2018-07-02 11:41:27+03:00,,,,,/e148c462d7ee70cc1ec418243736cb1fb70528f9,/2019-02-20 17:20:20+01:00,29,29,,,added/removed,0,,
13,test_jku/test_qasm_simulator_jku.py,e1c22e923a5703c43e63373218a56d815f18b8d1,2018-07-02 11:41:27+03:00,test_jku/test_qasm_simulator_jku.py,test/test_qasm_simulator_jku.py,/2019-02-20 17:20:20+01:00,/e148c462d7ee70cc1ec418243736cb1fb70528f9,,,229,69,,,added,10,2019-02-19 13:53:32+02:00,ebb60837892e434b7a4bb66161f1447f9c77bba3
