Id,FileName,AddedHash,CreatedAt,RenamedFrom,RenamedTo,RenamedAt,RenamedHash,RemovedHash,RemovedDate,Added,Removed,OldPath,NewPath,status,modifications,LastModifiedAt,LastModifiedHash
1,.gitignore,6bcf8fd1eb76ac4c6842c7a8901426080ff175de,2018-12-13 00:26:24+01:00,.gitignore,.gitignore,,,,,148,8,,,added,6,2020-02-12 14:54:29-05:00,337fc9e0f080abf1fa52a76c42145f860fc22188
2,qiskit/__init__.py,6bcf8fd1eb76ac4c6842c7a8901426080ff175de,2018-12-13 00:26:24+01:00,,,,,/80c184a6b2aff4259db49e9330231d3d7c871490,/2018-12-13 12:04:53+01:00,17,17,,,added/removed,0,,
3,setup.py,6bcf8fd1eb76ac4c6842c7a8901426080ff175de,2018-12-13 00:26:24+01:00,setup.py,setup.py,,,,,279,207,,,added,57,2020-10-05 17:28:25-04:00,5f87dc9302822c89e87cdb859853c5a69ecc3495
4,README.md,32ba319a5760ae446f70fa716c724929d6d7ae98,2018-12-13 00:27:38+01:00,README.md,README.md,,,,,344,285,,,added,74,2020-08-19 07:22:29-07:00,a1bb148a5fb9e10279de8ed167660375ccffad64
6,LICENSE.txt,acb67bfec3f29da6b3cab5d2f431ca5e7c6108e7,2018-12-14 08:07:09+01:00,,,,,,,203,0,,,added,0,,
14,.stestr.conf,b1cf8e7c97c87a88644028dc22ae777a330a8c0e,2018-12-19 11:05:00-05:00,,,,,/6be56fb707e498ab206535a5d098106765d95248,/2018-12-20 19:24:19+01:00,2,2,,,added/removed,0,,
15,.travis.yml,b1cf8e7c97c87a88644028dc22ae777a330a8c0e,2018-12-19 11:05:00-05:00,.travis.yml,.travis.yml,,,/b6c237feb7e1cdc7d73fab3c87574767f4edebd2,/2020-09-09 06:43:49-04:00,98,98,,,added/removed,25,2020-08-10 15:16:36-04:00,eb997f5f37a6eaa95caeefaccacb25daf0b06ee9
17,tests/base.py,b1cf8e7c97c87a88644028dc22ae777a330a8c0e,2018-12-19 11:05:00-05:00,tests/base.py,test/base.py,/2018-12-19 18:23:35+01:00,/5a5a9cf72cb60837f687632cfced1ef3d2ec6505,,,116,13,,,added,0,,
18,tests/test_metapackage.py,b1cf8e7c97c87a88644028dc22ae777a330a8c0e,2018-12-19 11:05:00-05:00,tests/test_metapackage.py,test/test_metapackage.py,/2018-12-19 18:23:35+01:00,/5a5a9cf72cb60837f687632cfced1ef3d2ec6505,,,23,3,,,added,0,,
19,tests/test_simulation.py,b1cf8e7c97c87a88644028dc22ae777a330a8c0e,2018-12-19 11:05:00-05:00,tests/test_simulation.py,test/test_simulation.py,/2018-12-19 18:23:35+01:00,/5a5a9cf72cb60837f687632cfced1ef3d2ec6505,,,34,3,,,added,0,,
20,tox.ini,b1cf8e7c97c87a88644028dc22ae777a330a8c0e,2018-12-19 11:05:00-05:00,tox.ini,tox.ini,,,,,69,14,,,added,15,2020-08-03 14:25:06-04:00,38cfdfa2d2cd6b8b8ae529a1e1a2edeccb92b00c
21,tests/__init__.py,5a5a9cf72cb60837f687632cfced1ef3d2ec6505,2018-12-19 18:23:35+01:00,tests/__init__.py,test/__init__.py,2018-12-19 18:23:35+01:00/2018-12-19 18:23:35+01:00,5a5a9cf72cb60837f687632cfced1ef3d2ec6505/5a5a9cf72cb60837f687632cfced1ef3d2ec6505,,,0,0,tests/__init__.py,test/__init__.py,added->renamed,0,,
21,test/__init__.py,5a5a9cf72cb60837f687632cfced1ef3d2ec6505,2018-12-19 18:23:35+01:00,tests/__init__.py,test/__init__.py,2018-12-19 18:23:35+01:00/2018-12-19 18:23:35+01:00,5a5a9cf72cb60837f687632cfced1ef3d2ec6505/5a5a9cf72cb60837f687632cfced1ef3d2ec6505,,,0,0,tests/__init__.py,test/__init__.py,added->renamed/renamed,0,,
