Id,FileName,AddedHash,CreatedAt,RenamedFrom,RenamedTo,RenamedAt,RenamedHash,RemovedHash,RemovedDate,Added,Removed,OldPath,NewPath,status,modifications,LastModifiedAt,LastModifiedHash
1,qasm,d3ef0c62bfa8171eb26bcccb1bf01ec6a68576af,2016-06-15 17:53:45-06:00,qasm,qasm.py,/2016-06-27 15:37:30-06:00,/29a7bf57de9332a8f8fa1df335ac2ae527313306,,,1080,35,,,added,0,,
2,.gitignore,7ba08671fd439cdd2d1028a2ffe1dbb644bc99ee,2016-06-15 18:07:38-06:00,.gitignore,.gitignore,,,,,8,4,,,added,5,2020-06-02 14:48:26-06:00,5e2a718999e0a66d4bf338a8525b32ab5ff1d9a9
3,setup.py,7ba08671fd439cdd2d1028a2ffe1dbb644bc99ee,2016-06-15 18:07:38-06:00,setup.py,setup.py,,,,,104,64,,,added,21,2020-06-03 19:19:45-06:00,eb77446bb64b66e3e70157f8f3e75c177adb2213
1,qasm.py,d3ef0c62bfa8171eb26bcccb1bf01ec6a68576af,2016-06-15 17:53:45-06:00,qasm.py,qmasm.py,/2016-06-27 15:37:30-06:00/2016-10-26 16:56:24-06:00,/29a7bf57de9332a8f8fa1df335ac2ae527313306/b7e7a707b84a72ec622b7fd6c58a5d9237beef8a,,,1292,1244,,,added/renamed,20,2016-10-20 14:42:41-06:00,836980fe317ac8d7171f13f727f3617fbc3f4d9c
5,qasm/cmdline.py,29a7bf57de9332a8f8fa1df335ac2ae527313306,2016-06-27 15:37:30-06:00,qasm/cmdline.py,qmasm/cmdline.py,/2016-10-26 16:56:24-06:00,/b7e7a707b84a72ec622b7fd6c58a5d9237beef8a,,,55,13,,,added,4,2016-08-19 11:17:57-06:00,6bec5ac217b9170c165e38882847f78e9e78b05a
6,qasm/globals.py,29a7bf57de9332a8f8fa1df335ac2ae527313306,2016-06-27 15:37:30-06:00,qasm/globals.py,qmasm/globals.py,/2016-10-26 16:56:24-06:00,/b7e7a707b84a72ec622b7fd6c58a5d9237beef8a,,,57,17,,,added,7,2016-08-16 23:40:11-06:00,c896937b74bac51f1508b3d693c4e333de375267
10,qasm/utils.py,74baf4a69d88d803817f2c9e7e51f3f18fea2ba8,2016-06-27 18:20:33-06:00,qasm/utils.py,qmasm/utils.py,/2016-10-26 16:56:24-06:00,/b7e7a707b84a72ec622b7fd6c58a5d9237beef8a,,,65,18,,,added,6,2016-10-20 17:08:43-06:00,0b4d17de763b9101219cca4f70a44420fa539b3f
28,qasm/parse.py,b32105a75c991bf33ffea380cc7b54fd6649b35e,2016-06-28 19:41:37-06:00,qasm/parse.py,qmasm/parse.py,/2016-10-26 16:56:24-06:00,/b7e7a707b84a72ec622b7fd6c58a5d9237beef8a,,,497,118,,,added,8,2016-10-20 14:42:41-06:00,836980fe317ac8d7171f13f727f3617fbc3f4d9c
32,qasm/update.py,049afffdf6ffd812a4c4305658f7e2baff9030ed,2016-07-01 11:19:43-06:00,qasm/update.py,qasm/update.py,,,/c896937b74bac51f1508b3d693c4e333de375267,/2016-08-16 23:40:11-06:00,170,170,,,added/removed,4,2016-07-08 14:54:46-06:00,7c55d9f9f35ebbb042967c340093e33611d57550
37,qasm/dwave.py,32a848d45ffc1ef285939304f842a402824bde47,2016-07-05 16:04:36-06:00,qasm/dwave.py,qmasm/dwave.py,/2016-10-26 16:56:24-06:00,/b7e7a707b84a72ec622b7fd6c58a5d9237beef8a,,,443,196,,,added,14,2016-10-19 16:52:53-06:00,4bbf247a59b31bf1e225733bcefdd2a3fe131f9f
42,qasm/output.py,eacb7728db6652f58fa716e22d157e1ad29b6d86,2016-07-08 10:33:42-06:00,qasm/output.py,qmasm/output.py,/2016-10-26 16:56:24-06:00,/b7e7a707b84a72ec622b7fd6c58a5d9237beef8a,,,179,50,,,added,4,2016-10-18 15:32:40-06:00,108e31e7578c1d4d8aef686ac6dfe091c7d3195a
49,LICENSE.md,40c48d7621bf86f257bcd73b9a9feaa16e27a3f1,2016-07-08 14:08:29-06:00,LICENSE.md,LICENSE.md,,,,,20,6,,,added,3,2019-03-04 09:23:48-07:00,9c5d53e2419b045a53e42dc71881596eb31a3bfe
50,README.md,40c48d7621bf86f257bcd73b9a9feaa16e27a3f1,2016-07-08 14:08:29-06:00,README.md,README.md,,,,,67,20,,,added,12,2020-07-14 16:11:57-06:00,682a2f6d1a7c6056fa15a29df686efc4044c7ac5
57,examples/README.md,4e976d9404501f437bbf5f817ac8e64875b4c0f2,2016-08-15 11:16:29-06:00,examples/README.md,examples/README.md,,,,,587,224,,,added,14,2019-01-27 23:23:48-07:00,13b2c4cc3280a65fac807baa739688637175488f
58,examples/circsat.qasm,4e976d9404501f437bbf5f817ac8e64875b4c0f2,2016-08-15 11:16:29-06:00,examples/circsat.qasm,examples/circsat.qmasm,/2016-10-26 16:56:24-06:00,/b7e7a707b84a72ec622b7fd6c58a5d9237beef8a,,,38,0,,,added,0,,
