Id,FileName,AddedHash,CreatedAt,RenamedFrom,RenamedTo,RenamedAt,RenamedHash,RemovedHash,RemovedDate,Added,Removed,OldPath,NewPath,status,modifications,LastModifiedAt,LastModifiedHash
1,.gitignore,67a4ecf800204946c5862ca06b0e0a39ab2d8d27,2018-02-23 13:14:58-08:00,.gitignore,.gitignore,,,,,135,1,,,added,9,2019-05-24 01:42:04+00:00,7e2bff235f1b0c3d18b30dc7f038ce45d6c1b3b0
2,LICENSE,5a0b20bb40408908f3de4d573a25f10442c8226e,2018-02-23 13:15:01-08:00,,,,,/81892920f878817ee59f03f9d732e9b7d6f899ed,/2018-02-23 14:41:59-08:00,21,21,,,added/removed,0,,
3,README.md,f536c627210752c216225eb9bb803fd140700858,2018-02-23 13:15:02-08:00,README.md,README.md,,,,,154,127,,,added,26,2019-05-31 11:31:20+00:00,eeb5b17ba97fe02b0c51f33ec0742de3c591408c
5,LICENSE.txt,81892920f878817ee59f03f9d732e9b7d6f899ed,2018-02-23 14:41:59-08:00,,,,,,,21,0,,,added,0,,
1268,qmt/__init__.py,6203988037b0329683b0c8b153ecc9b1701e46ab,2018-09-18 08:43:53-07:00,qmt/__init__.py,qmt/__init__.py,,,,,10,1,,,added,2,2019-04-18 14:26:01-07:00,cb78bc2a0ae5a2814f0ca5022971d8b6c6e78baf
8,qmt/batchHarness.py,81892920f878817ee59f03f9d732e9b7d6f899ed,2018-02-23 14:41:59-08:00,qmt/batchHarness.py,qmt/old_code/batchHarness.py,/2018-07-22 17:24:20-07:00,/bd553ed70e54304c3bd0052eccbebf8157d71e1f,,,758,377,,,added,27,2018-07-06 17:23:44-07:00,ed6d891a132732ab4805ff654323e9f5c4618970
9,qmt/batchModel.py,81892920f878817ee59f03f9d732e9b7d6f899ed,2018-02-23 14:41:59-08:00,qmt/batchModel.py,qmt/batchModel.py,/2018-07-22 17:24:20-07:00,/bd553ed70e54304c3bd0052eccbebf8157d71e1f,,,1386,596,,,added,33,2018-08-29 14:43:41+02:00,99c6a65413d907928ad94d401777e2902c0752f1
334,qmt/freecad/__init__.py,afca4c4f77f030df06622d790b35c862b1dd7acf,2018-07-23 22:59:48+02:00,qmt/freecad/__init__.py,qmt/geometry/freecad/__init__.py,/2018-07-23 16:32:14-07:00,/08a42a63e633f3261ec21bdab5a49f0685010a6c,,,14,4,,,added,0,,
335,qmt/freecad/fileIO.py,afca4c4f77f030df06622d790b35c862b1dd7acf,2018-07-23 22:59:48+02:00,qmt/freecad/fileIO.py,qmt/geometry/freecad/fileIO.py,/2018-07-23 16:32:14-07:00,/08a42a63e633f3261ec21bdab5a49f0685010a6c,,,147,0,,,added,0,,
336,qmt/freecad/geomUtils.py,afca4c4f77f030df06622d790b35c862b1dd7acf,2018-07-23 22:59:48+02:00,qmt/freecad/geomUtils.py,qmt/geometry/freecad/geomUtils.py,/2018-07-23 16:32:14-07:00,/08a42a63e633f3261ec21bdab5a49f0685010a6c,,,268,1,,,added,0,,
337,qmt/freecad/objectConstruction.py,afca4c4f77f030df06622d790b35c862b1dd7acf,2018-07-23 22:59:48+02:00,qmt/freecad/objectConstruction.py,qmt/geometry/freecad/objectConstruction.py,/2018-07-23 16:32:14-07:00,/08a42a63e633f3261ec21bdab5a49f0685010a6c,,,722,6,,,added,0,,
338,qmt/freecad/sketchUtils.py,afca4c4f77f030df06622d790b35c862b1dd7acf,2018-07-23 22:59:48+02:00,qmt/freecad/sketchUtils.py,qmt/geometry/freecad/sketchUtils.py,/2018-07-23 16:32:14-07:00,/08a42a63e633f3261ec21bdab5a49f0685010a6c,,,335,0,,,added,0,,
15,qmt/freecadMacros/2D_addFeature.FCMacro,81892920f878817ee59f03f9d732e9b7d6f899ed,2018-02-23 14:41:59-08:00,qmt/freecadMacros/2D_addFeature.FCMacro,qmt/old_code/freecadMacros/2D_addFeature.FCMacro,/2018-07-22 17:24:20-07:00,/bd553ed70e54304c3bd0052eccbebf8157d71e1f,,,69,0,,,added,0,,
16,qmt/freecadMacros/2D_init.FCMacro,81892920f878817ee59f03f9d732e9b7d6f899ed,2018-02-23 14:41:59-08:00,qmt/freecadMacros/2D_init.FCMacro,qmt/old_code/freecadMacros/2D_init.FCMacro,/2018-07-22 17:24:20-07:00,/bd553ed70e54304c3bd0052eccbebf8157d71e1f,,,36,0,,,added,0,,
17,qmt/freecadMacros/2D_lockDomain.FCMacro,81892920f878817ee59f03f9d732e9b7d6f899ed,2018-02-23 14:41:59-08:00,qmt/freecadMacros/2D_lockDomain.FCMacro,qmt/old_code/freecadMacros/2D_lockDomain.FCMacro,/2018-07-22 17:24:20-07:00,/bd553ed70e54304c3bd0052eccbebf8157d71e1f,,,39,0,,,added,0,,
18,qmt/freecadMacros/addParams.FCMacro,81892920f878817ee59f03f9d732e9b7d6f899ed,2018-02-23 14:41:59-08:00,qmt/freecadMacros/addParams.FCMacro,qmt/old_code/freecadMacros/addParams.FCMacro,/2018-07-22 17:24:20-07:00,/bd553ed70e54304c3bd0052eccbebf8157d71e1f,,,113,0,,,added,0,,
