Id,FileName,AddedHash,CreatedAt,RenamedFrom,RenamedTo,RenamedAt,RenamedHash,RemovedHash,RemovedDate,Added,Removed,OldPath,NewPath,status,modifications,LastModifiedAt,LastModifiedHash
1,LICENSE,8a453928b23b1856300e6325146685e18380ff04,2019-01-25 09:32:32+01:00,LICENSE,LICENSE,,,,,665,4,,,added,1,2019-01-25 11:39:31+01:00,24d97450566bae100035959d2d63f92ac3ae29d1
2,.gitattributes,24d97450566bae100035959d2d63f92ac3ae29d1,2019-01-25 11:39:31+01:00,,,,,,,5,0,,,added,0,,
3,.gitignore,24d97450566bae100035959d2d63f92ac3ae29d1,2019-01-25 11:39:31+01:00,,,,,,,11,0,,,added,0,,
4,.travis.yml,24d97450566bae100035959d2d63f92ac3ae29d1,2019-01-25 11:39:31+01:00,.travis.yml,.travis.yml,,,,,40,0,,,added,1,2019-01-25 16:39:19+01:00,eadc204b9263033484671075d353f30e8cae22ce
5,CITATION.cff,24d97450566bae100035959d2d63f92ac3ae29d1,2019-01-25 11:39:31+01:00,CITATION.cff,CITATION.cff,,,,,114,14,,,added,1,2019-06-08 15:44:18+02:00,cf4f9990bc769770b31d19383943b43f3d3280cd
6,GITHUB.md,24d97450566bae100035959d2d63f92ac3ae29d1,2019-01-25 11:39:31+01:00,GITHUB.md,GITHUB.md,,,,,69,25,,,added,5,2019-07-24 12:40:05+02:00,861aed9dd4c0a9c8fe2183a9892f68ec2f64b03c
7,INSTALL.rst,24d97450566bae100035959d2d63f92ac3ae29d1,2019-01-25 11:39:31+01:00,INSTALL.rst,INSTALL.rst,,,,,424,12,,,added,10,2019-07-24 08:12:22+02:00,4e58fe7576b320c6c282762f3df538397f413aeb
9,Makefile,24d97450566bae100035959d2d63f92ac3ae29d1,2019-01-25 11:39:31+01:00,,,,,,,5,0,,,added,0,,
10,README.md,24d97450566bae100035959d2d63f92ac3ae29d1,2019-01-25 11:39:31+01:00,README.md,README.md,,,,,80,23,,,added,11,2019-10-28 19:20:02+01:00,634aa4d7a3a0e85a2191c5e319330f871d9932b6
11,REPLACE,24d97450566bae100035959d2d63f92ac3ae29d1,2019-01-25 11:39:31+01:00,REPLACE,REPLACE,,,,,1474,0,,,added,4,2019-07-23 14:54:03+02:00,bf96d8c0c898cdffab2423eb39e470924659d960
12,TODO,24d97450566bae100035959d2d63f92ac3ae29d1,2019-01-25 11:39:31+01:00,TODO,TODO,,,,,116,51,,,added,10,2019-10-25 17:31:09+02:00,b470cb6c1ef5de248f65fa1a48a3117632da945a
14,bin/qp_convert_output_to_ezfio,24d97450566bae100035959d2d63f92ac3ae29d1,2019-01-25 11:39:31+01:00,,,,,,,368,0,,,added,0,,
15,bin/qp_e_conv_fci,24d97450566bae100035959d2d63f92ac3ae29d1,2019-01-25 11:39:31+01:00,bin/qp_e_conv_fci,bin/qp_e_conv_fci,,,,,221,16,,,added,2,2019-02-22 19:19:58+01:00,49e9488f62b59fe4c645e3fccbdf2795c1897fdb
16,bin/qp_export_as_tgz,24d97450566bae100035959d2d63f92ac3ae29d1,2019-01-25 11:39:31+01:00,bin/qp_export_as_tgz,bin/qp_export_as_tgz,,,,,235,6,,,added,3,2019-01-26 01:51:22+01:00,32d0d5eb1cd146e227a78e7ef84ca9e7e4489a3c
