Id,FileName,AddedHash,CreatedAt,RenamedFrom,RenamedTo,RenamedAt,RenamedHash,RemovedHash,RemovedDate,Added,Removed,OldPath,NewPath,status,modifications,LastModifiedAt,LastModifiedHash
1,.gitignore,f0bdbfaa6bccbae7553aae677db9038b972cdc8d,2014-03-21 15:59:54-04:00,.gitignore,.gitignore,/2014-04-28 02:45:16-04:00/2014-04-28 02:53:42-04:00/2014-04-28 03:00:08-04:00/2014-04-28 03:01:38-04:00,/f268d92f04207006fcdb80e539e7b5f8855d2ff0/a9a65034651a21de7f1daa1517b01a9c9e444f4c/a51e3a5e21beb8bf3917c2b79421a815271709ec/1b4b9860d09ed9dabf34b1d89723cb87fc051b05,,,88,72,,,added/renamed/renamed/renamed/renamed,47,2020-03-30 16:50:03-04:00,aa458c1d3efdecd0d986f88633f404943276204e
2,Makefile,f0bdbfaa6bccbae7553aae677db9038b972cdc8d,2014-03-21 15:59:54-04:00,Makefile,Makefile,,,/a61b977bbc58331b2da8b94291a2300cd2252555,/2014-11-09 16:04:22-05:00,237,237,,,added/removed,53,2014-11-03 17:45:12-05:00,3b1a3042a052e8ec39b93eeb986f04a8e6a87903
8786,README.md,c037df60f8b13ff5e2df63a4b03957fd1fdf9bc0,2014-11-14 14:48:24-05:00,README.md,README.md,,,,,1111,1023,,,added,266,2020-09-08 14:08:46-04:00,62bcc311f616825c72919a3b05e12aa025a8673f
4,include/constants.h,f0bdbfaa6bccbae7553aae677db9038b972cdc8d,2014-03-21 15:59:54-04:00,include/constants.h,include/constants.hpp,/2020-09-08 14:08:46-04:00,/62bcc311f616825c72919a3b05e12aa025a8673f,,,560,431,,,added,78,2020-05-02 14:13:56-04:00,1d20b3be68532a0ac363c8e6cf19cca6e64d7b3b
5,include/gates.h,f0bdbfaa6bccbae7553aae677db9038b972cdc8d,2014-03-21 15:59:54-04:00,include/gates.h,include/classes/gates.h,/2014-04-12 13:21:39-04:00,/dd77ce6f94a90174714bec2f666cdde453e492b2,,,1218,836,,,added,41,2014-04-09 15:22:32-04:00,4df7e6252e26be1af55221a4a7626cf5cad4f060
6,include/qpp.h,f0bdbfaa6bccbae7553aae677db9038b972cdc8d,2014-03-21 15:59:54-04:00,include/qpp.h,include/qpp.h,,,,,963,781,,,added,147,2020-09-08 14:08:46-04:00,62bcc311f616825c72919a3b05e12aa025a8673f
7,include/stat.h,f0bdbfaa6bccbae7553aae677db9038b972cdc8d,2014-03-21 15:59:54-04:00,include/stat.h,include/classes/stat.h,/2014-04-12 13:21:39-04:00,/dd77ce6f94a90174714bec2f666cdde453e492b2,,,472,293,,,added,23,2014-04-07 23:53:43-04:00,300a3c725aa24ea28ff8062d85ea2d56c975291c
8,include/types.h,f0bdbfaa6bccbae7553aae677db9038b972cdc8d,2014-03-21 15:59:54-04:00,include/types.h,include/types.hpp,/2020-09-08 14:08:46-04:00,/62bcc311f616825c72919a3b05e12aa025a8673f,,,595,481,,,added,69,2020-03-21 11:07:20-04:00,03ef73e46c415572df91bb39d6a1b01463c08441
9,include/util.h,f0bdbfaa6bccbae7553aae677db9038b972cdc8d,2014-03-21 15:59:54-04:00,include/util.h,include/functions.h,/2014-04-03 22:22:09-04:00,/be0d04385158f2f10c7fe4bb84d1f5da2608420b,,,2633,1955,,,added,54,2014-04-03 20:51:35-04:00,e23dd01b0f48cae0557e81739f7a11745f0bbd47
10,src/gates.cpp,f0bdbfaa6bccbae7553aae677db9038b972cdc8d,2014-03-21 15:59:54-04:00,src/gates.cpp,src/gates.cpp,,,/f77fcb3d3591af555065ed397525ffabe6ec32e0,/2014-03-26 23:18:39-04:00,125,125,,,added/removed,1,2014-03-25 17:42:21-04:00,f87fd8cf0b402c8178689d38c7f8b05bceafdea6
11,src/main.cpp,f0bdbfaa6bccbae7553aae677db9038b972cdc8d,2014-03-21 15:59:54-04:00,src/main.cpp,main.cpp,/2014-04-12 18:55:20-04:00,/1dcf6e13c0110927b03416d409cb9e181e02f57b,,,4408,4172,,,added,204,2014-04-12 18:46:57-04:00,7b542216ed97ac71b940198967d12d9b6c9815cf
12,src/qpp.cpp,f0bdbfaa6bccbae7553aae677db9038b972cdc8d,2014-03-21 15:59:54-04:00,src/qpp.cpp,src/qpp.cpp,,,/e23dd01b0f48cae0557e81739f7a11745f0bbd47,/2014-04-03 20:51:35-04:00,64,64,,,added/removed,9,2014-04-01 01:02:10-04:00,51eb8e94298f5dd8c16a4ad807a5f983e10c84b3
13,src/util.cpp,f0bdbfaa6bccbae7553aae677db9038b972cdc8d,2014-03-21 15:59:54-04:00,src/util.cpp,src/util.cpp,,,/f77fcb3d3591af555065ed397525ffabe6ec32e0,/2014-03-26 23:18:39-04:00,904,904,,,added/removed,11,2014-03-25 17:18:10-04:00,50a51a722dee72da17587f864c18101dd0952874
994,update,f268d92f04207006fcdb80e539e7b5f8855d2ff0,2014-04-28 02:45:16-04:00,,,,,/be7b2992bc20c2eb3288bfe6b7aef11f35b85e83,/2014-04-28 03:03:57-04:00,10,10,,,added/removed,0,,
50,include/internal.h,693c3eb4fe6e216744fc4a41b908a2a2a3abfa59,2014-03-24 18:50:56-04:00,include/internal.h,include/internal/functions.h,/2014-11-03 14:13:24-05:00,/2798eac0566f849e52185431d6b54b8fc06109a1,,,1112,829,,,added,58,2014-11-02 23:57:01-05:00,69510185f04f42264fb7874ecf1ab438f254a2ee
52,src/internal.cpp,693c3eb4fe6e216744fc4a41b908a2a2a3abfa59,2014-03-24 18:50:56-04:00,src/internal.cpp,src/internal.cpp,,,/f77fcb3d3591af555065ed397525ffabe6ec32e0,/2014-03-26 23:18:39-04:00,218,218,,,added/removed,6,2014-03-25 17:42:21-04:00,f87fd8cf0b402c8178689d38c7f8b05bceafdea6
106,include/functional.h,04b3f80329abe1dfedcb7a20b4bdc897a0e1a10e,2014-03-27 03:19:27-04:00,include/functional.h,include/functional.h,,,/be0d04385158f2f10c7fe4bb84d1f5da2608420b,/2014-04-03 22:22:09-04:00,618,618,,,added/removed,29,2014-04-03 03:15:19-04:00,e261950b68ea697a30dcd6b7f07c07dfb45deefd
