Id,FileName,AddedHash,CreatedAt,RenamedFrom,RenamedTo,RenamedAt,RenamedHash,RemovedHash,RemovedDate,Added,Removed,OldPath,NewPath,status,modifications,LastModifiedAt,LastModifiedHash
1,.gitignore,0c4e2392b556cacceedabbac216dde15a6e7a292,2017-04-04 12:32:01+08:00,.gitignore,.gitignore,,,,,100,2,,,added,6,2017-08-18 15:11:17-07:00,4bf4f7ad3e428e29169c5415839cb056512b0294
2,README.md,0c4e2392b556cacceedabbac216dde15a6e7a292,2017-04-04 12:32:01+08:00,README.md,README.md,,,,,353,205,,,added,58,2020-06-09 16:20:34+08:00,846874a82cd59cd857e74e6c690a9c1f848f7ddd
3,.travis.yml,f7b378556ab49470456fecb82350c67760cb2cee,2017-04-04 12:42:02+08:00,.travis.yml,.travis.yml,,,,,178,144,,,added,80,2017-06-09 10:35:14+08:00,f84ad1a34477761f9da49e64bad4246291a047c1
4,AUTHORS.rst,f7b378556ab49470456fecb82350c67760cb2cee,2017-04-04 12:42:02+08:00,AUTHORS.rst,AUTHORS.rst,,,,,8,8,,,added,2,2017-04-14 13:40:09+08:00,9d676fe346cb4b098b8f636b71a0be87634830b3
5,LICENSE.txt,f7b378556ab49470456fecb82350c67760cb2cee,2017-04-04 12:42:02+08:00,LICENSE.txt,LICENSE.txt,,,,,203,1,,,added,1,2018-11-13 12:25:07+08:00,1411161edf1b5a3724453cea8c2e891a0624f6b3
9,command_line/help.py,f7b378556ab49470456fecb82350c67760cb2cee,2017-04-04 12:42:02+08:00,command_line/help.py,command_line/help.py,,,/9d676fe346cb4b098b8f636b71a0be87634830b3,/2017-04-14 13:40:09+08:00,67,67,,,added/removed,2,2017-04-12 12:00:39+08:00,24bc9fe6e798e496163ad8fcb30e70004827799b
10,command_line/info.py,f7b378556ab49470456fecb82350c67760cb2cee,2017-04-04 12:42:02+08:00,,,,,/8b4483141b33485854f8855b310ca18e74f321d7,/2017-04-06 09:38:32+08:00,1,1,,,added/removed,0,,
11,command_line/run.py,f7b378556ab49470456fecb82350c67760cb2cee,2017-04-04 12:42:02+08:00,command_line/run.py,command_line/run.py,,,/8b4483141b33485854f8855b310ca18e74f321d7,/2017-04-06 09:38:32+08:00,47,34,,,added/removed,4,2017-04-04 18:17:56+08:00,c8bbc5772559b2a1c05784f1d4ffb35a63c2e761
12,command_line/test.py,f7b378556ab49470456fecb82350c67760cb2cee,2017-04-04 12:42:02+08:00,command_line/test.py,command_line/test.py,,,,,178,112,,,added,26,2020-04-16 11:49:19-07:00,7642a156989897a82234dc2929a89d08e0079514
13,docs/Makefile,f7b378556ab49470456fecb82350c67760cb2cee,2017-04-04 12:42:02+08:00,,,,,/24bc9fe6e798e496163ad8fcb30e70004827799b,/2017-04-12 12:00:39+08:00,177,177,,,added/removed,0,,
14,docs/_static/.gitignore,f7b378556ab49470456fecb82350c67760cb2cee,2017-04-04 12:42:02+08:00,,,,,/24bc9fe6e798e496163ad8fcb30e70004827799b,/2017-04-12 12:00:39+08:00,1,1,,,added/removed,0,,
15,docs/authors.rst,f7b378556ab49470456fecb82350c67760cb2cee,2017-04-04 12:42:02+08:00,,,,,/24bc9fe6e798e496163ad8fcb30e70004827799b,/2017-04-12 12:00:39+08:00,2,2,,,added/removed,0,,
16,docs/changes.rst,f7b378556ab49470456fecb82350c67760cb2cee,2017-04-04 12:42:02+08:00,,,,,/24bc9fe6e798e496163ad8fcb30e70004827799b,/2017-04-12 12:00:39+08:00,2,2,,,added/removed,0,,
17,docs/conf.py,f7b378556ab49470456fecb82350c67760cb2cee,2017-04-04 12:42:02+08:00,,,,,/24bc9fe6e798e496163ad8fcb30e70004827799b,/2017-04-12 12:00:39+08:00,249,249,,,added/removed,0,,
18,docs/docs/Makefile,f7b378556ab49470456fecb82350c67760cb2cee,2017-04-04 12:42:02+08:00,,,,,/24bc9fe6e798e496163ad8fcb30e70004827799b,/2017-04-12 12:00:39+08:00,20,20,,,added/removed,0,,
19,docs/docs/make.bat,f7b378556ab49470456fecb82350c67760cb2cee,2017-04-04 12:42:02+08:00,,,,,/24bc9fe6e798e496163ad8fcb30e70004827799b,/2017-04-12 12:00:39+08:00,36,36,,,added/removed,0,,
20,docs/docs/source/conf.py,f7b378556ab49470456fecb82350c67760cb2cee,2017-04-04 12:42:02+08:00,,,,,/24bc9fe6e798e496163ad8fcb30e70004827799b,/2017-04-12 12:00:39+08:00,156,156,,,added/removed,0,,
21,docs/docs/source/index.rst,f7b378556ab49470456fecb82350c67760cb2cee,2017-04-04 12:42:02+08:00,,,,,/24bc9fe6e798e496163ad8fcb30e70004827799b,/2017-04-12 12:00:39+08:00,20,20,,,added/removed,0,,
22,docs/index.rst,f7b378556ab49470456fecb82350c67760cb2cee,2017-04-04 12:42:02+08:00,,,,,/24bc9fe6e798e496163ad8fcb30e70004827799b,/2017-04-12 12:00:39+08:00,58,58,,,added/removed,0,,
23,docs/license.rst,f7b378556ab49470456fecb82350c67760cb2cee,2017-04-04 12:42:02+08:00,,,,,/24bc9fe6e798e496163ad8fcb30e70004827799b,/2017-04-12 12:00:39+08:00,7,7,,,added/removed,0,,
24,help.py,f7b378556ab49470456fecb82350c67760cb2cee,2017-04-04 12:42:02+08:00,,,,,/755d2c16fa320cb17d925cc826207e5f37ef7f6c,/2017-04-04 18:20:28+08:00,1,1,,,added/removed,0,,
25,info.py,f7b378556ab49470456fecb82350c67760cb2cee,2017-04-04 12:42:02+08:00,,,,,/3aca970531ccf0266d6252c0ccebea51bb1f5856,/2017-04-04 18:21:48+08:00,1,1,,,added/removed,0,,
26,requirements.txt,f7b378556ab49470456fecb82350c67760cb2cee,2017-04-04 12:42:02+08:00,requirements.txt,requirements.txt,,,/336c04eb2f229e4106c09b72dacf45cf498c6791,/2017-06-07 18:52:11+08:00,10,10,,,added/removed,5,2017-06-07 13:50:18+08:00,c0bdf7ea9c7a3783762493a693b6365687184d57
27,run.py,f7b378556ab49470456fecb82350c67760cb2cee,2017-04-04 12:42:02+08:00,,,,,/755d2c16fa320cb17d925cc826207e5f37ef7f6c,/2017-04-04 18:20:28+08:00,13,13,,,added/removed,0,,
28,setup.cfg,f7b378556ab49470456fecb82350c67760cb2cee,2017-04-04 12:42:02+08:00,,,,,/2dc40fd7f7aabd8e9b71206312f9d80a6d6c0cd8,/2017-04-05 13:14:24+08:00,78,78,,,added/removed,0,,
29,setup.py,f7b378556ab49470456fecb82350c67760cb2cee,2017-04-04 12:42:02+08:00,,,,,/1111790de8fce6beb25f46ec54ed35c1a62fe62f,/2017-04-05 13:14:17+08:00,23,23,,,added/removed,0,,
30,test.py,f7b378556ab49470456fecb82350c67760cb2cee,2017-04-04 12:42:02+08:00,,,,,/755d2c16fa320cb17d925cc826207e5f37ef7f6c,/2017-04-04 18:20:28+08:00,9,9,,,added/removed,0,,
31,.gitmodules,451b867b0badb5d8661ebf3f8a145c7092d0f232,2017-04-04 12:47:04+08:00,.gitmodules,.gitmodules,,,,,12,12,,,added,6,2017-04-12 13:43:01+08:00,981e055cadc5551084a8f5898dd80c66c9388554
32,core,451b867b0badb5d8661ebf3f8a145c7092d0f232,2017-04-04 12:47:04+08:00,,,,,/608f41ed2939e435b0e6754a74a0b38fd6b0df3f,/2017-04-12 13:42:28+08:00,1,1,,,added/removed,0,,
33,plugins,451b867b0badb5d8661ebf3f8a145c7092d0f232,2017-04-04 12:47:04+08:00,,,,,/53d5786cc6da777f5887a2988576c3f4091bbde9,/2017-04-04 15:43:51+08:00,1,1,,,added/removed,0,,
36,plugins/ase,0d0dc33ac0fa93e7745f3f57dd99536f5a3002a8,2017-04-04 15:53:04+08:00,,,,,/0b695abfa4305a11225d9c0340cc7e053ecc8ec9,/2017-04-04 17:32:25+08:00,1,1,,,added/removed,0,,
37,plugins/yoink,0d0dc33ac0fa93e7745f3f57dd99536f5a3002a8,2017-04-04 15:53:04+08:00,,,,,/4ccdd0a83398ad7c6de4178983d0f62b9118c6be,/2017-04-04 17:40:32+08:00,1,1,,,added/removed,0,,
40,plugins/__init__.py,633bae9185ecdba14824adcef987da65a7b24ac0,2017-04-04 17:01:47+08:00,plugins/__init__.py,plugins/__init__.py,,,/24bc9fe6e798e496163ad8fcb30e70004827799b,/2017-04-12 12:00:39+08:00,1,1,,,added/removed,1,2017-04-04 17:28:22+08:00,3087e9c033de9a0e727bbb74689dcce360d67e31
44,plugins/ase/mopac_qr.py,a42380c9a14dd3b63f174d9ed014a7fcda957054,2017-04-04 17:35:40+08:00,,,,,/24bc9fe6e798e496163ad8fcb30e70004827799b,/2017-04-12 12:00:39+08:00,307,307,,,added/removed,0,,
45,plugins/ase/pyscf_qr.py,a42380c9a14dd3b63f174d9ed014a7fcda957054,2017-04-04 17:35:40+08:00,,,,,/24bc9fe6e798e496163ad8fcb30e70004827799b,/2017-04-12 12:00:39+08:00,106,106,,,added/removed,0,,
46,plugins/ase/terachem_qr.py,a42380c9a14dd3b63f174d9ed014a7fcda957054,2017-04-04 17:35:40+08:00,,,,,/24bc9fe6e798e496163ad8fcb30e70004827799b,/2017-04-12 12:00:39+08:00,196,196,,,added/removed,0,,
47,plugins/ase/turbomole_qr.py,a42380c9a14dd3b63f174d9ed014a7fcda957054,2017-04-04 17:35:40+08:00,,,,,/24bc9fe6e798e496163ad8fcb30e70004827799b,/2017-04-12 12:00:39+08:00,256,256,,,added/removed,0,,
49,plugins/yoink/__init__.py,f40e05dcbdb523d34dde7c1799f37b77ecb1536d,2017-04-04 18:08:36+08:00,,,,,/24bc9fe6e798e496163ad8fcb30e70004827799b,/2017-04-12 12:00:39+08:00,1,1,,,added/removed,0,,
50,plugins/yoink/pyoink.py,f40e05dcbdb523d34dde7c1799f37b77ecb1536d,2017-04-04 18:08:36+08:00,,,,,/24bc9fe6e798e496163ad8fcb30e70004827799b,/2017-04-12 12:00:39+08:00,146,146,,,added/removed,0,,
51,plugins/yoink/yoink_utils.py,f40e05dcbdb523d34dde7c1799f37b77ecb1536d,2017-04-04 18:08:36+08:00,,,,,/24bc9fe6e798e496163ad8fcb30e70004827799b,/2017-04-12 12:00:39+08:00,68,68,,,added/removed,0,,
