Id,FileName,AddedHash,CreatedAt,RenamedFrom,RenamedTo,RenamedAt,RenamedHash,RemovedHash,RemovedDate,Added,Removed,OldPath,NewPath,status,modifications,LastModifiedAt,LastModifiedHash
1,README.md,2674a17131258742854ceb232a06d45f4e52b196,2016-04-19 18:06:57+02:00,README.md,README.md,,,,,380,220,,,added,45,2020-06-09 13:16:00+02:00,53be9e57f88f75a899ebe19582f5f18836c7567b
2,.gitignore,ff6d5cca8bcae81b4b54a2b7bc4dad90095fd5ee,2016-04-19 18:11:38+02:00,.gitignore,.gitignore,,,,,171,13,,,added,21,2019-11-11 15:04:54+01:00,c52c46b08db0c23ada70d9820d89690982d83639
3,CONTRIBUTING.md,ff6d5cca8bcae81b4b54a2b7bc4dad90095fd5ee,2016-04-19 18:11:38+02:00,CONTRIBUTING.md,CONTRIBUTING.md,,,,,41,9,,,added,8,2018-09-19 17:39:47+02:00,dcce80f9ad47c53da30d688857b1ae5b9bf9c848
4,LICENSE.txt,ff6d5cca8bcae81b4b54a2b7bc4dad90095fd5ee,2016-04-19 18:11:38+02:00,LICENSE.txt,LICENSE.txt,,,,,23,3,,,added,2,2018-08-16 13:16:20+02:00,843750dec98e749b732ea67e8a3f716211f97dc4
6,qtt/__init__.py,ff6d5cca8bcae81b4b54a2b7bc4dad90095fd5ee,2016-04-19 18:11:38+02:00,qtt/__init__.py,src/qtt/__init__.py,/2019-04-12 13:21:04+02:00,/99dd31c9584d8af7346097f9979448c85aeaa456,,,463,227,,,added,57,2018-08-31 11:59:32+02:00,04f469bcc6866cfb0b3eb2accf3496e829e65955
7,qtt/qtt_toymodel.py,ff6d5cca8bcae81b4b54a2b7bc4dad90095fd5ee,2016-04-19 18:11:38+02:00,qtt/qtt_toymodel.py,qtt/qtt_toymodel.py,,,/1a0b36e4247eb2f5c1d66fb5913ffc6c79f4dfed,/2018-04-28 22:06:57+02:00,1980,1846,,,added/removed,75,2018-02-10 19:42:38+01:00,381450f3c96f509676470b92709285b72d28a137
8,qtt/tools.py,ff6d5cca8bcae81b4b54a2b7bc4dad90095fd5ee,2016-04-19 18:11:38+02:00,qtt/tools.py,src/qtt/tools.py,/2019-04-12 13:21:04+02:00,/99dd31c9584d8af7346097f9979448c85aeaa456,,,3127,2646,,,added,151,2018-08-27 22:09:30+02:00,c09e6e129be7b0f207bef8a49c6cef8a792dc263
9,qtt/version.py,ff6d5cca8bcae81b4b54a2b7bc4dad90095fd5ee,2016-04-19 18:11:38+02:00,qtt/version.py,qtt/version.py,,,/99dd31c9584d8af7346097f9979448c85aeaa456,/2019-04-12 13:21:04+02:00,25,25,,,added/removed,24,2018-10-15 09:39:59+02:00,8c9791985acac2219cddf9696219f6fb00dbdad1
10,setup.cfg,ff6d5cca8bcae81b4b54a2b7bc4dad90095fd5ee,2016-04-19 18:11:38+02:00,,,,,/f1611a168977a105be6645c2f2bcfe83c9c6c1ad,/2018-08-28 14:58:14+02:00,4,4,,,added/removed,0,,
11,setup.py,ff6d5cca8bcae81b4b54a2b7bc4dad90095fd5ee,2016-04-19 18:11:38+02:00,setup.py,setup.py,,,,,279,206,,,added,49,2020-09-25 10:12:46+02:00,c2893354e6b953c7157605f734830774b7bd1ef2
14,examples/tno_toymodel.py,7db47f1c3b28d9f0242ab707c0fd0d251442f9f7,2016-04-20 18:24:09+02:00,examples/tno_toymodel.py,examples/tno_toymodel.py,,,/51b34ab75cf439ce8d77286e348a3b86c4dda228,/2017-05-17 10:13:21+02:00,2113,2375,,,added/removed,50,2017-03-27 16:49:01+02:00,0ed59417c72352285823d4bef4ed269ae6bbc56c
16,qttdefaults/__init__.py,7db47f1c3b28d9f0242ab707c0fd0d251442f9f7,2016-04-20 18:24:09+02:00,,,,,/51b34ab75cf439ce8d77286e348a3b86c4dda228,/2017-05-17 10:13:21+02:00,23,23,,,added/removed,0,,
20,qtt/instrument_drivers/TimeStamp.py,613f12ab590f07c4b19068d3a316a6c4d0be6e26,2016-04-26 17:04:07+02:00,qtt/instrument_drivers/TimeStamp.py,qtt/instrument_drivers/TimeStamp.py,,,/99dd31c9584d8af7346097f9979448c85aeaa456,/2019-04-12 13:21:04+02:00,24,24,,,added/removed,4,2017-03-14 11:37:01+01:00,57c6036f5c67491c837f222d68a90c5f5cdf95e7
