Id,FileName,AddedHash,CreatedAt,RenamedFrom,RenamedTo,RenamedAt,RenamedHash,RemovedHash,RemovedDate,Added,Removed,OldPath,NewPath,status,modifications,LastModifiedAt,LastModifiedHash
1,.gitignore,010cb10b45f1103fb17af0f87ebac1376cf04b0a,2015-04-27 13:56:49+02:00,.gitignore,.gitignore,,,,,10,0,,,added,5,2020-02-28 11:48:36+00:00,91190cc513d8885bd24e1d586cab611b8eca7b08
2,LICENSE,010cb10b45f1103fb17af0f87ebac1376cf04b0a,2015-04-27 13:56:49+02:00,,,,,,,202,0,,,added,0,,
3,README.md,9a58b5f5c02a2de6cde4c579c9f879f1fb49b305,2015-04-27 14:08:06+02:00,README.md,README.md,,,,,716,576,,,added,132,2020-06-11 11:38:11+01:00,964707c65daac72d904f431de23e496471da2103
1036,config/config.exs,f2ca5258738bbff0ac7c191ee6fef0f52394787b,2019-03-28 12:47:54+01:00,,,,,,,2,0,,,added,0,,
646,lib/quantum.ex,923f4ae7bd218b014c5767b8729d9c70ed55713e,2017-07-07 10:26:57+10:00,lib/quantum.ex,lib/quantum.ex,,,,,571,231,,,added,18,2020-09-25 07:09:53-04:00,fe0253ab1c83c86c71c2a2b8e09192e752a2ba84
6,mix.exs,9a58b5f5c02a2de6cde4c579c9f879f1fb49b305,2015-04-27 14:08:06+02:00,mix.exs,mix.exs,,,,,369,260,,,added,140,2020-09-25 12:12:58+01:00,603146e5da35c85bad7043fb15eab44360dea7c1
7,test/quantum_test.exs,9a58b5f5c02a2de6cde4c579c9f879f1fb49b305,2015-04-27 14:08:06+02:00,test/quantum_test.exs,test/quantum/quantum_test.exs,/2017-06-30 07:29:52+00:00,/f981050743f76fbdc8158795ab4760d9ef8ba58e,,,1163,673,,,added,46,2017-07-06 15:35:37+00:00,255e9db681a28a9ec97442236f7e0377433671ce
8,test/test_helper.exs,9a58b5f5c02a2de6cde4c579c9f879f1fb49b305,2015-04-27 14:08:06+02:00,test/test_helper.exs,test/test_helper.exs,,,,,7,4,,,added,5,2020-02-26 17:54:56+00:00,0eb69fadcb8b7056b15ba9716ad44274dd689d59
674,lib/quantum/application.ex,fbaa437c6e8efa2b41d98d9cfb8d5ab26263e498,2017-07-07 11:07:58+00:00,lib/quantum/application.ex,lib/quantum/application.ex,,,/eebea083a8bd2bfb11fed075e8daeeecbfb76078,/2020-02-26 17:48:55+00:00,52,52,,,added/removed,5,2018-08-21 23:35:27+02:00,29f0ab553fd14b8153d417abf6b78a6bc944ee67
26,.travis.yml,fde3f9ea2dd573fa18bb6fa03b3ea414c2046a92,2015-04-30 06:03:28+02:00,.travis.yml,.travis.yml,,,/91190cc513d8885bd24e1d586cab611b8eca7b08,/2020-02-28 14:39:19+00:00,102,102,,,added/removed,29,2020-02-26 18:23:28+00:00,4ec3b61cd7a5311644ce819a00b5799c3a1f7ff7
63,CHANGELOG.md,8aed67eb5635d1c24c5f7c2f0417df184be38166,2015-06-11 09:17:12+02:00,CHANGELOG.md,CHANGELOG.md,,,,,863,181,,,added,102,2020-09-25 12:12:58+01:00,603146e5da35c85bad7043fb15eab44360dea7c1
80,lib/quantum/translator.ex,69ed614ef585b26f3742da7cf6317d13d369c5ee,2015-06-13 12:41:33+02:00,lib/quantum/translator.ex,lib/quantum/translator.ex,,,/5c23163ee888232738477d146a436c11125c25e7,/2017-01-20 20:00:08+00:00,25,25,,,added/removed,3,2015-12-20 11:28:35+01:00,0eb0b23b903fef76a4af98f68997980739d9755e
81,test/translator_test.exs,69ed614ef585b26f3742da7cf6317d13d369c5ee,2015-06-13 12:41:33+02:00,test/translator_test.exs,test/translator_test.exs,,,/5c23163ee888232738477d146a436c11125c25e7,/2017-01-20 20:00:08+00:00,42,42,,,added/removed,1,2015-06-14 10:40:35+02:00,b0fb0bda7b931aac5e00c510ffb9bb93826f4be7
84,lib/quantum/parser.ex,160fa20c5b5640da4e22ba799eef5189a2b0571a,2015-06-13 12:48:27+02:00,lib/quantum/parser.ex,lib/quantum/parser.ex,,,/5c23163ee888232738477d146a436c11125c25e7,/2017-01-20 20:00:08+00:00,90,90,,,added/removed,11,2015-12-07 21:37:36+01:00,1daf3cd749336adb6e8a2d730ad2d6e7e3c433b7
85,test/parser_test.exs,160fa20c5b5640da4e22ba799eef5189a2b0571a,2015-06-13 12:48:27+02:00,test/parser_test.exs,test/parser_test.exs,,,/5c23163ee888232738477d146a436c11125c25e7,/2017-01-20 20:00:08+00:00,23,23,,,added/removed,3,2015-12-07 21:37:36+01:00,1daf3cd749336adb6e8a2d730ad2d6e7e3c433b7
88,lib/quantum/matcher.ex,69ebed1af02feba128eac1e3e233e6bcb1c0165a,2015-06-13 12:55:20+02:00,lib/quantum/matcher.ex,lib/quantum/matcher.ex,,,/5c23163ee888232738477d146a436c11125c25e7,/2017-01-20 20:00:08+00:00,45,45,,,added/removed,6,2015-12-07 21:37:36+01:00,1daf3cd749336adb6e8a2d730ad2d6e7e3c433b7
89,test/matcher_test.exs,69ebed1af02feba128eac1e3e233e6bcb1c0165a,2015-06-13 12:55:20+02:00,test/matcher_test.exs,test/matcher_test.exs,,,/5c23163ee888232738477d146a436c11125c25e7,/2017-01-20 20:00:08+00:00,30,30,,,added/removed,2,2015-12-07 21:37:36+01:00,1daf3cd749336adb6e8a2d730ad2d6e7e3c433b7
93,lib/quantum/executor.ex,a7eeba742b00146e132a7ffa107cf985ae920d55,2015-06-13 13:22:47+02:00,lib/quantum/executor.ex,lib/quantum/executor.ex,,,,,773,613,,,added,52,2020-09-14 11:46:47+01:00,e896c204e13aa4b71c28594d69df013950ee223f
95,test/executor_test.exs,a7eeba742b00146e132a7ffa107cf985ae920d55,2015-06-13 13:22:47+02:00,test/executor_test.exs,test/quantum/executor_test.exs,/2017-04-22 15:38:19+00:00,/f03a68f6eb99ef15450ca4e97665f264585c7841,,,405,311,,,added,17,2017-04-22 15:24:24+00:00,1a81dd2ca95380d48f4d98181150a48cdb1671c3
153,lib/quantum/normalizer.ex,0938403d48f5fca0b90055e413a28e0d3989ebc1,2015-06-21 12:11:52+02:00,lib/quantum/normalizer.ex,lib/quantum/normalizer.ex,,,,,501,365,,,added,45,2020-08-04 17:05:20+02:00,d1d7a17466f67a8ab304da6884fdd386b01add85
154,test/normalizer_test.exs,0938403d48f5fca0b90055e413a28e0d3989ebc1,2015-06-21 12:11:52+02:00,test/normalizer_test.exs,test/normalizer_test.exs,/2017-04-22 15:38:19+00:00,/f03a68f6eb99ef15450ca4e97665f264585c7841,,,285,138,,,added,13,2017-08-06 11:07:58+00:00,da1b3cb0d8453008e8cc36e3f4d1363d7d4a50b0
193,lib/quantum/timer.ex,20ac70c3d057f23c29f915b0e36dbb89e0494f0c,2015-07-27 09:05:29+02:00,lib/quantum/timer.ex,lib/quantum/timer.ex,,,/f5fa79677046fc507f2a70ef38ce82193a88c577,/2017-08-20 10:43:25+00:00,64,64,,,added/removed,12,2017-04-22 16:24:34+00:00,2fa8c665662c0433a1fc09ad827ef3b7d21165ba
201,lib/quantum/supervisor.ex,97540c1ae0c0ddb8e887728017ca159c46be345d,2015-08-13 02:48:19+02:00,lib/quantum/supervisor.ex,lib/quantum/supervisor.ex,,,,,563,449,,,added,30,2020-09-11 14:28:12-07:00,e922d4a445542e9d5b86c9208383c2d518ee5858
210,lib/quantum/job.ex,eadaee1334b6480a0956662c772046a41b8766f5,2015-08-24 23:07:29+02:00,lib/quantum/job.ex,lib/quantum/job.ex,,,,,415,204,,,added,39,2020-02-26 19:20:07+00:00,843f44bd11b8b14ca0f2e5f75f787e481179c1a1
316,test/quantum_startup_test.exs,e11d8bf5828b70ddc043bd89620f63ac33c51525,2016-02-16 09:14:59+08:00,test/quantum_startup_test.exs,test/quantum_startup_test.exs,,,,,101,63,,,added,14,2020-02-26 19:20:07+00:00,843f44bd11b8b14ca0f2e5f75f787e481179c1a1
