Id,FileName,AddedHash,CreatedAt,RenamedFrom,RenamedTo,RenamedAt,RenamedHash,RemovedHash,RemovedDate,Added,Removed,OldPath,NewPath,status,modifications,LastModifiedAt,LastModifiedHash
1,LICENSE,660775e347db434df27f97c5555e187bd69daa78,2019-09-16 17:47:22+08:00,,,,,,,21,0,,,added,0,,
2,README.md,660775e347db434df27f97c5555e187bd69daa78,2019-09-16 17:47:22+08:00,README.md,README.md,,,,,401,351,,,added,46,2020-10-06 17:54:20+02:00,d5d94045b5c2e55f1a453ed922c28779fa54dbfe
3,.browserslistrc,867282b24832bf7a865f0e694f974aea3ebadc8a,2019-09-17 03:37:10+02:00,,,,,,,2,0,,,added,0,,
4,.editorconfig,867282b24832bf7a865f0e694f974aea3ebadc8a,2019-09-17 03:37:10+02:00,.editorconfig,.editorconfig,,,,,8,1,,,added,1,2019-11-02 12:28:44+08:00,39f349e4d735dbff007e395ed4570788a99055f9
5,.eslintrc.js,867282b24832bf7a865f0e694f974aea3ebadc8a,2019-09-17 03:37:10+02:00,.eslintrc.js,.eslintrc.js,,,,,169,121,,,added,31,2020-10-01 15:16:14+02:00,abb67db2f6d568b1e53d0d6f34fe1d1acf8eab67
6,.gitignore,867282b24832bf7a865f0e694f974aea3ebadc8a,2019-09-17 03:37:10+02:00,.gitignore,.gitignore,,,,,26,0,,,added,3,2020-09-07 10:04:58+02:00,ce3409bd140075c8856361e58f82a1932d3a097f
7,.prettierrc.js,867282b24832bf7a865f0e694f974aea3ebadc8a,2019-09-17 03:37:10+02:00,.prettierrc.js,.prettierrc.js,,,,,37,27,,,added,7,2020-04-05 15:09:29+02:00,faa23bc9b168f89c0a7808d6dcfaae91d9fd857c
9,babel.config.js,867282b24832bf7a865f0e694f974aea3ebadc8a,2019-09-17 03:37:10+02:00,babel.config.js,babel.config.js,,,,,8,5,,,added,5,2020-04-05 15:09:29+02:00,faa23bc9b168f89c0a7808d6dcfaae91d9fd857c
10,package.json,867282b24832bf7a865f0e694f974aea3ebadc8a,2019-09-17 03:37:10+02:00,package.json,package.json,,,,,219,131,,,added,89,2020-10-06 18:03:49+02:00,710040b3f72f93d20685e2daf17893484c5fd1b6
11,postcss.config.js,867282b24832bf7a865f0e694f974aea3ebadc8a,2019-09-17 03:37:10+02:00,postcss.config.js,postcss.config.js,,,,,14,9,,,added,4,2020-04-05 15:09:29+02:00,faa23bc9b168f89c0a7808d6dcfaae91d9fd857c
25,public/img/icons/safari-pinned-tab.svg,867282b24832bf7a865f0e694f974aea3ebadc8a,2019-09-17 03:37:10+02:00,public/img/icons/safari-pinned-tab.svg,public/img/icons/safari-pinned-tab.svg,,,,,167,138,,,added,1,2019-11-06 18:01:49+08:00,0f07724c893a89e89c5abd48f867084ebf3f89fb
26,public/index.html,867282b24832bf7a865f0e694f974aea3ebadc8a,2019-09-17 03:37:10+02:00,public/index.html,public/index.html,,,,,70,28,,,added,10,2020-04-04 16:19:12+02:00,02fe7cbdcf8dec04f3025978cf317047d711d750
27,public/manifest.json,867282b24832bf7a865f0e694f974aea3ebadc8a,2019-09-17 03:37:10+02:00,,,,,,,20,0,,,added,0,,
28,public/robots.txt,867282b24832bf7a865f0e694f974aea3ebadc8a,2019-09-17 03:37:10+02:00,,,,,,,2,0,,,added,0,,
29,src/App.vue,867282b24832bf7a865f0e694f974aea3ebadc8a,2019-09-17 03:37:10+02:00,src/App.vue,src/App.vue,,,,,234,135,,,added,37,2020-10-07 21:38:33+02:00,5754b7f63524422d8da094efa0bbd1083e2866a1
30,src/components/ExampleElement.vue,867282b24832bf7a865f0e694f974aea3ebadc8a,2019-09-17 03:37:10+02:00,,,,,/9aad900d436223a599f52afab3ea634a5f672a21,/2019-10-14 08:24:57+02:00,24,24,,,added/removed,0,,
31,src/components/ExampleLevel.vue,867282b24832bf7a865f0e694f974aea3ebadc8a,2019-09-17 03:37:10+02:00,,,,,/9aad900d436223a599f52afab3ea634a5f672a21,/2019-10-14 08:24:57+02:00,18,18,,,added/removed,0,,
32,src/components/Resource.vue,867282b24832bf7a865f0e694f974aea3ebadc8a,2019-09-17 03:37:10+02:00,src/components/Resource.vue,src/components/Resource.vue,,,/4fceca5041dcb4ac80b54b88b382c8abb2102a2d,/2019-10-18 15:41:08+08:00,103,103,,,added/removed,2,2019-10-14 13:03:21+02:00,dda43bce579e5539b31201df796f781a64ed84e9
33,src/components/ResourceContainer.vue,867282b24832bf7a865f0e694f974aea3ebadc8a,2019-09-17 03:37:10+02:00,src/components/ResourceContainer.vue,src/components/ResourceContainer.vue,,,/4fceca5041dcb4ac80b54b88b382c8abb2102a2d,/2019-10-18 15:41:08+08:00,84,84,,,added/removed,2,2019-10-14 13:03:21+02:00,dda43bce579e5539b31201df796f781a64ed84e9
