Id,FileName,AddedHash,CreatedAt,RenamedFrom,RenamedTo,RenamedAt,RenamedHash,RemovedHash,RemovedDate,Added,Removed,OldPath,NewPath,status,modifications,LastModifiedAt,LastModifiedHash
1,.gitignore,7becc8bfe115ab85377cd28852ed27c69a1816ae,2017-10-10 00:15:10+02:00,.gitignore,.gitignore,,,,,21,4,,,added,12,2019-08-01 22:47:51+02:00,bd70dd0db8a888e34274383dd7499e1da7c6e38f
2,Vagrantfile,7becc8bfe115ab85377cd28852ed27c69a1816ae,2017-10-10 00:15:10+02:00,Vagrantfile,Vagrantfile,,,,,231,146,,,added,35,2020-07-03 02:34:52+02:00,8d23c7fdd8e9a44137b805d879df73e178fd04b1
10,data/src/marvel-bg/marvel-bg.svg,7becc8bfe115ab85377cd28852ed27c69a1816ae,2017-10-10 00:15:10+02:00,data/src/marvel-bg/marvel-bg.svg,other_stuff/marvel-bg/marvel-bg.svg,/2017-10-12 11:51:01+02:00,/c77ff3d865f63e9ef49047b05a17fb14205d0c3a,,,719,0,,,added,0,,
11,playbook.yml,7becc8bfe115ab85377cd28852ed27c69a1816ae,2017-10-10 00:15:10+02:00,playbook.yml,playbook.yml,,,,,373,251,,,added,66,2020-07-03 02:34:52+02:00,8d23c7fdd8e9a44137b805d879df73e178fd04b1
13,roles/common/tasks/main.yml,7becc8bfe115ab85377cd28852ed27c69a1816ae,2017-10-10 00:15:10+02:00,roles/common/tasks/main.yml,roles/common/tasks/main.yml,,,/462b5233a61b558c4ce561b584f1e3a7f0a1c7f8,/2018-05-10 08:24:50+02:00,120,120,,,added/removed,15,2018-05-01 17:39:27+02:00,52bb2af49bc50d24d4ee88733e934b8c3b85d50f
14,roles/common/vars/main.yml,7becc8bfe115ab85377cd28852ed27c69a1816ae,2017-10-10 00:15:10+02:00,,,,,/c77ff3d865f63e9ef49047b05a17fb14205d0c3a,/2017-10-12 11:51:01+02:00,1,1,,,added/removed,0,,
16,roles/customizations/tasks/main.yml,7becc8bfe115ab85377cd28852ed27c69a1816ae,2017-10-10 00:15:10+02:00,roles/customizations/tasks/main.yml,roles/customizations/tasks/main.yml,,,/462b5233a61b558c4ce561b584f1e3a7f0a1c7f8,/2018-05-10 08:24:50+02:00,71,71,,,added/removed,15,2018-04-29 13:59:24+02:00,06d011184d7cec2f98e1de08f20a46ba03c15a8e
17,roles/customizations/tasks/wallpaper.yml,7becc8bfe115ab85377cd28852ed27c69a1816ae,2017-10-10 00:15:10+02:00,roles/customizations/tasks/wallpaper.yml,roles/customizations/tasks/wallpaper.yml,,,/462b5233a61b558c4ce561b584f1e3a7f0a1c7f8,/2018-05-10 08:24:50+02:00,112,112,,,added/removed,8,2018-05-06 19:47:05+02:00,0402dc722823ebe9a803babf11b00330bfaa4821
20,roles/editors/tasks/main.yml,7becc8bfe115ab85377cd28852ed27c69a1816ae,2017-10-10 00:15:10+02:00,roles/editors/tasks/main.yml,roles/editors/tasks/main.yml,,,/65e20d4f7eddf8a7584e63a78c6dbe9d67159368,/2018-05-09 18:15:07+02:00,17,17,,,added/removed,4,2018-05-06 19:47:05+02:00,0402dc722823ebe9a803babf11b00330bfaa4821
23,roles/simulationtools/tasks/aiida.yml,7becc8bfe115ab85377cd28852ed27c69a1816ae,2017-10-10 00:15:10+02:00,roles/simulationtools/tasks/aiida.yml,roles/simulationtools/tasks/aiida-setup.yml,/2017-10-10 23:15:43+02:00,/cabb4873b73c416c72bcc6407693111e9cbeef88,,,121,16,,,added,1,2017-10-10 13:06:39+02:00,805bae9a02663e1547c9ab608d8cf4a1b2c16602
24,roles/simulationtools/tasks/dependencies.yml,7becc8bfe115ab85377cd28852ed27c69a1816ae,2017-10-10 00:15:10+02:00,roles/simulationtools/tasks/dependencies.yml,roles/simulationtools/tasks/dependencies.yml,,,/b80cbe0ecb2878b663afa62a22e6dbdb87ca3449,/2017-10-15 15:51:03+02:00,52,52,,,added/removed,3,2017-10-12 19:16:56+02:00,6fde1410826bd0dacf0a2f33a522c64bf4f773be
25,roles/simulationtools/tasks/main.yml,7becc8bfe115ab85377cd28852ed27c69a1816ae,2017-10-10 00:15:10+02:00,roles/simulationtools/tasks/main.yml,roles/simulationtools/tasks/main.yml,,,/462b5233a61b558c4ce561b584f1e3a7f0a1c7f8,/2018-05-10 08:24:50+02:00,14,14,,,added/removed,6,2018-04-29 13:59:24+02:00,06d011184d7cec2f98e1de08f20a46ba03c15a8e
26,roles/simulationtools/tasks/quantumespresso.yml,7becc8bfe115ab85377cd28852ed27c69a1816ae,2017-10-10 00:15:10+02:00,roles/simulationtools/tasks/quantumespresso.yml,roles/quantum-espresso/tasks/main.yml,/2017-10-15 15:51:03+02:00,/b80cbe0ecb2878b663afa62a22e6dbdb87ca3449,,,76,36,,,added,4,2017-10-13 12:47:52+02:00,46176b86912ce0196bd6ec6a6245b6861ef71edb
27,roles/simulationtools/vars/main.yml,7becc8bfe115ab85377cd28852ed27c69a1816ae,2017-10-10 00:15:10+02:00,roles/simulationtools/vars/main.yml,roles/simulationtools/vars/main.yml,,,/b80cbe0ecb2878b663afa62a22e6dbdb87ca3449,/2017-10-15 15:51:03+02:00,17,17,,,added/removed,3,2017-10-12 19:16:56+02:00,6fde1410826bd0dacf0a2f33a522c64bf4f773be
28,README.md,b5fb0946832a67b32b132ee4e75a00472f1b8dec,2017-10-10 00:18:13+02:00,README.md,README.md,,,,,262,150,,,added,53,2020-07-01 18:45:26+02:00,fe619eab29f640db6460b8f43bffbf2e81674eda
29,other_stuff/how to create OVAs from VirtualBox.txt,6bc2470df2fdbe00083a58ff91c21cbd667eea90,2017-10-10 00:20:41+02:00,other_stuff/how to create OVAs from VirtualBox.txt,other_stuff/how to create OVAs from VirtualBox.txt,,,/5521bd6544963b8c17024b2da2a4c7fa4562f03d,/2017-10-11 19:08:57+02:00,8,8,,,added/removed,1,2017-10-10 23:15:43+02:00,cabb4873b73c416c72bcc6407693111e9cbeef88
