Id,FileName,AddedHash,CreatedAt,RenamedFrom,RenamedTo,RenamedAt,RenamedHash,RemovedHash,RemovedDate,Added,Removed,OldPath,NewPath,status,modifications,LastModifiedAt,LastModifiedHash
1,.gitignore,95ce9f6b23d61167b3ebebbfea9fef59c4d2b126,2015-01-27 01:47:42-05:00,.gitignore,.gitignore,,,,,6,2,,,added,3,2015-02-13 02:52:48-05:00,1ba4549124a57f82800031397e231de8bb21ee00
2,CHANGELOG.md,95ce9f6b23d61167b3ebebbfea9fef59c4d2b126,2015-01-27 01:47:42-05:00,CHANGELOG.md,CHANGELOG.md,,,,,138,15,,,added,20,2015-09-23 20:06:29-04:00,dce8f5d37f4665b676d0e6652905bb5a99d60a45
3,LICENSE.md,95ce9f6b23d61167b3ebebbfea9fef59c4d2b126,2015-01-27 01:47:42-05:00,LICENSE.md,LICENSE.md,,,,,21,1,,,added,1,2015-01-30 23:29:24-05:00,1b5346552bfa49bbecbc40a00a3902e7bceb2bf9
4,README.md,95ce9f6b23d61167b3ebebbfea9fef59c4d2b126,2015-01-27 01:47:42-05:00,README.md,README.md,,,,,147,71,,,added,16,2015-09-23 20:06:29-04:00,dce8f5d37f4665b676d0e6652905bb5a99d60a45
5,keymaps/quantum-shell.cson,95ce9f6b23d61167b3ebebbfea9fef59c4d2b126,2015-01-27 01:47:42-05:00,keymaps/quantum-shell.cson,keymaps/quantum-shell.cson,,,,,32,8,,,added,7,2015-04-07 23:26:00-04:00,968b4a75901553929df07202755c85e782d72b06
6,lib/quantum-shell-view.coffee,95ce9f6b23d61167b3ebebbfea9fef59c4d2b126,2015-01-27 01:47:42-05:00,lib/quantum-shell-view.coffee,lib/quantum-shell-view.coffee,,,/f2c0a685fa663225842b2839c456e7ff4b569ad6,/2015-05-26 02:05:15-04:00,197,197,,,added/removed,12,2015-05-19 21:04:08-04:00,3c769fe2860ba22a5c247bc9f7f49c0ad4f17275
7,lib/quantum-shell.coffee,95ce9f6b23d61167b3ebebbfea9fef59c4d2b126,2015-01-27 01:47:42-05:00,lib/quantum-shell.coffee,lib/quantum-shell-controller.coffee,/2015-02-12 12:27:28-05:00,/e87bbbc8fd7eefad1d10a41bd514cc6f0d12082b,,,79,46,,,added,4,2015-02-10 09:39:02-05:00,c81b71a0eadca1b574f02ace1bf2ba2838e98ea4
8,menus/quantum-shell.cson,95ce9f6b23d61167b3ebebbfea9fef59c4d2b126,2015-01-27 01:47:42-05:00,menus/quantum-shell.cson,menus/quantum-shell.cson,,,,,28,6,,,added,3,2015-05-18 00:35:42-04:00,54d10f516562379e5c9c996f872dc932b8d755e1
9,package.json,95ce9f6b23d61167b3ebebbfea9fef59c4d2b126,2015-01-27 01:47:42-05:00,package.json,package.json,,,,,92,52,,,added,34,2015-11-27 20:12:19-05:00,e3a64e3dd4b7174b5a911594ae016ad588869c38
10,spec/quantum-shell-spec.coffee,95ce9f6b23d61167b3ebebbfea9fef59c4d2b126,2015-01-27 01:47:42-05:00,spec/quantum-shell-spec.coffee,spec/quantum-shell-spec.coffee,,,/f3b8fba4b0605f91ef450d17d1fe6d18e800e360,/2015-02-09 07:04:42-05:00,68,68,,,added/removed,1,2015-02-06 12:32:11-05:00,e37e82cd38bb74bbb9a61b32b12f517788112456
89,spec/quantum-shell-view-spec.coffee,847a9d084f0efd799e11f9c964759b4c6e99581b,2015-02-09 19:41:14-05:00,spec/quantum-shell-view-spec.coffee,spec/quantum-shell-view-spec.coffee,,,/f2c0a685fa663225842b2839c456e7ff4b569ad6,/2015-05-26 02:05:15-04:00,35,35,,,added/removed,2,2015-02-13 14:31:54-05:00,d6a3eb3e3dce208d9b250cf4d62c1004d7af6a8c
12,styles/quantum-shell.less,95ce9f6b23d61167b3ebebbfea9fef59c4d2b126,2015-01-27 01:47:42-05:00,styles/quantum-shell.less,styles/quantum-shell.less,,,,,197,114,,,added,9,2015-05-21 20:24:43-04:00,2659becfcc242857509311cdf8166a9b69113c2b
15,lib/quantum-shell-model.coffee,9f6caf43628c4ba0b48181b76cd3b73429f7ea8f,2015-01-29 07:22:20-05:00,lib/quantum-shell-model.coffee,lib/quantum-shell-model.coffee,,,,,823,466,,,added,45,2015-11-27 20:10:49-05:00,08f33c3dc539a7a51ab69badacc450ae198e7cfa
16,lib/quantum-shell-terminal.coffee,9f6caf43628c4ba0b48181b76cd3b73429f7ea8f,2015-01-29 07:22:20-05:00,,,,,/1b5346552bfa49bbecbc40a00a3902e7bceb2bf9,/2015-01-30 23:29:24-05:00,7,7,,,added/removed,0,,
22,lib/quantum-shell-line-buffer.coffee,b68956eceacc07d333fbcb0ad5b412f1419a991f,2015-01-30 07:58:50-05:00,,,,,/1b5346552bfa49bbecbc40a00a3902e7bceb2bf9,/2015-01-30 23:29:24-05:00,17,17,,,added/removed,0,,
77,spec/quantum-shell-model-spec.coffee,22f6bf7e0eed15640da88a06c4dc829eab9b4f5a,2015-02-06 12:19:11-05:00,spec/quantum-shell-model-spec.coffee,spec/quantum-shell-model-spec.coffee,,,,,448,131,,,added,8,2015-04-07 23:39:01-04:00,f5ea12bf351e11ce483d12f6201c651edc1ab7b7
80,lib/builtins/bash.coffee,f3b8fba4b0605f91ef450d17d1fe6d18e800e360,2015-02-09 07:04:42-05:00,lib/builtins/bash.coffee,lib/builtins/bash.coffee,,,,,85,27,,,added,3,2015-05-22 22:21:24-04:00,1a481f7dc2c06f439261fc4b5ea8d6c577613424
81,lib/builtins/custom.coffee,f3b8fba4b0605f91ef450d17d1fe6d18e800e360,2015-02-09 07:04:42-05:00,lib/builtins/custom.coffee,lib/builtins/custom.coffee,,,,,111,41,,,added,5,2015-05-22 22:21:24-04:00,1a481f7dc2c06f439261fc4b5ea8d6c577613424
82,lib/builtins/sh.coffee,f3b8fba4b0605f91ef450d17d1fe6d18e800e360,2015-02-09 07:04:42-05:00,lib/builtins/sh.coffee,lib/builtins/sh.coffee,,,,,193,107,,,added,11,2015-09-23 19:50:41-04:00,7ab047d06c1520e3d4896f84946aab5a9c398e95
7,lib/quantum-shell-controller.coffee,95ce9f6b23d61167b3ebebbfea9fef59c4d2b126,2015-01-27 01:47:42-05:00,lib/quantum-shell-controller.coffee,lib/quantum-shell-controller.coffee,/2015-02-12 12:27:28-05:00,/e87bbbc8fd7eefad1d10a41bd514cc6f0d12082b,,,437,164,,,added/renamed,32,2015-11-27 20:10:49-05:00,08f33c3dc539a7a51ab69badacc450ae198e7cfa
102,spec/sh-builtins-spec.coffee,84df2bfba968614a12cad8944f090bd60d64683a,2015-02-12 16:09:51-05:00,spec/sh-builtins-spec.coffee,spec/sh-builtins-spec.coffee,,,,,142,28,,,added,3,2015-02-13 02:52:48-05:00,1ba4549124a57f82800031397e231de8bb21ee00
107,spec/bash-builtins-spec.coffee,1ba4549124a57f82800031397e231de8bb21ee00,2015-02-13 02:52:48-05:00,,,,,,,82,0,,,added,0,,
112,spec/custom-builtins-spec.coffee,605aa484516f38e10ec71c7f62c17094983b6de1,2015-02-13 21:09:12-05:00,spec/custom-builtins-spec.coffee,spec/custom-builtins-spec.coffee,,,,,124,22,,,added,2,2015-02-17 00:49:41-05:00,e130c8af1d2b33396fbf4e7ef5bc79377f94d4e8
177,lib/util/time.coffee,f3140796b5462305695d6ffc93bf9f83d9ef84bd,2015-05-18 00:23:40-04:00,lib/util/time.coffee,lib/util/time.coffee,,,,,96,4,,,added,1,2015-05-26 07:32:18-04:00,47c63d9833969c7fdaebef57b0565cd22d7b79c4
210,lib/util/checkPerm.coffee,c1bdd43c5c41228d3ececd2c9500ffed8e548638,2015-05-23 23:00:02-04:00,lib/util/checkPerm.coffee,lib/util/checkPerm.coffee,,,,,24,2,,,added,1,2015-05-26 07:33:24-04:00,aa3484db9bbb89062b84b8a447f6a49a2efce8c0
