Id,FileName,AddedHash,CreatedAt,RenamedFrom,RenamedTo,RenamedAt,RenamedHash,RemovedHash,RemovedDate,Added,Removed,OldPath,NewPath,status,modifications,LastModifiedAt,LastModifiedHash
1,LICENSE,89b0ff941a69f6a58859d709c2e5f0caf4f832f1,2014-04-01 02:24:45-07:00,,,,,,,339,0,,,added,0,,
2612,README.md,ecdf2c6968d1e955fc67ddeeb532d2687a5ba4f4,2014-11-09 17:23:16+00:00,README.md,README.md,,,,,333,169,,,added,44,2019-04-09 19:16:50+02:00,739f5d307d93c94775a0c2e6635befe4e526f0b7
4,scripts/prepare_module.sh,20e3488df7b3392c26d7c1ab49565db703a41fea,2014-04-01 11:34:35+02:00,scripts/prepare_module.sh,scripts/prepare_module.sh,,,/6b2496d0ed7e99b41672a990fde13d7be7246121,/2015-03-26 00:33:45+01:00,16,16,,,added/removed,1,2014-04-03 01:45:22+02:00,d6491505438eb0e77eee6eab29fc741f77947683
5,scripts/save_current_mos.sh,20e3488df7b3392c26d7c1ab49565db703a41fea,2014-04-01 11:34:35+02:00,scripts/save_current_mos.sh,scripts/save_current_mos.sh,,,,,66,15,,,added,5,2015-09-22 09:08:26+02:00,787d58cfc9411fd020c540ef2a3d0a14599a59e9
6,.gitignore,0c2db61521eb1413e687d0626bf84e95915cb119,2014-04-01 17:49:29+02:00,.gitignore,.gitignore,,,,,31,21,,,added,10,2016-09-09 19:41:17+02:00,2094dbaef4e22042a4e31deb6f58d52ae255bb7f
7,Makefile,0c2db61521eb1413e687d0626bf84e95915cb119,2014-04-01 17:49:29+02:00,Makefile,Makefile,,,/be114d1d8888447a9e5f3f837fbf3047c65d0e0f,/2015-06-03 17:52:41+02:00,167,167,,,added/removed,23,2015-05-04 16:07:53+02:00,851f7df243cc35ef7890d4594481485ed87c3526
9,doc/.gitignore,0c2db61521eb1413e687d0626bf84e95915cb119,2014-04-01 17:49:29+02:00,,,,,,,1,0,,,added,0,,
10,doc/Makefile,0c2db61521eb1413e687d0626bf84e95915cb119,2014-04-01 17:49:29+02:00,,,,,,,154,0,,,added,0,,
11,doc/source/Intro.rst,0c2db61521eb1413e687d0626bf84e95915cb119,2014-04-01 17:49:29+02:00,,,,,,,156,0,,,added,0,,
13,doc/source/code_doc_intro.rst,0c2db61521eb1413e687d0626bf84e95915cb119,2014-04-01 17:49:29+02:00,,,,,,,228,0,,,added,0,,
14,doc/source/conf.py,0c2db61521eb1413e687d0626bf84e95915cb119,2014-04-01 17:49:29+02:00,doc/source/conf.py,doc/source/conf.py,,,,,286,1,,,added,1,2016-10-24 16:54:54-05:00,b7590f1bb3d85c47fbbf00b31c3f6cb8c70ab82b
