Id,FileName,AddedHash,CreatedAt,RenamedFrom,RenamedTo,RenamedAt,RenamedHash,RemovedHash,RemovedDate,Added,Removed,OldPath,NewPath,status,modifications,LastModifiedAt,LastModifiedHash
1,README.rst,6b936348c4d59f252be299c7212475ccb292f551,2012-04-15 01:27:01-04:00,README.rst,README.rst,,,,,281,116,,,added,34,2013-11-20 00:22:27-07:00,2c2725b3915ae524b4320dd3d54becffc505856f
2,quantumrandom/__init__.py,6b936348c4d59f252be299c7212475ccb292f551,2012-04-15 01:27:01-04:00,quantumrandom/__init__.py,quantumrandom/__init__.py,,,,,273,115,,,added,34,2013-06-20 14:54:20-04:00,72ad510e521fc174863ebd3f7b5499907fc54758
3,setup.py,6b936348c4d59f252be299c7212475ccb292f551,2012-04-15 01:27:01-04:00,setup.py,setup.py,,,,,78,31,,,added,21,2013-06-20 13:08:49-04:00,d65ee8f51c39e075a4c6cd0e20486014c2c371e1
6,test.py,e62d818d71e53d65f41230069206061d319a6135,2012-04-15 14:39:09-04:00,test.py,tests/test.py,/2013-03-27 10:51:18-04:00,/7f150982e82ab0a2141d85e4ca5a208a06d54c5d,,,175,62,,,added,20,2013-03-17 14:11:34-07:00,472a83a10393b65a22d685a5eab834f9e05c8094
56,quantumrandom/dev.py,5927322496d4afc1fdad445f68769fb7cbaeb6c4,2012-04-20 12:35:34-04:00,quantumrandom/dev.py,quantumrandom/dev.py,,,,,161,29,,,added,6,2013-06-20 12:20:39-04:00,83e27d77d1b5f7c52b08d38df5eea5c37975a4bb
59,quantumrandom/cmd.py,2991490353401492e5a6f3c1b9c8acd9e031abbc,2012-04-20 12:39:18-04:00,quantumrandom/cmd.py,quantumrandom/cmd.py,,,,,88,18,,,added,6,2013-03-17 14:11:34-07:00,472a83a10393b65a22d685a5eab834f9e05c8094
62,.gitignore,025de9380f86c02aa93bf41f156f8d97c80a5007,2012-04-20 13:03:20-04:00,,,,,,,3,0,,,added,0,,
79,MANIFEST.in,487db5c32609a220c6f3001e631b61d36574c07b,2012-04-21 12:22:01-04:00,,,,,,,2,0,,,added,0,,
115,tests/surrogate.py,7f150982e82ab0a2141d85e4ca5a208a06d54c5d,2013-03-27 10:51:18-04:00,,,,,,,154,0,,,added,0,,
6,tests/test.py,e62d818d71e53d65f41230069206061d319a6135,2012-04-15 14:39:09-04:00,tests/test.py,tests/test.py,/2013-03-27 10:51:18-04:00,/7f150982e82ab0a2141d85e4ca5a208a06d54c5d,,,184,66,,,added/renamed,22,2013-06-20 13:08:49-04:00,d65ee8f51c39e075a4c6cd0e20486014c2c371e1
119,.coveragerc,19c12511e6c57709a44a4da9be08ac065c6e4f7f,2013-06-19 20:02:31-04:00,,,,,,,8,0,,,added,0,,
120,.travis.yml,703647e9eb6114877aabda769dc80a662b823e4d,2013-06-19 20:02:39-04:00,.travis.yml,.travis.yml,,,,,23,3,,,added,3,2013-06-20 13:08:49-04:00,d65ee8f51c39e075a4c6cd0e20486014c2c371e1
