Id,FileName,AddedHash,CreatedAt,RenamedFrom,RenamedTo,RenamedAt,RenamedHash,RemovedHash,RemovedDate,Added,Removed,OldPath,NewPath,status,modifications,LastModifiedAt,LastModifiedHash
4,src/main.py,8c63861ee049d0343ba7064fa260cf4fa4cd0594,2015-06-09 22:01:40+02:00,src/main.py,qctoolkit/main.py,/2015-10-22 15:36:21+02:00,/f4cb7659c957f2c93a801d34a547c83e1c910b83,,,5,1,,,added,2,2015-07-10 15:05:14+02:00,85a3a5b333c6cce218f89a8aea44421f04138429
5,src/pulses/Branch.py,8c63861ee049d0343ba7064fa260cf4fa4cd0594,2015-06-09 22:01:40+02:00,src/pulses/Branch.py,src/pulses/Branch.py,,,/d58af196054058b727dd7ff89c5e776a0bc88a09,/2015-06-17 18:01:05+02:00,27,27,,,added/removed,3,2015-06-11 20:25:52+02:00,fefaf85a935e38dd9e46cf6ad3c74f96144118fb
6,src/pulses/Condition.py,8c63861ee049d0343ba7064fa260cf4fa4cd0594,2015-06-09 22:01:40+02:00,src/pulses/Condition.py,qctoolkit/pulses/conditions.py,/2015-10-22 15:36:21+02:00,/f4cb7659c957f2c93a801d34a547c83e1c910b83,,,385,204,,,added,19,2015-10-14 17:39:07+02:00,9e48c20d83d3d90018d0115f6506cb7d492b7b77
8,src/pulses/Parameter.py,8c63861ee049d0343ba7064fa260cf4fa4cd0594,2015-06-09 22:01:40+02:00,src/pulses/Parameter.py,qctoolkit/pulses/parameters.py,/2015-10-22 15:36:21+02:00,/f4cb7659c957f2c93a801d34a547c83e1c910b83,,,714,355,,,added,30,2015-09-18 17:00:18+02:00,1b3b40edaf330dc533b5c48fe16f00dcc09dd0f6
10,src/pulses/PulseTemplate.py,8c63861ee049d0343ba7064fa260cf4fa4cd0594,2015-06-09 22:01:40+02:00,src/pulses/PulseTemplate.py,qctoolkit/pulses/pulse_template.py,/2015-10-22 15:36:21+02:00,/f4cb7659c957f2c93a801d34a547c83e1c910b83,,,237,178,,,added,27,2015-09-23 12:10:36+02:00,2b700f4d602c400b175e2a1ea7878d677d2795d2
11,src/pulses/Raw.py,8c63861ee049d0343ba7064fa260cf4fa4cd0594,2015-06-09 22:01:40+02:00,src/pulses/Raw.py,src/pulses/Raw.py,,,,,3,3,,,added,3,2015-10-22 15:36:21+02:00,f4cb7659c957f2c93a801d34a547c83e1c910b83
13,src/pulses/Table.py,8c63861ee049d0343ba7064fa260cf4fa4cd0594,2015-06-09 22:01:40+02:00,src/pulses/Table.py,src/pulses/TablePulseTemplate.py,/2015-06-17 18:01:05+02:00,/d58af196054058b727dd7ff89c5e776a0bc88a09,,,305,145,,,added,5,2015-06-11 20:25:52+02:00,fefaf85a935e38dd9e46cf6ad3c74f96144118fb
14,src/pulses/Waveform.py,8c63861ee049d0343ba7064fa260cf4fa4cd0594,2015-06-09 22:01:40+02:00,src/pulses/Waveform.py,src/pulses/Waveform.py,,,/0e3e4ac9e1e9309e453ba77323880a38cb7abb77,/2015-06-17 20:12:20+02:00,10,10,,,added/removed,2,2015-06-10 16:01:52+02:00,17e2f0f1e8d0dc72c9062a1ebc560704c2938bf9
156,.gitignore,1f436dde7d09c52318b1063b40f106c0c4fdcb96,2015-07-08 16:56:04+02:00,.gitignore,.gitignore,,,,,21,8,,,added,11,2020-04-02 14:44:27+02:00,7849c9afbcf414f9d0c5781f394cc5b9753c0899
42,run_tests.py,642d31c53b9f27716b8f94232bc554f94f100a95,2015-06-10 22:41:09+02:00,run_tests.py,run_tests.py,,,/af4daa8b74fcb49cdd9607247d34f1c69d555099,/2015-07-07 21:09:22+02:00,13,13,,,added/removed,2,2015-06-21 11:47:04+02:00,ee53a385cf58b19c345a0231301ccee38c7363bb
44,tests/pulses/ParameterTests.py,642d31c53b9f27716b8f94232bc554f94f100a95,2015-06-10 22:41:09+02:00,tests/pulses/ParameterTests.py,tests/pulses/parameters_tests.py,/2015-10-22 15:36:21+02:00,/f4cb7659c957f2c93a801d34a547c83e1c910b83,,,1068,645,,,added,16,2015-09-23 17:39:22+02:00,c94db0c8eb3c2d8bc9c92ad4d5d225bc274eee9c
45,tests/pulses/__init__.py,642d31c53b9f27716b8f94232bc554f94f100a95,2015-06-10 22:41:09+02:00,tests/pulses/__init__.py,tests/pulses/__init__.py,,,,,41,41,,,added,14,2018-09-28 15:04:47+02:00,552e9dbc2e7362651098cdf84b8f8cd18eb01b2f
46,syntax_check.py,f69a78acfe6c63d49b95015b4c2055a7687bbe02,2015-06-10 22:57:44+02:00,syntax_check.py,tests/syntax_check.py,/2015-07-07 21:09:22+02:00,/af4daa8b74fcb49cdd9607247d34f1c69d555099,,,10,5,,,added,0,,
