Id,FileName,AddedHash,CreatedAt,RenamedFrom,RenamedTo,RenamedAt,RenamedHash,RemovedHash,RemovedDate,Added,Removed,OldPath,NewPath,status,modifications,LastModifiedAt,LastModifiedHash
1,.gitignore,57d7b8e045ffc95c38b279ac66bf94aeaa1e8f93,2019-01-30 14:03:15-08:00,.gitignore,.gitignore,,,,,13,4,,,added,5,2019-10-08 17:21:52-07:00,8f7401b212dc9212574ee930f3fbdbe11bdabdf8
2,.gitlab-ci.yml,57d7b8e045ffc95c38b279ac66bf94aeaa1e8f93,2019-01-30 14:03:15-08:00,.gitlab-ci.yml,.gitlab-ci.yml,,,,,125,64,,,added,5,2019-08-29 14:05:35-05:00,b44ab5bf4832ee085eceff837a4941148ad749e8
3,ACKNOWLEDGEMENTS.md,57d7b8e045ffc95c38b279ac66bf94aeaa1e8f93,2019-01-30 14:03:15-08:00,ACKNOWLEDGEMENTS.md,ACKNOWLEDGEMENTS.md,,,,,88,8,,,added,1,2019-03-01 15:51:20-08:00,26828c1af5ad780155c13feee2abd024c543f9be
4,CONTRIBUTING.md,57d7b8e045ffc95c38b279ac66bf94aeaa1e8f93,2019-01-30 14:03:15-08:00,,,,,,,38,0,,,added,0,,
5,Dockerfile,57d7b8e045ffc95c38b279ac66bf94aeaa1e8f93,2019-01-30 14:03:15-08:00,Dockerfile,Dockerfile,,,,,35,14,,,added,14,2020-04-21 15:50:55-07:00,1c6900e00f5a5838044c67c3ab6d9cdd249c0de6
6,LICENSE.txt,57d7b8e045ffc95c38b279ac66bf94aeaa1e8f93,2019-01-30 14:03:15-08:00,LICENSE.txt,LICENSE.txt,,,,,239,6,,,added,1,2019-08-26 12:29:29-05:00,21b751c135b22b355e666e32230cfb98bae10f64
7,Makefile,57d7b8e045ffc95c38b279ac66bf94aeaa1e8f93,2019-01-30 14:03:15-08:00,Makefile,Makefile,,,,,263,36,,,added,19,2020-04-01 13:40:00+01:00,cc9e1f48eb8fcbe30332046f5b5530837ab8349d
8,README.md,57d7b8e045ffc95c38b279ac66bf94aeaa1e8f93,2019-01-30 14:03:15-08:00,README.md,README.md,,,,,451,49,,,added,18,2020-04-15 10:27:37-07:00,fa4cd8028365e28e216235649aa082802d3c9168
9,VERSION.txt,57d7b8e045ffc95c38b279ac66bf94aeaa1e8f93,2019-01-30 14:03:15-08:00,VERSION.txt,VERSION.txt,,,,,27,26,,,added,26,2020-04-22 08:32:48-07:00,cf3f91fb6fe6e215e77848ed64b6aabe4c3eaf73
10,app/LICENSE.txt,57d7b8e045ffc95c38b279ac66bf94aeaa1e8f93,2019-01-30 14:03:15-08:00,,,,,,,661,0,,,added,0,,
11,app/src/api/README.md,57d7b8e045ffc95c38b279ac66bf94aeaa1e8f93,2019-01-30 14:03:15-08:00,,,,,,,16,0,,,added,0,,
12,app/src/api/expectation.lisp,57d7b8e045ffc95c38b279ac66bf94aeaa1e8f93,2019-01-30 14:03:15-08:00,app/src/api/expectation.lisp,app/src/api/expectation.lisp,,,,,112,5,,,added,3,2020-02-28 13:11:16-08:00,300a017afab31c846048d7cb85a1524da0ac0c9d
13,app/src/api/info.lisp,57d7b8e045ffc95c38b279ac66bf94aeaa1e8f93,2019-01-30 14:03:15-08:00,,,,,,,19,0,,,added,0,,
14,app/src/api/multishot-measure.lisp,57d7b8e045ffc95c38b279ac66bf94aeaa1e8f93,2019-01-30 14:03:15-08:00,app/src/api/multishot-measure.lisp,app/src/api/multishot-measure.lisp,,,,,112,2,,,added,2,2019-03-06 14:46:39-08:00,e250a64b36da4fa7836db31093d5d9c448c5ae36
15,app/src/api/multishot.lisp,57d7b8e045ffc95c38b279ac66bf94aeaa1e8f93,2019-01-30 14:03:15-08:00,,,,,,,108,0,,,added,0,,
16,app/src/api/ping.lisp,57d7b8e045ffc95c38b279ac66bf94aeaa1e8f93,2019-01-30 14:03:15-08:00,,,,,,,8,0,,,added,0,,
17,app/src/api/version.lisp,57d7b8e045ffc95c38b279ac66bf94aeaa1e8f93,2019-01-30 14:03:15-08:00,,,,,,,11,0,,,added,0,,
18,app/src/api/wavefunction.lisp,57d7b8e045ffc95c38b279ac66bf94aeaa1e8f93,2019-01-30 14:03:15-08:00,app/src/api/wavefunction.lisp,app/src/api/wavefunction.lisp,,,,,41,3,,,added,1,2019-02-28 18:02:23-08:00,8db7b779ae93bae561718c0f6e6294c48b3761a5
19,app/src/benchmark-programs.lisp,57d7b8e045ffc95c38b279ac66bf94aeaa1e8f93,2019-01-30 14:03:15-08:00,app/src/benchmark-programs.lisp,app/src/benchmark-programs.lisp,,,,,223,42,,,added,10,2019-12-18 11:05:54-08:00,ca7cfcaf98f8d2311b31194ec1cd0b9af1822d0d
20,app/src/configure-qvm.lisp,57d7b8e045ffc95c38b279ac66bf94aeaa1e8f93,2019-01-30 14:03:15-08:00,app/src/configure-qvm.lisp,app/src/configure-qvm.lisp,,,,,248,62,,,added,5,2020-03-02 10:27:27-06:00,1343522c65d559fd8bd32227b4e9ea86cc44b976
21,app/src/entry-point.lisp,57d7b8e045ffc95c38b279ac66bf94aeaa1e8f93,2019-01-30 14:03:15-08:00,app/src/entry-point.lisp,app/src/entry-point.lisp,,,,,920,245,,,added,32,2020-03-23 19:59:15-07:00,2d454491f7684a2060d5c3b50bf37c5d7abd2fca
22,app/src/globals.lisp,57d7b8e045ffc95c38b279ac66bf94aeaa1e8f93,2019-01-30 14:03:15-08:00,app/src/globals.lisp,app/src/globals.lisp,,,,,44,2,,,added,3,2019-12-18 11:05:54-08:00,ca7cfcaf98f8d2311b31194ec1cd0b9af1822d0d
23,app/src/handle-request.lisp,57d7b8e045ffc95c38b279ac66bf94aeaa1e8f93,2019-01-30 14:03:15-08:00,app/src/handle-request.lisp,app/src/handle-request.lisp,,,,,239,38,,,added,7,2019-12-18 11:05:54-08:00,ca7cfcaf98f8d2311b31194ec1cd0b9af1822d0d
24,app/src/impl/clozure.lisp,57d7b8e045ffc95c38b279ac66bf94aeaa1e8f93,2019-01-30 14:03:15-08:00,,,,,,,42,0,,,added,0,,
25,app/src/impl/sbcl.lisp,57d7b8e045ffc95c38b279ac66bf94aeaa1e8f93,2019-01-30 14:03:15-08:00,,,,,,,117,0,,,added,0,,
26,app/src/mangle-shared-objects.lisp,57d7b8e045ffc95c38b279ac66bf94aeaa1e8f93,2019-01-30 14:03:15-08:00,app/src/mangle-shared-objects.lisp,app/src/mangle-shared-objects.lisp,,,,,36,2,,,added,1,2019-02-26 15:19:19-05:00,650f27604964b9fe420ab538086db3415dcc4181
27,app/src/package.lisp,57d7b8e045ffc95c38b279ac66bf94aeaa1e8f93,2019-01-30 14:03:15-08:00,,,,,,,6,0,,,added,0,,
28,app/src/qvm-app-version.lisp,57d7b8e045ffc95c38b279ac66bf94aeaa1e8f93,2019-01-30 14:03:15-08:00,app/src/qvm-app-version.lisp,app/src/qvm-app-version.lisp,,,,,139,49,,,added,9,2020-02-12 10:51:23-08:00,d65aa5b8d5a7a8ce2d182180952e1424d7764045
29,app/src/server-abstraction.lisp,57d7b8e045ffc95c38b279ac66bf94aeaa1e8f93,2019-01-30 14:03:15-08:00,app/src/server-abstraction.lisp,app/src/server-abstraction.lisp,,,,,92,18,,,added,1,2019-08-03 15:24:17-05:00,7ecb81e238307ffe0e0a27ac72f016ea5d641fe8
30,app/src/shm-info-server.lisp,57d7b8e045ffc95c38b279ac66bf94aeaa1e8f93,2019-01-30 14:03:15-08:00,,,,,,,17,0,,,added,0,,
31,app/src/utilities.lisp,57d7b8e045ffc95c38b279ac66bf94aeaa1e8f93,2019-01-30 14:03:15-08:00,app/src/utilities.lisp,app/src/utilities.lisp,,,,,159,26,,,added,6,2019-08-03 15:24:17-05:00,7ecb81e238307ffe0e0a27ac72f016ea5d641fe8
32,app/tests/package.lisp,57d7b8e045ffc95c38b279ac66bf94aeaa1e8f93,2019-01-30 14:03:15-08:00,,,,,,,10,0,,,added,0,,
33,app/tests/suite.lisp,57d7b8e045ffc95c38b279ac66bf94aeaa1e8f93,2019-01-30 14:03:15-08:00,app/tests/suite.lisp,app/tests/suite.lisp,,,,,248,44,,,added,9,2019-12-18 11:05:54-08:00,ca7cfcaf98f8d2311b31194ec1cd0b9af1822d0d
34,bench/20H.quil,57d7b8e045ffc95c38b279ac66bf94aeaa1e8f93,2019-01-30 14:03:15-08:00,,,,,,,20,0,,,added,0,,
35,bench/25H.quil,57d7b8e045ffc95c38b279ac66bf94aeaa1e8f93,2019-01-30 14:03:15-08:00,,,,,,,25,0,,,added,0,,
36,bench/5x4x25.quil,57d7b8e045ffc95c38b279ac66bf94aeaa1e8f93,2019-01-30 14:03:15-08:00,,,,,,,232,0,,,added,0,,
37,bench/H4.quil,57d7b8e045ffc95c38b279ac66bf94aeaa1e8f93,2019-01-30 14:03:15-08:00,,,,,,,2484,0,,,added,0,,
38,bench/H6.quil,57d7b8e045ffc95c38b279ac66bf94aeaa1e8f93,2019-01-30 14:03:15-08:00,,,,,,,8315,0,,,added,0,,
39,bench/bench.lisp,57d7b8e045ffc95c38b279ac66bf94aeaa1e8f93,2019-01-30 14:03:15-08:00,,,,,,,42,0,,,added,0,,
40,bench/entangle-25.quil,57d7b8e045ffc95c38b279ac66bf94aeaa1e8f93,2019-01-30 14:03:15-08:00,,,,,,,28,0,,,added,0,,
41,bench/package.lisp,57d7b8e045ffc95c38b279ac66bf94aeaa1e8f93,2019-01-30 14:03:15-08:00,,,,,,,11,0,,,added,0,,
42,bench/qaoa_8q.quil,57d7b8e045ffc95c38b279ac66bf94aeaa1e8f93,2019-01-30 14:03:15-08:00,,,,,,,537,0,,,added,0,,
43,bench/quil-files.lisp,57d7b8e045ffc95c38b279ac66bf94aeaa1e8f93,2019-01-30 14:03:15-08:00,,,,,,,44,0,,,added,0,,
44,bench/suite.lisp,57d7b8e045ffc95c38b279ac66bf94aeaa1e8f93,2019-01-30 14:03:15-08:00,,,,,,,42,0,,,added,0,,
45,coverage-report/coverage-report.lisp,57d7b8e045ffc95c38b279ac66bf94aeaa1e8f93,2019-01-30 14:03:15-08:00,coverage-report/coverage-report.lisp,coverage-report/coverage-report.lisp,,,,,62,11,,,added,1,2019-08-21 11:20:29-07:00,a0ffde61806d1d30e0eb25fe5f1bb7f68c760ce2
46,doc/editing-and-running.md,57d7b8e045ffc95c38b279ac66bf94aeaa1e8f93,2019-01-30 14:03:15-08:00,doc/editing-and-running.md,doc/editing-and-running.md,,,,,364,2,,,added,1,2019-01-31 08:58:25-05:00,d6fa70e96743a14a36eb717b77f03649844d748a
47,doc/lisp-setup.md,57d7b8e045ffc95c38b279ac66bf94aeaa1e8f93,2019-01-30 14:03:15-08:00,doc/lisp-setup.md,doc/lisp-setup.md,,,,,213,29,,,added,5,2020-02-26 11:45:56-08:00,639e42f55134d6861a4440695029ce4d5a6bf0ad
48,doc/man/qvm.1,57d7b8e045ffc95c38b279ac66bf94aeaa1e8f93,2019-01-30 14:03:15-08:00,doc/man/qvm.1,doc/man/qvm.1,,,,,375,23,,,added,11,2019-12-30 15:54:41-06:00,697b8e5ba6553db0e9c1a5d9679fab6377d06bac
49,docker/test.sh,57d7b8e045ffc95c38b279ac66bf94aeaa1e8f93,2019-01-30 14:03:15-08:00,,,,,,,16,0,,,added,0,,
50,dqvm/Makefile,57d7b8e045ffc95c38b279ac66bf94aeaa1e8f93,2019-01-30 14:03:15-08:00,dqvm/Makefile,dqvm/Makefile,,,/e1678a608f1179c3ae7c61c4c67b73e1c6d1eaa1,/2019-09-09 10:51:22-07:00,55,55,,,added/removed,1,2019-06-18 11:28:29-07:00,5b0cd6ad181f61d297aa46cb7b0a745edc997dff
51,dqvm/README.md,57d7b8e045ffc95c38b279ac66bf94aeaa1e8f93,2019-01-30 14:03:15-08:00,,,,,,,41,0,,,added,0,,
52,dqvm/dqvm.asd,57d7b8e045ffc95c38b279ac66bf94aeaa1e8f93,2019-01-30 14:03:15-08:00,,,,,/e1678a608f1179c3ae7c61c4c67b73e1c6d1eaa1,/2019-09-09 10:51:22-07:00,20,20,,,added/removed,0,,
53,dqvm/src/common.lisp,57d7b8e045ffc95c38b279ac66bf94aeaa1e8f93,2019-01-30 14:03:15-08:00,dqvm/src/common.lisp,dqvm/src/common.lisp,,,/e1678a608f1179c3ae7c61c4c67b73e1c6d1eaa1,/2019-09-09 10:51:22-07:00,132,132,,,added/removed,2,2019-07-02 11:38:59-07:00,986f3a2f4c4569f107d7e32991237992f5664c3a
54,dqvm/src/main.lisp,57d7b8e045ffc95c38b279ac66bf94aeaa1e8f93,2019-01-30 14:03:15-08:00,dqvm/src/main.lisp,dqvm/src/main.lisp,,,/e1678a608f1179c3ae7c61c4c67b73e1c6d1eaa1,/2019-09-09 10:51:22-07:00,123,123,,,added/removed,1,2019-07-02 11:38:59-07:00,986f3a2f4c4569f107d7e32991237992f5664c3a
55,dqvm/src/master.lisp,57d7b8e045ffc95c38b279ac66bf94aeaa1e8f93,2019-01-30 14:03:15-08:00,dqvm/src/master.lisp,dqvm/src/master.lisp,,,/e1678a608f1179c3ae7c61c4c67b73e1c6d1eaa1,/2019-09-09 10:51:22-07:00,81,81,,,added/removed,1,2019-06-18 11:28:29-07:00,5b0cd6ad181f61d297aa46cb7b0a745edc997dff
56,dqvm/src/package.lisp,57d7b8e045ffc95c38b279ac66bf94aeaa1e8f93,2019-01-30 14:03:15-08:00,dqvm/src/package.lisp,dqvm/src/package.lisp,,,,,120,53,,,added,1,2019-09-09 10:51:22-07:00,e1678a608f1179c3ae7c61c4c67b73e1c6d1eaa1
57,dqvm/src/worker.lisp,57d7b8e045ffc95c38b279ac66bf94aeaa1e8f93,2019-01-30 14:03:15-08:00,dqvm/src/worker.lisp,dqvm/src/worker.lisp,,,/e1678a608f1179c3ae7c61c4c67b73e1c6d1eaa1,/2019-09-09 10:51:22-07:00,461,461,,,added/removed,2,2019-06-18 11:28:29-07:00,5b0cd6ad181f61d297aa46cb7b0a745edc997dff
58,examples/bell.quil,57d7b8e045ffc95c38b279ac66bf94aeaa1e8f93,2019-01-30 14:03:15-08:00,,,,,,,2,0,,,added,0,,
59,examples/package.lisp,57d7b8e045ffc95c38b279ac66bf94aeaa1e8f93,2019-01-30 14:03:15-08:00,,,,,,,13,0,,,added,0,,
60,examples/qft.lisp,57d7b8e045ffc95c38b279ac66bf94aeaa1e8f93,2019-01-30 14:03:15-08:00,examples/qft.lisp,examples/qft.lisp,,,,,66,4,,,added,1,2019-05-02 13:27:16-07:00,0f2d3837c12d7a0ef6ebee9d3337b4e8790bce96
61,quil/circs.quil,57d7b8e045ffc95c38b279ac66bf94aeaa1e8f93,2019-01-30 14:03:15-08:00,,,,,,,24,0,,,added,0,,
62,quil/other.quil,57d7b8e045ffc95c38b279ac66bf94aeaa1e8f93,2019-01-30 14:03:15-08:00,,,,,,,26,0,,,added,0,,
63,quil/stdgates.quil,57d7b8e045ffc95c38b279ac66bf94aeaa1e8f93,2019-01-30 14:03:15-08:00,,,,,,,137,0,,,added,0,,
64,quil/vqe.quil,57d7b8e045ffc95c38b279ac66bf94aeaa1e8f93,2019-01-30 14:03:15-08:00,,,,,,,9,0,,,added,0,,
